,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА  (кроме бескостного мяса),,,,52339.8963,,43000.0,,55221.0,,55000.0,,40800.0,,52060.0,,55000.0,,65440.0
ГОВЯДИНА БЕСКОСТНАЯ,,,,82966.749712,,75660.57,,77419.5,,90460.56,,72685.57,,93177.0,,79043.0,,77199.38
СВИНИНА (кроме бескостного мяса),,,,41062.763466,,45646.43,,39232.2,,41306.32,,37717.58,,39338.0,,41642.0,,44050.92
СВИНИНА БЕСКОСТНАЯ,,,,67133.31976,,61210.78,,65749.4,,66894.64,,66521.43,,70364.0,,67782.0,,67735.7
ФАРШ МЯСНОЙ (без добавок),,,,52305.744908,,54051.76,,50122.6,,48269.68,,55732.96,,54514.0,,51147.0,,50565.12
"КУРЫ (ЦЫПЛЯТА, ВКЛЮЧАЯ БРОЙЛЕРОВ)",,,,26585.551794000003,,26546.49,,27526.9,,25867.6,,25647.78,,27314.0,,26463.0,,25700.62
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,37511.004728,,38428.2,,38304.7,,36598.48,,37860.12,,36313.0,,36267.0,,41186.54
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,21636.076672,,19965.91,,18920.3,,18798.88,,18434.95,,26805.0,,20362.0,,22061.46
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,4468.615652,,4393.91,,3604.7,,4891.4,,4243.66,,5180.0,,3923.0,,4103.2
ПЕЛЬМЕНИ МЯСНЫЕ,,,,31393.924460000002,,31311.22,,27870.5,,33976.28,,30820.26,,32421.0,,31710.0,,29510.3
САЛО,,,,51312.637176000004,,40855.96,,53625.5,,49100.48,,50970.32,,56009.0,,50428.0,,54040.86
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,46355.826146,,46752.77,,43357.9,,44605.6,,46001.47,,48164.0,,47887.0,,45168.48
