,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА  (кроме бескостного мяса),,,,65162.50692018779,,64519.0,,64426.78,,68176.0,,48921.96000000001,,68537.0,,,,71413.7
ГОВЯДИНА БЕСКОСТНАЯ,,,,99992.40300399999,,91656.04000000001,,99495.68999999999,,98207.61,,89390.1,,105172.0,,106089.0,,102209.3
СВИНИНА (кроме бескостного мяса),,,,57282.09243999999,,56562.119999999995,,57414.95,,57284.39,,52692.32000000001,,55828.0,,60338.0,,62230.3
СВИНИНА БЕСКОСТНАЯ,,,,89037.195892,,82641.44,,91609.0,,91310.54999999999,,87811.14000000001,,89874.0,,86343.0,,94014.1
ФАРШ МЯСНОЙ (без добавок),,,,67417.498044,,66996.96,,63832.17,,63378.33,,73368.84,,73421.0,,61177.0,,64548.049999999996
"КУРЫ (ЦЫПЛЯТА, ВКЛЮЧАЯ БРОЙЛЕРОВ)",,,,31005.515423999994,,30156.72,,31888.68,,31256.04,,29976.760000000002,,31256.0,,31366.0,,30625.4
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,43329.253072,,42280.8,,44590.18,,44252.729999999996,,44150.04,,43003.0,,42242.0,,43501.45
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,29492.079656,,27978.64,,27988.6,,32057.28,,30396.0,,30767.0,,27293.0,,28663.95
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,5620.837876,,5564.400000000001,,4932.139999999999,,5865.39,,5569.52,,6143.0,,5229.0,,5438.0
ПЕЛЬМЕНИ МЯСНЫЕ,,,,45685.891388000004,,43858.799999999996,,40200.96,,45942.36,,45053.32000000001,,50007.0,,44222.0,,45556.2
САЛО,,,,87261.598472,,72218.48,,85918.16,,80852.62,,83461.34,,98656.0,,87640.0,,89743.25
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,59209.891972000005,,59635.03999999999,,57097.45,,61745.31,,59107.48000000001,,58671.0,,58653.0,,60121.25
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,44011.796008,,46331.560000000005,,40310.85,,39898.49,,39413.32000000001,,47807.0,,49026.0,,38616.05
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА ,,,,32693.675456,,38882.2,,32855.19,,30786.019999999997,,34221.84,,30930.0,,33207.0,,29573.699999999997
КОЛБАСА ПОЛУКОПЧЕНАЯ,,,,82665.889864,,86543.2,,85369.0,,78801.66,,80531.68000000001,,88594.0,,77894.0,,73669.0
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,162338.102172,,149389.4,,160318.55,,167744.15000000002,,160796.32,,172154.0,,153129.0,,163139.25
"ПАШТЕТ, ЗЕЛЬЦ",,,,28595.109632,,28089.0,,28513.519999999997,,27378.67,,22552.1,,28743.0,,34784.0,,27977.65
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,18348.555372,,18015.32,,19072.94,,22177.350000000002,,16532.88,,16889.0,,19271.0,,17280.05
СОСИСКИ,,,,58271.845651999996,,57397.64,,55311.899999999994,,58473.56,,57486.08,,58537.0,,55583.0,,66560.75
"ВЕТЧИНА, БУЖЕНИНА, ОКОРОК",,,,91538.907348,,105352.36,,83972.03,,82844.41,,111828.8,,89516.0,,80599.0,,94166.35
ГОВЯДИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,30861.25248,,28475.56,,32836.799999999996,,32562.42,,31302.660000000003,,32417.0,,28582.0,,28096.65
СВИНИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,33197.3823,,29074.92,,32719.299999999996,,36823.39,,35027.82,,32729.0,,32633.0,,34164.2
КОНСЕРВЫ  МЯСНЫЕ ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ (за условную банку весом 350 г),,,,51264.653604,,52350.2,,53428.56,,48976.759999999995,,57294.18000000001,,48136.0,,55407.0,,46090.85
РЫБА ЖИВАЯ,,,,37453.18088262911,,38438.52,,37535.899999999994,,39284.65,,39186.28,,35639.0,,,,36596.4
РЫБА МОРОЖЕНАЯ (тресковые и скумбриевые),,,,43549.710116,,36920.520000000004,,40782.72,,42548.369999999995,,38015.100000000006,,50449.0,,42541.0,,45724.4
РЫБА МОРОЖЕНАЯ (филе и разделанная),,,,59420.960588,,55095.920000000006,,48961.759999999995,,53681.85,,62995.64,,72238.0,,54563.0,,54424.65
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ,,,,102031.482332,,84831.2,,111881.4,,132958.48,,101887.23999999999,,88125.0,,114070.0,,90017.8
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ ДЕЛИКАТЕСНАЯ,,,,219838.61421600002,,244940.28,,228993.7,,171721.41,,214096.04,,208213.0,,254104.0,,227834.40000000002
