,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,Минская,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА ПЕРВОЙ КАТЕГОРИИ,,,,15306.522808,,14600.0,,14621.98,,15405.0,,13997.0,,15530.0,,17183.0,,15320.0
ПОЛУФАБРИКАТЫ МЯСНЫЕ ИЗ ГОВЯДИНЫ,,,,22744.104596,,19539.08,,23542.93,,23787.44,,20794.38,,26992.0,,20824.0,,21844.28
СВИНИНА (кроме бескостного мяса),,,,13293.278041999998,,13655.8,,13276.41,,13305.78,,12334.3,,12379.0,,14086.0,,14276.2
ПОЛУФАБРИКАТЫ МЯСНЫЕ  ИЗ СВИНИНЫ,,,,21273.338630000002,,19707.48,,21597.86,,20661.7,,21216.78,,22139.0,,21735.0,,21720.0
ФАРШ МЯСНОЙ (без добавок),,,,16508.06566,,16528.02,,15916.64,,16139.42,,17514.84,,17671.0,,16629.0,,14537.0
"КУРЫ (ЦЫПЛЯТА, ВКЛЮЧАЯ БРОЙЛЕРОВ)",,,,9142.80559,,9016.44,,9281.6,,8912.18,,8864.02,,9237.0,,9099.0,,9623.84
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,12293.883339999998,,11890.56,,12303.23,,10850.48,,11861.68,,12919.0,,13072.0,,13062.56
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,6371.597016000001,,6073.16,,7524.55,,6797.56,,6514.3,,5333.0,,6453.0,,6394.72
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,1249.6341120000002,,1223.04,,1218.47,,1282.32,,1138.8,,1486.0,,1152.0,,1114.08
ПЕЛЬМЕНИ МЯСНЫЕ,,,,10968.117674,,10006.76,,9467.25,,11417.18,,10816.49,,12302.0,,11368.0,,10684.48
САЛО,,,,14202.472732,,10884.98,,15664.11,,13289.94,,13983.07,,17048.0,,13745.0,,14037.16
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,14775.420604,,14893.22,,15010.53,,14695.5,,14283.46,,15042.0,,14228.0,,15210.64
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,11159.472896,,10737.88,,11183.29,,11783.64,,10148.03,,10897.0,,12295.0,,10806.2
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА ,,,,9213.357788,,9638.22,,10537.57,,7950.82,,8915.82,,8984.0,,9468.0,,9187.88
