,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА  (кроме бескостного мяса),,,,68907.430259,,74561.51999999999,,71603.08,,64342.09,,54310.94,,75535,,60563,,74157.5
ГОВЯДИНА БЕСКОСТНАЯ,,,,111781.21273300001,,99162.4,,104620.12999999999,,95419.98,,95564.88,,131037,,121097,,109212.05
СВИНИНА (кроме бескостного мяса),,,,66691.187064,,67597.6,,63726.189999999995,,63879.87,,63642.060000000005,,68181,,70044,,67209.4
СВИНИНА БЕСКОСТНАЯ,,,,95324.778845,,90953.76000000001,,99147.06999999999,,97996.26,,95506.86000000002,,94201,,94635,,96378.15
ФАРШ МЯСНОЙ ,,,,73987.66671,,76125.16,,71942.56999999999,,71205.67,,72428.24,,79283,,70697,,69544.65
"КУРЫ (ЦЫПЛЯТА, ВКЛЮЧАЯ БРОЙЛЕРОВ)",,,,37414.619509,,35861.28,,38867.5,,37345.869999999995,,37004.64,,37911,,37448,,36705.7
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,49041.675079,,48780,,48223.69,,48540.520000000004,,47984.880000000005,,50841,,48228,,48408.65
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,33289.66759,,32956.119999999995,,29083.739999999998,,31698.120000000003,,35343.380000000005,,35867,,32850,,32422.75
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,6432.4549050000005,,6103.360000000001,,6087.219999999999,,6614.19,,6376.98,,6990,,6169,,5925.35
ПЕЛЬМЕНИ МЯСНЫЕ,,,,50012.720268,,44348.2,,44788.63,,51363.71000000001,,45995.68000000001,,54096,,52893,,50331.65
"САЛО, ГРУДИНКА",,,,94515.12233,,81799.68000000001,,96216.26,,88143.12,,92367.24,,104157,,94962,,92246.79999999999
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,65314.995125,,63331.600000000006,,63278.29999999999,,69493.01,,60925.5,,66601,,64794,,66326.6
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,45071.08121899999,,46799.72,,44006.03,,36159.22,,41980,,50384,,47740,,41214.45
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА И БЕССОРТОВАЯ ,,,,37501.018705,,36932.2,,36908.549999999996,,35706.2,,37573.840000000004,,40289,,38194,,32656.149999999998
"КОЛБАСА ПОЛУКОПЧЕНАЯ, ВАРЕНО-КОПЧЕНАЯ",,,,92435.20597699999,,90518.12,,85993.90999999999,,90166.29999999999,,90373.58000000002,,102284,,91699,,81960.75
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,175653.082592,,165919,,188493.31999999998,,189048.54,,164183,,180232,,166668,,166372.95
"ПАШТЕТ, ЗЕЛЬЦ, САЛЬТИСОН",,,,38095.068993,,34629.52,,37075.07,,35970.7,,33129.86,,38903,,44185,,40635.25
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,22114.574862000005,,21115.52,,22326.76,,25869.800000000003,,20608.760000000002,,20677,,24534,,19902.85
"СОСИСКИ, САРДЕЛЬКИ",,,,64034.935771000004,,55192.84,,61440.78999999999,,66101.26,,62206.759999999995,,65956,,68033,,66161.35
"ВЕТЧИНА, БУЖЕНИНА, ОКОРОК",,,,102446.9479,,113686.04000000001,,93023.63,,100158.35,,115179.86000000002,,109546,,79738,,103477.1
ГОВЯДИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,32006.421765,,27199.16,,35486.81999999999,,31480.79,,33190.14,,32972,,32555,,29826.449999999997
СВИНИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,33652.622556,,31616.24,,36251.74,,33245.44,,35899.76,,35485,,32239,,28298.95
КОНСЕРВЫ  МЯСНЫЕ ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ (за условную банку весом 350 г),,,,65202.096654,,74182.72,,65775.58,,57526.74,,66093,,68610,,59071,,62559.95
РЫБА ЖИВАЯ,,,,49877.152226,,49517.64,,49105.49,,52130.39,,49689.46000000001,,49185,,49948,,50149.4
