,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА  (кроме бескостного мяса),,,,7.199447374,,8.076925000000001,,7.101776000000001,,6.724639,,5.77979,,7.7401,,6.955500000000001,,7.19408
ГОВЯДИНА БЕСКОСТНАЯ,,,,11.480381715,,10.5441,,10.893764000000001,,9.905686,,10.07727,,12.9372,,12.6152,,11.223735
СВИНИНА (кроме бескостного мяса),,,,6.8340001945,,6.81395,,6.900936000000001,,6.608881,,6.46286,,6.8833,,7.1127,,6.9451149999999995
СВИНИНА БЕСКОСТНАЯ,,,,9.831866365,,9.535975,,10.560200000000002,,10.039674999999999,,10.04456,,9.5005,,9.7651,,9.839010000000002
ФАРШ МЯСНОЙ ,,,,7.545666561,,7.0411,,7.253244000000001,,7.311516000000001,,7.7015150000000006,,8.135,,7.2674,,7.382825
"КУРЫ (ЦЫПЛЯТА, ВКЛЮЧАЯ БРОЙЛЕРОВ)",,,,3.8397357734999997,,3.6849500000000006,,3.9043520000000003,,3.808169,,3.8191150000000005,,3.9155,,3.8182,,3.829395
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,4.906341399,,4.752625,,4.884604,,4.7853710000000005,,5.1351450000000005,,5.011,,4.7108,,5.021115
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,3.3745873835,,2.871475,,2.985212,,3.459542,,3.6447700000000003,,3.5102,,3.4968000000000004,,3.50192
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,0.678920052,,0.6490750000000001,,0.6272840000000001,,0.6935370000000001,,0.6474300000000001,,0.7531,,0.6575,,0.6096250000000001
ПЕЛЬМЕНИ МЯСНЫЕ,,,,5.242032673,,4.6403,,4.673684000000001,,5.175362,,4.87518,,5.9115,,5.529100000000001,,4.831670000000001
"САЛО, ГРУДИНКА",,,,9.968256425499998,,8.310375,,10.35194,,9.284400000000002,,9.646825,,10.9891,,10.223700000000001,,9.531885
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,6.676351083,,6.552025,,6.385936000000001,,7.091113000000001,,6.53107,,6.7311000000000005,,6.4013,,6.9955
