,,,,Беларусь,,Брестская,Витебская,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
БЛУЗКА ЖЕНСКАЯ,,,,67620.425608,,57666.26,65927.78,56836.06,,58932.72,,75433.0,,65861.0,,76639.04
ПЛАТЬЕ ЖЕНСКОЕ ИЗ ПОЛУШЕРСТЯНОЙ  ТКАНИ,,,,63460.82970167598,,61558.68,74120.53,70194.99,,79132.6,,49653.0,,76390.0,,
ХАЛАТ ЖЕНСКИЙ  ДОМАШНИЙ,,,,42117.73194899999,,35398.74,42364.75,26246.19,,35658.0,,53762.0,,34953.0,,42943.44
"СВИТЕР, ДЖЕМПЕР ЖЕНСКИЙ ИЗ СИНТЕТИЧЕСКОЙ ПРЯЖИ  ",,,,40219.370284,,39123.04,34225.23,38819.64,,28002.24,,48122.0,,41542.0,,33242.08
КОСТЮМ ЖЕНСКИЙ СПОРТИВНЫЙ,,,,88889.445355,,77981.56,73036.61,65697.27,,68912.2,,109875.0,,81259.0,,102608.64
БЮСТГАЛЬТЕР ,,,,21622.484942,,20382.98,20679.7,19422.6,,19725.48,,22852.0,,24279.0,,21535.92
ТРУСЫ ЖЕНСКИЕ ИЗ ХЛОПЧАТОБУМАЖНОГО ТРИКОТАЖНОГО ПОЛОТНА,,,,5632.879228000001,,4940.74,4534.69,5875.38,,4925.52,,6192.0,,6195.0,,5477.44
ШАПКА ЖЕНСКАЯ МЕХОВАЯ ,,,,277485.22422872746,,314600.62,260290.0,,,187034.96,,296150.0,,,,
ПЛАЩ ЖЕНСКИЙ,,,,194967.70041,,175170.32,158565.45,195660.5,,167650.8,,229233.0,,163020.0,,199344.4
РУБАШКА ЖЕНСКАЯ НОЧНАЯ,,,,19194.346764,,18035.48,15893.74,17517.84,,20082.92,,21506.0,,19866.0,,17051.8
"ПЛАТОК, ШАРФ ЖЕНСКИЙ",,,,26204.561949000003,,10097.28,24237.65,12146.21,,44663.92,,36737.0,,17263.0,,20333.68
ШЛЯПА ЖЕНСКАЯ,,,,48537.18449,,40620.88,53652.64,39580.5,,44340.32,,56576.0,,46156.0,,41630.72
ШУБА (ПОЛУШУБОК) ЖЕНСКАЯ  ИЗ ИСКУССТВЕННОГО МЕХА,,,,165053.17713193118,,,165530.0,,,164450.44,,,,,,
КОМПЛЕКТ БЕЛЬЯ ЖЕНСКОГО,,,,27877.789233000003,,19500.58,23559.75,19859.75,,26808.12,,34763.0,,26993.0,,30276.96
КУПАЛЬНЫЙ КОСТЮМ ЖЕНСКИЙ,,,,60996.51793300001,,62061.22,50826.4,40722.91,,56830.88,,85474.0,,43213.0,,37753.44
КОЛГОТКИ ЖЕНСКИЕ,,,,7440.968308,,6033.9,5055.18,6008.7,,6249.36,,10426.0,,6465.0,,5550.0
БРЮКИ ЖЕНСКИЕ,,,,71502.584004,,47257.6,63987.33,55984.84,,69960.44,,92001.0,,63114.0,,66260.16
КУРТКА  ЗИМНЯЯ И  ДЕМИСЕЗОННАЯ  ДЛЯ МАЛЬЧИКА ,,,,99821.37419199999,,109089.92,119088.91,85851.04,,101655.0,,96923.0,,88184.0,,105827.92
КУРТКА  ДЕМИСЕЗОННАЯ  ДЛЯ ДЕВОЧКИ,,,,95560.16736200002,,90144.68,100723.23,85378.38,,96692.0,,113062.0,,68000.0,,77705.44
ПАЛЬТО  ЗИМНЕЕ И ДЕМИСЕЗОННОЕ ДЛЯ ДЕВОЧКИ    ,,,,122086.39374199999,,108267.26,160074.14,122730.0,,113356.0,,110871.0,,128430.0,,130944.0
НОСКИ ДЕТСКИЕ  ИЗ ХЛОПЧАТОБУМАЖНОЙ ИЛИ СМЕСОВОЙ ПРЯЖИ,,,,2217.068496,,2505.8,2140.93,1715.64,,1921.12,,2338.0,,2423.0,,2274.32
БРЮКИ ДЕТСКИЕ,,,,35158.535513999996,,32409.44,38758.97,29331.3,,34607.72,,38220.0,,34697.0,,31990.48
КОСТЮМ ШКОЛЬНЫЙ ,,,,95231.028417,,93566.86,99953.7,82086.27,,97867.2,,100336.0,,93436.0,,90516.4
КОСТЮМ СПОРТИВНЫЙ ДЕТСКИЙ,,,,49775.515076,,47109.46,52593.93,39217.3,,47783.68,,55695.0,,53782.0,,40501.84
"ДЖЕМПЕР, CВИТЕР ДЕТСКИЙ ИЗ ПОЛУШЕРСТЯНОЙ ПРЯЖИ",,,,39409.464332,,33108.08,34286.64,31359.4,,37242.8,,48798.0,,36535.0,,35449.92
СОРОЧКА ВЕРХНЯЯ ДЛЯ МАЛЬЧИКА  ИЗ ХЛОПЧАТОБУМАЖНОЙ ИЛИ СМЕСОВОЙ ТКАНИ,,,,19897.749308000002,,18244.08,20312.53,17715.4,,20540.56,,20546.0,,20629.0,,20339.76
ЮБКА ДЕТСКАЯ  ИЗ СМЕСОВЫХ ТКАНЕЙ ИЛИ ТРИКОТАЖНОГО ПОЛОТНА,,,,32511.151228000006,,30001.26,28763.64,24413.1,,24949.24,,41752.0,,30474.0,,27607.68
ПЛАТЬЕ ДЕТСКОЕ ИЗ ХЛОПЧАТОБУМАЖНОЙ ТКАНИ,,,,33901.855232,,31640.32,22026.15,22835.2,,24284.88,,47120.0,,28419.0,,33734.08
"КОСТЮМ, КОМПЛЕКТ (юбка, брюки, жакет) ДЛЯ ДЕВОЧКИ",,,,90534.27557000001,,82964.62,105760.9,79298.76,,99401.36,,85164.0,,93026.0,,102198.72
ДЖИНСЫ ДЕТСКИЕ,,,,50487.52017900001,,42721.58,34486.21,38442.29,,50007.68,,69315.0,,38782.0,,41666.08
БЕЛЬЕ  ДЛЯ  НОВОРОЖДЕННЫХ  И  ДЕТЕЙ  ЯСЕЛЬНОГО  ВОЗРАСТА,,,,8132.736340000001,,4497.9,9195.81,4282.94,,5779.32,,8725.0,,12957.0,,10522.88
КОМПЛЕКТ БЕЛЬЯ ДЕТСКОГО,,,,7664.08405,,6758.58,9362.04,6201.6,,8631.52,,7573.0,,8274.0,,7299.68
ШАПОЧКА ТРИКОТАЖНАЯ ДЕТСКАЯ,,,,15436.388368999997,,12592.64,14535.42,14182.57,,15488.64,,18046.0,,13826.0,,13917.28
КОЛГОТКИ ДЕТСКИЕ,,,,5990.285461,,5887.92,4885.54,5163.01,,6030.72,,6115.0,,7633.0,,6205.2
ПИЖАМА ДЕТСКАЯ,,,,19285.239345,,18719.38,20207.16,17377.59,,16999.92,,20445.0,,20817.0,,17807.2
"ПОЛУБОТИНКИ, ТУФЛИ МУЖСКИЕ КОЖАНЫЕ",,,,102654.309589,,106081.92,103003.85,107022.13,,104958.24,,103562.0,,96459.0,,94811.12
САПОГИ МУЖСКИЕ НА МЕХУ,,,,126889.77666666667,,125837.12,116886.93,122667.0,,119394.0,,,,152302.0,,124791.04
ОБУВЬ МУЖСКАЯ ДОМАШНЯЯ ,,,,17644.850091,,15070.08,15596.12,15512.43,,13993.28,,22810.0,,14418.0,,14754.72
КРОССОВЫЕ ТУФЛИ МУЖСКИЕ,,,,75108.25564300001,,80530.96,58854.31,80948.99,,66630.24,,80448.0,,69939.0,,75847.2
"БОСОНОЖКИ, САНДАЛЕТЫ МУЖСКИЕ ИЗ НАТУРАЛЬНОЙ ИЛИ ИСКУССТВЕНОЙ КОЖИ",,,,74896.68144100001,,83140.82,74022.34,74724.47,,66284.08,,69322.0,,89230.0,,78850.8
РЕЗИНОВАЯ ОБУВЬ,,,,23373.186224,,20930.62,20906.84,21622.66,,20688.64,,23348.0,,28685.0,,27731.28
САПОГИ ЖЕНСКИЕ ЗИМНИЕ  НА НИЗКОМ КАБЛУКЕ,,,,201237.91969530773,,198899.0,206082.0,229283.0,,188909.12,,,,197885.0,,178292.08
САПОГИ ЖЕНСКИЕ ДЕМИСЕЗОННЫЕ  НА ВЫСОКОМ КАБЛУКЕ,,,,207119.702978,,236812.38,211920.82,167359.0,,204785.68,,216728.0,,206200.0,,191724.64
"ТУФЛИ  ЖЕНСКИЕ КОЖАНЫЕ НА НИЗКОМ КАБЛУКЕ, НА СИНТЕТИЧЕСКОЙ ПОДОШВЕ",,,,79578.915021,,84203.5,75880.12,88681.11,,93673.36,,75037.0,,78704.0,,71254.4
ТУФЛИ ЖЕНСКИЕ МОДЕЛЬНЫЕ,,,,118246.542822,,123210.46,98548.2,96217.44,,112169.92,,145076.0,,98153.0,,100141.6
ТУФЛИ  ЖЕНСКИЕ ЛЕТНИЕ КОЖАНЫЕ,,,,98896.31765700002,,111363.98,84142.28,89741.87,,94118.64,,114092.0,,93277.0,,74067.84
ОБУВЬ ЖЕНСКАЯ ДОМАШНЯЯ ,,,,18683.85125,,14851.64,16332.21,14231.26,,13291.44,,26820.0,,12775.0,,14794.8
ТУФЛИ ЖЕНСКИЕ ИЗ ИСКУССТВЕННОЙ КОЖИ ,,,,61385.430834000006,,63863.42,50808.64,68806.52,,46414.6,,67041.0,,61051.0,,56593.6
ПОЛУСАПОЖКИ ЗИМНИЕ И ДЕМИСЕЗОННЫЕ  ДЛЯ МАЛЬЧИКА,,,,82764.378792,,95652.2,81228.28,58027.0,,93225.12,,80080.0,,89858.0,,93890.36
ПОЛУСАПОЖКИ ЗИМНИЕ И ДЕМИСЕЗОННЫЕ  ДЛЯ ДЕВОЧКИ,,,,90965.648605,,99047.16,88994.61,86106.65,,102544.48,,91181.0,,86944.0,,84116.36
"БОТИНКИ, ТУФЛИ КОЖАНЫЕ ДЕМИСЕЗОННЫЕ ДЛЯ МАЛЬЧИКА",,,,60803.360862,,60385.4,57729.74,51064.82,,68000.12,,62058.0,,65300.0,,61480.56
ТУФЛИ ЛЕТНИЕ ДЕВИЧЬИ,,,,46224.090735,,57688.76,54188.49,41300.99,,48432.56,,40558.0,,50593.0,,43863.44
КРОССОВЫЕ ТУФЛИ ДЕТСКИЕ,,,,41988.44738400001,,29622.2,41265.18,33048.76,,55636.96,,45508.0,,42016.0,,42686.08
СТОЛ ПИСЬМЕННЫЙ,,,,250787.452748,,244565.76,238957.17,376527.0,,219942.48,,215650.0,,251075.0,,258687.6
ШКАФ ДЛЯ ОДЕЖДЫ  И  БЕЛЬЯ,,,,673753.5001300001,,510035.06,759287.44,557878.56,,618662.88,,739666.0,,790363.0,,599323.84
СТУЛ,,,,99311.665405,,87162.8,131972.15,81358.45,,98187.6,,101403.0,,97657.0,,93047.28
НАБОР МЕБЕЛИ ДЛЯ СПАЛЬНИ,,,,2252215.082175,,2343430.1,2198904.86,2399078.05,,2337092.28,,2120502.0,,2271056.0,,2376841.44
НАБОР МЯГКОЙ МЕБЕЛИ,,,,1735180.2624520003,,1936022.42,1954724.74,1378485.94,,2266084.24,,1535686.0,,1771960.0,,1870354.16
НАБОР КОРПУСНОЙ МЕБЕЛИ ,,,,1872389.773522,,1904917.44,1619225.5,1600005.14,,1720300.72,,2109870.0,,1778100.0,,1906658.96
ДИВАН-КРОВАТЬ,,,,842269.13017,,881769.72,977740.4,667256.46,,829592.56,,877893.0,,713116.0,,891955.76
КУХОННЫЙ ГАРНИТУР,,,,1104604.583214,,1326729.22,1348172.75,886790.28,,999954.84,,984928.0,,1299312.0,,1158290.0
ГАРНИТУР ДЛЯ ПРИХОЖЕЙ,,,,798740.279646,,861301.2,877000.91,672160.54,,818108.16,,815167.0,,860838.0,,668223.68
КОВЕР ИЗ  ШЕРСТЯНОЙ И СИНТЕТИЧЕСКОЙ ПРЯЖИ        (за 1 м2),,,,53879.753939,,44747.3,50105.65,43398.97,,54153.88,,63128.0,,53389.0,,50125.36
КОВЕР ИЗ СИНТЕТИЧЕСКОЙ ПРЯЖИ (за 1 м2)  ,,,,50913.720277,,48252.02,39290.07,31896.35,,39696.64,,72074.0,,34255.0,,47442.32
ДОРОЖКА КОВРОВАЯ (за 1 м2),,,,38242.98981299999,,33468.32,40997.11,32564.21,,36974.16,,43438.0,,34517.0,,34885.12
КОМПЛЕКТ ПОСТЕЛЬНОГО БЕЛЬЯ ,,,,57020.389071,,51384.84,55030.34,49596.59,,60898.8,,61925.0,,58111.0,,53426.8
ОДЕЯЛО ПОЛУШЕРСТЯНОЕ,,,,57403.462182999996,,51567.42,65519.4,52532.41,,57556.88,,56107.0,,54864.0,,66947.4
ОДЕЯЛО ВАТНОЕ,,,,47956.838941,,54089.02,40686.42,48632.79,,53699.44,,47682.0,,56234.0,,36363.64
ПОКРЫВАЛО ,,,,53275.94971,,48545.48,46512.06,39788.9,,37139.08,,63946.0,,54705.0,,59871.76
СКАТЕРТЬ,,,,16596.893544,,16280.12,19560.74,16927.8,,14128.48,,16455.0,,16136.0,,16326.4
ПОЛОТНО ГАРДИННОЕ ТЮЛЕВОЕ ИЗ СИНТЕТИЧЕСКИХ НИТЕЙ,,,,15296.253639,,12739.94,10467.1,13301.57,,11547.68,,20455.0,,11978.0,,15512.24
ПОЛОТЕНЦЕ МАХРОВОЕ БАННОЕ ,,,,24677.581684999997,,21496.0,24230.03,21547.81,,22495.8,,27186.0,,24645.0,,25965.64
ТАРЕЛКА,,,,3890.4800400000004,,2077.4,1817.54,2327.96,,2134.08,,7054.0,,2478.0,,2582.48
"СЕРВИЗ ЧАЙНЫЙ, КОФЕЙНЫЙ",,,,41995.510074,,34438.02,39517.48,37419.04,,36379.44,,49978.0,,40010.0,,38855.84
ВАЗА,,,,35922.504624,,27365.96,40408.18,20802.52,,35505.52,,45182.0,,31830.0,,32318.08
КАСТРЮЛЯ,,,,26710.693887000005,,22640.74,25007.15,21482.77,,27914.8,,28869.0,,26207.0,,31505.6
ХОЛОДИЛЬНИК,,,,1051809.717318,,987778.28,1170784.88,975504.02,,1059486.48,,1024592.0,,1202803.0,,1005082.16
ЛАМПА ЭЛЕКТРИЧЕСКАЯ,,,,864.3653335199999,,631.3,693.13,697.04,,765.1848,,1098.0,,769.0,,915.84
СТИРАЛЬНАЯ МАШИНА,,,,815252.4713999999,,631069.6,822535.8,1037104.72,,1135760.72,,686170.0,,631345.0,,1052126.08
ПЫЛЕСОС НАПОЛЬНЫЙ,,,,214858.70979400002,,184005.34,200150.66,185225.72,,200461.36,,253790.0,,202251.0,,196857.6
УТЮГ  ЭЛЕКТРИЧЕСКИЙ,,,,65390.35808400001,,63812.44,61299.9,54745.04,,63979.2,,73461.0,,68331.0,,56346.4
КОМБАЙН КУХОННЫЙ,,,,258994.20847800002,,278375.94,264071.29,243201.48,,225137.92,,273375.0,,258724.0,,235966.08
ЛЮСТРА ЭЛЕКТРИЧЕСКАЯ,,,,119903.130267,,74899.72,109739.62,76125.35,,65084.64,,190376.0,,99147.0,,69160.32
ЧАЙНИК ЭЛЕКТРИЧЕСКИЙ,,,,77772.71653499999,,61620.16,70888.83,56448.23,,73907.12,,97793.0,,78521.0,,64950.32
ПЕЧЬ МИКРОВОЛНОВАЯ,,,,365673.130827,,345228.26,374256.16,298742.89,,329466.6,,414552.0,,378598.0,,317183.92
ПЛИТА  БЫТОВАЯ ЭЛЕКТРИЧЕСКАЯ,,,,1075048.300502,,913136.6,850645.22,1050222.98,,868962.32,,1266503.0,,975182.0,,1176363.76
РАДИАТОР БЫТОВОЙ ЭЛЕКТРИЧЕСКИЙ,,,,207281.89689600002,,206042.08,179416.13,179161.44,,207660.72,,227916.0,,213056.0,,200070.64
ДРЕЛЬ ЭЛЕКТРИЧЕСКАЯ,,,,189158.02469900003,,183412.94,178531.8,210654.69,,240496.4,,173296.0,,199982.0,,176216.48
ТЕЛЕВИЗОР ЦВЕТНОГО ИЗОБРАЖЕНИЯ,,,,416452.82895699993,,426414.4,399916.97,475707.17,,440012.16,,400563.0,,399190.0,,401408.48
МУЗЫКАЛЬНЫЙ ЦЕНТР,,,,577021.676921,,641505.66,600534.0,479636.83,,548644.92,,627581.0,,566328.0,,474752.0
СТЕРЕО МАГНИТОФОН С ПРИЁМНИКОМ,,,,213965.90537700002,,213719.94,192029.05,171972.07,,223575.4,,261925.0,,200405.0,,138349.92
DVD-ПЛЕЕР,,,,230398.268184,,237927.5,271833.59,215658.34,,225801.32,,222369.0,,245018.0,,209990.72
КОМПАКТ-ДИСК (без записи),,,,2857.029191,,2878.08,2443.93,2851.11,,3891.44,,3022.0,,3009.0,,1696.56
КАССЕТЫ БЕЗ ЗАПИСИ (видео и аудио),,,,5918.992239,,7530.78,6922.5,2635.13,,5879.84,,7178.0,,6230.0,,2770.0
КИРПИЧ СТРОИТЕЛЬНЫЙ (за 1тыс. шт),,,,474341.425985,,469105.6,512702.64,707954.73,,288142.8,,490960.0,,336950.0,,402237.52
ОБОИ (за рулон 10 м),,,,13335.148423999999,,9528.36,9473.79,8588.04,,7919.12,,21594.0,,8644.0,,9830.4
ПИЛОМАТЕРИАЛЫ ХВОЙНЫЕ ОБРЕЗНЫЕ И НЕОБРЕЗНЫЕ (за 1 м3 ) ,,,,528866.9316059999,,477929.98,610161.24,411954.32,,411749.88,,645026.0,,414848.0,,472523.24
ПЛИТКА КЕРАМИЧЕСКАЯ (за 1  м2),,,,25005.768862,,22483.7,23289.62,22603.48,,20116.92,,28825.0,,24494.0,,24732.32
ЦЕМЕНТ (за 50 кг),,,,19956.775888999997,,18719.04,19383.66,19346.57,,17985.76,,21788.0,,18930.0,,19388.4
ШИФЕР (за 10 условных штук),,,,12146.555628,,11828.16,12536.69,11559.72,,11459.36,,12784.0,,11634.0,,11795.48
ЛИНОЛЕУМ (за 1 м2),,,,22034.584083,,20664.14,21778.72,17713.73,,20581.36,,25686.0,,21538.0,,18819.56
СТЕКЛО ОКОННОЕ (за 1 м2),,,,15270.160262000001,,15653.58,14148.21,14018.48,,15614.24,,16077.0,,13102.0,,16935.12
СЧЕТЧИК УЧЕТА ПОТРЕБЛЕНИЯ ВОДЫ,,,,56404.022326000006,,60913.34,45158.43,56755.68,,49818.16,,58023.0,,63161.0,,57484.0
"ПАНЕЛИ ДЛЯ ОТДЕЛКИ ПОТОЛКА, СТЕН ИЗ ПВХ  (за 1 м2)",,,,18555.075242000003,,20101.24,11525.61,16456.54,,20324.4,,21709.0,,16910.0,,17174.44
ОКОННЫЙ БЛОК ДВУХСТВОРЧАТЫЙ (размер 130х140см) СО СТЕКЛОПАКЕТОМ,,,,799283.8715850001,,670787.1,658532.46,668203.39,,647255.52,,1046167.0,,703276.0,,670378.2
ДВЕРНОЙ БЛОК С ДВЕРЬЮ (размер 210х70 см                  или 210х80 см),,,,350316.64523100003,,323036.0,379606.42,283213.43,,309001.08,,402202.0,,345629.0,,298644.32
ЛАМИНАТ (за 1 м2),,,,41048.287796,,36042.44,36767.41,34517.76,,36206.08,,48081.0,,39671.0,,41513.68
СУМКА ИЗ ИСКУССТВЕННОЙ КОЖИ,,,,73204.82935100001,,62310.62,68718.88,56418.25,,67674.88,,89069.0,,60364.0,,75835.92
СУМКА ИЗ НАТУРАЛЬНОЙ КОЖИ,,,,185369.19071499998,,162063.8,179928.26,145202.87,,172730.0,,224018.0,,165396.0,,169179.44
ПЕРЧАТКИ ИЗ НАТУРАЛЬНОЙ КОЖИ,,,,46626.860381000006,,41226.32,55932.5,39356.93,,39367.32,,50744.0,,51128.0,,38925.4
РЕМЕНЬ ПОЯСНОЙ ИЗ НАТУРАЛЬНОЙ ИЛИ ИСКУССТВЕННОЙ КОЖИ,,,,24537.651806000005,,22659.76,24685.02,24727.74,,19956.64,,28553.0,,22194.0,,19339.76
СОСУДОРАСШИРЯЮЩИЕ И СПАЗМОЛИТИЧЕСКИЕ ПРЕПАРАТЫ (за 10 таблеток),,,,370.2168334716732,,359.95333333333326,418.0,265.5466666666667,,382.68,,368.0,,374.06666666666666,,450.33333333333337
"ПРЕПАРАТЫ, УЛУЧШАЮЩИЕ МОЗГОВОЕ КРОВООБРАЩЕНИЕ (за 10 таблеток)",,,,382.60626168268124,,238.45333333333332,240.0,512.14,,264.61333333333334,,526.0,,172.26666666666668,,529.7866666666666
ДИУРЕТИЧЕСКИЕ ПРЕПАРАТЫ (за 10 таблеток),,,,318.95411844702994,,236.83333333333331,203.0,723.42,,224.06,,184.0,,197.6,,519.0133333333333
ТРАНКВИЛИЗАТОРЫ (за 10 таблеток),,,,759.6824576656678,,827.4533333333333,950.0,715.8333333333333,,904.8166666666666,,540.0,,845.6,,795.8333333333334
НЕНАРКОТИЧЕСКИЕ АНАЛЬГЕТИКИ (за 10 таблеток),,,,347.204228978208,,355.8666666666667,375.0,341.6,,300.5333333333333,,372.0,,322.0,,326.53333333333336
АНТИБИОТИКИ (за 10 таблеток),,,,907.0488255183056,,810.1333333333333,740.0,671.7,,716.8333333333333,,1262.0,,742.0,,1050.1333333333332
ВИТАМИНЫ (за 10 таблеток),,,,496.10218276801584,,440.8133333333334,179.0,224.8,,362.54,,826.0,,344.06666666666666,,791.6133333333333
АНТИСЕПТИЧЕСКИЕ СРЕДСТВА (за 10 мл),,,,722.0472075519478,,750.6,773.0,739.8666666666667,,671.3333333333333,,680.0,,757.3333333333334,,714.92
ГОРЧИЧНИКИ (за 10 шт),,,,794.8460202679571,,781.3333333333333,823.0,747.7,,817.8333333333333,,836.0,,772.3333333333333,,750.8
ВАТА (за 50 г),,,,1055.158398634422,,1040.3333333333335,1191.0,1195.4666666666667,,903.5833333333333,,1013.0,,966.3333333333333,,1058.4
ЛЕЙКОПЛАСТЫРЬ (за упаковку размером 3 см  х 5 м),,,,2198.219599471026,,2118.666666666667,2108.0,2111.5333333333333,,2184.0,,2236.0,,2112.5,,2503.8166666666666
БИНТ (за упаковку размером 5 см х 10 м),,,,493.464938,,470.14,588.63,465.08,,543.04,,480.0,,469.0,,471.4
ОЧКИ И ОПРАВЫ,,,,38055.752325999994,,19437.2,18272.82,15387.18,,17024.08,,73400.0,,23989.0,,23865.2
АВТОМОБИЛЬ ЛЕГКОВОЙ,,,,32178357.766891465,,,49760827.0,41485358.0,,21749790.0,,29055500.0,,,,20661733.520000003
ВЕЛОСИПЕД ДОРОЖНЫЙ,,,,246726.202448,,253778.92,279502.48,223690.52,,229141.08,,243647.0,,251404.0,,251974.16
МОТОЦИКЛ,,,,3374108.414995,,2923533.2,2938878.0,3160173.95,,2849910.0,,4177870.0,,2788548.0,,3007403.0
БЕНЗИН АВТОМОБИЛЬНЫЙ (за 1 л),,,,2091.012157,,2082.16,2138.8,1977.81,,2025.84,,2098.0,,2170.0,,2138.48
ЕЖЕДНЕВНАЯ ГАЗЕТА ,,,,605.273988,,634.62,612.23,554.7,,631.76,,596.0,,595.0,,647.04
ЕЖЕНЕДЕЛЬНАЯ ГАЗЕТА  ,,,,977.2502059999999,,794.8,871.3,738.62,,784.56,,1373.0,,883.0,,542.4
ЕЖЕМЕСЯЧНЫЙ ЖУРНАЛ ,,,,3401.86759,,3135.88,3828.54,2711.86,,2673.68,,4202.0,,2674.0,,2807.2
ЧАСЫ,,,,55296.251914,,35018.0,35825.68,30149.46,,36015.36,,92289.0,,39750.0,,40046.0
МЫЛО ХОЗЯЙСТВЕННОЕ (за 400 г),,,,1719.065262,,1954.64,1806.36,1471.9,,1561.36,,1543.0,,2005.0,,2106.48
СИНТЕТИЧЕСКИЕ МОЮЩИЕ СРЕДСТВА    (за 500 г),,,,3130.3648510000003,,3154.28,2368.46,3233.43,,2775.8,,3306.0,,3202.0,,3491.76
КРЕМ ДЛЯ ОБУВИ  (за 75 г),,,,3219.8206609999997,,2556.8,2669.14,2248.69,,1714.8,,4742.0,,1822.0,,3465.36
КРАСКА ПОЛОВАЯ И ПРОЧАЯ (за 1 кг),,,,9103.478887,,9104.42,9719.59,8434.93,,8365.88,,8959.0,,9979.0,,9457.48
ЛАК ДЛЯ ПАРКЕТА И ПРОЧИЙ (за 1 кг),,,,10948.868625000001,,10361.24,8898.23,10203.49,,7805.68,,12855.0,,9968.0,,12268.92
ХОЗЯЙСТВЕННЫЕ ТОВАРЫ ИЗ ПЛАСТМАССЫ И МЕТАЛЛА,,,,11375.550439999999,,10872.9,10092.5,13680.94,,11326.24,,12388.0,,8860.0,,9808.16
КАРНИЗЫ,,,,44663.35432199999,,44099.32,42261.59,35118.46,,31095.96,,54045.0,,45668.0,,39761.36
ЗАМКИ ВРЕЗНЫЕ И НАКЛАДНЫЕ,,,,24947.774832000003,,26184.54,22908.83,22910.34,,25624.76,,22693.0,,35427.0,,24491.12
ЮВЕЛИРНЫЕ ИЗДЕЛИЯ ИЗ ЗОЛОТА  (за 1г),,,,112486.800908,,109671.74,123763.11,104609.98,,117916.88,,112472.0,,109557.0,,110680.56
ФОТОАППАРАТ,,,,110880.293596,,86715.46,135192.32,40856.34,,100658.24,,142055.0,,105000.0,,106781.12
ФОТОКАМЕРА  ЦИФРОВАЯ ,,,,761820.9200919999,,585040.8,638359.15,547613.08,,752833.76,,984055.0,,861001.0,,518834.72
ИГРУШКИ,,,,23372.030329,,19516.28,21779.21,15557.73,,14128.32,,31759.0,,17918.0,,24866.32
ТЕЛЕФОННЫЙ АППАРАТ,,,,65713.168379,,61338.78,74110.95,59024.05,,56819.56,,66995.0,,79062.0,,58921.6
КОЛЯСКА  ДЕТСКАЯ ,,,,425917.138483,,449045.04,416695.4,437258.99,,340612.16,,521296.0,,359456.0,,229939.12
ЗОНТ,,,,40676.771279,,35733.24,36403.49,36404.35,,38168.48,,49263.0,,35193.0,,35386.24
ТЕЛЕФОН НЫЙ АППАРАТ СОТОВОЙ СВЯЗИ ,,,,412508.51701700006,,424729.94,445418.08,342312.39,,342398.96,,461357.0,,336757.0,,428616.64
ТЕТРАДЬ (в пересчете за 12 листов),,,,217.518119,,208.48,191.66,168.71,,232.4,,258.0,,204.0,,183.28
РУЧКА ШАРИКОВАЯ,,,,570.544153,,344.3,578.09,262.19,,468.48,,834.0,,508.0,,459.6
ШАМПУНЬ  (за 250 мл),,,,4147.769599,,2945.26,3061.86,4115.93,,3430.72,,5468.0,,2434.0,,4681.16
ЗУБНАЯ ПАСТА  (за 75 г),,,,2289.9818330000003,,1986.0,1827.71,1940.33,,1672.68,,2876.0,,1844.0,,2621.68
МЫЛО ТУАЛЕТНОЕ  (за 150 г),,,,2011.399332,,1515.84,2194.72,1566.04,,1948.48,,2316.0,,1747.0,,2183.0
КРЕМ ДЛЯ ЛИЦА  (за 100 г),,,,11718.538963,,6496.78,9435.21,7005.81,,9029.96,,18258.0,,9620.0,,8421.2
ДЕЗОДОРАНТ  (за 110 мл),,,,6745.2976960000005,,6177.7,6551.43,5019.82,,6208.2,,8019.0,,6395.0,,6305.32
ЛЕЗВИЯ ДЛЯ БРИТВЫ (за блок из 10 лезвий),,,,3155.0285160000003,,2808.4,3072.28,3262.2,,2453.08,,3338.0,,3369.0,,3267.6
ЩЕТКА ЗУБНАЯ ,,,,3578.3517980000006,,2584.4,2309.47,2004.46,,1748.24,,6115.0,,2211.0,,2628.96
ТУАЛЕТНАЯ ВОДА (за 100 мл),,,,47288.496113,,20748.28,24602.89,16033.49,,30084.28,,91634.0,,26107.0,,29304.32
"ГУБНАЯ ПОМАДА (за 4,3-4,8 г)",,,,5812.715015,,5077.32,4916.12,5689.63,,4505.84,,7033.0,,5413.0,,5272.56
"ЛАК ДЛЯ ВОЛОС (за 250 мл), БАЛЬЗАМ ДЛЯ ВОЛОС             (за 250 мл)",,,,6057.73972,,4516.74,3968.97,3815.98,,4477.24,,9081.0,,4265.0,,6013.92
ШВЕЙНАЯ МАШИНА,,,,612952.491681,,715277.34,526161.15,568981.31,,473649.6,,718490.0,,521000.0,,530812.76
ЦВЕТЫ (за 1 шт),,,,5986.945382,,4760.46,5523.87,5194.0,,5483.24,,6636.0,,6733.0,,6268.24
ДРОВА (за 1 м3),,,,14534.8999,,11900.0,21000.0,16179.0,,13800.0,,11500.0,,19500.0,,13500.0
ТОРФ  (за 1 т),,,,56587.6375,,59175.0,60000.0,45000.0,,60000.0,,55000.0,,60000.0,,63000.0
