,,,,Беларусь,,Брестская,Витебская,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
КЕФИР,,,,1480.136497,,1356.3,1300.32,1421.15,,1259.44,,1651.0,,1512.0,,1480.16
СМЕТАНА ,,,,6416.329973000001,,5996.44,6564.68,4898.49,,6114.8,,7325.0,,6032.0,,6214.64
ТВОРОГ ЖИРНЫЙ,,,,7927.403593999999,,7407.24,6745.43,7219.26,,7803.96,,9027.0,,6462.0,,8645.76
ТВОРОГ НЕЖИРНЫЙ,,,,7201.7251830000005,,7149.8,5402.01,5939.95,,9081.8,,7577.0,,5786.0,,9364.0
ЙОГУРТ (за 250 г),,,,1428.318679,,1734.2,1430.59,1565.55,,1578.88,,1382.0,,1097.0,,1306.72
ГЛАЗИРОВАННЫЙ СЫРОК (за 50 г),,,,732.575182,,702.38,713.75,717.92,,744.4,,756.0,,688.0,,760.64
"ТВОРОЖНЫЙ ДЕСЕРТ, КРЕМ, ПУДИНГ    (за 200 г)",,,,1810.1790490000003,,1751.84,2146.26,1568.97,,1649.36,,1948.0,,1629.0,,1665.96
СУХИЕ МОЛОЧНЫЕ СМЕСИ  ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ,,,,15337.623260999999,,16119.48,13261.01,13620.73,,15911.4,,15702.0,,15872.0,,16704.28
МОЛОКО СГУЩЕНОЕ С САХАРОМ (за условную банку весом 400 г),,,,2378.48863,,2352.56,2373.58,2326.7,,2394.24,,2390.0,,2378.0,,2422.4
МОРОЖЕНОЕ,,,,11427.065563999999,,12643.44,12638.42,12022.76,,9984.08,,11315.0,,11489.0,,9692.16
СЫР  ТВЕРДЫЙ,,,,14637.600167,,14323.18,14053.76,14945.37,,14099.68,,15143.0,,14219.0,,14478.96
СЫР МЯГКИЙ ,,,,10880.314642000001,,8482.9,9526.28,9903.36,,10413.28,,13352.0,,9801.0,,9438.8
СЫР ПЛАВЛЕНЫЙ,,,,13726.123582999999,,11422.2,12295.21,11567.87,,12435.92,,15554.0,,16000.0,,13111.44
МАСЛО ЖИВОТНОЕ,,,,12643.454906000003,,12726.5,12861.18,12447.2,,12956.88,,12089.0,,11925.0,,14831.28
МАСЛО РАСТИТЕЛЬНОЕ ,,,,4204.141786,,4379.6,4313.38,4561.7,,4011.68,,3928.0,,4585.0,,4151.16
МАРГАРИН,,,,6111.467396,,5744.06,5560.93,5520.46,,5559.44,,6692.0,,6598.0,,5905.04
ЯЙЦА  КУРИНЫЕ,,,,2978.559577,,3066.2,2903.47,2757.89,,3061.28,,3008.0,,3224.0,,2821.76
САХАР-ПЕСОК,,,,2107.95167,,2076.62,2048.3,2030.0,,2030.0,,2210.0,,2090.0,,2054.24
ЧАЙ ЧЕРНЫЙ БАЙХОВЫЙ,,,,34552.564098,,34185.4,34773.39,28133.5,,28685.04,,34670.0,,44156.0,,37448.48
КОФЕ  НАТУРАЛЬНЫЙ  В ЗЕРНАХ,,,,34726.762617,,35679.4,40417.77,30768.69,,41032.08,,30098.0,,39248.0,,37224.0
КОФЕ РАСТВОРИМЫЙ,,,,80746.974088,,81027.5,75234.67,74191.94,,81150.32,,74508.0,,101208.0,,93685.04
МЁД  НАТУРАЛЬНЫЙ,,,,24491.693367999997,,20016.94,23962.76,22078.18,,23090.68,,29148.0,,22279.0,,20826.4
СОЛЬ  ПОВАРЕННАЯ  ПИЩЕВАЯ,,,,466.27193000000005,,368.1,453.32,407.52,,410.08,,545.0,,443.0,,467.6
МУКА ПШЕНИЧНАЯ ,,,,1940.7342939999999,,1794.72,1848.16,1991.5,,1884.24,,2025.0,,1872.0,,1974.28
ХЛЕБ РЖАНОЙ,,,,1637.0105389310704,,,,1757.23,,1313.84,,1691.0,,1599.0,,
ХЛЕБ РЖАНО-ПШЕНИЧНЫЙ,,,,1686.106806,,1773.24,1564.69,1494.34,,1389.0,,1914.0,,1513.0,,1659.84
"ХЛЕБ, ИЗДЕЛИЯ БУЛОЧНЫЕ (БАТОН) ИЗ  МУКИ ПШЕНИЧНОЙ ВЫСШЕГО СОРТА",,,,2631.981487,,2946.28,2470.17,2511.55,,2269.44,,2500.0,,3150.0,,2860.2
"ХЛЕБ, ИЗДЕЛИЯ БУЛОЧНЫЕ (БАТОН) ИЗ  МУКИ ПШЕНИЧНОЙ ПЕРВОГО СОРТА",,,,2008.500466,,2131.8,1758.5,3088.86,,1693.0,,1781.0,,1932.0,,1944.0
ИЗДЕЛИЯ БУЛОЧНЫЕ СДОБНЫЕ ИЗ МУКИ  ПШЕНИЧНОЙ ВЫСШЕГО СОРТА,,,,4377.067029,,4699.6,3610.19,5403.65,,4003.28,,4015.0,,5103.0,,4420.4
"СУХАРИ, СУШКИ, БАРАНКИ",,,,6286.568907000001,,5741.8,6243.95,8390.23,,5634.16,,5136.0,,7673.0,,7239.0
РИС ШЛИФОВАННЫЙ И ПОЛИРОВАННЫЙ,,,,4336.961422,,4375.06,4267.21,4360.44,,4345.6,,4254.0,,4443.0,,4502.0
КРУПА МАННАЯ,,,,2282.4160749999996,,2263.72,2262.2,2228.23,,2152.28,,2400.0,,2173.0,,2231.84
КРУПА ПШЕННАЯ,,,,2774.699572,,2825.96,2565.5,2524.88,,2606.96,,2990.0,,2778.0,,2699.88
КРУПА ГРЕЧНЕВАЯ,,,,2767.204735,,2757.24,2577.36,2679.87,,2895.2,,2795.0,,2800.0,,2857.84
"ОВСЯНЫЕ ХЛОПЬЯ ""ГЕРКУЛЕС""",,,,2409.348512,,2240.24,2222.55,1972.08,,2635.36,,2322.0,,3034.0,,2768.96
КУКУРУЗНЫЕ ХЛОПЬЯ,,,,6090.668260999999,,5909.0,7110.01,5922.25,,5963.32,,5866.0,,6186.0,,6096.08
КРУПА ПЕРЛОВАЯ,,,,1483.6715550000001,,1354.72,1468.54,1541.31,,1446.08,,1598.0,,1290.0,,1418.4
КАШИ ДЛЯ ДЕТСКОГО И ДИЕТИЧЕСКОГО ПИТАНИЯ,,,,13311.556455000002,,11359.22,11086.11,11187.01,,11088.04,,15689.0,,11366.0,,16529.8
