,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА  (кроме бескостного мяса),,,,66537.13003527751,,65971.0,,67137.57,,68176.0,,46660.0,,69795.0,,,,76559.54
ГОВЯДИНА БЕСКОСТНАЯ,,,,105856.747573,,89870.6,,93118.11,,114147.36,,89635.35,,121298.0,,107919.0,,103968.7
СВИНИНА (кроме бескостного мяса),,,,71938.655509,,70880.54,,71898.28,,69211.08,,62756.73,,72257.0,,78515.0,,75859.86
СВИНИНА БЕСКОСТНАЯ,,,,103496.616216,,91845.28,,103713.76,,99166.36,,101261.2,,107493.0,,108638.0,,107406.18
ФАРШ МЯСНОЙ (без добавок),,,,71429.530983,,72517.43,,61385.37,,64572.48,,75463.81,,82659.0,,64296.0,,68352.36
"КУРЫ (ЦЫПЛЯТА, ВКЛЮЧАЯ БРОЙЛЕРОВ)",,,,30231.072622,,30741.97,,31552.77,,29975.4,,30795.04,,29891.0,,30507.0,,28368.46
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,43491.039433,,41738.06,,44598.09,,42518.96,,46577.03,,43247.0,,41938.0,,45154.46
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,30262.024015000003,,28832.39,,30541.48,,32309.44,,29489.55,,31985.0,,25795.0,,31887.98
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,6013.23993,,6603.3,,4790.43,,6439.0,,5764.96,,6932.0,,5381.0,,5053.48
ПЕЛЬМЕНИ МЯСНЫЕ,,,,44328.385009,,43902.1,,38954.49,,45568.68,,42441.27,,48759.0,,43994.0,,40806.96
САЛО,,,,91586.52417300001,,77973.68,,93400.19,,86064.56,,93718.67,,93166.0,,105208.0,,87108.76
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,58313.37888900001,,57851.75,,55821.65,,60798.08,,57519.19,,60818.0,,54769.0,,58177.16
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,44244.774909,,44999.23,,37888.34,,39112.8,,37687.41,,51305.0,,49231.0,,39203.82
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА ,,,,34508.704946,,39157.48,,34469.62,,28094.64,,36610.34,,33936.0,,34528.0,,36390.22
КОЛБАСА ПОЛУКОПЧЕНАЯ,,,,85805.12277000002,,89540.53,,83255.25,,86401.88,,81277.28,,94977.0,,77118.0,,77924.24
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,162659.001928,,154479.39,,155490.46,,163759.96,,159489.28,,175604.0,,152933.0,,163924.66
"ПАШТЕТ, ЗЕЛЬЦ",,,,27278.670726,,26023.35,,25145.36,,26317.92,,21149.18,,31486.0,,29208.0,,25502.1
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,18727.435165,,17323.08,,16671.5,,22225.92,,16255.29,,18214.0,,22529.0,,16714.38
СОСИСКИ,,,,58244.420461,,56853.73,,53551.65,,57529.8,,56027.19,,61301.0,,57413.0,,61882.76
"ВЕТЧИНА, БУЖЕНИНА, ОКОРОК",,,,91328.477093,,104519.13,,79617.45,,77501.2,,102314.55,,101363.0,,74812.0,,93796.74
