,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА  (кроме бескостного мяса),,,,65249.440558685455,,62399.0,,64421.2,,66626.0,,49125.96000000001,,69581.0,,,,73868.75
ГОВЯДИНА БЕСКОСТНАЯ,,,,100866.16990800001,,94056.12,,99127.23,,98274.61,,90140.08000000002,,108300.0,,107336.0,,97449.45000000001
СВИНИНА (кроме бескостного мяса),,,,58595.46598,,56356.76,,59111.119999999995,,57304.490000000005,,53014.84,,58441.0,,62954.0,,62466.25
СВИНИНА БЕСКОСТНАЯ,,,,88739.86423999998,,83665.95999999999,,93997.18,,89161.63,,87765.6,,86425.0,,88967.0,,95059.7
ФАРШ МЯСНОЙ (без добавок),,,,68727.908716,,71129.72,,63056.579999999994,,63774.54,,73173.48000000001,,76362.0,,61540.0,,64746.899999999994
"КУРЫ (ЦЫПЛЯТА, ВКЛЮЧАЯ БРОЙЛЕРОВ)",,,,31206.945164000004,,30695.12,,32119.85,,31221.08,,30207.72,,31398.0,,31507.0,,30896.9
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,43244.139844,,41752.52,,44948.509999999995,,42285.07,,44145.18000000001,,43783.0,,42630.0,,42903.35
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,31160.611952,,28252.199999999997,,28703.45,,32744.21,,30528.46,,33299.0,,31715.0,,29845.1
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,5556.3295880000005,,5743.16,,4904.88,,5711.25,,5634.26,,5824.0,,5311.0,,5456.75
ПЕЛЬМЕНИ МЯСНЫЕ,,,,45041.375931999995,,43267.12,,39252.71,,46267.59,,45081.04000000001,,48738.0,,43751.0,,44577.2
САЛО,,,,88636.326524,,72534.4,,88381.95,,82865.56,,84614.98000000001,,101603.0,,87254.0,,89046.2
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,59219.90347599999,,59724.84,,57970.29999999999,,62314.14,,57949.94,,57758.0,,58966.0,,61496.149999999994
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,43856.983464,,45984.08,,40996.28,,39231.04,,39493.840000000004,,47800.0,,48029.0,,38986.8
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА ,,,,33117.160488,,39219.0,,32993.88,,30887.99,,33914.94,,31942.0,,33333.0,,30540.1
КОЛБАСА ПОЛУКОПЧЕНАЯ,,,,83943.64877599999,,87563.08,,85821.6,,79444.39,,81317.06,,91104.0,,75925.0,,79095.6
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,161574.18378000002,,151752.84,,169863.46,,165753.31,,162920.36,,165724.0,,151497.0,,161057.90000000002
"ПАШТЕТ, ЗЕЛЬЦ",,,,29244.750536,,28154.68,,28614.03,,27388.22,,22514.480000000003,,28836.0,,38262.0,,28889.7
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,18610.825444,,18073.32,,19858.159999999996,,22298.16,,16529.24,,17171.0,,19716.0,,17341.25
СОСИСКИ,,,,58098.2406,,57275.72,,55542.899999999994,,59214.47,,57445.64000000001,,56602.0,,57312.0,,66315.75
"ВЕТЧИНА, БУЖЕНИНА, ОКОРОК",,,,93332.16663200001,,103168.68000000001,,84333.01999999999,,85430.06,,114260.30000000002,,95232.0,,79516.0,,94816.7
ГОВЯДИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,30561.502448000003,,27647.280000000002,,32644.85,,32344.800000000003,,31300.02,,31986.0,,28296.0,,28219.5
СВИНИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,32829.090644,,28839.32,,32799.96,,36456.23,,34920.92,,32461.0,,31676.0,,33427.75
КОНСЕРВЫ  МЯСНЫЕ ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ (за условную банку весом 350 г),,,,50169.500104,,55964.8,,51446.78,,45813.85,,55838.54000000001,,44955.0,,55765.0,,46601.7
РЫБА ЖИВАЯ,,,,39062.057268,,38445.44,,38042.0,,36200.31,,39177.04000000001,,35502.0,,50800.0,,36814.15
РЫБА МОРОЖЕНАЯ (тресковые и скумбриевые),,,,43915.37128800001,,35604.16,,41596.049999999996,,42657.350000000006,,38288.56,,51663.0,,43273.0,,45351.3
РЫБА МОРОЖЕНАЯ (филе и разделанная),,,,58592.825668,,53232.159999999996,,49729.31999999999,,51934.07,,65442.54000000001,,69464.0,,54903.0,,54087.7
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ,,,,105506.706716,,90678.8,,115403.0,,133205.44,,101876.01999999999,,91677.0,,120440.0,,94057.15
