,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА  (кроме бескостного мяса),,,,63810.838674,,65722.0,,71065.79,,63289.0,,44657.0,,68121.0,,54100.0,,76559.54
ГОВЯДИНА БЕСКОСТНАЯ,,,,105127.604013,,93928.99,,92172.17,,113788.16,,87423.15,,119446.0,,103352.0,,107086.2
СВИНИНА (кроме бескостного мяса),,,,69550.548723,,74676.44,,65690.91,,66099.24,,59796.85,,71367.0,,70038.0,,76896.36
СВИНИНА БЕСКОСТНАЯ,,,,101030.386723,,95769.85,,95644.88,,95680.6,,94029.15,,103058.0,,111310.0,,107443.86
ФАРШ МЯСНОЙ (без добавок),,,,70595.266144,,72265.09,,63375.87,,61167.6,,66748.14,,81493.0,,68612.0,,68443.72
"КУРЫ (ЦЫПЛЯТА, ВКЛЮЧАЯ БРОЙЛЕРОВ)",,,,31870.148432,,31398.38,,32107.65,,32218.4,,31688.62,,31651.0,,32152.0,,32042.76
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,47581.823952000006,,48855.52,,45068.07,,47524.56,,49838.98,,47034.0,,47825.0,,47691.16
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,28118.606317,,23971.8,,25397.91,,30165.44,,26918.59,,32269.0,,23240.0,,31298.64
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,5570.285415,,5540.95,,4475.48,,6335.4,,5434.71,,6425.0,,4973.0,,4757.06
ПЕЛЬМЕНИ МЯСНЫЕ,,,,41175.364566000004,,40797.23,,34801.31,,41882.96,,38163.0,,46167.0,,41657.0,,37991.84
САЛО,,,,82509.167764,,64413.29,,75579.17,,70487.12,,72434.42,,104553.0,,82914.0,,81848.7
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,54972.014437000005,,57478.49,,52070.19,,56987.0,,54761.07,,54496.0,,52664.0,,57393.6
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,39123.460207000004,,42562.82,,37639.02,,35003.88,,35669.51,,34611.0,,52294.0,,37965.94
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА ,,,,32124.008049,,39750.37,,35198.34,,27038.92,,28696.57,,29412.0,,34135.0,,33461.76
КОЛБАСА ПОЛУКОПЧЕНАЯ,,,,86170.893708,,81482.77,,73941.27,,88777.2,,83216.62,,96647.0,,86414.0,,79008.9
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,157134.055355,,141836.81,,148512.65,,152660.08,,142008.29,,172438.0,,158383.0,,166086.1
"ПАШТЕТ, ЗЕЛЬЦ",,,,26014.529692000004,,26067.59,,23539.46,,22163.04,,19714.92,,32600.0,,27251.0,,22033.96
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,16268.184344000001,,16147.27,,14893.81,,19814.08,,13752.3,,15914.0,,17659.0,,14984.74
СОСИСКИ,,,,56441.882615999995,,53172.09,,46032.23,,55366.88,,50463.34,,65812.0,,54144.0,,59482.16
"ВЕТЧИНА, БУЖЕНИНА, ОКОРОК",,,,87160.123227,,102085.26,,72070.76,,78426.8,,91458.15,,97612.0,,69211.0,,92769.52
ГОВЯДИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,27261.315522,,26474.42,,27006.43,,27435.36,,25796.8,,29582.0,,26961.0,,24474.54
СВИНИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,23365.599491,,23095.05,,22736.35,,23492.08,,24717.65,,23148.0,,23683.0,,22944.44
КОНСЕРВЫ  МЯСНЫЕ ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ (за условную банку весом 350 г),,,,33509.555314000005,,32733.49,,35900.88,,33845.0,,31668.26,,32431.0,,34705.0,,34150.24
РЫБА ЖИВАЯ,,,,31629.689174,,29024.75,,30903.88,,25879.84,,30501.94,,30750.0,,37957.0,,37007.0
РЫБА МОРОЖЕНАЯ (тресковые и скумбриевые),,,,36207.592418,,32131.26,,28220.83,,35027.12,,28569.4,,42442.0,,40497.0,,37728.32
РЫБА МОРОЖЕНАЯ (филе и разделанная),,,,44500.71468699999,,39938.67,,36553.64,,39485.36,,44333.27,,56662.0,,41832.0,,39057.16
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ,,,,79244.65259099999,,68812.39,,91823.67,,99020.96,,84055.89,,66260.0,,85573.0,,70784.34
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ ДЕЛИКАТЕСНАЯ,,,,170901.489925,,174627.1,,169939.19,,113418.92,,177454.31,,156145.0,,229441.0,,186479.28
ИКРА ЛОСОСЕВЫХ РЫБ,,,,968679.06615,,877352.83,,1023787.83,,975995.92,,966155.0,,1059101.0,,895125.0,,889002.12
ПРОЧИЕ   ВИДЫ   ИКРЫ   РЫБ   (за условную банку весом      200 г),,,,23689.820111,,22206.3,,20191.84,,24746.56,,25173.55,,27451.0,,22120.0,,19504.08
СЕЛЬДЬ СОЛЕНАЯ,,,,36538.526071,,39309.63,,33824.29,,35473.44,,38498.13,,36192.0,,37353.0,,35400.36
"ПОЛУФАБРИКАТЫ РЫБНЫЕ (котлеты, палочки рыбные , фарш)",,,,41196.174184999996,,37557.98,,38184.05,,42144.0,,39129.51,,43556.0,,44664.0,,39041.9
КОНСЕРВЫ РЫБНЫЕ (за условную банку весом 350г),,,,14761.722514,,14708.26,,11561.95,,12971.4,,12743.04,,18699.0,,14032.0,,14045.96
КОНСЕРВЫ РЫБНЫЕ ДЕЛИКАТЕСНЫЕ (шпроты и лосось) - за условную банку весом 350 г,,,,28775.688265,,26024.02,,29382.94,,28542.96,,28265.21,,31601.0,,28558.0,,25501.6
ПРЕСЕРВЫ РЫБНЫЕ (филе сельди в различных соусах и заливках) - за условную банку весом 250 г,,,,17664.859284000002,,18753.12,,16783.13,,18067.36,,17707.66,,18675.0,,16065.0,,16617.54
,,,,,,,,,,,,,,,,,,
"* - на уровень средней цены, кроме ценовых факторов, оказывают влияние также структурные сдвиги, среди  которых особо следует  ",,,,,,,,,,,,,,,,,,
"выделить многообразные ассортиментные изменения: появление новых товаров, исчезновение старых, изменение  доли  отдельных",,,,,,,,,,,,,,,,,,
"товаров  с  различным уровнем  цен,  территориальные  сдвиги  в  размещении товаров с  региональной  дифференциацией  цен,  ",,,,,,,,,,,,,,,,,,
сезонные  колебания цен и прочее.  Поэтому средние цены не всегда могут быть использованы для характеристики динамики цен.,,,,,,,,,,,,,,,,,,
** - с января 2014 года расчет средних цен производится по формуле средней геометрической величины,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"МОЛОКО ЦЕЛЬНОЕ ПАСТЕРИЗОВАННОЕ, СЫРОЕ",,,,8304.682373,,7562.7,,8576.93,,8116.12,,8467.63,,8089.0,,8375.0,,9357.24
КЕФИР,,,,8398.022911,,8358.42,,8865.43,,9213.36,,8733.97,,7619.0,,8021.0,,9002.28
СМЕТАНА ,,,,31108.802407000003,,30799.43,,33630.0,,30510.6,,31830.07,,29973.0,,31776.0,,30523.1
ТВОРОГ ЖИРНЫЙ,,,,45797.776293,,46914.79,,42138.38,,41501.16,,43920.57,,49772.0,,43401.0,,49445.98
ТВОРОГ НЕЖИРНЫЙ,,,,41128.006269000005,,41399.23,,42471.88,,36685.68,,38195.21,,41514.0,,39752.0,,48769.46
