,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА  (кроме бескостного мяса),,,,66207.278072,,56296.56,,64354.27,,69568,,53855.7,,71090,,69370,,72081.9
ГОВЯДИНА БЕСКОСТНАЯ,,,,104989.39597599999,,94792.64,,102227.23,,95651.21,,88602.12,,121069,,113076,,97062.6
СВИНИНА (кроме бескостного мяса),,,,61278.842348000006,,58545.88,,60505.61,,60090.64,,55365.68000000001,,63073,,65656,,62396.8
СВИНИНА БЕСКОСТНАЯ,,,,89505.46523599999,,85914.36,,96021.84999999999,,92099.45999999999,,89259.48000000001,,86324,,88652,,92732.54999999999
ФАРШ МЯСНОЙ (без добавок),,,,70572.11506800001,,71736.04000000001,,66850.38,,63903.25,,68676.5,,79710,,67640,,64790.95
"КУРЫ (ЦЫПЛЯТА, ВКЛЮЧАЯ БРОЙЛЕРОВ)",,,,31292.452724,,30187.44,,32098.62,,31227.88,,31266.08,,31572,,31393,,30964.550000000003
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,42700.578688,,40204.119999999995,,44372.31,,44039.33,,42927.76,,41858,,43065,,43500.6
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,30161.803748000002,,28442.72,,28247,,31093.519999999997,,31324.02,,33719,,26153,,28644.050000000003
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,5782.058215999999,,5707.24,,5147.9,,6264.66,,5819.52,,6163,,5516,,5335.6
ПЕЛЬМЕНИ МЯСНЫЕ,,,,47455.693116,,44046.240000000005,,40221.84,,45709.49,,46123.740000000005,,56021,,45383,,44561.25
"САЛО, ГРУДИНКА",,,,90587.80616400001,,76268.56,,89092.04,,85714.23,,84894.34000000001,,105394,,90234,,84586.8
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,60180.135608000004,,60482.67999999999,,59278.06,,61426.77,,58871.3,,59643,,60085,,62140.35
