,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,Минская,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА ПЕРВОЙ КАТЕГОРИИ,,,,13944.356048,,13200.0,,13674.6,,13783.0,,13720.0,,14463.0,,13720.0,,15053.44
ПОЛУФАБРИКАТЫ МЯСНЫЕ ИЗ ГОВЯДИНЫ,,,,20760.363254,,17896.82,,22136.45,,22137.32,,19973.4,,23914.0,,17537.0,,20727.6
СВИНИНА (кроме бескостного мяса),,,,12706.285904,,12773.72,,12616.9,,12774.08,,11763.83,,11934.0,,13471.0,,13857.52
ПОЛУФАБРИКАТЫ МЯСНЫЕ  ИЗ СВИНИНЫ,,,,20365.905224000002,,17961.3,,21135.19,,19999.3,,20402.22,,22018.0,,19926.0,,20823.12
ФАРШ МЯСНОЙ (без добавок),,,,15997.289298,,16301.22,,15401.9,,15564.96,,16504.52,,16693.0,,16574.0,,14432.6
"КУРЫ (ЦЫПЛЯТА, ВКЛЮЧАЯ БРОЙЛЕРОВ)",,,,8810.306362,,8731.7,,8932.86,,8420.52,,8618.05,,8858.0,,8916.0,,9257.16
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,11677.957627999998,,11540.54,,11720.94,,10447.82,,11504.74,,12287.0,,12144.0,,11966.44
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,6349.599126,,6118.06,,6053.17,,7082.48,,6392.72,,5858.0,,6767.0,,6255.56
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,1208.049538,,1168.7,,1251.06,,1222.68,,1116.36,,1409.0,,1114.0,,1065.24
ПЕЛЬМЕНИ МЯСНЫЕ,,,,10548.465656,,9606.54,,8621.88,,11044.54,,10638.4,,12180.0,,10692.0,,10253.6
САЛО,,,,13623.79405,,10777.36,,14901.0,,12968.5,,13414.92,,16423.0,,12431.0,,13747.12
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,14190.585933999999,,14245.6,,14732.78,,14083.3,,13727.36,,14376.0,,13391.0,,14832.64
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,10492.803998,,10297.72,,10993.88,,11322.3,,9892.0,,10083.0,,10422.0,,10455.2
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА ,,,,8563.807438,,9227.08,,10424.35,,7580.98,,8674.68,,7093.0,,8899.0,,8842.04
КОЛБАСА ПОЛУКОПЧЕНАЯ,,,,21361.479266,,19546.16,,19441.03,,20769.02,,20320.89,,24849.0,,20614.0,,22758.76
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,34244.516188,,32002.66,,33682.11,,33309.82,,33885.28,,38110.0,,33094.0,,34332.52
"ПАШТЕТ, ЗЕЛЬЦ",,,,6330.028445999999,,6625.58,,5609.72,,5978.2,,5667.8,,7407.0,,6461.0,,5894.52
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,4167.7372,,4147.12,,3865.13,,4438.24,,3884.75,,4214.0,,4778.0,,3584.72
СОСИСКИ,,,,13854.009457999999,,13212.28,,12952.29,,13977.66,,13577.06,,14665.0,,13785.0,,14525.92
"ВЕТЧИНА, БУЖЕНИНА, ОКОРОК",,,,20524.050606,,21252.44,,22798.73,,17504.98,,21066.34,,21445.0,,17221.0,,23222.4
ГОВЯДИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,6592.332114,,6638.1,,6286.19,,6744.12,,6460.96,,7540.0,,6012.0,,5969.24
СВИНИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,5789.602734,,6000.76,,5521.52,,5777.66,,6552.71,,6142.0,,4911.0,,5639.16
КОНСЕРВЫ  МЯСНЫЕ ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ (за условную банку весом 350 г),,,,7296.613372,,7090.0,,7132.27,,7320.64,,7268.41,,7357.0,,7552.0,,7308.72
РЫБА ЖИВАЯ,,,,7195.212791999999,,6292.28,,6693.96,,7627.84,,6917.39,,7981.0,,7244.0,,7234.28
РЫБА МОРОЖЕНАЯ (тресковые и скумбриевые),,,,9461.217004,,7291.36,,9089.61,,8769.16,,9304.02,,11004.0,,10306.0,,10033.6
РЫБА МОРОЖЕНАЯ (филе и разделанная),,,,11869.455074,,11694.32,,8997.89,,9437.42,,10436.97,,18408.0,,10471.0,,10764.0
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ,,,,24117.395367999998,,23657.08,,27634.47,,26463.76,,25590.1,,18301.0,,28196.0,,20687.92
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ ДЕЛИКАТЕСНАЯ,,,,36519.701548000005,,34311.14,,29197.42,,29099.34,,33220.9,,37539.0,,41997.0,,51756.84
ИКРА ЛОСОСЕВЫХ РЫБ,,,,238927.76065400004,,211606.12,,247164.73,,258309.18,,229247.71,,260444.0,,229087.0,,225246.76
ПРОЧИЕ   ВИДЫ   ИКРЫ   РЫБ   (за условную банку весом      200 г),,,,5430.259528,,5754.8,,4834.66,,6187.2,,5144.24,,5491.0,,5283.0,,5057.4
СЕЛЬДЬ СОЛЕНАЯ,,,,8011.900280000001,,8418.02,,7272.47,,7288.46,,7517.13,,8815.0,,8314.0,,8019.36
"ПОЛУФАБРИКАТЫ РЫБНЫЕ (котлеты, палочки рыбные , фарш)",,,,12430.547982,,12193.84,,12637.63,,11972.66,,11803.89,,12120.0,,13849.0,,12395.6
