,,,,Беларусь,,Брестская,,Витебская,Гомельская,,Гродненская,г. Минск,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,
ГОВЯДИНА ПЕРВОЙ КАТЕГОРИИ,,,,36689.971069034465,,39200.0,,33103.0,39253.0,,19430.0,41177.0,,,43500.0
ПОЛУФАБРИКАТЫ МЯСНЫЕ ИЗ ГОВЯДИНЫ,,,,50295.895012,,39615.52,,42527.34,57861.28,,45575.93,69389.0,41308.0,,46978.84
СВИНИНА (кроме бескостного мяса),,,,35784.118226,,33469.4,,36938.56,41917.34,,29425.56,30795.0,42307.0,,35502.52
ПОЛУФАБРИКАТЫ МЯСНЫЕ  ИЗ СВИНИНЫ,,,,47719.998442,,38453.12,,46324.27,49922.34,,42104.9,57628.0,46158.0,,49140.76
ФАРШ МЯСНОЙ (без добавок),,,,32572.655398,,30889.48,,30558.74,33881.02,,35356.16,34965.0,30084.0,,31760.56
"КУРЫ (ЦЫПЛЯТА, ВКЛЮЧАЯ БРОЙЛЕРОВ)",,,,21335.83831,,21206.82,,21312.65,21258.08,,20469.3,21520.0,21846.0,,21505.72
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,27434.392079999998,,25753.6,,27032.08,26492.84,,21589.05,30316.0,29401.0,,29606.72
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,12081.431018000001,,13417.92,,11153.71,14729.02,,11317.69,6883.0,13620.0,,15407.68
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,2326.08985,,2004.16,,2192.33,2414.26,,1885.23,3054.0,2504.0,,1750.48
ПЕЛЬМЕНИ МЯСНЫЕ,,,,18603.540814,,17335.1,,11930.97,20164.32,,18339.75,22671.0,19424.0,,18039.04
САЛО,,,,37172.506496,,30772.58,,41302.61,39618.86,,32488.1,39371.0,36626.0,,39103.24
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,25619.809704,,23744.32,,25956.74,27728.48,,24653.08,26783.0,24141.0,,25779.8
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,18330.677988,,17966.06,,18890.24,19081.78,,14039.91,17973.0,22007.0,,17203.8
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА ,,,,14216.118534,,15713.76,,16859.34,14895.06,,12653.73,10420.0,16617.0,,13217.12
КОЛБАСА ПОЛУКОПЧЕНАЯ,,,,41430.012708,,35898.78,,39103.35,43300.74,,40095.85,45205.0,40979.0,,44217.8
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,70122.981046,,58104.1,,60308.75,71369.2,,63328.08,83612.0,77040.0,,69919.16
"ПАШТЕТ, ЗЕЛЬЦ",,,,10747.366821999998,,9891.8,,9650.37,10719.18,,9662.72,13769.0,10660.0,,9214.24
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,6919.0173700000005,,5839.74,,4960.79,9222.8,,6903.56,6020.0,7912.0,,7705.04
СОСИСКИ,,,,25684.352791999998,,25665.3,,25573.3,27110.26,,21005.94,28017.0,22735.0,,28451.44
"ВЕТЧИНА, БУЖЕНИНА, ОКОРОК",,,,38693.555404,,40957.36,,33156.01,39580.12,,38311.32,38530.0,35484.0,,45677.04
ГОВЯДИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,13165.705193014704,,11559.36,,,17788.16,,9699.59,11800.0,14308.0,,13338.88
СВИНИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,10001.69706,,11045.8,,7961.0,11771.0,,8439.95,8959.0,7000.0,,15812.0
КОНСЕРВЫ  МЯСНЫЕ ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ (за условную банку весом 350 г),,,,9338.144194000002,,8952.74,,9266.0,8970.6,,8573.51,10570.0,9632.0,,8694.48
РЫБА ЖИВАЯ,,,,17953.123546,,16126.06,,16084.04,18149.44,,13846.43,21185.0,19067.0,,19281.8
РЫБА МОРОЖЕНАЯ (тресковые и скумбриевые),,,,27420.603966,,21954.34,,23368.94,25430.12,,24034.32,33243.0,30614.0,,30984.96
РЫБА МОРОЖЕНАЯ (филе и разделанная),,,,30853.62506,,27422.38,,22693.68,24651.54,,27159.7,49456.0,25080.0,,32467.52
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ,,,,53372.05911599999,,56304.86,,67035.94,67407.58,,49146.95,42566.0,53115.0,,38384.48
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ ДЕЛИКАТЕСНАЯ,,,,102899.26309,,59934.58,,118205.75,70000.0,,114437.35,122607.0,120876.0,,116252.8
ИКРА ЛОСОСЕВЫХ РЫБ,,,,365886.971734,,317100.46,,348492.33,365772.28,,318787.77,499599.0,308801.0,,343777.92
ПРОЧИЕ   ВИДЫ   ИКРЫ   РЫБ   (за условную банку весом      200 г),,,,12721.289381999999,,14466.64,,11040.34,12479.54,,10070.76,15573.0,11894.0,,11576.36
СЕЛЬДЬ СОЛЕНАЯ,,,,22616.3011,,23472.06,,21888.06,22261.94,,23046.05,22678.0,22248.0,,22760.68
"ПОЛУФАБРИКАТЫ РЫБНЫЕ (котлеты, палочки рыбные , фарш)",,,,22510.1873,,21664.04,,23660.92,21801.68,,22303.98,24076.0,20524.0,,23384.84
КОНСЕРВЫ РЫБНЫЕ (за условную банку весом 350г),,,,9397.885498000001,,8648.2,,8216.09,9516.7,,8768.26,11666.0,9426.0,,8301.08
КОНСЕРВЫ РЫБНЫЕ ДЕЛИКАТЕСНЫЕ (шпроты и лосось) - за условную банку весом 350 г,,,,20322.795046,,19800.76,,20476.42,21942.82,,17228.17,20535.0,21117.0,,20326.72
ПРЕСЕРВЫ РЫБНЫЕ (филе сельди в различных соусах и заливках) - за условную банку весом 250 г,,,,8880.535112000001,,8641.24,,8317.86,9034.8,,9847.52,8946.0,8137.0,,9526.2
"МОЛОКО ЦЕЛЬНОЕ ПАСТЕРИЗОВАННОЕ, СЫРОЕ",,,,2565.343854,,2281.4,,2169.37,3384.7,,1940.51,2687.0,2740.0,,2475.92
КЕФИР,,,,2513.191362,,2269.78,,2463.76,3029.6,,2094.66,2746.0,2497.0,,2240.24
СМЕТАНА ,,,,10650.498106000001,,9635.2,,9627.48,11707.66,,8978.2,13959.0,9448.0,,9352.08
