,,,,Беларусь,,Брестская,,Витебская,Гомельская,,Гродненская,г. Минск,Минская,,Могилевская
ТВОРОГ ЖИРНЫЙ,,,,13661.928625999999,,12810.9,,11131.19,10828.6,,15325.03,17597.0,12671.0,,14379.24
ТВОРОГ НЕЖИРНЫЙ,,,,15639.301626782977,,15436.98,,18502.27,,,15370.87,17584.0,12765.0,,13408.96
ЙОГУРТ (за 250 г),,,,2773.942904,,3094.52,,2374.18,3117.92,,2890.09,3208.0,2255.0,,2191.8
СЫРОК ГЛАЗИРОВАННЫЙ  (за 50 г),,,,1731.9269279999999,,1527.9,,1465.93,2173.74,,1614.59,1906.0,1698.0,,1577.2
"ТВОРОЖНЫЙ ДЕСЕРТ, КРЕМ, ПУДИНГ  (за 200 г)",,,,3775.107812,,3862.92,,3869.85,3953.92,,3923.68,4163.0,2953.0,,3591.92
СУХИЕ МОЛОЧНЫЕ СМЕСИ  ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ,,,,26030.028268000002,,25114.96,,26444.08,18286.24,,27744.34,35790.0,25211.0,,19925.2
МОЛОКО СГУЩЕНОЕ С САХАРОМ (за условную банку весом 400 г),,,,5907.596604,,5710.34,,5395.25,6554.98,,5296.97,6098.0,6383.0,,5544.36
МОРОЖЕНОЕ,,,,27868.518301999997,,27965.58,,25001.51,29732.44,,28862.89,29571.0,27983.0,,24533.08
СЫР  ТВЕРДЫЙ,,,,29359.979281999997,,26675.68,,27950.95,32602.86,,28444.61,34279.0,26280.0,,26747.96
СЫР МЯГКИЙ ,,,,22845.095830000002,,19147.48,,21504.37,24434.26,,22398.99,27940.0,20988.0,,21287.32
СЫР ПЛАВЛЕНЫЙ,,,,23879.146366,,22967.46,,23865.2,22621.16,,24269.02,25095.0,24350.0,,23682.84
МАСЛО ЖИВОТНОЕ,,,,30829.92153,,25840.7,,26626.73,43775.2,,31747.48,29185.0,30011.0,,27828.44
МАСЛО РАСТИТЕЛЬНОЕ ,,,,20428.641726,,19686.52,,21980.93,19628.66,,19319.96,20280.0,21168.0,,21060.44
МАРГАРИН,,,,15397.06953,,13794.56,,14890.09,14852.86,,13790.32,16552.0,17535.0,,15591.04
ЯЙЦА  КУРИНЫЕ,,,,6671.083275999999,,6585.88,,5702.16,6718.96,,6694.36,7025.0,7409.0,,6231.0
САХАР-ПЕСОК,,,,5859.23761,,5740.26,,5754.82,5768.0,,6000.0,6000.0,5875.0,,5854.44
ЧАЙ ЧЕРНЫЙ БАЙХОВЫЙ,,,,133277.37920999998,,134705.38,,112686.55,104295.2,,107156.59,153302.0,177187.0,,127660.44
КОФЕ НАТУРАЛЬНЫЙ МОЛОТЫЙ,,,,139853.23747199998,,119670.54,,163860.41,132060.42,,157531.35,134050.0,140273.0,,140840.96
КОФЕ РАСТВОРИМЫЙ,,,,287706.687406,,285368.88,,273869.57,271623.02,,276867.41,267411.0,342509.0,,300935.76
МЁД  НАТУРАЛЬНЫЙ,,,,49708.23976,,45787.68,,45554.37,56724.8,,40145.29,65523.0,39597.0,,46100.68
СОЛЬ  ПОВАРЕННАЯ  ПИЩЕВАЯ,,,,1258.6919699999999,,1338.2,,1194.33,1465.66,,994.46,1315.0,987.0,,1473.96
МУКА ПШЕНИЧНАЯ ,,,,2594.507028,,2429.28,,2534.27,2522.88,,2521.25,2886.0,2553.0,,2604.2
ХЛЕБ РЖАНОЙ,,,,3932.0804979941904,,,,,2855.08,,4539.02,4902.0,3805.0,,3292.0
ХЛЕБ РЖАНО-ПШЕНИЧНЫЙ,,,,3351.540662,,3079.72,,3116.51,2686.5,,2705.69,4935.0,2587.0,,3805.92
"ХЛЕБ, ИЗДЕЛИЯ БУЛОЧНЫЕ (БАТОН) ИЗ  МУКИ ПШЕНИЧНОЙ ВЫСШЕГО СОРТА",,,,5562.944906,,5716.24,,4685.84,4794.42,,4794.96,7264.0,5546.0,,5282.2
"ХЛЕБ, ИЗДЕЛИЯ БУЛОЧНЫЕ (БАТОН) ИЗ  МУКИ ПШЕНИЧНОЙ ПЕРВОГО СОРТА",,,,3531.7829500000003,,3488.9,,4084.0,3552.0,,4174.0,3243.0,3017.0,,3464.0
ИЗДЕЛИЯ БУЛОЧНЫЕ СДОБНЫЕ ИЗ МУКИ  ПШЕНИЧНОЙ ВЫСШЕГО СОРТА,,,,8465.096771999999,,9209.48,,5720.61,10397.32,,7155.93,7454.0,10337.0,,8602.84
"СУХАРИ, СУШКИ, БАРАНКИ",,,,14649.412414,,13710.8,,13650.74,16724.58,,12665.96,13738.0,16739.0,,14999.68
РИС ШЛИФОВАННЫЙ И ПОЛИРОВАННЫЙ,,,,11361.255936,,10780.4,,10744.35,11639.68,,11183.03,12426.0,11014.0,,11269.68
КРУПА МАННАЯ,,,,5926.0881819999995,,5962.04,,7644.55,8736.78,,3790.98,5287.0,3230.0,,6913.16
КРУПА ПШЕННАЯ,,,,15150.444309999999,,13391.32,,14555.96,16345.54,,14355.07,15136.0,15374.0,,17010.4
КРУПА ГРЕЧНЕВАЯ,,,,25293.441376000002,,26227.88,,24491.34,27711.36,,23901.68,25092.0,23809.0,,25445.48
"ОВСЯНЫЕ ХЛОПЬЯ ""ГЕРКУЛЕС""",,,,6357.709296000001,,5967.36,,6868.86,6308.76,,6196.46,5631.0,6980.0,,6916.8
ХЛОПЬЯ КУКУРУЗНЫЕ ,,,,12545.26893727162,,12409.02,,13571.11,11810.28,,12569.73,,,,12509.56
КРУПА ПЕРЛОВАЯ,,,,4365.577594,,3801.22,,4779.52,5693.44,,3540.18,4704.0,3959.0,,3642.0
КАШИ ДЛЯ ДЕТСКОГО И ДИЕТИЧЕСКОГО ПИТАНИЯ,,,,25480.355188,,19925.72,,27237.9,20960.76,,24723.17,38499.0,20922.0,,21364.4
"ГОРОХ, ФАСОЛЬ",,,,9240.941856,,7380.76,,7633.37,9239.0,,8114.86,11791.0,11303.0,,7573.48
МЮСЛИ И ПРОЧИЕ СУХИЕ ЗАВТРАКИ ИЗ РАЗЛИЧНЫХ КРУП,,,,27798.976466,,19417.14,,28962.5,25947.52,,23315.72,37081.0,19768.0,,38895.08
"МАКАРОНЫ, РОЖКИ",,,,6650.989565999999,,7217.34,,4812.89,7085.4,,6410.48,7528.0,6460.0,,6432.24
"ВЕРМИШЕЛЬ, ЛАПША",,,,7029.259864000001,,7602.64,,5830.83,7005.52,,6567.87,7604.0,7104.0,,7063.88
ВОДКА ,,,,27840.15725,,28100.22,,27323.15,29677.36,,27606.28,27252.0,27998.0,,26681.32
НАСТОЙКИ ГОРЬКИЕ КРЕПКИЕ,,,,32414.361848,,28151.0,,31706.33,35043.2,,31670.52,33595.0,33064.0,,33108.92
КОНЬЯК,,,,104683.19742600001,,74665.12,,116748.1,92582.42,,76965.76,178891.0,72837.0,,89357.12
ВИНО ВИНОГРАДНОЕ КРЕПЛЕНОЕ,,,,27930.517332,,25178.16,,28347.01,24029.64,,22540.22,38921.0,26203.0,,25185.16
ВИНО ВИНОГРАДНОЕ СТОЛОВОЕ,,,,26341.224038,,22171.5,,26147.62,24311.68,,20831.68,34061.0,24584.0,,29281.88
ПИВО,,,,6834.965069999999,,6845.82,,5918.29,5639.16,,7159.45,7764.0,6966.0,,7378.52
ВИНО ИГРИСТОЕ  (ШАМПАНСКОЕ),,,,23973.128396,,24384.06,,24075.11,23060.86,,23984.87,24485.0,23614.0,,24128.96
ВАФЛИ,,,,25109.164642,,23748.7,,25985.9,27152.92,,24943.62,25843.0,22636.0,,25316.76
ПРЯНИКИ,,,,16252.552422,,13225.72,,15970.95,14283.98,,15117.05,19542.0,18763.0,,15361.48
ПЕЧЕНЬЕ ,,,,15126.496626,,14230.12,,16555.23,15444.26,,14275.66,15663.0,14760.0,,14656.64
ТОРТ,,,,37353.462208,,33162.78,,36119.37,40119.98,,36807.04,40899.0,31149.0,,43106.64
ПИРОЖНЫЕ (за 1 шт. весом 100 г),,,,3414.453346,,3358.68,,3335.09,3844.82,,2972.19,3888.0,2891.0,,3326.28
ИРИС,,,,22491.78802,,16852.86,,27270.39,21342.86,,17440.47,25167.0,22024.0,,26909.24
" КОНФЕТЫ ""КАРАМЕЛЬ""",,,,21809.688374,,20826.66,,23797.42,20662.24,,19690.62,22714.0,21688.0,,23057.24
КОНФЕТЫ ГЛАЗИРОВАННЫЕ ШОКОЛАДНОЙ ГЛАЗУРЬЮ,,,,41978.833978,,36781.92,,42528.76,45441.38,,39024.69,44546.0,41770.0,,42306.52
"КОНФЕТЫ ГЛАЗИРОВАННЫЕ ЖИРОВОЙ   ГЛАЗУРЬЮ (типа ""Лимонные"", ""Осенние"")",,,,22075.916911999997,,22953.56,,21942.2,26067.92,,21546.86,20367.0,21744.0,,19665.6
ШОКОЛАД,,,,85439.177038,,76020.2,,82706.46,80955.3,,64622.05,112157.0,89211.0,,77082.36
ХАЛВА,,,,20734.158177999998,,19611.2,,19360.28,20355.18,,18182.81,26360.0,18805.0,,19772.08
МАРМЕЛАД,,,,15341.130454000002,,14529.04,,14050.34,16132.3,,14853.2,14808.0,14690.0,,19010.6
ЗЕФИР,,,,24150.76691,,27656.72,,25270.12,19486.22,,22071.31,27088.0,23734.0,,22189.08
КАКАО - ПОРОШОК (за 200 г),,,,19446.038586,,18627.44,,16086.0,17776.3,,21887.17,22783.0,22320.0,,14743.0
КАРТОФЕЛЬ,,,,1901.3042219999998,,1581.2,,2382.41,1882.18,,1716.42,1984.0,2085.0,,1598.52
ЧИПСЫ  КАРТОФЕЛЬНЫЕ (за 100 г),,,,8994.227866000001,,8588.92,,10061.9,7644.46,,9731.27,9781.0,8971.0,,8076.44
КАПУСТА  БЕЛОКОЧАННАЯ  СВЕЖАЯ,,,,1121.134438,,1125.2,,1409.02,1045.14,,930.2,1064.0,1141.0,,1149.24
ЛУК РЕПЧАТЫЙ,,,,3469.004458,,3312.68,,4241.59,3227.34,,3235.95,3336.0,3728.0,,3233.28
СВЕКЛА,,,,1956.744672,,1825.6,,2545.66,1923.2,,1924.52,1871.0,2055.0,,1554.2
МОРКОВЬ,,,,2805.3828619999995,,2488.54,,3467.69,2758.8,,2819.44,2726.0,2995.0,,2400.48
ПОМИДОРЫ СВЕЖИЕ,,,,7218.044518,,6586.06,,7012.31,6946.36,,8075.09,7013.0,8023.0,,7075.64
ОГУРЦЫ СВЕЖИЕ,,,,7309.643912,,6426.26,,7213.39,6462.86,,7584.42,7739.0,8502.0,,7124.4
ЧЕСНОК,,,,27864.362736000003,,27900.7,,29531.0,26069.9,,27786.91,29721.0,26153.0,,27487.04
ПЕРЕЦ СЛАДКИЙ,,,,12138.303421999999,,13365.0,,19060.03,8221.78,,19323.21,8938.0,9374.0,,9870.6
ОВОЩИ ЗАМОРОЖЕННЫЕ,,,,20796.689616000003,,21671.28,,16494.61,22394.16,,19625.04,24536.0,19472.0,,19000.88
ОВОЩИ КОНСЕРВИРОВАННЫЕ,,,,9496.730748,,8726.22,,10397.61,8986.26,,11309.52,8834.0,10292.0,,8446.72
СОУС ТОМАТНЫЙ,,,,12378.014956,,11184.4,,12577.69,11973.04,,11307.94,13513.0,12816.0,,12787.16
ЯБЛОКИ,,,,9077.047392,,6223.0,,10345.8,8941.76,,7508.12,9940.0,10583.0,,9611.92
"ПЛОДЫ ЦИТРУСОВЫЕ  (апельсины, лимоны, мандарины)",,,,16175.204252,,15094.24,,16424.81,16381.32,,18905.07,15714.0,15802.0,,15593.68
ВИНОГРАД,,,,18476.452748,,19100.34,,21664.85,17322.22,,20539.37,17418.0,15960.0,,18638.64
БАНАНЫ,,,,9566.830716,,9235.2,,8769.25,9735.48,,9764.54,9691.0,9907.0,,9822.44
СУХОФРУКТЫ,,,,38873.51974,,29828.98,,36298.99,31302.7,,46001.66,46405.0,43181.0,,38092.24
ОРЕХИ,,,,54848.179582,,37342.64,,68552.96,52622.58,,29004.79,72358.0,57363.0,,57400.84
ФРУКТЫ КОНСЕРВИРОВАННЫЕ,,,,21178.46123,,17071.22,,25423.04,21713.36,,19280.27,28040.0,15926.0,,18116.64
КОНСЕРВЫ  ФРУКТОВЫЕ  ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО  ПИТАНИЯ,,,,16793.171722,,13982.52,,16293.48,12999.62,,13401.67,23271.0,18222.0,,16532.92
"СОК, НЕКТАР ФРУКТОВЫЙ,  ЯГОДНЫЙ",,,,6314.959264,,5863.94,,6199.66,6378.3,,6293.99,7133.0,5960.0,,6046.48
НАПИТКИ БЕЗАЛКОГОЛЬНЫЕ ,,,,3388.8579040000004,,3171.26,,2905.2,3261.3,,3588.05,3861.0,3664.0,,3033.92
ВОДА МИНЕРАЛЬНАЯ ,,,,2206.415296,,2108.52,,2340.16,2266.76,,2377.51,2011.0,2249.0,,2207.2
"ОБЕД В СТОЛОВОЙ (для 1 человека, из 4-х блюд)",,,,8093.779176,,9690.48,,8823.59,7181.4,,6886.11,7690.0,8021.0,,8385.12
"ОБЕД В РЕСТОРАНЕ    (заказной, для 1 человека,                  из   4-х блюд) ",,,,26278.72261,,26553.98,,26883.86,36822.6,,19811.37,18886.0,18243.0,,40553.24
"КОФЕ  В   ОРГАНИЗАЦИЯХ   БЫСТРОГО  ОБСЛУЖИВАНИЯ  (за 0,2л)",,,,6903.654554000001,,5240.38,,6551.54,6005.64,,3596.03,13070.0,5473.0,,5352.24
"СОК   В  ОРГАНИЗАЦИЯХ   БЫСТРОГО  ОБСЛУЖИВАНИЯ   (за 0,2л)",,,,2057.798402,,1713.02,,1604.0,2441.84,,1645.77,2854.0,2018.0,,1621.84
"СИГАРЕТЫ  С  ФИЛЬТРОМ   ОТЕЧЕСТВЕННЫЕ                      (за 1 пачку, 20 штук)",,,,3049.938956,,2640.82,,2780.33,3347.58,,2613.82,4169.0,2603.0,,2613.28
"СИГАРЕТЫ  БЕЗ  ФИЛЬТРА   ОТЕЧЕСТВЕННЫЕ                       (за 1 пачку, 20 штук)",,,,1500.0,,1500.0,,1500.0,1500.0,,1500.0,1500.0,1500.0,,1500.0
"СИГАРЕТЫ   С   ФИЛЬТРОМ    ИМПОРТНЫЕ                                 (за 1 пачку, 20 штук)",,,,9980.590400000001,,7625.74,,9558.04,10004.7,,9976.67,11191.0,10527.0,,10700.0
МАЙОНЕЗ,,,,19012.696812000002,,18187.24,,18981.1,16326.68,,20987.17,19682.0,18541.0,,21197.6
УКСУС ,,,,6630.199548,,6707.62,,6786.09,6881.54,,6663.46,6680.0,5819.0,,6962.64
ГОРЧИЦА ПИЩЕВАЯ (за 100 г),,,,2375.0082319999997,,2145.98,,2750.05,2394.62,,2244.43,2454.0,2238.0,,2393.72
СОДА ПИЩЕВАЯ,,,,12872.905664,,12208.78,,13405.42,13656.54,,12789.92,12214.0,12892.0,,13255.44
ЖЕВАТЕЛЬНАЯ  РЕЗИНКА  (за упаковку 10 штук),,,,3910.80238,,3756.18,,3849.03,3880.7,,3724.96,4301.0,3727.0,,3983.32
НЕПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,
ТКАНЬ ХЛОПЧАТОБУМАЖНАЯ  ПЛАТЕЛЬНАЯ (за 1 м)  ,,,,10696.912148,,9113.0,,9870.13,10076.36,,10211.57,11271.0,11866.0,,12463.96
ТКАНЬ ШЕРСТЯНАЯ И ПОЛУШЕРСТЯНАЯ (за 1 м),,,,36086.195353999996,,31712.06,,40275.51,33436.16,,29516.89,49229.0,24321.0,,40108.72
ТКАНЬ  ЛЬНЯНАЯ  (за 1 м),,,,18166.229612,,15353.14,,19705.36,22569.54,,15611.63,18205.0,19864.0,,14468.12
ТКАНЬ ШЕЛКОВАЯ  (за 1 м),,,,23323.796432,,13450.56,,17907.37,23296.48,,19828.41,35571.0,24077.0,,23967.08
ПРЯЖА ШЕРСТЯНАЯ ИЛИ ПОЛУШЕРСТЯНАЯ (за 100 г),,,,22298.639754,,20860.9,,19104.61,17849.12,,14619.28,34155.0,21702.0,,21971.8
КУРТКА ЗИМНЯЯ МУЖСКАЯ  ,,,,570418.2615700001,,687600.0,,464470.0,446080.46,,475481.49,868359.0,319000.0,,622530.08
ПАЛЬТО ДЕМИСЕЗОННОЕ МУЖСКОЕ,,,,477680.37831999996,,420112.12,,464326.78,667666.72,,491477.01,533243.0,234000.0,,526051.4
КУРТКА   ИЗ ПЛАЩЕВОЙ ТКАНИ МУЖСКАЯ  ,,,,256111.84599799998,,212132.1,,269881.07,214901.92,,200832.19,348849.0,257859.0,,247287.4
КОСТЮМ МУЖСКОЙ,,,,472037.39615399996,,377059.32,,412296.9,381188.34,,459172.45,629659.0,523132.0,,461932.88
ДЖИНСЫ МУЖСКИЕ,,,,203095.35591,,196491.2,,163024.76,166325.86,,204260.61,228786.0,254393.0,,194096.72
БРЮКИ МУЖСКИЕ     ,,,,146001.15522000002,,107266.04,,148338.52,108879.16,,132689.57,203828.0,156495.0,,144117.8
СОРОЧКА МУЖСКАЯ,,,,105378.908944,,78753.04,,92214.14,70832.08,,85070.48,180156.0,108864.0,,89527.6
КОСТЮМ СПОРТИВНЫЙ МУЖСКОЙ ,,,,208368.481386,,177324.68,,157764.21,155023.9,,175581.72,305306.0,275234.0,,157681.12
ШАПКА МЕХОВАЯ МУЖСКАЯ,,,,885255.4189980008,,978952.0,,786605.0,1023589.7,,206209.28,1114295.0,,,974290.0
"СВИТЕР, ДЖЕМПЕР  ИЗ ШЕРСТЯНОЙ ИЛИ ПОЛУШЕРСТЯНОЙ ПРЯЖИ МУЖСКОЙ",,,,132684.828988,,101949.72,,120427.57,103353.32,,117821.09,173671.0,171790.0,,119345.6
"СВИТЕР, ДЖЕМПЕР ИЗ СИНТЕТИЧЕСКОЙ ПРЯЖИ МУЖСКОЙ",,,,77962.54066000001,,81115.24,,78737.97,65093.68,,56971.18,81353.0,113197.0,,59072.44
МАЙКА МУЖСКАЯ,,,,17893.487338,,17310.86,,19268.14,15271.08,,18916.89,16468.0,21109.0,,17760.08
ТРУСЫ МУЖСКИЕ,,,,19912.649234,,15627.5,,18814.79,14665.04,,18908.61,29092.0,22146.0,,16207.12
ФУТБОЛКА ИЗ ХЛОПЧАТОБУМАЖНОГО ИЛИ СМЕСОВОГО ТРИКОТАЖНОГО ПОЛОТНА МУЖСКАЯ,,,,48314.871536,,43043.06,,35458.09,40742.06,,32799.53,76290.0,49753.0,,45834.68
НОСКИ ИЗ ХЛОПЧАТОБУМАЖНОЙ И СМЕСОВОЙ ПРЯЖИ МУЖСКИЕ ,,,,7996.039962000001,,7234.52,,6370.05,6136.06,,8488.81,11363.0,7883.0,,7258.56
НОСКИ ИЗ ПОЛУШЕРСТЯНОЙ ПРЯЖИ МУЖСКИЕ ,,,,7293.417589999999,,8282.84,,7036.38,7219.22,,6456.03,8458.0,5790.0,,7230.92
ДУБЛЕНКА МУЖСКАЯ,,,,2929306.88686346,,3606667.0,,2905200.0,2506667.0,,2357580.0,3093333.0,,,2930000.0
ШЛЯПА ИЛИ КЕПКА  МУЖСКАЯ,,,,51184.038517999994,,55520.8,,46670.73,53286.06,,44598.43,53891.0,42809.0,,60725.52
ПИДЖАК  ИЗ ПОЛУШЕРСТЯНОЙ ТКАНИ МУЖСКОЙ ,,,,231895.653944,,206242.14,,184011.34,201532.3,,189440.81,336864.0,216478.0,,243886.76
ПАЛЬТО ЗИМНЕЕ ЖЕНСКОЕ,,,,848318.0484859999,,720281.4,,1127107.4,815849.62,,785779.83,754260.0,716480.0,,1131915.84
ДУБЛЕНКА ЖЕНСКАЯ,,,,3436397.611346584,,3066745.0,,3686832.0,2730000.0,,1374097.01,4607749.0,,,4610000.0
ПАЛЬТО ДЕМИСЕЗОННОЕ ЖЕНСКОЕ,,,,620943.942592,,684044.82,,674439.61,595742.78,,523324.05,726022.0,509067.0,,577623.6
КУРТКА ЖЕНСКАЯ,,,,358264.47336199996,,260800.84,,270885.84,334328.82,,396764.17,510656.0,336265.0,,347795.64
КОСТЮМ  ИЗ ШЕРСТЯНОЙ ИЛИ ПОЛУШЕРСТЯНОЙ ТКАНИ ЖЕНСКИЙ ,,,,394622.585914,,171074.44,,169245.67,284158.3,,167857.97,1125000.0,152570.0,,389639.28
КОСТЮМ ВЯЗАНЫЙ ЖЕНСКИЙ ,,,,175806.18457199997,,165811.3,,135547.14,233089.58,,214044.6,194206.0,88340.0,,203774.56
ПИДЖАК ЖЕНСКИЙ,,,,170990.215542,,175701.76,,139258.14,166046.54,,135319.46,234450.0,152206.0,,159910.96
ЮБКА ЖЕНСКАЯ ,,,,119330.54334199999,,116513.64,,120748.96,105986.62,,120704.71,130918.0,118957.0,,118589.92
ДЖИНСЫ ЖЕНСКИЕ,,,,219874.060842,,190283.44,,144878.96,171352.94,,194875.23,355750.0,242191.0,,173273.92
БЛУЗКА ЖЕНСКАЯ,,,,138363.074758,,117135.42,,139214.18,127899.2,,91412.27,188316.0,135147.0,,144610.92
ПЛАТЬЕ ИЗ ПОЛУШЕРСТЯНОЙ ТКАНИ ЖЕНСКОЕ,,,,132719.434597201,,167650.0,,163380.52,151494.02,,110141.04,98993.0,,,107536.0
ХАЛАТ ДОМАШНИЙ ЖЕНСКИЙ,,,,97973.0275,,81517.84,,83742.9,63059.92,,89417.69,165759.0,81656.0,,96747.32
