,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА  (кроме бескостного мяса),,,,7.77,,9.5,,6.87,,7.08,,6.41,,8.35,,7.77,,7.31
ГОВЯДИНА БЕСКОСТНАЯ,,,,12.22,,10.55,,12.61,,11.01,,11.11,,13.68,,13.56,,10.71
СВИНИНА (кроме бескостного мяса),,,,6.24,,6.35,,6.1,,5.92,,6.06,,6.24,,6.5,,6.55
СВИНИНА БЕСКОСТНАЯ,,,,9.52,,9.28,,9.31,,10.05,,9.77,,9.33,,9.19,,10.03
ФАРШ МЯСНОЙ ,,,,7.3,,6.75,,7.29,,7.25,,7.79,,7.66,,6.95,,7.05
"КУРЫ (ЦЫПЛЯТА, ВКЛЮЧАЯ БРОЙЛЕРОВ)",,,,3.31,,3.15,,3.17,,3.34,,3.41,,3.46,,3.25,,3.19
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,4.35,,4.18,,4.52,,4.12,,4.29,,4.56,,4.43,,4.07
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,3.53,,3.13,,3.51,,3.52,,3.37,,3.88,,3.23,,3.63
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,0.66,,0.62,,0.64,,0.67,,0.66,,0.68,,0.64,,0.65
ПЕЛЬМЕНИ МЯСНЫЕ,,,,5.73,,5.08,,5.18,,5.43,,5.28,,6.79,,5.61,,5.24
"САЛО, ГРУДИНКА",,,,10.16,,8.52,,9.62,,9.42,,9.92,,11.36,,10.68,,10.0
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,6.85,,6.58,,6.48,,6.97,,7.15,,6.98,,6.72,,7.0
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,5.34,,4.75,,4.9,,3.95,,5.08,,6.8,,5.06,,5.01
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА И БЕССОРТОВАЯ ,,,,4.24,,4.1,,3.84,,3.81,,3.92,,4.91,,4.48,,3.59
"КОЛБАСА ПОЛУКОПЧЕНАЯ, ВАРЕНО-КОПЧЕНАЯ",,,,9.85,,9.38,,9.87,,9.67,,9.3,,10.57,,9.64,,9.52
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,19.38,,18.05,,19.34,,19.05,,18.73,,21.24,,18.37,,18.38
"ПАШТЕТ, ЗЕЛЬЦ, САЛЬТИСОН",,,,4.31,,3.61,,4.81,,4.12,,3.69,,4.62,,4.57,,4.25
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,2.59,,2.57,,2.72,,2.83,,2.25,,2.61,,2.54,,2.49
"СОСИСКИ, САРДЕЛЬКИ",,,,7.15,,6.54,,6.88,,6.61,,6.61,,7.92,,6.97,,7.55
"ИЗДЕЛИЯ ИЗ ГОВЯДИНЫ, СВИНИНЫ ВАРЕНЫЕ, ВАРЕНО-КОПЧЕНЫЕ: ВЕТЧИНА, БУЖЕНИНА, ОКОРОК И ПРОЧИЕ",,,,11.05,,9.66,,12.57,,11.16,,11.06,,11.5,,9.89,,11.21
ГОВЯДИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за 1 усл. банку весом 350 г),,,,3.6,,3.62,,3.54,,3.59,,3.68,,3.66,,3.7,,3.31
СВИНИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за 1 усл. банку весом 350 г),,,,3.63,,3.46,,3.54,,3.79,,3.69,,3.76,,3.47,,3.55
КОНСЕРВЫ  МЯСНЫЕ  ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ (за 1 усл. банку весом 350 г),,,,7.66,,7.48,,7.6,,7.38,,6.62,,8.31,,7.27,,8.15
РЫБА ЖИВАЯ,,,,5.39,,4.91,,5.69,,5.75,,5.73,,5.37,,5.27,,4.99
РЫБА МОРОЖЕНАЯ НЕРАЗДЕЛАННАЯ (тресковые и скумбриевые),,,,4.45,,4.5,,4.18,,4.18,,4.15,,4.84,,4.31,,4.5
РЫБА МОРОЖЕНАЯ (филе и разделанная),,,,6.92,,6.35,,7.45,,6.72,,6.83,,7.23,,6.99,,6.37
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ (кроме сельди и рыбы деликатесной),,,,10.93,,11.47,,9.9,,11.2,,11.67,,10.84,,10.26,,11.48
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ ДЕЛИКАТЕСНАЯ,,,,41.26,,40.33,,36.06,,40.33,,43.2,,41.03,,44.04,,44.52
ИКРА ЛОСОСЕВЫХ РЫБ,,,,127.01,,119.41,,154.18,,132.22,,119.16,,124.98,,121.8,,118.76
ПРОЧИЕ   ВИДЫ   ИКРЫ   РЫБ   (за 1 усл. банку весом  200 г),,,,3.65,,3.95,,3.18,,4.16,,3.69,,3.56,,3.58,,3.41
СЕЛЬДЬ СОЛЕНАЯ,,,,5.52,,5.74,,5.6,,5.36,,5.13,,5.81,,5.16,,5.42
"ПОЛУФАБРИКАТЫ РЫБНЫЕ (котлеты, палочки рыбные , фарш)",,,,7.09,,5.34,,7.28,,7.04,,6.97,,7.76,,7.01,,7.45
КОНСЕРВЫ РЫБНЫЕ (кроме деликатесных) (за 1 усл. банку весом 350г),,,,3.08,,3.26,,3.05,,2.79,,2.68,,3.59,,2.97,,2.44
КОНСЕРВЫ РЫБНЫЕ  ДЕЛИКАТЕСНЫЕ ( шпроты и лосось) (за  1 усл. банку весом 350 г),,,,5.09,,5.17,,4.87,,4.84,,5.0,,5.45,,5.04,,4.72
ПРЕСЕРВЫ РЫБНЫЕ (филе сельди в различных соусах и заливках) (за 1 усл. банку весом 250 г),,,,2.58,,2.65,,2.46,,2.55,,2.52,,2.61,,2.6,,2.58
,,,,,,,,,,,,,,,,,,
"* - на уровень средней цены, кроме ценовых факторов, оказывают влияние также структурные сдвиги, среди  которых особо следует  ",,,,,,,,,,,,,,,,,,
"выделить многообразные ассортиментные изменения: появление новых товаров, исчезновение старых, изменение  доли  отдельных",,,,,,,,,,,,,,,,,,
"товаров  с  различным уровнем  цен,  территориальные  сдвиги  в  размещении товаров с  региональной  дифференциацией  цен,  ",,,,,,,,,,,,,,,,,,
сезонные  колебания цен и прочее.  Поэтому средние цены не всегда могут быть использованы для характеристики динамики цен.,,,,,,,,,,,,,,,,,,
** - с января 2014 года расчет средних цен производится по формуле средней геометрической величины,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"МОЛОКО ЦЕЛЬНОЕ ПАСТЕРИЗОВАННОЕ, СТЕРИЛИЗОВАННОЕ",,,,1.3,,1.27,,1.22,,1.27,,1.28,,1.24,,1.38,,1.53
КЕФИР (ПРОДУКТ КЕФИРНЫЙ),,,,1.31,,1.28,,1.27,,1.22,,1.33,,1.33,,1.36,,1.32
СМЕТАНА ,,,,4.65,,4.65,,4.67,,4.2,,4.7,,4.88,,4.59,,4.59
ТВОРОГ ЖИРНЫЙ,,,,6.04,,5.8,,6.04,,6.12,,5.71,,6.24,,5.96,,6.09
ТВОРОГ НЕЖИРНЫЙ,,,,5.44,,5.48,,5.43,,5.28,,5.34,,5.67,,5.1,,5.53
ЙОГУРТ (за 250 г),,,,1.19,,1.08,,1.18,,1.18,,1.15,,1.3,,1.17,,1.1
СЫРОК ГЛАЗИРОВАННЫЙ  (за 50 г),,,,0.62,,0.57,,0.67,,0.61,,0.59,,0.66,,0.59,,0.61
"ТВОРОЖНЫЙ ДЕСЕРТ, КРЕМ, ПУДИНГ, ПАСТА  (за 200 г)",,,,1.33,,1.36,,1.38,,1.31,,1.33,,1.26,,1.23,,1.62
"ПОЛУФАБРИКАТЫ ИЗ ТВОРОГА (вареники, блинчики)",,,,6.37,,5.92,,6.34,,6.27,,6.08,,6.72,,6.29,,6.53
СУХИЕ МОЛОЧНЫЕ СМЕСИ  ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ,,,,15.65,,18.7,,15.57,,15.22,,15.15,,13.57,,17.4,,16.45
МОЛОКО СГУЩЕНОЕ С САХАРОМ (за 1 усл. банку весом 400 г),,,,2.3,,2.17,,2.4,,2.2,,2.29,,2.29,,2.38,,2.43
МОРОЖЕНОЕ,,,,12.84,,12.49,,12.03,,13.7,,12.67,,12.66,,13.58,,12.68
СЫР  ТВЕРДЫЙ,,,,12.84,,12.1,,12.41,,13.69,,12.13,,12.78,,13.68,,12.88
СЫР МЯГКИЙ ,,,,11.71,,9.99,,11.9,,9.49,,9.3,,13.8,,12.53,,12.15
СЫР ПЛАВЛЕНЫЙ,,,,10.18,,9.4,,10.32,,8.61,,8.23,,11.87,,11.11,,9.12
СЫР РАССОЛЬНЫЙ ,,,,11.67,,12.93,,12.16,,10.64,,10.41,,11.34,,12.22,,12.41
МАСЛО ЖИВОТНОЕ,,,,14.04,,13.03,,13.96,,14.59,,13.92,,14.11,,14.08,,14.54
МАСЛО РАСТИТЕЛЬНОЕ (кроме оливкового),,,,2.82,,2.73,,2.89,,2.82,,2.85,,2.76,,2.85,,2.93
МАСЛО ОЛИВКОВОЕ (за 1 л),,,,23.65,,24.45,,23.19,,22.7,,20.92,,24.12,,24.82,,24.33
МАРГАРИН,,,,4.93,,4.83,,4.99,,4.65,,4.88,,5.16,,4.92,,4.77
ЖИР ЖИВОТНЫЙ,,,,2.11,,2.24,,1.32,,1.25,,2.4,,3.0,,1.8,,1.73
ЯЙЦА  КУРИНЫЕ (за 10 шт.),,,,1.93,,1.9,,1.87,,1.72,,1.88,,2.16,,1.9,,1.82
САХАР-ПЕСОК,,,,1.53,,1.53,,1.53,,1.51,,1.52,,1.54,,1.52,,1.54
ЧАЙ ЧЕРНЫЙ БАЙХОВЫЙ,,,,34.91,,34.24,,34.9,,31.24,,35.18,,35.35,,39.13,,33.58
КОФЕ НАТУРАЛЬНЫЙ МОЛОТЫЙ,,,,28.79,,29.32,,30.61,,25.61,,31.16,,27.18,,30.58,,30.02
КОФЕ РАСТВОРИМЫЙ,,,,68.56,,69.85,,67.31,,70.66,,73.02,,63.37,,74.25,,67.8
МЁД  НАТУРАЛЬНЫЙ,,,,13.28,,12.72,,12.25,,13.56,,14.4,,14.65,,12.87,,10.49
СОЛЬ  ПОВАРЕННАЯ  ПИЩЕВАЯ,,,,0.5,,0.5,,0.53,,0.56,,0.46,,0.51,,0.45,,0.49
МУКА ПШЕНИЧНАЯ ,,,,1.06,,1.05,,1.02,,1.01,,1.02,,1.13,,1.06,,1.01
"ХЛЕБ РЖАНОЙ, РЖАНО-ПШЕНИЧНЫЙ",,,,1.62,,1.51,,1.75,,1.49,,1.68,,1.67,,1.42,,1.88
"ХЛЕБ, ИЗДЕЛИЯ БУЛОЧНЫЕ (БАТОН) ИЗ  МУКИ ПШЕНИЧНОЙ ВЫСШЕГО СОРТА",,,,2.46,,2.31,,2.25,,2.49,,2.26,,2.49,,2.66,,2.74
"ХЛЕБ, ИЗДЕЛИЯ БУЛОЧНЫЕ (БАТОН) ИЗ  МУКИ ПШЕНИЧНОЙ ПЕРВОГО СОРТА",,,,1.67,,1.63,,1.89,,1.8,,1.72,,1.48,,1.32,,2.2
ИЗДЕЛИЯ БУЛОЧНЫЕ СДОБНЫЕ ИЗ МУКИ  ПШЕНИЧНОЙ ВЫСШЕГО СОРТА,,,,4.21,,4.54,,3.92,,4.56,,3.6,,3.71,,4.84,,4.79
"СУХАРИ, СУШКИ, БАРАНКИ",,,,4.97,,4.15,,5.1,,4.79,,4.96,,5.04,,5.7,,4.89
"РИС ШЛИФОВАННЫЙ,  ПОЛИРОВАННЫЙ",,,,2.22,,2.3,,2.21,,2.03,,2.13,,2.28,,2.18,,2.37
КРУПА МАННАЯ,,,,1.37,,1.3,,1.39,,1.35,,1.3,,1.44,,1.32,,1.44
КРУПА ПШЕННАЯ,,,,1.4,,1.35,,1.44,,1.34,,1.36,,1.5,,1.38,,1.33
КРУПА ГРЕЧНЕВАЯ,,,,1.76,,2.01,,1.96,,1.63,,1.64,,1.63,,1.56,,2.19
ХЛОПЬЯ  ОВСЯНЫЕ,,,,1.84,,1.67,,1.9,,1.75,,1.72,,1.63,,2.02,,2.61
ХЛОПЬЯ КУКУРУЗНЫЕ ,,,,6.67,,6.89,,5.42,,7.17,,6.71,,6.79,,6.29,,7.32
КРУПА ПЕРЛОВАЯ,,,,1.02,,1.07,,1.04,,1.0,,0.97,,1.0,,1.01,,1.02
КАШИ ДЛЯ ДЕТСКОГО И ДИЕТИЧЕСКОГО ПИТАНИЯ,,,,11.83,,13.44,,10.95,,11.7,,10.61,,11.62,,12.53,,11.87
"ГОРОХ, ФАСОЛЬ",,,,2.4,,2.98,,2.34,,2.26,,2.39,,2.17,,2.3,,2.76
"МЮСЛИ,  ПРОЧИЕ СУХИЕ ЗАВТРАКИ ИЗ РАЗЛИЧНЫХ КРУП",,,,10.06,,10.04,,9.43,,8.38,,8.98,,11.52,,10.73,,9.26
"МАКАРОНЫ, РОЖКИ",,,,1.94,,1.92,,1.88,,1.76,,1.86,,1.96,,2.14,,2.1
"ВЕРМИШЕЛЬ, ЛАПША",,,,2.05,,1.98,,2.24,,1.78,,2.2,,1.78,,2.21,,2.65
ВОДКА ,,,,15.41,,15.45,,14.77,,14.14,,14.39,,14.23,,19.18,,17.01
НАСТОЙКИ ГОРЬКИЕ КРЕПКИЕ,,,,16.26,,16.46,,16.12,,15.57,,15.89,,16.78,,15.69,,16.79
