,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,Минская,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА ПЕРВОЙ КАТЕГОРИИ,,,,12512.412460000003,,11722.6,,12344.2,,11173.0,,11687.0,,13176.0,,13162.0,,13670.0
ПОЛУФАБРИКАТЫ МЯСНЫЕ ИЗ ГОВЯДИНЫ,,,,18747.566386000002,,15820.92,,21349.76,,19199.98,,17862.02,,20221.0,,17216.0,,18132.23
СВИНИНА (кроме бескостного мяса),,,,11909.961712,,11806.84,,11602.24,,11751.98,,10558.41,,12082.0,,12303.0,,12976.78
ПОЛУФАБРИКАТЫ МЯСНЫЕ  ИЗ СВИНИНЫ,,,,19303.240768000003,,16086.02,,20479.24,,18992.84,,18929.97,,20913.0,,18723.0,,19461.37
ФАРШ МЯСНОЙ (без добавок),,,,14477.865518,,14066.24,,13589.76,,14900.28,,15887.73,,14058.0,,15492.0,,13624.3
МЯСО ПТИЦЫ,,,,8385.283906000002,,8289.9,,8665.2,,8070.38,,8237.99,,8315.0,,8521.0,,8738.36
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,11183.314944000002,,11190.34,,11176.92,,9912.8,,10880.87,,11639.0,,11665.0,,11300.45
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,6382.181662000002,,5876.8,,5905.12,,6774.36,,6029.33,,6819.0,,6613.0,,5937.03
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,1109.4316840000001,,1092.28,,1068.56,,1126.62,,1030.45,,1237.0,,1020.0,,1035.26
ПЕЛЬМЕНИ МЯСНЫЕ,,,,9792.661742000002,,8949.96,,8681.04,,10296.46,,9369.2,,10524.0,,10293.0,,9273.08
САЛО,,,,12512.092050000001,,9888.8,,13289.16,,12202.76,,12117.51,,13789.0,,12286.0,,12751.81
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,13079.55889,,13041.56,,13495.36,,13500.62,,12876.62,,12790.0,,12569.0,,13792.8
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,9954.972846000002,,9715.58,,10146.44,,10908.78,,9551.77,,9083.0,,10959.0,,9974.73
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА ,,,,8054.605680000001,,8413.68,,9485.56,,7176.38,,8014.21,,7163.0,,8618.0,,8652.47
КОЛБАСА ПОЛУКОПЧЕНАЯ,,,,20216.823288000003,,17455.72,,19862.68,,20308.52,,18987.88,,22449.0,,18939.0,,21319.9
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,31602.685258,,28227.8,,31460.8,,31046.5,,31513.78,,35019.0,,29470.0,,31094.56
"ПАШТЕТ, ЗЕЛЬЦ",,,,6049.806838000001,,5817.94,,5841.4,,5648.14,,5248.87,,6936.0,,6365.0,,5173.77
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,3917.4151880000004,,3778.9,,3637.84,,4192.12,,3538.81,,4074.0,,4279.0,,3500.83
СОСИСКИ,,,,12937.055538000002,,11940.84,,12388.84,,13257.12,,12633.65,,13523.0,,12396.0,,13986.18
"ВЕТЧИНА, БУЖЕНИНА, ОКОРОК",,,,19334.323676000004,,19823.68,,21672.16,,16595.24,,20065.18,,19841.0,,16268.0,,22087.37
ГОВЯДИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,5920.882682,,5864.16,,5604.8,,6224.98,,5776.88,,6078.0,,6236.0,,5228.96
СВИНИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,5599.684190000001,,5361.08,,5013.84,,5482.36,,5898.91,,5822.0,,5887.0,,5431.93
КОНСЕРВЫ  МЯСНЫЕ ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ (за условную банку весом 350 г),,,,6761.1342380000015,,6761.34,,6575.28,,6841.26,,6464.23,,6713.0,,7002.0,,6947.88
РЫБА ЖИВАЯ,,,,6379.000234,,5303.32,,6406.12,,6661.62,,6203.78,,6372.0,,6900.0,,6766.35
