,,,,Беларусь,,Брестская,,Витебская,Гомельская,,Гродненская,г. Минск,Минская,,Могилевская
ХАЛАТ ЖЕНСКИЙ  ДОМАШНИЙ,,,,41680.683385,,36513.74,,41180.26,26127.47,,34964.0,53195.0,33455.0,,43113.84
"СВИТЕР, ДЖЕМПЕР ЖЕНСКИЙ ИЗ СИНТЕТИЧЕСКОЙ ПРЯЖИ  ",,,,41488.627944,,40996.44,,34142.55,38726.36,,27768.72,51570.0,41304.0,,32802.08
КОСТЮМ ЖЕНСКИЙ СПОРТИВНЫЙ,,,,87526.090118,,76495.94,,71889.43,65299.0,,68697.16,107923.0,79428.0,,101346.4
БЮСТГАЛЬТЕР ,,,,21278.912944,,20094.56,,21123.78,19335.68,,19745.08,22557.0,22235.0,,21211.12
ТРУСЫ ЖЕНСКИЕ ИЗ ХЛОПЧАТОБУМАЖНОГО ТРИКОТАЖНОГО ПОЛОТНА,,,,5591.227949,,4933.92,,4501.14,5842.85,,4849.68,6192.0,6091.0,,5338.0
ШАПКА ЖЕНСКАЯ МЕХОВАЯ ,,,,279981.19199757325,,277228.12,,260290.0,,,187034.96,312523.0,,,
ПЛАЩ ЖЕНСКИЙ,,,,192487.34696599998,,176857.48,,151771.98,195660.5,,159170.68,227224.0,169280.0,,189189.36
РУБАШКА ЖЕНСКАЯ НОЧНАЯ,,,,19453.420781,,17989.28,,16556.2,17416.37,,18634.96,23023.0,18228.0,,16941.48
"ПЛАТОК, ШАРФ ЖЕНСКИЙ",,,,26177.700481,,10097.28,,23942.33,12122.89,,44663.92,36737.0,17430.0,,20263.68
ШЛЯПА ЖЕНСКАЯ,,,,52962.52260800001,,41622.76,,53102.74,41508.28,,44340.32,66652.0,48336.0,,45813.92
ШУБА (ПОЛУШУБОК) ЖЕНСКАЯ  ИЗ ИСКУССТВЕННОГО МЕХА,,,,161358.5206940813,,176470.0,,165530.0,,,164450.44,,,,138670.0
КОМПЛЕКТ БЕЛЬЯ ЖЕНСКОГО,,,,27724.876582,,19596.46,,24474.08,19815.76,,25749.08,34410.0,26575.0,,30275.44
КУПАЛЬНЫЙ КОСТЮМ ЖЕНСКИЙ,,,,59352.750372,,56588.08,,49109.04,42242.04,,55851.44,85141.0,39628.0,,33332.24
КОЛГОТКИ ЖЕНСКИЕ,,,,7184.951519000001,,5920.08,,4948.7,6007.11,,6241.52,9744.0,6486.0,,5564.72
БРЮКИ ЖЕНСКИЕ,,,,72354.516899,,50273.84,,64753.49,55651.47,,68113.0,93462.0,66933.0,,63800.16
КУРТКА  ЗИМНЯЯ И  ДЕМИСЕЗОННАЯ  ДЛЯ МАЛЬЧИКА ,,,,100722.691924,,104085.2,,143818.22,73823.32,,101595.64,98612.0,89025.0,,100316.88
КУРТКА  ДЕМИСЕЗОННАЯ  ДЛЯ ДЕВОЧКИ,,,,93887.43163099998,,87686.42,,93182.65,69737.89,,95553.28,112340.0,79804.0,,83005.84
ПАЛЬТО  ЗИМНЕЕ И ДЕМИСЕЗОННОЕ ДЛЯ ДЕВОЧКИ    ,,,,113664.516273,,105595.88,,127232.48,118100.69,,113356.0,112011.0,111686.0,,109053.48
НОСКИ ДЕТСКИЕ  ИЗ ХЛОПЧАТОБУМАЖНОЙ ИЛИ СМЕСОВОЙ ПРЯЖИ,,,,2212.977366,,2578.68,,2126.56,1710.34,,1842.16,2368.0,2339.0,,2241.28
БРЮКИ ДЕТСКИЕ,,,,34774.77406900001,,32212.78,,38781.54,29302.15,,34585.88,37149.0,34910.0,,31851.2
КОСТЮМ ШКОЛЬНЫЙ ,,,,92196.28090499999,,93173.5,,98157.41,82086.27,,97867.2,93695.0,93319.0,,85862.96
КОСТЮМ СПОРТИВНЫЙ ДЕТСКИЙ,,,,50489.506398000005,,49390.86,,56501.78,37846.4,,49613.36,56165.0,53200.0,,39761.52
"ДЖЕМПЕР, CВИТЕР ДЕТСКИЙ ИЗ ПОЛУШЕРСТЯНОЙ ПРЯЖИ",,,,39075.545084000005,,34813.0,,34433.35,31285.2,,34194.16,48162.0,35381.0,,36414.4
СОРОЧКА ВЕРХНЯЯ ДЛЯ МАЛЬЧИКА  ИЗ ХЛОПЧАТОБУМАЖНОЙ ИЛИ СМЕСОВОЙ ТКАНИ,,,,19625.305028,,18267.2,,20312.53,17715.4,,20476.16,20186.0,19279.0,,20339.76
ЮБКА ДЕТСКАЯ  ИЗ СМЕСОВЫХ ТКАНЕЙ ИЛИ ТРИКОТАЖНОГО ПОЛОТНА,,,,33103.385719,,29737.54,,32882.97,23868.77,,25131.24,42876.0,29117.0,,27149.6
ПЛАТЬЕ ДЕТСКОЕ ИЗ ХЛОПЧАТОБУМАЖНОЙ ТКАНИ,,,,34039.306136,,28505.32,,23407.8,23574.44,,18414.48,46395.0,30178.0,,41520.0
"КОСТЮМ, КОМПЛЕКТ (юбка, брюки, жакет) ДЛЯ ДЕВОЧКИ",,,,89132.926194,,82964.62,,100313.83,79298.76,,99401.36,84218.0,87819.0,,103343.36
ДЖИНСЫ ДЕТСКИЕ,,,,50826.018765,,41131.4,,35917.88,38342.65,,49427.84,70429.0,38643.0,,42039.04
БЕЛЬЕ  ДЛЯ  НОВОРОЖДЕННЫХ  И  ДЕТЕЙ  ЯСЕЛЬНОГО  ВОЗРАСТА,,,,8733.862308000002,,10874.1,,9119.37,4269.78,,5730.76,8725.0,12373.0,,10522.88
КОМПЛЕКТ БЕЛЬЯ ДЕТСКОГО,,,,7659.612194,,6748.88,,8167.61,6168.74,,8259.68,8242.0,7996.0,,7058.56
ШАПОЧКА ТРИКОТАЖНАЯ ДЕТСКАЯ,,,,15680.822638000003,,14477.5,,15285.49,13725.2,,15488.64,16472.0,17126.0,,15826.08
КОЛГОТКИ ДЕТСКИЕ,,,,6030.396444,,6188.5,,4822.6,5159.3,,6002.16,6115.0,7811.0,,6199.6
ПИЖАМА ДЕТСКАЯ,,,,19262.757014,,18841.82,,20381.67,17291.2,,16943.92,20423.0,20964.0,,17350.8
"ПОЛУБОТИНКИ, ТУФЛИ МУЖСКИЕ КОЖАНЫЕ",,,,101212.63406000001,,103977.84,,106816.35,106582.76,,101187.36,100365.0,95323.0,,94454.4
САПОГИ МУЖСКИЕ НА МЕХУ,,,,138237.66301000002,,129777.98,,123545.24,122667.0,,120251.92,159155.0,139782.0,,127953.36
ОБУВЬ МУЖСКАЯ ДОМАШНЯЯ ,,,,18065.911122,,14832.84,,15224.63,15210.86,,13924.88,24395.0,14371.0,,14708.24
КРОССОВЫЕ ТУФЛИ МУЖСКИЕ,,,,72150.456126,,80145.52,,48527.01,79137.98,,57804.6,80448.0,65301.0,,74285.36
"БОСОНОЖКИ, САНДАЛЕТЫ МУЖСКИЕ ИЗ НАТУРАЛЬНОЙ ИЛИ ИСКУССТВЕНОЙ КОЖИ",,,,75045.293652,,86297.6,,82764.76,78393.0,,53649.16,71858.0,75933.0,,79310.0
РЕЗИНОВАЯ ОБУВЬ,,,,23044.853838000003,,20869.4,,21482.68,21185.94,,20510.0,22560.0,28774.0,,27203.28
САПОГИ ЖЕНСКИЕ ЗИМНИЕ  НА НИЗКОМ КАБЛУКЕ,,,,196177.047434,,205415.18,,210983.25,229283.0,,190717.36,180245.0,199290.0,,183697.76
САПОГИ ЖЕНСКИЕ ДЕМИСЕЗОННЫЕ  НА ВЫСОКОМ КАБЛУКЕ,,,,202642.30722299998,,222632.94,,211920.82,168615.77,,203188.0,208464.0,213217.0,,183189.68
"ТУФЛИ  ЖЕНСКИЕ КОЖАНЫЕ НА НИЗКОМ КАБЛУКЕ, НА СИНТЕТИЧЕСКОЙ ПОДОШВЕ",,,,79877.59310299999,,80864.72,,82217.92,88642.95,,88558.28,75037.0,83481.0,,70087.92
ТУФЛИ ЖЕНСКИЕ МОДЕЛЬНЫЕ,,,,114940.709983,,115045.38,,98286.68,90351.89,,110619.2,140510.0,95475.0,,103436.72
ТУФЛИ  ЖЕНСКИЕ ЛЕТНИЕ КОЖАНЫЕ,,,,92163.078378,,86625.66,,79663.66,89203.88,,82681.28,106698.0,95263.0,,72897.44
ОБУВЬ ЖЕНСКАЯ ДОМАШНЯЯ ,,,,18500.093151,,15305.06,,14988.19,14207.41,,13301.52,26694.0,12547.0,,14746.08
ТУФЛИ ЖЕНСКИЕ ИЗ ИСКУССТВЕННОЙ КОЖИ ,,,,63261.562450000005,,64902.16,,50706.77,69157.38,,45747.04,71820.0,62713.0,,56338.8
ПОЛУСАПОЖКИ ЗИМНИЕ И ДЕМИСЕЗОННЫЕ  ДЛЯ МАЛЬЧИКА,,,,85977.12703999999,,94642.4,,80801.4,69452.0,,93870.8,87731.0,86472.0,,89913.2
ПОЛУСАПОЖКИ ЗИМНИЕ И ДЕМИСЕЗОННЫЕ  ДЛЯ ДЕВОЧКИ,,,,92530.05577100001,,101779.56,,88994.61,86644.07,,101334.84,94245.0,85927.0,,87668.48
"БОТИНКИ, ТУФЛИ КОЖАНЫЕ ДЕМИСЕЗОННЫЕ ДЛЯ МАЛЬЧИКА",,,,60664.086493999996,,62522.48,,61723.71,49337.02,,66367.16,61248.0,63721.0,,61357.36
ТУФЛИ ЛЕТНИЕ ДЕВИЧЬИ,,,,46965.639356,,56666.86,,55879.64,45484.14,,47547.2,39435.0,57414.0,,42441.76
КРОССОВЫЕ ТУФЛИ ДЕТСКИЕ,,,,39605.594753,,29346.98,,39343.8,32921.03,,57578.0,40882.0,36164.0,,41991.36
СТОЛ ПИСЬМЕННЫЙ,,,,250599.43886800003,,244051.86,,234415.72,374653.3,,219942.48,225938.0,249314.0,,232894.32
ШКАФ ДЛЯ ОДЕЖДЫ  И  БЕЛЬЯ,,,,661293.275036,,503528.82,,725484.58,564799.3,,606331.68,709503.0,826511.0,,588925.76
СТУЛ,,,,100615.527046,,83783.38,,100754.78,80392.2,,97332.48,119109.0,92350.0,,93047.28
НАБОР МЕБЕЛИ ДЛЯ СПАЛЬНИ,,,,2217427.9472930003,,2350377.92,,2250765.33,2387172.29,,2313682.8,2003003.0,2321775.0,,2348451.68
НАБОР МЯГКОЙ МЕБЕЛИ,,,,1718831.534035,,1986152.02,,1997625.34,1421776.97,,2266088.64,1460420.0,1686623.0,,1897014.64
НАБОР КОРПУСНОЙ МЕБЕЛИ ,,,,1807031.2685039998,,1880727.1,,1609546.63,1605815.38,,1762768.08,1960667.0,1694541.0,,1848916.88
ДИВАН-КРОВАТЬ,,,,844810.5818040002,,863857.44,,906219.07,667030.68,,818204.4,882499.0,829553.0,,889791.44
КУХОННЫЙ ГАРНИТУР,,,,1085579.476565,,1327899.46,,1352143.02,874160.91,,1005130.32,962465.0,1232826.0,,1123988.32
ГАРНИТУР ДЛЯ ПРИХОЖЕЙ,,,,792210.082625,,845938.88,,898240.31,660881.61,,828937.44,794032.0,873229.0,,658681.28
КОВЕР ИЗ  ШЕРСТЯНОЙ И СИНТЕТИЧЕСКОЙ ПРЯЖИ        (за 1 м2),,,,52724.574816,,46034.3,,48975.89,43180.42,,54153.88,61766.0,48304.0,,49009.52
КОВЕР ИЗ СИНТЕТИЧЕСКОЙ ПРЯЖИ (за 1 м2)  ,,,,51700.810083000004,,47476.56,,42050.88,31896.35,,38045.76,74460.0,33573.0,,46997.64
ДОРОЖКА КОВРОВАЯ (за 1 м2),,,,38167.735655000004,,33690.34,,41357.62,32564.21,,35574.72,43561.0,34845.0,,34035.08
КОМПЛЕКТ ПОСТЕЛЬНОГО БЕЛЬЯ ,,,,56708.907272000004,,51236.34,,54654.76,49186.94,,59923.2,61925.0,57745.0,,52762.08
ОДЕЯЛО ПОЛУШЕРСТЯНОЕ,,,,56146.01647100001,,50645.74,,66545.1,52358.57,,58667.36,53997.0,49276.0,,66631.56
ОДЕЯЛО ВАТНОЕ,,,,47891.014741,,52472.62,,41570.92,48632.79,,53699.44,47682.0,56262.0,,36363.64
ПОКРЫВАЛО ,,,,52541.692870000006,,45002.14,,43519.55,39678.72,,35240.12,63946.0,56711.0,,59551.44
СКАТЕРТЬ,,,,16366.251964,,16052.4,,20043.71,16825.0,,13980.64,16249.0,14180.0,,16757.6
ПОЛОТНО ГАРДИННОЕ ТЮЛЕВОЕ ИЗ СИНТЕТИЧЕСКИХ НИТЕЙ,,,,14145.996731,,12727.02,,10207.67,12831.57,,11440.72,17501.0,11978.0,,15193.24
ПОЛОТЕНЦЕ МАХРОВОЕ БАННОЕ ,,,,24429.202655999998,,21282.78,,24042.38,21349.14,,21893.32,27045.0,24056.0,,25862.68
ТАРЕЛКА,,,,3880.854942,,2074.72,,1815.1,2316.3,,2142.48,7054.0,2465.0,,2516.4
"СЕРВИЗ ЧАЙНЫЙ, КОФЕЙНЫЙ",,,,42007.603842,,34064.5,,39255.01,37110.24,,36447.2,49976.0,40983.0,,38968.4
ВАЗА,,,,35724.052618,,27195.02,,38871.53,20726.2,,35415.36,45052.0,32633.0,,32085.76
КАСТРЮЛЯ,,,,26255.678347,,21889.9,,24309.78,21058.53,,27828.0,28778.0,25264.0,,30567.52
ХОЛОДИЛЬНИК,,,,1044980.113973,,936320.64,,1174590.96,983191.09,,1078399.44,1016230.0,1194944.0,,997392.88
ЛАМПА ЭЛЕКТРИЧЕСКАЯ,,,,867.6423259999999,,619.1,,675.65,685.28,,759.12,1107.0,849.0,,887.12
СТИРАЛЬНАЯ МАШИНА,,,,804407.510893,,630053.2,,774856.02,1037092.85,,1135219.28,689728.0,574926.0,,1049573.6
ПЫЛЕСОС НАПОЛЬНЫЙ,,,,220341.398732,,184338.66,,192315.59,184673.94,,192127.84,274796.0,200945.0,,198056.56
УТЮГ  ЭЛЕКТРИЧЕСКИЙ,,,,65411.06316,,63461.32,,57629.53,54193.8,,63245.04,75176.0,69477.0,,55514.64
КОМБАЙН КУХОННЫЙ,,,,258103.09362200001,,266797.46,,305642.84,226996.52,,220244.92,272233.0,245311.0,,234537.84
ЛЮСТРА ЭЛЕКТРИЧЕСКАЯ,,,,117292.425891,,72297.64,,84941.91,75655.35,,64419.92,193729.0,97312.0,,66586.72
ЧАЙНИК ЭЛЕКТРИЧЕСКИЙ,,,,76288.19418,,60778.98,,68691.22,55809.38,,72718.64,95843.0,76587.0,,64298.08
ПЕЧЬ МИКРОВОЛНОВАЯ,,,,363357.095079,,349590.32,,373582.98,296845.11,,326504.56,410295.0,368448.0,,320704.64
ПЛИТА  БЫТОВАЯ ЭЛЕКТРИЧЕСКАЯ,,,,1148236.51866,,913136.6,,923248.87,1042153.68,,973400.64,1368212.0,1171692.0,,1176363.76
РАДИАТОР БЫТОВОЙ ЭЛЕКТРИЧЕСКИЙ,,,,206034.285324,,206042.08,,174398.0,181389.24,,208040.4,227916.0,203930.0,,200070.64
ДРЕЛЬ ЭЛЕКТРИЧЕСКАЯ,,,,189071.713947,,180018.56,,179608.18,210798.51,,250136.48,172216.0,199982.0,,172515.44
ТЕЛЕВИЗОР ЦВЕТНОГО ИЗОБРАЖЕНИЯ,,,,418308.725389,,419688.8,,391968.68,495279.65,,466486.0,394072.0,405593.0,,402250.96
МУЗЫКАЛЬНЫЙ ЦЕНТР,,,,574870.826181,,652887.16,,538418.7,458858.33,,555154.92,626254.0,636025.0,,464360.08
СТЕРЕО МАГНИТОФОН С ПРИЁМНИКОМ,,,,209322.174478,,213783.52,,178904.13,171876.14,,206069.2,257224.0,201591.0,,138349.92
DVD-ПЛЕЕР,,,,218983.83744700003,,233852.8,,248921.87,215654.63,,225808.72,202599.0,234907.0,,205955.68
КОМПАКТ-ДИСК (без записи),,,,2995.3481810000003,,3092.78,,2546.23,2851.11,,3863.44,3295.0,3156.0,,1662.96
КАССЕТЫ БЕЗ ЗАПИСИ (видео и аудио),,,,6135.5954280000005,,7409.4,,7489.75,3162.48,,5891.6,7341.0,6589.0,,2770.0
КИРПИЧ СТРОИТЕЛЬНЫЙ (за 1тыс. шт),,,,466783.548173,,468165.52,,512702.64,703906.61,,285864.0,485252.0,286227.0,,408813.04
ОБОИ (за рулон 10 м),,,,11321.204201,,9676.76,,9386.58,8571.97,,8556.4,15598.0,8435.0,,9890.64
ПИЛОМАТЕРИАЛЫ ХВОЙНЫЕ ОБРЕЗНЫЕ И НЕОБРЕЗНЫЕ (за 1 м3 ) ,,,,522579.45017,,459632.14,,627436.44,365354.76,,411749.88,648851.0,399036.0,,472523.24
ПЛИТКА КЕРАМИЧЕСКАЯ (за 1  м2),,,,25051.447177000002,,22226.7,,23289.62,22571.15,,21028.04,28318.0,26123.0,,24655.44
ЦЕМЕНТ (за 50 кг),,,,20236.372848,,21162.38,,19250.71,19073.62,,17938.72,21729.0,19312.0,,19896.88
ШИФЕР (за 10 условных штук),,,,12194.084404,,11857.86,,12731.28,11523.06,,11425.76,12784.0,11589.0,,12121.96
ЛИНОЛЕУМ (за 1 м2),,,,22428.470053,,20732.56,,21724.84,17518.69,,20562.88,27022.0,21568.0,,18412.96
СТЕКЛО ОКОННОЕ (за 1 м2),,,,15865.033995,,15569.76,,13994.62,13039.47,,12967.68,16077.0,22501.0,,16748.08
СЧЕТЧИК УЧЕТА ПОТРЕБЛЕНИЯ ВОДЫ,,,,56416.413029,,60372.5,,43330.11,56869.63,,48801.72,59224.0,63161.0,,57009.68
"ПАНЕЛИ ДЛЯ ОТДЕЛКИ ПОТОЛКА, СТЕН ИЗ ПВХ  (за 1 м2)",,,,18261.796097,,20133.58,,11505.48,16363.79,,20263.36,21208.0,15845.0,,17268.6
ОКОННЫЙ БЛОК ДВУХСТВОРЧАТЫЙ (размер 130х140см) СО СТЕКЛОПАКЕТОМ,,,,800814.293194,,674189.4,,671037.46,677346.94,,637275.48,1025658.0,758481.0,,675761.0
ДВЕРНОЙ БЛОК С ДВЕРЬЮ (размер 210х70 см                  или 210х80 см),,,,349062.38857,,322733.72,,379606.42,281400.3,,299395.96,402202.0,352471.0,,290658.72
ЛАМИНАТ (за 1 м2),,,,41008.611082999996,,37466.2,,36767.41,34065.27,,36073.92,48081.0,38030.0,,42041.68
СУМКА ИЗ ИСКУССТВЕННОЙ КОЖИ,,,,72558.83723800001,,59705.6,,70819.94,53877.34,,66092.08,89348.0,58518.0,,75460.16
СУМКА ИЗ НАТУРАЛЬНОЙ КОЖИ,,,,185676.834537,,156641.24,,179513.46,144765.09,,168621.8,223306.0,183562.0,,165934.24
ПЕРЧАТКИ ИЗ НАТУРАЛЬНОЙ КОЖИ,,,,44137.621461999996,,37006.28,,55733.21,38182.98,,39707.24,47994.0,43663.0,,37502.36
РЕМЕНЬ ПОЯСНОЙ ИЗ НАТУРАЛЬНОЙ ИЛИ ИСКУССТВЕННОЙ КОЖИ,,,,24403.958057000003,,22604.98,,24354.41,24683.75,,19957.76,28553.0,21416.0,,19339.76
СОСУДОРАСШИРЯЮЩИЕ И СПАЗМОЛИТИЧЕСКИЕ ПРЕПАРАТЫ (за 10 таблеток),,,,355.50614181942666,,341.8,,419.0,251.18666666666667,,364.08,358.0,353.26666666666665,,421.10666666666674
"ПРЕПАРАТЫ, УЛУЧШАЮЩИЕ МОЗГОВОЕ КРОВООБРАЩЕНИЕ (за 10 таблеток)",,,,373.9054907312315,,219.52,,235.0,509.32,,263.5466666666667,526.0,168.8,,490.66666666666663
ДИУРЕТИЧЕСКИЕ ПРЕПАРАТЫ (за 10 таблеток),,,,315.90931500682325,,222.8,,201.0,720.18,,219.46,180.0,215.2,,511.02666666666664
ТРАНКВИЛИЗАТОРЫ (за 10 таблеток),,,,703.050377597389,,783.6533333333334,,770.0,715.9,,904.8166666666666,485.0,845.6,,680.5833333333334
НЕНАРКОТИЧЕСКИЕ АНАЛЬГЕТИКИ (за 10 таблеток),,,,336.50521836590184,,343.6,,360.0,339.2,,290.38666666666666,366.0,301.0,,311.0666666666667
АНТИБИОТИКИ (за 10 таблеток),,,,899.2225172690312,,798.6,,740.0,669.9,,711.5,1262.0,743.0,,1003.0833333333333
ВИТАМИНЫ (за 10 таблеток),,,,486.1046371041488,,412.52,,179.0,219.35,,345.44,825.0,339.4,,767.2
АНТИСЕПТИЧЕСКИЕ СРЕДСТВА (за 10 мл),,,,694.6068907302937,,726.8,,740.0,703.4666666666667,,641.3333333333333,665.0,710.0,,695.0666666666667
ГОРЧИЧНИКИ (за 10 шт),,,,778.9091095604547,,762.8,,802.0,744.55,,804.1666666666667,806.0,765.0,,747.2666666666667
ВАТА (за 50 г),,,,1027.5898303813021,,1034.9333333333334,,1158.0,1199.2666666666667,,908.3333333333333,926.0,933.3333333333333,,1077.3333333333335
ЛЕЙКОПЛАСТЫРЬ (за упаковку размером 3 см  х 5 м),,,,2183.609620479922,,2100.6,,2083.0,2093.9333333333334,,2179.75,2234.0,2102.5,,2467.4
БИНТ (за упаковку размером 5 см х 10 м),,,,474.458793,,429.86,,532.32,460.55,,556.28,462.0,444.0,,472.28
ОЧКИ И ОПРАВЫ,,,,37697.253461,,18771.78,,18081.28,14331.95,,17024.08,73400.0,22972.0,,23668.48
АВТОМОБИЛЬ ЛЕГКОВОЙ,,,,32878645.47919583,,,,51245144.0,43057393.0,,22719750.0,29305750.0,,,20661733.520000003
ВЕЛОСИПЕД ДОРОЖНЫЙ,,,,240732.026056,,248076.36,,269610.72,218017.8,,224861.6,241060.0,240036.0,,242476.0
МОТОЦИКЛ,,,,2964977.4281750005,,2931546.92,,2938878.0,3160173.95,,2849910.0,2857960.0,3190247.0,,3010391.72
БЕНЗИН АВТОМОБИЛЬНЫЙ (за 1 л),,,,2091.012157,,2082.16,,2138.8,1977.81,,2025.84,2098.0,2170.0,,2138.48
ЕЖЕДНЕВНАЯ ГАЗЕТА ,,,,608.8960290000001,,634.62,,631.73,565.83,,632.88,596.0,595.0,,645.28
ЕЖЕНЕДЕЛЬНАЯ ГАЗЕТА  ,,,,976.3404340000001,,790.84,,871.3,738.62,,782.88,1373.0,881.0,,541.28
ЕЖЕМЕСЯЧНЫЙ ЖУРНАЛ ,,,,3399.7325039999996,,3135.88,,3828.54,2708.68,,2666.96,4199.0,2669.0,,2811.6
ЧАСЫ,,,,55063.616222000004,,34160.98,,35305.43,29870.68,,35902.8,92289.0,39453.0,,40021.92
МЫЛО ХОЗЯЙСТВЕННОЕ (за 400 г),,,,1738.7566350000002,,1949.62,,1802.79,1470.49,,1561.36,1539.0,2196.0,,2122.16
СИНТЕТИЧЕСКИЕ МОЮЩИЕ СРЕДСТВА    (за 500 г),,,,3104.987148,,3203.12,,2343.29,3170.36,,2770.2,3296.0,3136.0,,3410.76
КРЕМ ДЛЯ ОБУВИ  (за 75 г),,,,3189.924097,,2564.46,,2572.45,2184.67,,1714.8,4742.0,1772.0,,3409.76
КРАСКА ПОЛОВАЯ И ПРОЧАЯ (за 1 кг),,,,9102.9529,,9087.14,,9627.23,8380.34,,7828.28,8958.0,10642.0,,9436.28
ЛАК ДЛЯ ПАРКЕТА И ПРОЧИЙ (за 1 кг),,,,10711.287198,,9706.66,,8986.21,10145.72,,7813.52,12433.0,9722.0,,12268.92
ХОЗЯЙСТВЕННЫЕ ТОВАРЫ ИЗ ПЛАСТМАССЫ И МЕТАЛЛА,,,,11984.759795,,11805.14,,10066.81,13551.21,,11326.24,13392.0,8699.0,,11730.96
КАРНИЗЫ,,,,44003.137072000005,,42267.2,,43465.12,34966.88,,31149.72,52853.0,45593.0,,38108.24
ЗАМКИ ВРЕЗНЫЕ И НАКЛАДНЫЕ,,,,25009.96437,,26038.3,,21761.69,22703.64,,25708.56,22864.0,37023.0,,24491.12
ЮВЕЛИРНЫЕ ИЗДЕЛИЯ ИЗ ЗОЛОТА  (за 1г),,,,108020.690497,,106779.62,,115866.66,99613.99,,116974.4,106970.0,105412.0,,109040.24
ФОТОАППАРАТ,,,,112061.711672,,84287.98,,140417.58,38296.74,,136191.36,145785.0,73333.0,,106781.12
ФОТОКАМЕРА  ЦИФРОВАЯ ,,,,791123.2856950001,,574562.0,,617429.02,532898.79,,817958.4,1041783.0,946401.0,,516034.72
ИГРУШКИ,,,,23874.337076,,19199.54,,22937.45,14448.98,,14128.32,31479.0,16233.0,,32678.72
ТЕЛЕФОННЫЙ АППАРАТ,,,,64274.146732,,62852.8,,63432.48,58610.52,,56958.44,67126.0,76227.0,,58418.32
КОЛЯСКА  ДЕТСКАЯ ,,,,442694.88197200006,,467198.48,,410820.41,386645.56,,334018.72,529445.0,368991.0,,408962.48
ЗОНТ,,,,40296.412471999996,,35238.24,,34886.78,35608.4,,37566.32,49295.0,33788.0,,36789.04
ТЕЛЕФОН НЫЙ АППАРАТ СОТОВОЙ СВЯЗИ ,,,,441785.08407399995,,409554.72,,489127.56,342618.82,,337358.56,547500.0,304085.0,,429861.52
ТЕТРАДЬ (в пересчете за 12 листов),,,,216.69385900000003,,206.48,,191.66,166.83,,230.72,258.0,202.0,,183.28
РУЧКА ШАРИКОВАЯ,,,,567.362045,,338.36,,570.02,261.13,,459.84,834.0,477.0,,484.96
ШАМПУНЬ  (за 250 мл),,,,4126.573882000001,,2939.5,,2946.3,4086.76,,3406.64,5548.0,2298.0,,4548.04
ЗУБНАЯ ПАСТА  (за 75 г),,,,2262.390457,,1970.82,,1685.42,1929.27,,1640.16,2876.0,1851.0,,2567.52
МЫЛО ТУАЛЕТНОЕ  (за 150 г),,,,1989.203675,,1464.46,,2125.21,1542.05,,1945.48,2316.0,1700.0,,2181.12
КРЕМ ДЛЯ ЛИЦА  (за 100 г),,,,11015.051823999998,,6463.64,,9881.14,6952.28,,8634.56,15991.0,10090.0,,8609.0
ДЕЗОДОРАНТ  (за 110 мл),,,,6606.110453,,5841.2,,6073.08,4997.57,,5955.08,8079.0,6292.0,,6012.24
ЛЕЗВИЯ ДЛЯ БРИТВЫ (за блок из 10 лезвий),,,,3083.910105,,2757.58,,3156.9,3242.83,,2453.08,3307.0,3376.0,,2665.6
ЩЕТКА ЗУБНАЯ ,,,,3565.8155,,2616.64,,2156.02,1978.36,,1803.12,6115.0,2217.0,,2624.96
ТУАЛЕТНАЯ ВОДА (за 100 мл),,,,46520.588262000005,,20268.7,,23401.19,15872.96,,28982.56,91127.0,24139.0,,28655.28
"ГУБНАЯ ПОМАДА (за 4,3-4,8 г)",,,,5739.525272000001,,5005.92,,4813.96,5673.2,,4401.56,7021.0,5076.0,,5258.0
"ЛАК ДЛЯ ВОЛОС (за 250 мл), БАЛЬЗАМ ДЛЯ ВОЛОС             (за 250 мл)",,,,6090.695728000001,,4345.44,,3956.7,3685.6,,4403.52,9224.0,4498.0,,6032.4
ШВЕЙНАЯ МАШИНА,,,,590804.91282,,676857.34,,552692.87,567433.34,,473649.6,678879.0,521000.0,,460849.72
ЦВЕТЫ (за 1 шт),,,,5905.873514000001,,4745.14,,5357.73,4907.76,,5418.16,6636.0,6880.0,,5952.32
ДРОВА (за 1 м3),,,,14534.8999,,11900.0,,21000.0,16179.0,,13800.0,11500.0,19500.0,,13500.0
ТОРФ  (за 1 т),,,,56587.6375,,59175.0,,60000.0,45000.0,,60000.0,55000.0,60000.0,,63000.0
СПИЧКИ (за 1 коробок),,,,46.487705,,46.04,,45.05,38.53,,48.88,50.0,44.0,,47.2
