,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА  (кроме бескостного мяса),,,,64322.11648635936,,63703.66,,66318.89,,61355.0,,49972.5,,66122.0,,,,76559.54
ГОВЯДИНА БЕСКОСТНАЯ,,,,105695.297253,,93839.22,,92622.64,,114534.08,,87761.53,,121796.0,,105743.0,,101659.68
СВИНИНА (кроме бескостного мяса),,,,71435.663816,,74236.64,,65282.64,,69869.84,,62154.8,,70857.0,,78159.0,,78314.04
СВИНИНА БЕСКОСТНАЯ,,,,104799.961595,,94544.8,,100499.56,,96521.6,,101088.27,,114031.0,,107003.0,,109835.7
ФАРШ МЯСНОЙ (без добавок),,,,72213.020519,,75763.4,,61566.51,,63276.28,,73744.41,,82831.0,,67895.0,,69611.44
"КУРЫ (ЦЫПЛЯТА, ВКЛЮЧАЯ БРОЙЛЕРОВ)",,,,31941.868145,,31402.92,,32148.63,,32225.4,,31701.35,,31868.0,,32075.0,,32219.62
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,48090.573386000004,,48304.88,,46915.17,,48798.0,,49403.48,,46988.0,,47754.0,,50104.98
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,28808.881413000003,,28568.82,,26647.47,,32847.88,,26237.79,,30726.0,,23342.0,,32031.38
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,5835.525069,,6652.55,,4644.23,,6222.12,,5697.11,,6688.0,,5210.0,,4668.82
ПЕЛЬМЕНИ МЯСНЫЕ,,,,43846.228301,,43344.96,,39338.91,,44268.8,,41017.07,,48612.0,,44717.0,,38911.36
САЛО,,,,83162.760332,,72314.85,,81382.37,,74605.32,,79657.38,,96776.0,,82444.0,,79632.4
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,56100.752176,,58021.19,,54446.61,,57999.52,,56049.26,,57451.0,,51387.0,,56712.22
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,40724.82560699999,,43415.58,,35647.36,,36394.44,,36743.55,,42511.0,,48953.0,,36764.7
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА ,,,,33314.071500000005,,39331.2,,34841.91,,26519.36,,32024.06,,34022.0,,32789.0,,33403.76
КОЛБАСА ПОЛУКОПЧЕНАЯ,,,,85301.83403499999,,88761.63,,75901.72,,89701.24,,83364.11,,92577.0,,77356.0,,81595.74
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,160674.320053,,148323.73,,154652.05,,155222.64,,143548.91,,177773.0,,155423.0,,171280.68
"ПАШТЕТ, ЗЕЛЬЦ",,,,26094.076129000005,,25747.67,,24217.08,,24226.24,,19619.53,,28107.0,,33843.0,,21667.8
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,16988.315177,,17307.95,,16561.1,,20433.04,,13969.77,,14917.0,,21021.0,,15269.18
СОСИСКИ,,,,56669.050907,,55548.57,,52817.18,,55936.92,,52535.59,,58982.0,,56835.0,,61431.74
"ВЕТЧИНА, БУЖЕНИНА, ОКОРОК",,,,90948.95209,,105290.61,,82886.48,,76279.6,,96415.58,,103145.0,,71550.0,,93405.04
ГОВЯДИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,28456.543853000003,,27109.63,,29150.68,,29647.48,,26824.13,,30299.0,,27863.0,,25748.22
СВИНИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,26522.222978,,28324.13,,25314.04,,27175.2,,26143.38,,28320.0,,24393.0,,23946.5
КОНСЕРВЫ  МЯСНЫЕ ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ (за условную банку весом 350 г),,,,38692.103736000005,,36514.87,,36853.74,,37445.84,,33957.76,,43424.0,,39851.0,,36401.96
РЫБА ЖИВАЯ,,,,38254.134556000005,,33342.56,,37046.9,,32970.6,,37105.6,,42662.0,,39980.0,,39817.78
