,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА  (кроме бескостного мяса),,,,51111.386194029845,,43000.0,,55270.0,,55000.0,,40820.0,,50783.0,,,,62140.0
ГОВЯДИНА БЕСКОСТНАЯ,,,,83121.530152,,76818.81,,78540.5,,84885.8,,77857.41,,92200.0,,80750.0,,78623.5
СВИНИНА (кроме бескостного мяса),,,,40761.000574,,45355.92,,41120.8,,41326.72,,36454.63,,39164.0,,39623.0,,43761.84
СВИНИНА БЕСКОСТНАЯ,,,,66043.50086000001,,61341.77,,65330.4,,66218.08,,66001.28,,68970.0,,62950.0,,69205.54
ФАРШ МЯСНОЙ (без добавок),,,,51647.41968800001,,53684.98,,48542.5,,48604.4,,54724.61,,54490.0,,48888.0,,50163.64
"КУРЫ (ЦЫПЛЯТА, ВКЛЮЧАЯ БРОЙЛЕРОВ)",,,,26140.989611999998,,26302.47,,26586.8,,24430.32,,25679.35,,26705.0,,26695.0,,25940.8
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,37486.118366,,37084.13,,38476.0,,35217.68,,37567.95,,36940.0,,37047.0,,41861.02
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,18611.36711,,19057.14,,19380.0,,19702.28,,18593.35,,16590.0,,19453.0,,19828.68
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,4193.939292,,4343.75,,3440.6,,4245.92,,4283.73,,4736.0,,3811.0,,3829.76
ПЕЛЬМЕНИ МЯСНЫЕ,,,,30361.89574,,29006.6,,27207.0,,33035.76,,30331.78,,30222.0,,32909.0,,28956.12
САЛО,,,,51332.962428,,40568.34,,55505.5,,48396.6,,48386.29,,59130.0,,47542.0,,51749.0
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,45412.036846,,46818.97,,43932.6,,44724.4,,45512.37,,45220.0,,46581.0,,45061.18
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,34054.843158,,37990.8,,34051.0,,33958.24,,31893.66,,35110.0,,35723.0,,26296.78
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА ,,,,28197.801308,,33483.54,,32083.2,,22203.96,,27154.14,,26975.0,,32913.0,,22860.76
КОЛБАСА ПОЛУКОПЧЕНАЯ,,,,70245.57033,,64636.7,,70164.8,,72619.6,,64158.03,,73664.0,,64741.0,,78794.56
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,131018.75282000001,,118255.43,,126693.1,,131026.68,,115794.3,,148073.0,,126568.0,,128449.28
"ПАШТЕТ, ЗЕЛЬЦ",,,,20055.9513,,21123.39,,18300.4,,17378.12,,16422.09,,24105.0,,20023.0,,17357.8
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,12591.513576,,13163.95,,11481.9,,14059.12,,10906.51,,12520.0,,13609.0,,11592.18
СОСИСКИ,,,,47389.67227,,47686.71,,43530.4,,47469.68,,45642.36,,50190.0,,44595.0,,49605.6
"ВЕТЧИНА, БУЖЕНИНА, ОКОРОК",,,,72640.48755,,76559.43,,71350.4,,60284.32,,78067.22,,83583.0,,58754.0,,71223.16
ГОВЯДИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,26870.582934000002,,23347.96,,25865.7,,27418.16,,23193.14,,31699.0,,24133.0,,26470.2
СВИНИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,23426.763752000003,,21621.43,,22118.9,,25149.48,,22970.87,,25006.0,,21751.0,,23513.9
КОНСЕРВЫ  МЯСНЫЕ ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ (за условную банку весом 350 г),,,,31099.268154,,27638.38,,32583.6,,30329.16,,28518.36,,34132.0,,31057.0,,29424.14
РЫБА ЖИВАЯ,,,,28009.16153,,24802.51,,25702.3,,26896.72,,29311.58,,29722.0,,29631.0,,28195.98
РЫБА МОРОЖЕНАЯ (тресковые и скумбриевые),,,,29594.513122,,22352.11,,23816.3,,27113.48,,27921.83,,36325.0,,31325.0,,30324.12
РЫБА МОРОЖЕНАЯ (филе и разделанная),,,,40915.569488,,41913.71,,28464.0,,31415.36,,40149.65,,60195.0,,26575.0,,37041.68
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ,,,,74491.551152,,71011.24,,72650.0,,83280.44,,86696.92,,69475.0,,76618.0,,67400.56
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ ДЕЛИКАТЕСНАЯ,,,,138877.11970799998,,165776.83,,131239.4,,91600.72,,134680.91,,119930.0,,173017.0,,183912.36
ИКРА ЛОСОСЕВЫХ РЫБ,,,,842223.463726,,780178.67,,817039.2,,826320.4,,875278.88,,948839.0,,759292.0,,774658.8
ПРОЧИЕ   ВИДЫ   ИКРЫ   РЫБ   (за условную банку весом      200 г),,,,18318.293588,,16946.57,,15881.7,,19534.28,,14541.87,,23318.0,,15702.0,,15448.54
СЕЛЬДЬ СОЛЕНАЯ,,,,32157.785103999995,,33614.57,,28455.6,,31282.24,,32008.56,,33180.0,,32297.0,,33051.42
"ПОЛУФАБРИКАТЫ РЫБНЫЕ (котлеты, палочки рыбные , фарш)",,,,35079.146106,,33836.02,,32889.1,,33620.84,,33418.65,,36464.0,,40044.0,,32250.98
КОНСЕРВЫ РЫБНЫЕ (за условную банку весом 350г),,,,14068.952032000001,,13939.11,,9968.5,,14804.36,,12028.2,,17127.0,,12744.0,,13793.64
КОНСЕРВЫ РЫБНЫЕ ДЕЛИКАТЕСНЫЕ (шпроты и лосось) - за условную банку весом 350 г,,,,27907.884140000002,,25305.94,,28946.0,,28062.48,,26738.02,,30835.0,,26041.0,,25850.12
ПРЕСЕРВЫ РЫБНЫЕ (филе сельди в различных соусах и заливках) - за условную банку весом 250 г,,,,15839.514738000002,,16877.61,,15458.0,,16716.32,,15904.3,,15634.0,,14961.0,,15484.84
,,,,,,,,,,,,,,,,,,
"* - на уровень средней цены, кроме ценовых факторов, оказывают влияние также структурные сдвиги, среди  которых особо следует  ",,,,,,,,,,,,,,,,,,
"выделить многообразные ассортиментные изменения: появление новых товаров, исчезновение старых, изменение  доли  отдельных",,,,,,,,,,,,,,,,,,
"товаров  с  различным уровнем  цен,  территориальные  сдвиги  в  размещении товаров с  региональной  дифференциацией  цен,  ",,,,,,,,,,,,,,,,,,
сезонные  колебания цен и прочее.  Поэтому средние цены не всегда могут быть использованы для характеристики динамики цен.,,,,,,,,,,,,,,,,,,
"МОЛОКО ЦЕЛЬНОЕ ПАСТЕРИЗОВАННОЕ, СЫРОЕ",,,,6163.269768,,5876.04,,6178.8,,6348.32,,6231.56,,6265.0,,6100.0,,6011.76
КЕФИР,,,,6232.550190000001,,6242.83,,6234.3,,6285.28,,6177.3,,6134.0,,6179.0,,6531.78
СМЕТАНА ,,,,23202.707501999997,,22633.59,,24710.5,,22310.8,,23075.64,,22936.0,,23852.0,,23305.46
ТВОРОГ ЖИРНЫЙ,,,,32307.775195999995,,32091.66,,31077.5,,30032.84,,31362.72,,35168.0,,29966.0,,33752.22
ТВОРОГ НЕЖИРНЫЙ,,,,29520.110924,,28971.35,,29483.5,,27876.8,,30559.92,,29413.0,,28044.0,,33773.4
ЙОГУРТ (за 250 г),,,,6182.222758,,6295.55,,5389.3,,6191.8,,6667.82,,6662.0,,5942.0,,5546.06
СЫРОК ГЛАЗИРОВАННЫЙ  (за 50 г),,,,3314.076842,,3258.38,,3128.9,,3420.44,,3440.49,,3141.0,,3288.0,,3818.3
"ТВОРОЖНЫЙ ДЕСЕРТ, КРЕМ, ПУДИНГ  (за 200 г)",,,,6674.5048480000005,,7289.46,,7132.1,,6657.28,,7474.59,,6060.0,,5542.0,,7792.88
"ПОЛУФАБРИКАТЫ ИЗ ТВОРОГА (вареники, блинчики)",,,,36893.200056,,34381.65,,36480.5,,36956.88,,32130.56,,42009.0,,34859.0,,34529.44
СУХИЕ МОЛОЧНЫЕ СМЕСИ  ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ,,,,62656.366858,,58837.58,,54757.8,,51058.16,,58198.61,,77719.0,,57375.0,,64478.0
МОЛОКО СГУЩЕНОЕ С САХАРОМ (за условную банку весом 400 г),,,,11994.739214000001,,11873.92,,11695.2,,11570.04,,11826.79,,12026.0,,12744.0,,12107.68
МОРОЖЕНОЕ,,,,61119.79296600001,,56496.27,,51012.0,,65217.68,,58090.14,,65651.0,,66152.0,,57175.4
СЫР  ТВЕРДЫЙ,,,,65269.343953999996,,63445.03,,59964.3,,66743.68,,63944.54,,67622.0,,62895.0,,70104.22
СЫР МЯГКИЙ ,,,,65946.15338,,46442.79,,47243.3,,40241.04,,44380.59,,110547.0,,51291.0,,71380.42
СЫР ПЛАВЛЕНЫЙ,,,,48809.163490000006,,46209.55,,53038.0,,48981.44,,43368.78,,48506.0,,51413.0,,49460.0
СЫР РАССОЛЬНЫЙ,,,,56721.78674399999,,50664.3,,51623.6,,49925.36,,57538.86,,60460.0,,70704.0,,49428.24
МАСЛО ЖИВОТНОЕ,,,,64880.525716,,63438.02,,59904.7,,63622.92,,63188.0,,70292.0,,66086.0,,59957.66
МАСЛО РАСТИТЕЛЬНОЕ (кроме оливкового),,,,16951.534704,,16624.63,,17103.3,,16932.8,,17874.53,,17228.0,,16418.0,,16330.02
МАСЛО ОЛИВКОВОЕ,,,,115051.385848,,144793.24,,89343.1,,111100.32,,105594.8,,115985.0,,119369.0,,113439.74
МАРГАРИН,,,,26540.078741999998,,25358.99,,24803.4,,25214.0,,25614.34,,29365.0,,26008.0,,26067.36
ЖИР ЖИВОТНЫЙ,,,,16182.680236000002,,16861.07,,9782.1,,10542.04,,13709.63,,24800.0,,14938.0,,11925.14
ЯЙЦА  КУРИНЫЕ,,,,12095.279027999999,,11415.66,,11567.1,,11026.64,,11311.42,,13095.0,,12597.0,,12453.3
САХАР-ПЕСОК,,,,8334.119932,,8175.93,,8282.5,,8288.0,,8400.0,,8400.0,,8367.0,,8372.28
ЧАЙ ЧЕРНЫЙ БАЙХОВЫЙ,,,,140324.51685,,148574.69,,143874.9,,124560.0,,129013.12,,133806.0,,164592.0,,141580.74
КОФЕ НАТУРАЛЬНЫЙ МОЛОТЫЙ,,,,132071.075936,,143368.74,,129434.8,,125424.96,,150344.74,,122733.0,,122327.0,,149956.08
КОФЕ РАСТВОРИМЫЙ,,,,286660.976956,,335489.89,,278897.7,,278244.32,,288598.76,,244983.0,,313628.0,,315295.08
МЁД  НАТУРАЛЬНЫЙ,,,,85056.318002,,80091.4,,81898.2,,79964.16,,76394.71,,110177.0,,66372.0,,70488.56
СОЛЬ  ПОВАРЕННАЯ  ПИЩЕВАЯ,,,,2651.538784,,2559.87,,2567.7,,2495.2,,2747.15,,2795.0,,2395.0,,2960.86
МУКА ПШЕНИЧНАЯ ,,,,6448.58348,,6141.03,,6219.2,,6089.2,,6443.15,,7133.0,,5996.0,,6427.0
"ХЛЕБ РЖАНОЙ,РЖАНО-ПШЕНИЧНЫЙ",,,,8562.86736,,8651.29,,8244.9,,7459.04,,7931.86,,10215.0,,7974.0,,7421.16
"ХЛЕБ, ИЗДЕЛИЯ БУЛОЧНЫЕ (БАТОН) ИЗ  МУКИ ПШЕНИЧНОЙ ВЫСШЕГО СОРТА",,,,13923.205392,,14629.02,,11691.4,,12642.84,,12781.91,,16741.0,,13529.0,,11630.34
"ХЛЕБ, ИЗДЕЛИЯ БУЛОЧНЫЕ (БАТОН) ИЗ  МУКИ ПШЕНИЧНОЙ ПЕРВОГО СОРТА",,,,9269.000450000001,,10625.83,,10374.6,,8481.0,,8722.0,,10850.0,,7068.0,,6810.0
ИЗДЕЛИЯ БУЛОЧНЫЕ СДОБНЫЕ ИЗ МУКИ  ПШЕНИЧНОЙ ВЫСШЕГО СОРТА,,,,20432.973476,,19923.11,,16513.9,,28110.04,,18022.36,,16949.0,,25270.0,,19985.0
"СУХАРИ, СУШКИ, БАРАНКИ",,,,30360.443118000003,,29445.85,,31386.5,,29562.56,,31825.55,,26898.0,,35642.0,,31704.48
РИС ШЛИФОВАННЫЙ И ПОЛИРОВАННЫЙ,,,,11804.350435999999,,10821.16,,11781.9,,11037.52,,11450.68,,13295.0,,11679.0,,10722.42
КРУПА МАННАЯ,,,,6905.38388,,5836.15,,6990.8,,7607.56,,6281.55,,7942.0,,5641.0,,6853.16
КРУПА ПШЕННАЯ,,,,8213.985998,,6992.54,,8437.1,,8647.12,,7323.68,,9213.0,,7995.0,,7467.6
КРУПА ГРЕЧНЕВАЯ,,,,10800.49103,,11030.98,,11396.6,,10354.84,,10740.18,,11222.0,,10160.0,,10271.3
ОВСЯНЫЕ ХЛОПЬЯ ,,,,10660.176791999998,,10187.19,,10226.9,,9409.6,,11005.23,,11820.0,,10640.0,,10100.14
ХЛОПЬЯ КУКУРУЗНЫЕ ,,,,26170.71235,,25250.73,,24550.9,,25184.84,,25980.2,,28679.0,,25937.0,,24475.74
КРУПА ПЕРЛОВАЯ,,,,5666.621844000001,,5887.07,,5306.1,,5709.28,,5075.71,,5937.0,,5448.0,,5919.46
КАШИ ДЛЯ ДЕТСКОГО И ДИЕТИЧЕСКОГО ПИТАНИЯ,,,,59863.32173000001,,51222.7,,55211.1,,48941.12,,51898.4,,82560.0,,53473.0,,48109.72
"ГОРОХ, ФАСОЛЬ",,,,12696.551576,,9378.91,,11366.3,,10531.92,,11047.22,,15617.0,,17108.0,,9178.6
МЮСЛИ И ПРОЧИЕ СУХИЕ ЗАВТРАКИ ИЗ РАЗЛИЧНЫХ КРУП,,,,43929.77030599999,,38038.32,,56135.9,,31486.84,,35525.17,,54956.0,,30722.0,,51722.62
"МАКАРОНЫ, РОЖКИ",,,,9376.74922,,8729.11,,8314.7,,8023.4,,8336.17,,11847.0,,8545.0,,8948.74
"ВЕРМИШЕЛЬ, ЛАПША",,,,9185.191359999999,,9095.5,,8769.9,,7679.36,,8073.53,,11261.0,,8200.0,,8830.72
ВОДКА ,,,,88939.898908,,90589.94,,89408.1,,88017.6,,82761.01,,92273.0,,88114.0,,86034.64
НАСТОЙКИ ГОРЬКИЕ КРЕПКИЕ,,,,108268.161114,,108189.3,,103161.8,,109603.2,,111485.36,,107921.0,,110968.0,,106476.58
КОНЬЯК,,,,241537.20397800003,,201316.77,,196529.2,,201247.68,,200852.98,,336050.0,,193329.0,,257594.36
ВИНО ВИНОГРАДНОЕ КРЕПЛЕНОЕ,,,,73061.784082,,62556.61,,68185.5,,66457.16,,62145.92,,88528.0,,80655.0,,60483.58
ВИНО ВИНОГРАДНОЕ СТОЛОВОЕ,,,,58487.12767,,41999.21,,51041.0,,45825.44,,41038.25,,79659.0,,56587.0,,69127.74
ПИВО,,,,15969.267708,,16277.4,,14827.8,,14254.2,,16806.54,,17121.0,,15444.0,,16110.6
ВИНО ИГРИСТОЕ  (ШАМПАНСКОЕ),,,,54006.121285999994,,52065.15,,53967.2,,55053.32,,52713.72,,54585.0,,54759.0,,53779.2
ВАФЛИ,,,,39975.246792,,41085.77,,41395.8,,42214.72,,40180.64,,36452.0,,41726.0,,40507.38
ПРЯНИКИ,,,,26797.951350000003,,24727.72,,25551.5,,26399.04,,25579.53,,27320.0,,28486.0,,28851.3
ПЕЧЕНЬЕ ,,,,27247.12818,,26622.33,,27305.8,,27445.6,,26955.77,,27974.0,,26967.0,,26469.64
ТОРТ,,,,65842.46705,,61306.08,,63059.9,,78756.32,,55673.08,,69795.0,,60639.0,,64120.48
ПИРОЖНЫЕ (за 1 шт. весом 100 г),,,,6392.4288559999995,,5498.73,,5229.1,,7269.0,,5348.75,,7273.0,,6321.0,,6486.14
ИРИС,,,,34503.177088,,34202.59,,35435.7,,34627.92,,35738.94,,35390.0,,31192.0,,34703.92
" КОНФЕТЫ ""КАРАМЕЛЬ""",,,,33522.786609999996,,31442.77,,34895.4,,31465.92,,30784.22,,33498.0,,37814.0,,34115.76
КОНФЕТЫ ГЛАЗИРОВАННЫЕ ШОКОЛАДНОЙ ГЛАЗУРЬЮ,,,,72688.65346999999,,66467.85,,76235.4,,64702.56,,68440.02,,78750.0,,76378.0,,70376.2
"КОНФЕТЫ ГЛАЗИРОВАННЫЕ ЖИРОВОЙ   ГЛАЗУРЬЮ (типа ""Лимонные"", ""Осенние"")",,,,40867.83438000001,,40140.67,,38398.3,,42981.44,,41388.85,,39330.0,,43015.0,,42307.14
ШОКОЛАД,,,,101587.837356,,98430.91,,98878.5,,98421.44,,104109.53,,104500.0,,103612.0,,100066.94
ХАЛВА,,,,36354.072312,,39964.07,,37201.5,,34485.88,,34274.66,,37185.0,,35709.0,,34119.08
МАРМЕЛАД,,,,29357.510847999998,,28248.57,,28727.8,,30651.96,,28957.14,,29970.0,,26898.0,,31922.86
ЗЕФИР,,,,36072.672242,,43662.43,,37172.2,,33452.52,,34500.03,,35805.0,,34208.0,,33633.46
КАКАО - ПОРОШОК (за 200 г),,,,25778.682188000002,,20540.79,,26486.3,,26320.72,,24189.63,,31085.0,,20048.0,,26428.3
КАРТОФЕЛЬ,,,,3748.0585280000005,,3719.42,,3524.8,,3184.92,,3241.77,,4550.0,,3826.0,,3090.98
ЧИПСЫ  КАРТОФЕЛЬНЫЕ (за 100 г),,,,11033.558845999998,,9971.41,,11301.6,,9104.92,,13599.23,,11444.0,,10776.0,,11441.42
КАПУСТА  БЕЛОКОЧАННАЯ  СВЕЖАЯ,,,,3744.553034,,3928.09,,4030.6,,3152.0,,4149.24,,3855.0,,3986.0,,2967.24
ЛУК РЕПЧАТЫЙ,,,,5538.409250000001,,4897.79,,5791.8,,4872.4,,5096.44,,6235.0,,5648.0,,5407.68
СВЕКЛА,,,,3981.8660900000004,,3852.09,,3846.0,,3810.72,,4048.35,,4300.0,,4223.0,,3302.42
МОРКОВЬ,,,,4888.365065999999,,4690.66,,5721.1,,4372.4,,4834.05,,5105.0,,4578.0,,4790.74
ПОМИДОРЫ СВЕЖИЕ,,,,11720.936091999998,,10965.77,,11450.3,,11664.28,,11015.62,,12983.0,,11817.0,,10314.6
ОГУРЦЫ СВЕЖИЕ,,,,14074.69026,,13368.88,,15021.2,,13420.24,,14275.81,,14890.0,,13695.0,,12954.26
ЧЕСНОК,,,,28511.697262,,27580.75,,29821.6,,27719.76,,27999.37,,31070.0,,26735.0,,25519.18
ПЕРЕЦ СЛАДКИЙ,,,,18051.288372000003,,13565.75,,26352.6,,12911.68,,24531.03,,19107.0,,11775.0,,20673.72
ОВОЩИ ЗАМОРОЖЕННЫЕ,,,,27408.078958,,25866.29,,26299.0,,26865.72,,26738.16,,29698.0,,28708.0,,24222.56
ОВОЩИ КОНСЕРВИРОВАННЫЕ,,,,19958.56805,,15590.72,,16470.1,,17443.6,,17384.95,,25072.0,,19863.0,,22123.1
СОУС ТОМАТНЫЙ,,,,20098.571490000002,,18553.19,,18351.7,,20460.0,,20149.2,,19420.0,,23465.0,,20620.7
ЯБЛОКИ,,,,9153.169978,,7281.99,,10751.8,,7856.68,,7716.08,,10398.0,,10092.0,,8258.16
"ПЛОДЫ ЦИТРУСОВЫЕ  (апельсины, лимоны, мандарины)",,,,20225.269722,,17565.54,,18967.2,,19191.92,,21368.68,,23280.0,,21144.0,,16039.26
ВИНОГРАД,,,,22327.538240000005,,21635.6,,23599.9,,19761.44,,24201.18,,22550.0,,22795.0,,22136.5
БАНАНЫ,,,,11907.778944,,12014.37,,12126.2,,11647.76,,12393.52,,11800.0,,11868.0,,11736.66
СУХОФРУКТЫ,,,,46893.538764000004,,39414.49,,45574.3,,40181.88,,49976.59,,51260.0,,51414.0,,46170.82
ОРЕХИ,,,,69118.835756,,50769.4,,70360.0,,64166.48,,43556.2,,78390.0,,84782.0,,76381.72
ФРУКТЫ КОНСЕРВИРОВАННЫЕ,,,,26958.117742000002,,23509.16,,24980.3,,26193.36,,29018.93,,28474.0,,26363.0,,29445.7
КОНСЕРВЫ  ФРУКТОВЫЕ  ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО  ПИТАНИЯ,,,,34806.455556,,26861.1,,32278.3,,26607.24,,28571.73,,47069.0,,35373.0,,31995.64
"СОК, НЕКТАР ФРУКТОВЫЙ,  ЯГОДНЫЙ",,,,11036.327044,,10229.72,,10439.0,,10923.92,,10706.86,,12152.0,,11415.0,,9770.2
