,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА  (кроме бескостного мяса),,,,55557.23521192362,,53000.0,,68437.5,,56667.0,,41190.0,,54350.0,,,,60695.0
ГОВЯДИНА БЕСКОСТНАЯ,,,,86196.24066,,72238.75,,77760.8,,80417.2,,72707.68,,116308.0,,71193.0,,74431.17
СВИНИНА (кроме бескостного мяса),,,,45132.554162,,47828.26,,44769.1,,47084.0,,40867.12,,40655.0,,49000.0,,51176.19
СВИНИНА БЕСКОСТНАЯ,,,,66684.064841,,63878.29,,64270.2,,65767.65,,65434.04,,68262.0,,65878.0,,72649.89
ФАРШ МЯСНОЙ (без добавок),,,,55623.291279,,57587.05,,49510.5,,49786.35,,54583.88,,66863.0,,49312.0,,46883.39
"КУРЫ (ЦЫПЛЯТА, ВКЛЮЧАЯ БРОЙЛЕРОВ)",,,,26711.370239,,26351.86,,26925.6,,26916.05,,26013.28,,26969.0,,26646.0,,26791.09
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,36681.17164,,36675.56,,37257.1,,37294.3,,33982.12,,36086.0,,36471.0,,40112.03
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,18365.091711,,18374.46,,18671.2,,20596.85,,15750.04,,17543.0,,18357.0,,20264.79
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,4032.2327410000007,,3749.32,,3360.1,,4390.05,,3482.8,,4771.0,,3682.0,,3806.78
ПЕЛЬМЕНИ МЯСНЫЕ,,,,29105.378515999997,,27589.42,,24958.8,,30662.0,,28479.52,,30207.0,,30897.0,,29228.16
САЛО,,,,50048.879013,,42132.04,,55102.8,,47307.35,,47837.84,,55430.0,,45763.0,,51262.05
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,45833.516009,,46040.88,,42940.3,,44983.45,,45418.24,,47655.0,,45496.0,,46075.98
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,35734.234965999996,,36275.8,,33619.0,,33775.9,,30761.28,,37692.0,,44965.0,,26871.2
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА ,,,,27978.234912,,32418.84,,34915.3,,21902.9,,24692.44,,26253.0,,32689.0,,23109.57
КОЛБАСА ПОЛУКОПЧЕНАЯ,,,,73146.562491,,63535.28,,76295.5,,79387.85,,65053.72,,80936.0,,62600.0,,75999.71
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,120815.98937599998,,115343.34,,117879.1,,118487.6,,108632.12,,135165.0,,118192.0,,111577.46
"ПАШТЕТ, ЗЕЛЬЦ",,,,18725.113454000002,,17182.13,,20145.0,,12815.7,,14983.8,,23422.0,,18835.0,,17439.77
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,11811.915619,,11096.81,,11459.2,,13378.65,,9641.16,,11371.0,,13548.0,,12276.46
СОСИСКИ,,,,46262.346996,,47380.85,,42103.0,,47450.0,,43107.76,,48480.0,,44456.0,,48237.67
"ВЕТЧИНА, БУЖЕНИНА, ОКОРОК",,,,67413.09940199999,,66425.78,,64332.9,,58937.3,,63985.4,,75230.0,,62477.0,,72455.86
ГОВЯДИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,25390.944761000002,,22479.45,,25250.2,,25735.15,,22826.76,,27622.0,,25028.0,,26025.12
СВИНИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,21332.775418999998,,19964.32,,20033.8,,21389.15,,20713.24,,21950.0,,22026.0,,22616.18
КОНСЕРВЫ  МЯСНЫЕ ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ (за условную банку весом 350 г),,,,23830.789359,,22088.92,,25182.9,,21996.45,,23311.28,,26464.0,,23121.0,,21036.29
РЫБА ЖИВАЯ,,,,28739.486909,,26637.56,,27425.4,,31249.15,,28565.36,,28797.0,,29664.0,,28572.31
РЫБА МОРОЖЕНАЯ (тресковые и скумбриевые),,,,30093.578702000003,,22700.23,,24283.2,,28420.0,,28674.6,,34990.0,,32213.0,,33945.26
РЫБА МОРОЖЕНАЯ (филе и разделанная),,,,40882.20537,,41725.8,,27893.1,,27737.9,,37334.2,,60890.0,,30797.0,,35193.1
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ,,,,71546.10579,,68170.22,,79905.8,,90067.1,,78211.88,,58164.0,,73482.0,,69045.12
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ ДЕЛИКАТЕСНАЯ,,,,125602.798273,,161497.91,,116168.7,,87371.85,,114956.96,,101185.0,,161044.0,,168817.33
ИКРА ЛОСОСЕВЫХ РЫБ,,,,659494.319565,,611406.92,,674183.2,,612881.35,,614577.08,,778766.0,,588397.0,,582170.87
ПРОЧИЕ   ВИДЫ   ИКРЫ   РЫБ   (за условную банку весом      200 г),,,,16937.130363000004,,14859.15,,15178.1,,18330.85,,14031.8,,20568.0,,15986.0,,14413.44
СЕЛЬДЬ СОЛЕНАЯ,,,,32077.937560000002,,32593.74,,29432.1,,31246.2,,32262.36,,32600.0,,31377.0,,35092.04
"ПОЛУФАБРИКАТЫ РЫБНЫЕ (котлеты, палочки рыбные , фарш)",,,,33589.818508000004,,38807.01,,36076.7,,35567.5,,34936.92,,30360.0,,32735.0,,29901.22
КОНСЕРВЫ РЫБНЫЕ (за условную банку весом 350г),,,,14666.443684000002,,12372.17,,11648.4,,14496.8,,12775.8,,19911.0,,11491.0,,13573.17
КОНСЕРВЫ РЫБНЫЕ ДЕЛИКАТЕСНЫЕ (шпроты и лосось) - за условную банку весом 350 г,,,,26340.550307,,25557.78,,27211.8,,27164.15,,26046.84,,27258.0,,25017.0,,24878.22
ПРЕСЕРВЫ РЫБНЫЕ (филе сельди в различных соусах и заливках) - за условную банку весом 250 г,,,,14073.754010999999,,14092.99,,13456.4,,14794.05,,14248.84,,14368.0,,13309.0,,13960.94
,,,,,,,,,,,,,,,,,,
"* - на уровень средней цены, кроме ценовых факторов, оказывают влияние также структурные сдвиги, среди  которых особо следует  ",,,,,,,,,,,,,,,,,,
"выделить многообразные ассортиментные изменения: появление новых товаров, исчезновение старых, изменение  доли  отдельных",,,,,,,,,,,,,,,,,,
"товаров  с  различным уровнем  цен,  территориальные  сдвиги  в  размещении товаров с  региональной  дифференциацией  цен,  ",,,,,,,,,,,,,,,,,,
сезонные  колебания цен и прочее.  Поэтому средние цены не всегда могут быть использованы для характеристики динамики цен.,,,,,,,,,,,,,,,,,,
"МОЛОКО ЦЕЛЬНОЕ ПАСТЕРИЗОВАННОЕ, СЫРОЕ",,,,5919.16924,,6100.48,,5817.4,,5615.8,,6147.64,,6110.0,,5792.0,,5597.56
КЕФИР,,,,6077.889913999999,,6413.53,,6322.8,,5842.6,,6050.88,,5985.0,,5953.0,,6108.74
СМЕТАНА ,,,,22722.754653,,22969.92,,26051.6,,20619.05,,23546.24,,21438.0,,22172.0,,24499.1
ТВОРОГ ЖИРНЫЙ,,,,29468.031463,,29143.77,,28845.7,,29549.45,,28687.76,,30257.0,,27348.0,,32250.88
ТВОРОГ НЕЖИРНЫЙ,,,,25532.98498,,24847.42,,23193.4,,25896.8,,25339.48,,26165.0,,26353.0,,26116.22
ЙОГУРТ (за 250 г),,,,5120.21318,,5348.5,,5033.8,,5230.7,,5143.2,,5402.0,,4544.0,,4797.55
СЫРОК ГЛАЗИРОВАННЫЙ  (за 50 г),,,,3112.871705,,2870.24,,2974.8,,3393.35,,3021.84,,3013.0,,3127.0,,3598.11
"ТВОРОЖНЫЙ ДЕСЕРТ, КРЕМ, ПУДИНГ  (за 200 г)",,,,6273.57927,,6532.93,,7306.0,,6526.1,,6489.0,,5804.0,,5663.0,,6286.85
СУХИЕ МОЛОЧНЫЕ СМЕСИ  ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ,,,,60690.548070000004,,53110.93,,60183.6,,48418.7,,53134.04,,76317.0,,56249.0,,58064.31
МОЛОКО СГУЩЕНОЕ С САХАРОМ (за условную банку весом 400 г),,,,11553.610393000003,,11304.23,,11556.2,,11665.45,,11251.88,,11366.0,,12582.0,,11111.01
МОРОЖЕНОЕ,,,,50642.399268,,46869.91,,50138.0,,49414.4,,48437.64,,53921.0,,53307.0,,47212.15
СЫР  ТВЕРДЫЙ,,,,60923.845209,,58642.84,,56565.0,,62558.45,,58689.48,,63832.0,,58887.0,,64419.24
СЫР МЯГКИЙ ,,,,57062.039040999996,,41776.43,,42860.3,,37309.55,,35745.48,,90159.0,,50254.0,,60720.2
СЫР ПЛАВЛЕНЫЙ,,,,45407.583359000004,,44129.85,,44903.9,,45760.25,,43357.92,,45710.0,,47304.0,,45925.2
СЫР РАССОЛЬНЫЙ,,,,50331.92085,,49445.91,,47094.3,,48925.0,,50006.04,,54045.0,,49889.0,,47910.76
МАСЛО ЖИВОТНОЕ,,,,57260.63792,,57077.53,,55325.8,,53519.0,,56320.44,,56845.0,,62925.0,,58794.81
МАСЛО РАСТИТЕЛЬНОЕ (кроме оливкового),,,,17127.379526,,16643.96,,16892.0,,16578.7,,16639.8,,17800.0,,17592.0,,16746.38
МАСЛО ОЛИВКОВОЕ,,,,105924.70792400002,,87007.52,,94316.4,,96669.4,,102401.56,,132500.0,,99592.0,,95617.86
МАРГАРИН,,,,25677.420318,,24438.22,,22777.1,,23760.8,,23973.52,,28745.0,,26956.0,,24808.97
ЯЙЦА  КУРИНЫЕ,,,,10007.84972,,10383.95,,9501.3,,9629.4,,10312.8,,10009.0,,9986.0,,10324.35
САХАР-ПЕСОК,,,,7932.769407,,7775.93,,7862.4,,7886.25,,8000.0,,8000.0,,7969.0,,7971.86
ЧАЙ ЧЕРНЫЙ БАЙХОВЫЙ,,,,132076.64958899998,,134393.02,,127068.5,,110972.25,,119222.92,,128226.0,,169435.0,,133755.0
КОФЕ НАТУРАЛЬНЫЙ МОЛОТЫЙ,,,,140134.061694,,148297.74,,141155.3,,127644.7,,156351.2,,130168.0,,136598.0,,159565.52
КОФЕ РАСТВОРИМЫЙ,,,,289750.178297,,350550.45,,286447.2,,283296.35,,314103.76,,221076.0,,331393.0,,328198.3
МЁД  НАТУРАЛЬНЫЙ,,,,75156.592867,,70147.21,,75911.8,,73801.95,,68893.56,,88052.0,,64617.0,,68444.55
СОЛЬ  ПОВАРЕННАЯ  ПИЩЕВАЯ,,,,2201.359073,,2116.66,,2093.7,,2062.15,,2041.76,,2554.0,,1933.0,,2198.83
МУКА ПШЕНИЧНАЯ ,,,,4513.315051,,3972.64,,4349.9,,4385.65,,4559.48,,5026.0,,4357.0,,4328.45
"ХЛЕБ РЖАНОЙ,РЖАНО-ПШЕНИЧНЫЙ",,,,6410.153476,,6383.53,,6200.1,,5406.0,,6076.52,,7488.0,,5796.0,,6234.91
"ХЛЕБ, ИЗДЕЛИЯ БУЛОЧНЫЕ (БАТОН) ИЗ  МУКИ ПШЕНИЧНОЙ ВЫСШЕГО СОРТА",,,,10457.383356,,12383.19,,9046.0,,9211.2,,9697.12,,11028.0,,11267.0,,9358.41
"ХЛЕБ, ИЗДЕЛИЯ БУЛОЧНЫЕ (БАТОН) ИЗ  МУКИ ПШЕНИЧНОЙ ПЕРВОГО СОРТА",,,,6478.463919999999,,8292.08,,8455.0,,6870.0,,6302.0,,5357.0,,5818.0,,5431.0
