,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА ПЕРВОЙ КАТЕГОРИИ,,,,12313.779484,,11137.64,,11693.76,,10938.0,,11570.0,,13540.0,,12533.0,,13614.89
ПОЛУФАБРИКАТЫ МЯСНЫЕ ИЗ ГОВЯДИНЫ,,,,18020.721562000002,,15856.06,,20116.56,,18243.86,,17139.33,,19752.0,,16457.0,,16706.46
СВИНИНА (кроме бескостного мяса),,,,11615.212010000003,,11326.26,,11016.52,,11328.6,,10103.32,,12200.0,,12051.0,,12453.9
ПОЛУФАБРИКАТЫ МЯСНЫЕ  ИЗ СВИНИНЫ,,,,18716.358644000004,,15714.46,,19572.92,,18704.84,,18599.25,,20033.0,,18667.0,,18295.35
ФАРШ МЯСНОЙ (без добавок),,,,14327.414786000003,,13457.0,,13147.04,,14180.76,,15181.61,,14776.0,,15516.0,,13207.98
МЯСО ПТИЦЫ,,,,8129.272602,,8070.0,,8286.64,,7888.56,,8078.77,,8111.0,,8233.0,,8291.35
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,10754.406496000001,,10905.34,,10658.0,,9659.34,,10637.46,,11152.0,,10996.0,,10871.67
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,5865.84436,,5830.66,,4953.24,,6418.14,,5854.68,,5915.0,,6191.0,,5639.11
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,1092.8525500000003,,1083.64,,1074.36,,1097.84,,988.37,,1266.0,,993.0,,921.46
ПЕЛЬМЕНИ МЯСНЫЕ,,,,9670.642174,,8527.48,,8191.24,,10010.88,,9170.83,,10899.0,,10113.0,,9045.91
САЛО,,,,12553.108858000001,,9476.14,,12655.96,,12386.92,,12220.5,,14805.0,,11668.0,,12319.39
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,12653.867058000002,,12735.9,,13006.4,,13087.28,,12427.3,,12164.0,,12588.0,,13166.81
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,9650.131552,,9358.2,,10264.48,,10616.52,,9258.66,,8720.0,,10647.0,,9377.22
