,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,Минская,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА ПЕРВОЙ КАТЕГОРИИ,,,,12339.735756,,11722.6,,12394.44,,10833.0,,11687.0,,13176.0,,12270.0,,13670.0
ПОЛУФАБРИКАТЫ МЯСНЫЕ ИЗ ГОВЯДИНЫ,,,,19271.094210000003,,16523.14,,21818.28,,19259.84,,18153.98,,21613.0,,16939.0,,18260.86
СВИНИНА (кроме бескостного мяса),,,,11844.019022000002,,12025.56,,11631.88,,11864.86,,10603.52,,11604.0,,12321.0,,13037.03
ПОЛУФАБРИКАТЫ МЯСНЫЕ  ИЗ СВИНИНЫ,,,,19264.560454000006,,16086.02,,20106.72,,18950.4,,18886.88,,20671.0,,19139.0,,19635.77
ФАРШ МЯСНОЙ (без добавок),,,,14583.039254000001,,14516.68,,13842.96,,14546.32,,15965.01,,14320.0,,15468.0,,13543.8
МЯСО ПТИЦЫ,,,,8441.095740000002,,8337.46,,8726.96,,8202.88,,8288.97,,8336.0,,8549.0,,8831.54
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,11269.867460000001,,11264.56,,11253.56,,10023.92,,10945.78,,11598.0,,11998.0,,11374.89
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,6427.572620000001,,5923.44,,6528.6,,6801.84,,6058.98,,6748.0,,6413.0,,6011.52
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,1117.2135300000002,,1100.26,,1111.24,,1117.08,,1035.62,,1235.0,,1033.0,,1045.93
ПЕЛЬМЕНИ МЯСНЫЕ,,,,10060.873416,,8969.86,,8725.0,,10231.0,,9408.53,,11425.0,,10391.0,,9398.21
САЛО,,,,12772.524946000001,,9898.56,,13452.76,,12225.98,,12210.38,,14612.0,,12334.0,,12776.51
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,13248.751760000003,,13044.2,,13649.76,,13473.68,,12733.0,,13293.0,,12671.0,,14002.6
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,10058.390516000001,,9732.12,,10573.68,,10924.18,,9576.95,,9240.0,,10940.0,,10049.36
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА ,,,,8087.963184000001,,8356.86,,9239.92,,7117.24,,8083.79,,7397.0,,8690.0,,8631.41
КОЛБАСА ПОЛУКОПЧЕНАЯ,,,,20317.400056000006,,17431.76,,20075.08,,20141.5,,19060.49,,22681.0,,19005.0,,21543.34
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,31973.233748000002,,27839.16,,32323.12,,30923.2,,31981.62,,35219.0,,30344.0,,32123.19
"ПАШТЕТ, ЗЕЛЬЦ",,,,6071.560128000001,,5874.12,,5635.88,,5596.0,,5283.22,,7163.0,,6220.0,,5211.63
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,3769.4210460000004,,3784.64,,3642.16,,4148.94,,3559.78,,3515.0,,4286.0,,3511.53
СОСИСКИ,,,,12963.034704000002,,11885.28,,12092.08,,13153.46,,12671.13,,13640.0,,12584.0,,14178.15
"ВЕТЧИНА, БУЖЕНИНА, ОКОРОК",,,,19527.422316000007,,20433.36,,21954.52,,16497.54,,20155.55,,20328.0,,15846.0,,22279.36
ГОВЯДИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,5989.114024,,5870.98,,5605.76,,6462.4,,5919.71,,6203.0,,6178.0,,5186.77
СВИНИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,5680.826302,,5389.82,,5178.08,,5748.9,,5907.19,,5888.0,,5866.0,,5498.53
КОНСЕРВЫ  МЯСНЫЕ ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ (за условную банку весом 350 г),,,,6801.802973999999,,6817.72,,6559.48,,6925.62,,6536.68,,6804.0,,6942.0,,6959.43
РЫБА ЖИВАЯ,,,,6971.569732000001,,5931.68,,7074.4,,7154.38,,6301.07,,7599.0,,7000.0,,6935.64
РЫБА МОРОЖЕНАЯ (тресковые и скумбриевые),,,,8977.889370000003,,6181.68,,7678.08,,7800.02,,9145.12,,10764.0,,9681.0,,9749.73
РЫБА МОРОЖЕНАЯ (филе и разделанная),,,,12487.706680000003,,11002.3,,9100.68,,9510.68,,10177.45,,19346.0,,9786.0,,10747.21
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ,,,,22503.943334000007,,20771.22,,26114.8,,25252.18,,23648.47,,19861.0,,25367.0,,18328.99
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ ДЕЛИКАТЕСНАЯ,,,,32468.020404000003,,27031.34,,25334.24,,21285.78,,28440.4,,39802.0,,36100.0,,42336.8
ИКРА ЛОСОСЕВЫХ РЫБ,,,,218666.01793600002,,187294.92,,210817.36,,230474.62,,218509.97,,240093.0,,196646.0,,228281.29
ПРОЧИЕ ВИДЫ ИКРЫ РЫБ (за условную банку весом  200 г),,,,5632.619864000001,,6637.58,,4861.4,,6460.16,,4620.07,,6021.0,,5054.0,,5025.07
СЕЛЬДЬ СОЛЕНАЯ,,,,7325.588232000001,,8048.48,,6574.32,,6898.64,,7320.5,,7633.0,,7115.0,,7368.56
"ПОЛУФАБРИКАТЫ РЫБНЫЕ (котлеты, палочки рыбные , фарш)",,,,11230.617394000003,,11804.18,,11555.6,,10709.26,,10242.63,,10563.0,,12627.0,,11535.11
КОНСЕРВЫ РЫБНЫЕ (за условную банку весом 350г),,,,3869.929966,,3504.82,,3130.68,,3791.96,,3288.3,,5044.0,,3590.0,,3243.13
КОНСЕРВЫ РЫБНЫЕ ДЕЛИКАТЕСНЫЕ (шпроты и лосось) - за условную банку весом 350 г,,,,7945.834160000001,,8126.12,,7878.36,,7818.54,,7677.85,,7990.0,,7704.0,,8482.06
ПРЕСЕРВЫ РЫБНЫЕ (филе сельди в различных соусах и заливках) - за условную банку весом 250 г,,,,3507.123412000001,,3355.04,,3450.08,,3673.0,,3443.58,,3564.0,,3152.0,,3982.01
"МОЛОКО ЦЕЛЬНОЕ ПАСТЕРИЗОВАННОЕ, СЫРОЕ",,,,1592.1249560000003,,1626.14,,1564.4,,1518.56,,1433.51,,1680.0,,1614.0,,1581.75
КЕФИР,,,,1638.5840920000003,,1653.86,,1543.16,,1587.52,,1455.23,,1728.0,,1714.0,,1643.55
СМЕТАНА ,,,,6903.311286000001,,6379.62,,6904.12,,5726.86,,6876.43,,7769.0,,6716.0,,7186.32
ТВОРОГ ЖИРНЫЙ,,,,9011.655900000002,,8334.18,,7402.12,,7890.72,,8570.97,,11561.0,,7828.0,,8783.9
ТВОРОГ НЕЖИРНЫЙ,,,,8297.495238000001,,10081.88,,6185.36,,6521.98,,9847.88,,9049.0,,6967.0,,9270.84
ЙОГУРТ (за 250 г),,,,1607.9828420000001,,2096.92,,1668.92,,1719.98,,1721.64,,1491.0,,1207.0,,1543.72
ГЛАЗИРОВАННЫЙ СЫРОК (за 50 г),,,,856.879908,,788.1,,774.6,,896.88,,862.33,,876.0,,809.0,,1001.03
"ТВОРОЖНЫЙ ДЕСЕРТ, КРЕМ, ПУДИНГ  (за 200 г)",,,,2001.9070080000001,,1967.44,,2269.28,,1728.32,,2015.2,,2177.0,,1814.0,,1905.9
