,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА  (кроме бескостного мяса),,,,7.94,,9.57,,7.04,,7.15,,6.76,,8.53,,7.91,,7.59
ГОВЯДИНА БЕСКОСТНАЯ,,,,12.74,,11.26,,12.26,,11.58,,11.5,,14.7,,14.07,,10.75
СВИНИНА (кроме бескостного мяса),,,,6.92,,7.21,,6.48,,6.61,,6.79,,7.0,,7.29,,6.88
СВИНИНА БЕСКОСТНАЯ,,,,10.33,,10.01,,9.89,,10.89,,10.65,,10.03,,10.48,,10.74
ФАРШ МЯСНОЙ ,,,,7.61,,7.3,,7.62,,7.47,,8.02,,7.81,,7.47,,7.45
"КУРЫ (ЦЫПЛЯТА, ВКЛЮЧАЯ БРОЙЛЕРОВ)",,,,3.84,,3.68,,3.87,,3.89,,3.85,,3.9,,3.87,,3.7
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,4.83,,4.79,,4.94,,4.75,,4.93,,4.81,,4.91,,4.73
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,3.65,,3.24,,3.66,,3.3,,4.06,,4.0,,3.14,,3.87
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,0.68,,0.64,,0.65,,0.69,,0.68,,0.72,,0.7,,0.64
ПЕЛЬМЕНИ МЯСНЫЕ,,,,5.8,,4.99,,5.47,,5.56,,5.19,,6.69,,5.89,,5.5
"САЛО, ГРУДИНКА",,,,10.74,,9.05,,10.27,,9.87,,10.4,,11.89,,11.41,,10.82
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,7.05,,6.84,,6.74,,7.45,,7.19,,7.05,,7.0,,7.05
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,5.43,,4.7,,5.28,,4.02,,5.16,,6.78,,5.57,,4.81
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА И БЕССОРТОВАЯ ,,,,4.17,,4.05,,3.95,,4.0,,4.03,,4.34,,4.73,,3.76
"КОЛБАСА ПОЛУКОПЧЕНАЯ, ВАРЕНО-КОПЧЕНАЯ",,,,10.18,,9.89,,9.97,,9.93,,9.92,,10.89,,9.87,,9.84
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,19.15,,18.26,,19.5,,19.14,,19.03,,19.99,,19.31,,17.41
"ПАШТЕТ, ЗЕЛЬЦ, САЛЬТИСОН",,,,4.62,,3.52,,4.78,,3.62,,3.75,,5.61,,5.23,,4.48
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,2.6,,2.83,,2.78,,2.87,,2.21,,2.53,,2.54,,2.38
"СОСИСКИ, САРДЕЛЬКИ",,,,7.33,,6.76,,6.75,,6.92,,6.42,,8.2,,7.52,,7.5
"ИЗДЕЛИЯ ИЗ ГОВЯДИНЫ, СВИНИНЫ ВАРЕНЫЕ, ВАРЕНО-КОПЧЕНЫЕ: ВЕТЧИНА, БУЖЕНИНА, ОКОРОК И ПРОЧИЕ",,,,12.17,,10.61,,12.43,,11.77,,12.1,,13.36,,11.5,,12.0
ГОВЯДИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за 1 усл. банку весом 350 г),,,,3.62,,3.63,,3.69,,3.54,,3.66,,3.74,,3.71,,3.19
СВИНИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за 1 усл. банку весом 350 г),,,,3.71,,3.46,,3.72,,3.67,,3.73,,3.74,,3.82,,3.78
КОНСЕРВЫ  МЯСНЫЕ  ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ (за 1 усл. банку весом 350 г),,,,7.6,,8.07,,7.6,,7.64,,7.26,,7.64,,7.21,,7.76
РЫБА ЖИВАЯ,,,,5.39,,4.88,,5.4,,5.69,,5.64,,5.18,,5.41,,5.89
РЫБА МОРОЖЕНАЯ НЕРАЗДЕЛАННАЯ (тресковые и скумбриевые),,,,4.41,,4.31,,4.13,,4.36,,4.26,,4.88,,4.12,,4.18
РЫБА МОРОЖЕНАЯ (филе и разделанная),,,,7.16,,5.88,,7.16,,6.81,,6.85,,7.59,,8.58,,6.46
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ (кроме сельди и рыбы деликатесной),,,,11.04,,11.11,,10.65,,10.68,,12.72,,10.48,,11.03,,11.72
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ ДЕЛИКАТЕСНАЯ,,,,41.23,,41.91,,38.67,,38.63,,45.82,,38.89,,45.02,,43.57
ИКРА ЛОСОСЕВЫХ РЫБ,,,,131.63,,117.4,,146.11,,145.39,,127.51,,127.68,,130.89,,129.98
ПРОЧИЕ   ВИДЫ   ИКРЫ   РЫБ   (за 1 усл. банку весом  200 г),,,,3.79,,4.06,,3.45,,3.93,,3.79,,3.78,,3.55,,3.96
СЕЛЬДЬ СОЛЕНАЯ,,,,5.44,,5.72,,5.71,,5.02,,5.15,,5.67,,5.21,,5.37
"ПОЛУФАБРИКАТЫ РЫБНЫЕ (котлеты, палочки рыбные , фарш)",,,,7.3,,5.7,,7.45,,7.4,,7.05,,8.43,,7.14,,6.31
КОНСЕРВЫ РЫБНЫЕ (кроме деликатесных) (за 1 усл. банку весом 350г),,,,3.22,,3.18,,3.09,,2.92,,2.72,,3.78,,3.22,,2.82
КОНСЕРВЫ РЫБНЫЕ  ДЕЛИКАТЕСНЫЕ ( шпроты и лосось) (за  1 усл. банку весом 350 г),,,,5.02,,4.93,,4.97,,4.85,,5.09,,5.12,,4.96,,5.18
ПРЕСЕРВЫ РЫБНЫЕ (филе сельди в различных соусах и заливках) (за 1 усл. банку весом 250 г),,,,2.53,,2.38,,2.49,,2.53,,2.44,,2.63,,2.51,,2.56
,,,,,,,,,,,,,,,,,,
"* - на уровень средней цены, кроме ценовых факторов, оказывают влияние также структурные сдвиги, среди  которых особо следует  ",,,,,,,,,,,,,,,,,,
"выделить многообразные ассортиментные изменения: появление новых товаров, исчезновение старых, изменение  доли  отдельных",,,,,,,,,,,,,,,,,,
"товаров  с  различным уровнем  цен,  территориальные  сдвиги  в  размещении товаров с  региональной  дифференциацией  цен,  ",,,,,,,,,,,,,,,,,,
сезонные  колебания цен и прочее.  Поэтому средние цены не всегда могут быть использованы для характеристики динамики цен.,,,,,,,,,,,,,,,,,,
** - с января 2014 года расчет средних цен производится по формуле средней геометрической величины,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"МОЛОКО ЦЕЛЬНОЕ ПАСТЕРИЗОВАННОЕ, СТЕРИЛИЗОВАННОЕ",,,,1.33,,1.26,,1.22,,1.27,,1.26,,1.33,,1.42,,1.62
КЕФИР (ПРОДУКТ КЕФИРНЫЙ),,,,1.33,,1.28,,1.29,,1.27,,1.33,,1.4,,1.29,,1.32
СМЕТАНА ,,,,4.75,,4.76,,4.69,,4.35,,4.71,,5.03,,4.63,,4.82
ТВОРОГ ЖИРНЫЙ,,,,6.16,,5.83,,6.2,,6.18,,5.75,,6.46,,5.94,,6.34
ТВОРОГ НЕЖИРНЫЙ,,,,5.47,,5.47,,5.5,,5.45,,5.31,,5.68,,4.99,,5.7
ЙОГУРТ (за 250 г),,,,1.17,,1.13,,1.11,,1.13,,1.18,,1.2,,1.17,,1.27
СЫРОК ГЛАЗИРОВАННЫЙ  (за 50 г),,,,0.63,,0.6,,0.66,,0.59,,0.59,,0.67,,0.62,,0.65
"ТВОРОЖНЫЙ ДЕСЕРТ, КРЕМ, ПУДИНГ, ПАСТА  (за 200 г)",,,,1.36,,1.43,,1.4,,1.32,,1.33,,1.33,,1.22,,1.58
"ПОЛУФАБРИКАТЫ ИЗ ТВОРОГА (вареники, блинчики)",,,,6.49,,5.89,,6.47,,6.58,,6.09,,7.17,,6.31,,5.93
СУХИЕ МОЛОЧНЫЕ СМЕСИ  ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ,,,,16.18,,18.61,,16.06,,16.54,,15.87,,14.08,,17.75,,16.85
МОЛОКО СГУЩЕНОЕ С САХАРОМ (за 1 усл. банку весом 400 г),,,,2.33,,2.16,,2.43,,2.21,,2.32,,2.31,,2.41,,2.52
МОРОЖЕНОЕ,,,,13.0,,12.55,,11.83,,14.4,,12.58,,12.74,,13.91,,12.94
СЫР  ТВЕРДЫЙ,,,,13.0,,12.61,,12.5,,13.79,,12.3,,12.95,,13.73,,12.88
СЫР МЯГКИЙ ,,,,11.95,,10.06,,12.41,,9.56,,9.49,,14.61,,12.08,,11.97
СЫР ПЛАВЛЕНЫЙ,,,,10.28,,9.65,,11.41,,8.67,,8.26,,11.29,,11.41,,9.71
СЫР РАССОЛЬНЫЙ ,,,,11.82,,12.46,,12.74,,10.67,,10.66,,11.5,,12.74,,12.37
МАСЛО ЖИВОТНОЕ,,,,14.68,,13.73,,14.43,,14.42,,13.86,,15.56,,14.68,,14.86
МАСЛО РАСТИТЕЛЬНОЕ (кроме оливкового),,,,2.82,,2.63,,2.97,,2.78,,2.82,,2.85,,2.79,,2.91
МАСЛО ОЛИВКОВОЕ (за 1 л),,,,23.37,,24.7,,24.74,,24.3,,23.33,,21.85,,23.86,,22.54
МАРГАРИН,,,,5.08,,4.93,,5.02,,4.87,,4.97,,5.35,,5.26,,4.77
ЖИР ЖИВОТНЫЙ,,,,2.07,,2.15,,1.42,,1.27,,2.5,,3.0,,1.6,,1.41
ЯЙЦА  КУРИНЫЕ (за 10 шт.),,,,1.91,,1.91,,1.86,,1.76,,1.85,,2.13,,1.77,,1.79
САХАР-ПЕСОК,,,,1.52,,1.51,,1.52,,1.51,,1.51,,1.54,,1.53,,1.52
ЧАЙ ЧЕРНЫЙ БАЙХОВЫЙ,,,,35.62,,35.38,,35.58,,32.48,,36.1,,35.03,,39.6,,36.01
КОФЕ НАТУРАЛЬНЫЙ МОЛОТЫЙ,,,,29.56,,29.38,,29.37,,25.36,,30.77,,29.71,,31.08,,32.0
КОФЕ РАСТВОРИМЫЙ,,,,72.15,,72.91,,70.6,,70.51,,73.22,,68.83,,76.25,,77.74
МЁД  НАТУРАЛЬНЫЙ,,,,13.73,,12.88,,12.49,,12.91,,14.21,,16.47,,12.64,,10.78
СОЛЬ  ПОВАРЕННАЯ  ПИЩЕВАЯ,,,,0.52,,0.5,,0.52,,0.53,,0.47,,0.56,,0.46,,0.5
МУКА ПШЕНИЧНАЯ ,,,,1.09,,1.09,,1.08,,1.06,,1.07,,1.13,,1.11,,1.04
