,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,Минская,,Могилевская
ШЛЯПА ИЛИ КЕПКА  МУЖСКАЯ,,,,34142.854874000004,,28478.58,,29497.88,,31980.0,,28491.34,,47656.0,27276.0,,30252.65
ПИДЖАК МУЖСКОЙ ИЗ ПОЛУШЕРСТЯНОЙ ТКАНИ ,,,,135813.31569400002,,112082.0,,134385.92,,126723.68,,115904.35,,175036.0,124864.0,,113919.4
ПАЛЬТО ЖЕНСКОЕ ЗИМНЕЕ ,,,,554435.268736,,566767.94,,650327.64,,545487.16,,504095.09,,584426.0,469570.0,,537149.24
ДУБЛЕНКА ЖЕНСКАЯ,,,,1117944.4947940002,,1258999.74,,918987.48,,1229540.0,,772705.3,,1345000.0,962500.0,,1012070.0
ПАЛЬТО ЖЕНСКОЕ ДЕМИСЕЗОННОЕ,,,,342228.8059940001,,339804.18,,378828.56,,338667.86,,335298.23,,363895.0,317427.0,,294404.84
КУРТКА ЖЕНСКАЯ,,,,165573.67111400003,,159888.46,,166115.28,,171135.56,,166754.38,,157404.0,176280.0,,169094.58
КОСТЮМ ЖЕНСКИЙ ИЗ ШЕРСТЯНОЙ ИЛИ ПОЛУШЕРСТЯНОЙ ТКАНИ,,,,196065.935418,,120363.32,,178222.0,,176986.76,,130765.89,,285782.0,174108.0,,203650.16
КОСТЮМ ЖЕНСКИЙ ВЯЗАНЫЙ,,,,109784.76411999999,,105458.28,,117032.8,,104567.96,,115074.32,,102908.0,121785.0,,108718.55
ПИДЖАК ЖЕНСКИЙ,,,,108316.47237599999,,92422.78,,109540.12,,98149.38,,83989.84,,138433.0,96198.0,,104879.8
ЮБКА ЖЕНСКАЯ ,,,,70398.590196,,65110.64,,66605.52,,65646.66,,70034.71,,75963.0,69821.0,,74588.86
ДЖИНСЫ ЖЕНСКИЕ,,,,103256.31650400002,,80044.72,,71699.68,,94031.54,,87613.37,,149327.0,96953.0,,86898.02
БЛУЗКА ЖЕНСКАЯ,,,,74728.26606200001,,63443.44,,79320.88,,64833.96,,63597.83,,86911.0,77954.0,,71873.75
ПЛАТЬЕ ЖЕНСКОЕ ИЗ ПОЛУШЕРСТЯНОЙ  ТКАНИ,,,,82205.38172452158,,90387.22,,92162.72,,87499.68,,95789.62,,70303.0,74037.0,,
ХАЛАТ ЖЕНСКИЙ  ДОМАШНИЙ,,,,45397.18961400001,,39586.66,,42758.2,,36163.58,,42112.03,,59952.0,39315.0,,42529.27
"СВИТЕР, ДЖЕМПЕР ЖЕНСКИЙ ИЗ СИНТЕТИЧЕСКОЙ ПРЯЖИ  ",,,,44222.312118,,41989.38,,46296.08,,46238.56,,31595.56,,48703.0,45325.0,,41618.99
КОСТЮМ ЖЕНСКИЙ СПОРТИВНЫЙ,,,,102065.56549800001,,89237.24,,96825.52,,85546.16,,79680.19,,126834.0,94054.0,,116727.74
БЮСТГАЛЬТЕР ,,,,25177.630064,,22347.58,,24680.28,,23808.66,,23663.52,,27965.0,26144.0,,24044.66
ТРУСЫ ЖЕНСКИЕ ИЗ ХЛОПЧАТОБУМАЖНОГО ТРИКОТАЖНОГО ПОЛОТНА,,,,6509.114164000001,,5457.44,,4891.12,,6702.0,,5360.28,,8418.0,6682.0,,5414.49
ШАПКА ЖЕНСКАЯ МЕХОВАЯ ,,,,276515.7833340001,,260697.36,,263883.88,,274534.52,,208788.25,,334129.0,236385.0,,292156.9
ПЛАЩ ЖЕНСКИЙ,,,,188489.705674,,194839.72,,184202.68,,218745.42,,176916.86,,182655.0,164112.0,,207783.6
РУБАШКА ЖЕНСКАЯ НОЧНАЯ,,,,22437.456270000006,,18939.98,,19147.48,,22069.36,,21263.68,,28373.0,19840.0,,20722.28
"ПЛАТОК, ШАРФ ЖЕНСКИЙ",,,,25816.457206000003,,10716.5,,26644.4,,13099.0,,43630.22,,39139.0,18108.0,,19237.06
ШЛЯПА ЖЕНСКАЯ,,,,56034.647554,,49531.6,,57268.76,,47078.82,,51043.62,,71473.0,48134.0,,51278.16
ШУБА (ПОЛУШУБОК) ЖЕНСКАЯ  ИЗ ИСКУССТВЕННОГО МЕХА,,,,222289.6646502305,,230376.4,,180728.0,,,,219867.47,,,250000.0,,
КОМПЛЕКТ БЕЛЬЯ ЖЕНСКОГО,,,,28844.25295800001,,19632.1,,25713.2,,22193.72,,27430.94,,35763.0,30846.0,,33544.08
КУПАЛЬНЫЙ КОСТЮМ ЖЕНСКИЙ,,,,65553.531964,,62913.2,,42081.96,,42772.68,,60011.28,,99011.0,61558.0,,51015.89
КОЛГОТКИ ЖЕНСКИЕ,,,,7651.533790000001,,6246.3,,5623.16,,6578.26,,6945.01,,11103.0,7224.0,,5579.51
БРЮКИ ЖЕНСКИЕ,,,,78964.75384800001,,59748.58,,72315.2,,79434.18,,76146.84,,100047.0,74283.0,,65176.75
КУРТКА  ЗИМНЯЯ И  ДЕМИСЕЗОННАЯ  ДЛЯ МАЛЬЧИКА ,,,,137267.63703000004,,93836.06,,150076.88,,100198.0,,126768.94,,201622.0,117557.0,,98838.61
КУРТКА  ДЕМИСЕЗОННАЯ  ДЛЯ ДЕВОЧКИ,,,,104691.92121200002,,94528.42,,108671.48,,85615.76,,108503.07,,124829.0,100527.0,,88136.34
ПАЛЬТО  ЗИМНЕЕ И ДЕМИСЕЗОННОЕ ДЛЯ ДЕВОЧКИ    ,,,,149271.99632400004,,122240.42,,156302.16,,122170.16,,157764.65,,176631.0,138656.0,,147101.11
НОСКИ ДЕТСКИЕ  ИЗ ХЛОПЧАТОБУМАЖНОЙ ИЛИ СМЕСОВОЙ ПРЯЖИ,,,,2473.064246,,2419.56,,2321.6,,2073.06,,2391.32,,2713.0,2587.0,,2544.31
БРЮКИ ДЕТСКИЕ,,,,40619.910318,,36795.94,,40508.64,,33467.3,,37034.81,,48113.0,38129.0,,42973.04
КОСТЮМ ШКОЛЬНЫЙ ,,,,112830.578592,,108830.2,,125130.92,,98555.32,,117206.12,,117587.0,116119.0,,100965.78
КОСТЮМ СПОРТИВНЫЙ ДЕТСКИЙ,,,,60341.217206,,53199.86,,61383.04,,50404.24,,52077.06,,76294.0,58397.0,,51220.36
"ДЖЕМПЕР, CВИТЕР ДЕТСКИЙ ИЗ ПОЛУШЕРСТЯНОЙ ПРЯЖИ",,,,43081.83036000001,,36500.42,,39034.52,,37910.98,,46634.24,,48840.0,45044.0,,41504.81
СОРОЧКА ВЕРХНЯЯ ДЛЯ МАЛЬЧИКА  ИЗ ХЛОПЧАТОБУМАЖНОЙ ИЛИ СМЕСОВОЙ ТКАНИ,,,,21854.971642000008,,20427.72,,23045.16,,21011.3,,22644.14,,21072.0,22601.0,,23545.92
ЮБКА ДЕТСКАЯ  ИЗ СМЕСОВЫХ  ТКАНЕЙ ИЛИ ТРИКОТАЖНОГО ПОЛОТНА,,,,35926.848852,,31545.66,,36229.72,,26385.52,,30513.57,,44896.0,36746.0,,34878.69
ПЛАТЬЕ ДЕТСКОЕ ИЗ ХЛОПЧАТОБУМАЖНОЙ ТКАНИ,,,,36038.502034000005,,33353.34,,29170.32,,24264.98,,25993.69,,53129.0,34830.0,,30729.75
"КОСТЮМ, КОМПЛЕКТ (юбка, брюки, жакет) ДЛЯ ДЕВОЧКИ",,,,98636.016684,,99299.38,,93048.68,,94180.22,,111609.36,,99398.0,98963.0,,94452.16
ДЖИНСЫ ДЕТСКИЕ,,,,52648.192414000005,,44642.9,,35653.28,,53407.58,,51001.23,,64960.0,51766.0,,52426.55
БЕЛЬЕ  ДЛЯ  НОВОРОЖДЕННЫХ  И  ДЕТЕЙ  ЯСЕЛЬНОГО  ВОЗРАСТА,,,,9777.607200000002,,9100.18,,18081.44,,4807.1,,7157.58,,8850.0,10680.0,,11422.52
КОМПЛЕКТ БЕЛЬЯ ДЕТСКОГО,,,,9249.201738000002,,8172.64,,10518.68,,7572.72,,9211.77,,10974.0,8632.0,,7824.43
ШАПОЧКА ТРИКОТАЖНАЯ ДЕТСКАЯ,,,,18509.457780000004,,14055.26,,18750.16,,17923.28,,18367.25,,19529.0,22529.0,,16248.51
КОЛГОТКИ ДЕТСКИЕ,,,,7537.358948,,7623.22,,6889.68,,6796.34,,7548.62,,7803.0,8356.0,,7270.34
ПИЖАМА ДЕТСКАЯ,,,,20572.312528000006,,19209.4,,20028.48,,19662.7,,18287.23,,22482.0,20330.0,,21876.3
"ПОЛУБОТИНКИ, ТУФЛИ МУЖСКИЕ КОЖАНЫЕ",,,,114136.10768200002,,118317.22,,123246.12,,119391.9,,115364.79,,109301.0,109878.0,,108780.55
САПОГИ МУЖСКИЕ НА МЕХУ,,,,155981.71824400002,,149454.0,,153968.84,,148598.3,,164697.91,,153940.0,165702.0,,158595.23
ОБУВЬ МУЖСКАЯ ДОМАШНЯЯ ,,,,20152.675406000006,,16772.34,,18166.92,,18034.44,,18505.26,,26902.0,16309.0,,19308.18
КРОССОВЫЕ ТУФЛИ МУЖСКИЕ,,,,85902.657936,,82831.86,,70794.8,,96173.3,,82637.82,,86014.0,88643.0,,92674.52
"БОСОНОЖКИ, САНДАЛЕТЫ МУЖСКИЕ ИЗ НАТУРАЛЬНОЙ ИЛИ ИСКУССТВЕНОЙ КОЖИ",,,,89972.98120000001,,90208.32,,91641.84,,89045.0,,70122.88,,98069.0,88703.0,,90140.76
РЕЗИНОВАЯ ОБУВЬ,,,,26130.431958000005,,23313.84,,24571.24,,25043.46,,23922.4,,26336.0,30615.0,,28131.49
САПОГИ ЖЕНСКИЕ ЗИМНИЕ  НА НИЗКОМ КАБЛУКЕ,,,,235462.41688800007,,245328.72,,225191.96,,232140.74,,284160.57,,212976.0,253863.0,,220935.43
САПОГИ ЖЕНСКИЕ ДЕМИСЕЗОННЫЕ  НА ВЫСОКОМ КАБЛУКЕ,,,,242175.26086,,243203.76,,270366.0,,207353.74,,248344.59,,207638.0,301789.0,,251057.63
"ТУФЛИ  ЖЕНСКИЕ КОЖАНЫЕ НА НИЗКОМ КАБЛУКЕ, НА СИНТЕТИЧЕСКОЙ ПОДОШВЕ",,,,89490.198566,,86412.12,,84300.8,,97879.28,,95880.47,,83569.0,94978.0,,89015.15
ТУФЛИ ЖЕНСКИЕ МОДЕЛЬНЫЕ,,,,126468.52539000001,,131817.46,,130686.48,,107110.52,,123221.76,,145924.0,110500.0,,116713.77
ТУФЛИ  ЖЕНСКИЕ ЛЕТНИЕ КОЖАНЫЕ,,,,102908.74886600002,,101751.94,,85028.32,,97746.7,,93275.21,,121055.0,108748.0,,86104.97
ОБУВЬ ЖЕНСКАЯ ДОМАШНЯЯ ,,,,19569.392928000005,,16783.84,,16476.64,,17154.82,,17450.15,,27145.0,16591.0,,16716.83
ТУФЛИ ЖЕНСКИЕ ИЗ ИСКУССТВЕННОЙ КОЖИ ,,,,70352.24345800001,,77045.2,,61788.84,,73254.22,,62044.4,,73065.0,73743.0,,64448.69
ПОЛУСАПОЖКИ ЗИМНИЕ И ДЕМИСЕЗОННЫЕ  ДЛЯ МАЛЬЧИКА,,,,100879.14061000002,,97041.56,,118026.24,,82148.92,,110290.95,,104574.0,97041.0,,97178.36
ПОЛУСАПОЖКИ ЗИМНИЕ И ДЕМИСЕЗОННЫЕ  ДЛЯ ДЕВОЧКИ,,,,105970.73382800001,,101695.28,,120122.72,,89219.84,,130915.56,,100312.0,104143.0,,109135.98
"БОТИНКИ, ТУФЛИ КОЖАНЫЕ ДЕМИСЕЗОННЫЕ ДЛЯ МАЛЬЧИКА",,,,74134.19850800002,,65091.1,,79192.2,,66541.08,,79614.27,,77386.0,73951.0,,76024.84
ТУФЛИ ЛЕТНИЕ ДЕВИЧЬИ,,,,52456.13778400001,,54565.72,,59556.44,,48595.3,,59810.55,,46223.0,52161.0,,55820.01
КРОССОВЫЕ ТУФЛИ ДЕТСКИЕ,,,,43127.55556400001,,35476.04,,39032.4,,36910.6,,53417.44,,45985.0,45719.0,,44077.92
СТОЛ ПИСЬМЕННЫЙ,,,,265911.34356000007,,240866.9,,225525.4,,379876.2,,235121.67,,273626.0,239890.0,,241641.73
ШКАФ ДЛЯ ОДЕЖДЫ  И  БЕЛЬЯ,,,,747057.7899480001,,578092.12,,690372.88,,651002.56,,674802.66,,913356.0,810132.0,,703803.03
СТУЛ,,,,111387.43317000002,,87878.74,,113427.12,,103165.92,,103839.8,,134090.0,105030.0,,107670.73
НАБОР МЕБЕЛИ ДЛЯ СПАЛЬНИ,,,,2322060.4585660007,,2637622.7,,2379778.0,,2596147.74,,2357901.99,,2196593.0,1988796.0,,2266906.4
НАБОР МЯГКОЙ МЕБЕЛИ,,,,1902281.2168660003,,2170017.68,,2096309.08,,1738314.06,,2418031.16,,1570525.0,1815631.0,,2018884.73
НАБОР КОРПУСНОЙ МЕБЕЛИ ,,,,1920918.5927020002,,2027824.44,,1933484.16,,1703576.3,,1715779.46,,2093829.0,1767925.0,,2046491.37
ДИВАН-КРОВАТЬ,,,,889827.344124,,970037.32,,927144.64,,774486.12,,820548.94,,900346.0,906291.0,,919037.65
КУХОННЫЙ ГАРНИТУР,,,,1260237.4657000003,,1483229.8,,1306142.96,,1015209.26,,1187172.63,,1181354.0,1423819.0,,1293742.04
ГАРНИТУР ДЛЯ ПРИХОЖЕЙ,,,,816702.570394,,860691.6,,874742.92,,777245.34,,711304.56,,772297.0,894348.0,,856738.88
КОВЕР ИЗ  ШЕРСТЯНОЙ И СИНТЕТИЧЕСКОЙ ПРЯЖИ                   (за 1 м2),,,,58040.48573200001,,46800.46,,52542.68,,46273.52,,52765.19,,65128.0,73435.0,,58812.65
КОВЕР ИЗ СИНТЕТИЧЕСКОЙ ПРЯЖИ (за 1 м2)  ,,,,50438.62445200001,,46300.54,,41359.16,,35822.14,,42774.46,,68727.0,47101.0,,50905.98
ДОРОЖКА КОВРОВАЯ (за 1 м2),,,,38466.27402800001,,30444.0,,36270.48,,32569.82,,32251.09,,52926.0,33338.0,,35276.57
КОМПЛЕКТ ПОСТЕЛЬНОГО БЕЛЬЯ ,,,,61188.66694600001,,54711.72,,62278.84,,57276.86,,65651.98,,63790.0,64782.0,,56715.68
ОДЕЯЛО ПОЛУШЕРСТЯНОЕ,,,,64192.890724000004,,55417.92,,66426.84,,59830.34,,63296.75,,58521.0,69701.0,,86212.47
ОДЕЯЛО ВАТНОЕ,,,,57427.27039800001,,56070.72,,57068.92,,55915.98,,52956.72,,56549.0,67530.0,,53662.37
ПОКРЫВАЛО ,,,,61777.884092,,51540.1,,46864.36,,46827.98,,37654.78,,95646.0,57842.0,,54373.38
СКАТЕРТЬ,,,,17524.530774000003,,16347.56,,19368.2,,19247.46,,14897.92,,18052.0,17060.0,,16567.55
ПОЛОТНО ГАРДИННОЕ ТЮЛЕВОЕ ИЗ СИНТЕТИЧЕСКИХ НИТЕЙ,,,,15828.73792,,13474.86,,13292.08,,13789.38,,15068.64,,20780.0,12330.0,,17493.33
ПОЛОТЕНЦЕ МАХРОВОЕ БАННОЕ ,,,,28127.830254000004,,22911.12,,24124.56,,26493.02,,25236.36,,33378.0,28499.0,,30323.59
ТАРЕЛКА,,,,3766.459754000001,,2115.78,,2420.64,,3003.82,,2334.47,,7142.0,2519.0,,2942.23
"СЕРВИЗ ЧАЙНЫЙ, КОФЕЙНЫЙ",,,,46548.944142000015,,37460.74,,47338.96,,41689.9,,40482.43,,59466.0,42212.0,,42554.15
ВАЗА,,,,34421.324160000004,,31563.4,,47257.48,,28979.02,,38381.55,,35488.0,29816.0,,30283.27
КАСТРЮЛЯ,,,,28733.389410000003,,25404.92,,28161.76,,24799.38,,31537.6,,30756.0,25756.0,,35095.57
ХОЛОДИЛЬНИК,,,,1117004.0992200002,,1078595.04,,1154248.92,,1099920.68,,1197143.94,,1043813.0,1210777.0,,1116175.83
ЛАМПА ЭЛЕКТРИЧЕСКАЯ,,,,1076.999974,,808.04,,1425.72,,853.68,,890.83,,1337.0,903.0,,1079.41
СТИРАЛЬНАЯ МАШИНА,,,,885453.9759120002,,785020.38,,852836.76,,1097174.78,,1168550.02,,687808.0,773629.0,,1155475.27
ПЫЛЕСОС НАПОЛЬНЫЙ,,,,212173.57474000004,,193561.14,,196591.76,,196775.7,,216644.5,,236501.0,211105.0,,208024.07
УТЮГ  ЭЛЕКТРИЧЕСКИЙ,,,,73301.80180400002,,68564.16,,72112.6,,66218.14,,69001.27,,85511.0,69700.0,,68031.17
КОМБАЙН КУХОННЫЙ,,,,293904.97402400005,,281228.76,,303472.92,,281612.06,,240805.57,,329572.0,309389.0,,254150.01
ЛЮСТРА ЭЛЕКТРИЧЕСКАЯ,,,,118428.42457600002,,81011.78,,112643.64,,81638.06,,74202.28,,202084.0,105570.0,,67944.94
ЧАЙНИК ЭЛЕКТРИЧЕСКИЙ,,,,81773.858272,,67661.22,,78332.84,,63579.9,,73872.36,,109827.0,71430.0,,78147.64
СОКОВЫЖИМАЛКА ЭЛЕКТРИЧЕСКАЯ,,,,172565.812218,,154642.22,,160723.36,,180585.38,,138176.67,,213938.0,164087.0,,138173.39
ПЕЧЬ МИКРОВОЛНОВАЯ,,,,352281.43641600007,,328948.12,,349486.4,,290974.68,,349622.9,,397325.0,367568.0,,330038.17
ПЛИТА  БЫТОВАЯ ЭЛЕКТРИЧЕСКАЯ,,,,1088824.3326720002,,1272232.96,,900855.6,,1070764.12,,954838.22,,1133100.0,941528.0,,1338015.88
РАДИАТОР БЫТОВОЙ ЭЛЕКТРИЧЕСКИЙ,,,,205185.217144,,201396.3,,172943.84,,203365.74,,205234.46,,212677.0,220925.0,,207284.64
ДРЕЛЬ ЭЛЕКТРИЧЕСКАЯ,,,,199690.131728,,169479.24,,218379.4,,204446.28,,252318.62,,194340.0,201317.0,,167231.73
ТЕЛЕВИЗОР ЦВЕТНОГО ИЗОБРАЖЕНИЯ,,,,485074.53203000006,,424330.28,,589634.04,,584020.3,,470447.26,,469453.0,427245.0,,448296.24
МУЗЫКАЛЬНЫЙ ЦЕНТР,,,,667720.09062,,751995.24,,669934.04,,504742.0,,521763.7,,758093.0,785222.0,,518764.56
СТЕРЕО МАГНИТОФОН С ПРИЁМНИКОМ,,,,226695.386558,,184266.46,,206063.12,,201122.88,,238508.46,,269877.0,242434.0,,190822.62
DVD-ПЛЕЕР,,,,216697.44146200002,,208966.02,,204399.4,,210798.66,,212382.19,,227601.0,248716.0,,177730.23
КОМПАКТ-ДИСК (без записи),,,,2817.3860760000002,,2740.28,,2269.68,,2796.94,,3483.95,,3352.0,2669.0,,1716.36
КИРПИЧ СТРОИТЕЛЬНЫЙ (за 1тыс. шт),,,,497829.01792800013,,518078.92,,553400.0,,653829.0,,367662.6,,521164.0,382048.0,,441234.56
ОБОИ (за рулон 10 м),,,,14461.170342000001,,10057.9,,12276.76,,9358.62,,10894.99,,23886.0,12106.0,,11953.23
ПИЛОМАТЕРИАЛЫ ХВОЙНЫЕ ОБРЕЗНЫЕ И НЕОБРЕЗНЫЕ (за 1 м3 ) ,,,,531627.6621340001,,440129.02,,886567.36,,433794.5,,455805.59,,571774.0,393688.0,,540974.33
ПЛИТКА КЕРАМИЧЕСКАЯ (за1  м2),,,,25979.041650000003,,22778.58,,25813.84,,23412.74,,22019.99,,31693.0,25224.0,,23937.27
ЦЕМЕНТ (за 50 кг),,,,18596.351344000002,,18382.32,,19674.12,,18689.58,,17201.95,,18643.0,18660.0,,18707.62
ШИФЕР (за 10 условных штук),,,,12566.075620000001,,11896.48,,12952.96,,12560.4,,11928.34,,13334.0,12261.0,,12071.37
ЛИНОЛЕУМ (за 1 м2),,,,24081.910478,,21144.2,,22377.16,,19854.1,,23275.24,,30599.0,21530.0,,23022.73
СТЕКЛО ОКОННОЕ (за 1 м2),,,,14980.244376,,14679.9,,14983.8,,13482.88,,14061.39,,16470.0,12495.0,,18068.36
СЧЕТЧИК УЧЕТА ПОТРЕБЛЕНИЯ ВОДЫ,,,,60526.145832,,68639.06,,51695.12,,58206.9,,55428.78,,60917.0,65791.0,,60141.4
"ПАНЕЛИ ДЛЯ ОТДЕЛКИ ПОТОЛКА, СТЕН ИЗ ПВХ  (за 1 м2)",,,,17120.305850000004,,16208.4,,15835.0,,17042.22,,20683.66,,17099.0,16869.0,,16633.92
ОКОННЫЙ БЛОК ДВУХСТВОРЧАТЫЙ (размер 130х140см) СО СТЕКЛОПАКЕТОМ,,,,731236.3200640002,,681551.0,,679078.96,,659442.82,,616342.37,,989025.0,570831.0,,631935.21
ДВЕРНОЙ БЛОК С ДВЕРЬЮ (размер 210х70 см                  или 210х80 см),,,,360566.29962400004,,326684.62,,373182.24,,322485.8,,349490.13,,421960.0,343159.0,,316554.73
ЛАМИНАТ (за 1 м2),,,,39461.97822800001,,33519.5,,36033.92,,35621.16,,33814.47,,50346.0,37132.0,,36959.02
СУМКА ИЗ ИСКУССТВЕННОЙ КОЖИ,,,,81189.23257400001,,70121.54,,79616.64,,67697.66,,75741.23,,100406.0,73335.0,,82109.84
СУМКА ИЗ НАТУРАЛЬНОЙ КОЖИ,,,,209468.448956,,199578.46,,210499.68,,185078.94,,209579.9,,235975.0,202672.0,,194167.94
ПЕРЧАТКИ ИЗ НАТУРАЛЬНОЙ КОЖИ,,,,49787.759424,,43439.72,,58422.76,,43960.0,,47801.34,,58021.0,45694.0,,42148.43
РЕМЕНЬ ПОЯСНОЙ ИЗ НАТУРАЛЬНОЙ ИЛИ ИСКУССТВЕННОЙ КОЖИ,,,,25941.724132000003,,22592.82,,26173.76,,27328.46,,21850.32,,30149.0,25407.0,,22071.13
СОСУДОРАСШИРЯЮЩИЕ И СПАЗМОЛИТИЧЕСКИЕ ПРЕПАРАТЫ (за 10 таблеток),,,,441.0,,437.0,,456.0,,409.0,,446.0,,436.0,432.0,,486.0
"ПРЕПАРАТЫ, УЛУЧШАЮЩИЕ МОЗГОВОЕ КРОВООБРАЩЕНИЕ (за 10 таблеток)",,,,363.0,,287.0,,242.0,,411.0,,272.0,,530.0,187.0,,405.0
ДИУРЕТИЧЕСКИЕ ПРЕПАРАТЫ (за 10 таблеток),,,,296.0,,257.0,,224.0,,527.0,,250.0,,224.0,224.0,,397.0
ТРАНКВИЛИЗАТОРЫ (за 10 таблеток),,,,1117.0,,1129.0,,1029.0,,1189.0,,1441.0,,990.0,1098.0,,1107.0
НЕНАРКОТИЧЕСКИЕ АНАЛЬГЕТИКИ (за 10 таблеток),,,,370.0,,370.0,,438.0,,368.0,,311.0,,390.0,343.0,,337.0
АНТИБИОТИКИ (за 10 таблеток),,,,841.0,,756.0,,730.0,,777.0,,711.0,,1033.0,777.0,,898.0
ВИТАМИНЫ (за 10 таблеток),,,,602.0,,555.0,,287.0,,404.0,,434.0,,843.0,528.0,,940.0
АНТИСЕПТИЧЕСКИЕ СРЕДСТВА (за 10 мл),,,,820.0,,821.0,,948.0,,864.0,,714.0,,792.0,812.0,,784.0
ГОРЧИЧНИКИ (за 10 шт),,,,1030.0,,985.0,,1044.0,,984.0,,1134.0,,1042.0,1054.0,,984.0
ВАТА (за 50 г),,,,1241.0,,1172.0,,1300.0,,1334.0,,1259.0,,1215.0,1201.0,,1213.0
ЛЕЙКОПЛАСТЫРЬ (за упаковку размером 3 см  х 5 м),,,,2455.0,,2361.0,,2506.0,,2461.0,,2345.0,,2470.0,2474.0,,2541.0
БИНТ (за упаковку размером 5 см х 10 м),,,,592.6190300000002,,527.04,,663.56,,579.56,,548.55,,606.0,610.0,,595.56
ОЧКИ И ОПРАВЫ,,,,35759.894884000016,,19368.52,,21007.04,,17838.04,,24153.98,,71167.0,27810.0,,28938.84
АВТОМОБИЛЬ ЛЕГКОВОЙ,,,,33653447.460636064,,,,26336433.0,,37374089.0,,27239880.0,,41244264.0,,,23975433.11
ВЕЛОСИПЕД ДОРОЖНЫЙ,,,,313299.2765820001,,277871.54,,293739.8,,236848.22,,266069.61,,445186.0,261966.0,,263157.97
МОТОЦИКЛ,,,,3700241.992534001,,3594848.7,,3065242.84,,3334366.8,,3059037.0,,4498064.0,3664678.0,,3693797.94
БЕНЗИН АВТОМОБИЛЬНЫЙ (за 1 л),,,,2520.01559,,2502.5,,2585.36,,2369.54,,2488.67,,2522.0,2610.0,,2562.92
ЕЖЕДНЕВНАЯ ГАЗЕТА ,,,,658.5830860000002,,705.24,,656.48,,581.68,,630.01,,681.0,637.0,,707.57
ЕЖЕНЕДЕЛЬНАЯ ГАЗЕТА  ,,,,1051.2582400000001,,917.6,,1005.36,,1014.68,,1019.32,,1381.0,957.0,,633.58
ЕЖЕМЕСЯЧНЫЙ ЖУРНАЛ ,,,,3927.737222,,3400.34,,4374.64,,3602.1,,4373.33,,4511.0,3369.0,,3350.74
ЧАСЫ,,,,49190.68192600001,,38505.18,,40205.12,,35276.98,,45589.43,,71253.0,44027.0,,45550.66
МЫЛО ХОЗЯЙСТВЕННОЕ (за 400 г),,,,1982.4764260000002,,1901.8,,1796.8,,1538.36,,1794.75,,2152.0,2226.0,,2289.97
СИНТЕТИЧЕСКИЕ МОЮЩИЕ СРЕДСТВА    (за 500 г),,,,3212.0868260000007,,3152.66,,2786.72,,3210.32,,2780.92,,3367.0,3436.0,,3496.31
КРЕМ ДЛЯ ОБУВИ  (за 75 г),,,,3478.7902520000007,,2767.56,,2888.32,,3054.02,,2336.61,,5436.0,2189.0,,3597.0
КРАСКА ПОЛОВАЯ И ПРОЧАЯ (за 1 кг),,,,9612.357812000002,,9304.2,,9676.32,,9399.7,,8733.57,,9315.0,10796.0,,10157.95
ЛАК ДЛЯ ПАРКЕТА И ПРОЧИЙ (за 1 кг),,,,10896.612432000002,,11825.6,,10228.88,,10681.68,,7689.16,,11737.0,9854.0,,13423.46
ХОЗЯЙСТВЕННЫЕ ТОВАРЫ ИЗ ПЛАСТМАССЫ И МЕТАЛЛА,,,,12203.225768,,11759.38,,9709.68,,16042.46,,12285.62,,13030.0,9220.0,,12657.18
КАРНИЗЫ,,,,48066.09664000001,,46952.1,,43330.04,,38075.44,,29602.53,,61867.0,46895.0,,53092.3
ЗАМКИ ВРЕЗНЫЕ И НАКЛАДНЫЕ,,,,25949.012136,,27306.32,,23309.84,,28586.96,,29041.68,,22600.0,30255.0,,23005.93
ЮВЕЛИРНЫЕ ИЗДЕЛИЯ ИЗ ЗОЛОТА  (за 1г),,,,134017.63278800005,,142778.48,,136142.08,,115461.64,,139405.24,,134270.0,130990.0,,143554.18
ФОТОАППАРАТ,,,,146115.14066400004,,76045.24,,240327.84,,68261.18,,156519.17,,227860.0,53167.0,,141854.08
ФОТОКАМЕРА  ЦИФРОВАЯ ,,,,774074.3271080002,,636427.36,,667384.92,,624331.84,,761031.52,,895622.0,1014031.0,,617665.65
ИГРУШКИ,,,,24984.600086000006,,20497.02,,29218.52,,17612.28,,19062.9,,33361.0,19189.0,,28360.53
ТЕЛЕФОННЫЙ АППАРАТ,,,,78447.23656800001,,75071.72,,87506.96,,81310.16,,65570.58,,76138.0,92168.0,,67486.3
КОЛЯСКА  ДЕТСКАЯ ,,,,518245.26915800007,,427878.08,,510720.08,,485773.0,,401233.35,,623955.0,546408.0,,488302.41
ЗОНТ,,,,42276.095548,,35015.18,,33995.0,,38964.04,,44316.19,,52789.0,39092.0,,40696.19
ТЕЛЕФОН НЫЙ АППАРАТ СОТОВОЙ СВЯЗИ ,,,,354890.46576800005,,284379.24,,384559.6,,410337.54,,349567.13,,386170.0,276345.0,,374446.51
ТЕТРАДЬ (в пересчете за 12 листов),,,,251.991386,,235.78,,246.08,,203.3,,259.75,,318.0,220.0,,211.35
РУЧКА ШАРИКОВАЯ,,,,656.007076,,420.98,,681.92,,390.44,,621.57,,978.0,574.0,,595.06
ШАМПУНЬ  (за 250 мл),,,,4449.760792000001,,3107.48,,3172.12,,4945.62,,3519.33,,6637.0,2714.0,,4769.95
