,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА  (кроме бескостного мяса),,,,59874.05680856067,,54617.0,,64318.4,,61622.0,,36963.5,,62543.0,,,,75407.96
ГОВЯДИНА БЕСКОСТНАЯ,,,,103762.286857,,91131.33,,79308.53,,111128.84,,83254.39,,132950.0,,92993.0,,100879.02
СВИНИНА (кроме бескостного мяса),,,,69575.410745,,73606.64,,62026.76,,62435.04,,59712.21,,70584.0,,80103.0,,74891.64
СВИНИНА БЕСКОСТНАЯ,,,,101444.64129999999,,87738.55,,86907.54,,95510.04,,88054.44,,111033.0,,113400.0,,114142.34
ФАРШ МЯСНОЙ (без добавок),,,,65730.310528,,69877.21,,54439.27,,60131.56,,61523.14,,76803.0,,62127.0,,62682.88
"КУРЫ (ЦЫПЛЯТА, ВКЛЮЧАЯ БРОЙЛЕРОВ)",,,,30575.519387,,30056.07,,30715.98,,30605.44,,30017.87,,30808.0,,30853.0,,30589.46
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,43849.738805,,41523.43,,45405.46,,44858.08,,44190.05,,42401.0,,44722.0,,45531.1
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,23194.648339,,21797.54,,20240.24,,25339.76,,22634.47,,19439.0,,26999.0,,29821.68
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,5530.136494,,5218.67,,4089.83,,5940.52,,5262.2,,6844.0,,5201.0,,4504.9
ПЕЛЬМЕНИ МЯСНЫЕ,,,,36655.275284999996,,35337.63,,30573.6,,39682.56,,34706.85,,39439.0,,37890.0,,34613.8
САЛО,,,,68685.79428900001,,55840.49,,61292.09,,63805.24,,59821.59,,75758.0,,80115.0,,73476.98
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,50030.553164,,50935.58,,44919.63,,54340.96,,49955.58,,50878.0,,47623.0,,50680.4
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,37481.54997,,35459.45,,32556.92,,35263.28,,34555.06,,36381.0,,51632.0,,33870.86
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА ,,,,29613.483048000002,,36017.78,,32380.91,,25272.92,,28409.1,,29915.0,,30132.0,,24283.68
