,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА  (кроме бескостного мяса),,,,67598.911962,,73284.8,,66974.92,,64516.94,,53904.32000000001,,70936,,65685,,73454
ГОВЯДИНА БЕСКОСТНАЯ,,,,109869.792683,,97414.59999999999,,107893.98,,101159.09,,90573.02,,128247,,115501,,101294.65
СВИНИНА (кроме бескостного мяса),,,,57358.216379,,55017.200000000004,,58015.48999999999,,58859.380000000005,,53323.100000000006,,59324,,54839,,59932.950000000004
СВИНИНА БЕСКОСТНАЯ,,,,87216.236647,,84977.87999999999,,94075.43,,92445.78,,87188.84000000001,,82322,,83017,,94113.15
ФАРШ МЯСНОЙ ,,,,69762.57436599999,,67560.04000000001,,68974.98999999999,,65935.79,,72736.88,,75304,,64238,,68522.5
"КУРЫ (ЦЫПЛЯТА, ВКЛЮЧАЯ БРОЙЛЕРОВ)",,,,34196.622064,,32843.96,,35006.56,,33580.56,,33796.22,,34937,,33808,,34710.15
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,45043.215526,,41212.84,,47464.39,,44625.61,,45323.48,,46690,,43938,,44276.85
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,31582.633603,,32469.6,,29163.129999999997,,30597.84,,32558.700000000004,,32220,,31961,,31440.6
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,6110.136793,,5756.24,,4969.46,,6344.549999999999,,5975.26,,6943,,6044,,5563.85
ПЕЛЬМЕНИ МЯСНЫЕ,,,,49260.858741,,45402.16,,43822.38,,48990.509999999995,,47248.68000000001,,55549,,49636,,45339.8
"САЛО, ГРУДИНКА",,,,92087.87976299999,,75618.6,,92125.73,,86656.48,,84730.54000000001,,103939,,94184,,92194.4
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,60054.477216,,59528.2,,59904.31,,61855.29000000001,,58001.14000000001,,58794,,60072,,63994.649999999994
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,45374.168559,,45060.28,,42080.899999999994,,43949.07,,42358.700000000004,,47507,,48875,,43887
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА И БЕССОРТОВАЯ ,,,,34742.755808,,36897.159999999996,,35959.1,,33248.78,,34952.12,,35221,,34274,,31788.1
"КОЛБАСА ПОЛУКОПЧЕНАЯ, ВАРЕНО-КОПЧЕНАЯ",,,,87957.891626,,86312.76000000001,,82646.68,,84440.18,,84538.3,,96538,,86642,,83248.54999999999
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,170480.58699699998,,159034.96,,172039.03999999998,,173023.05,,162077.62,,185037,,156757,,168331.45
