,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА  (кроме бескостного мяса),,,,67132.965736,,66480.56,,68741.89,,66522.16,,54101.18,,69060,,69890,,71760.8
ГОВЯДИНА БЕСКОСТНАЯ,,,,102687.00014799999,,93523.23999999999,,103804.84999999999,,93917.43,,89113.62,,113897,,111414,,96937.05
СВИНИНА (кроме бескостного мяса),,,,60493.243172,,58193.04,,60916.829999999994,,59824.72,,55775.420000000006,,63014,,60260,,62548.25
СВИНИНА БЕСКОСТНАЯ,,,,88435.931028,,82844.95999999999,,95394.15,,91013.97,,89795.74,,83587,,87857,,95846.70000000001
ФАРШ МЯСНОЙ (без добавок),,,,69825.2141,,69613.44,,67424.54,,64442.130000000005,,72084.14,,75456,,64704,,70360.6
"КУРЫ (ЦЫПЛЯТА, ВКЛЮЧАЯ БРОЙЛЕРОВ)",,,,31220.671268000002,,30382.92,,31955.219999999998,,30977.87,,31044.120000000003,,31514,,31663,,30508
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,42872.457148,,39777.04,,44667.02,,44545.05,,44010.3,,41609,,43617,,43399.85
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,29497.197372,,27524.64,,28943.019999999997,,28213.52,,33507.72,,30096,,28209,,30299.25
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,6008.607288,,6462.68,,5097.75,,6133.61,,5811.06,,6630,,5782,,5269.25
ПЕЛЬМЕНИ МЯСНЫЕ,,,,47681.265011999996,,44387.479999999996,,41312.88,,46043.26,,46614.5,,55300,,46468,,44422.85
"САЛО, ГРУДИНКА",,,,92235.936656,,77299.04,,90269.13,,85959.32,,86280.76000000001,,105279,,93861,,91351.20000000001
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,60171.113476,,59151.88,,60843.08,,60699.880000000005,,58786.32000000001,,60088,,59025,,63309.8
