,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,Минская,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА ПЕРВОЙ КАТЕГОРИИ,,,,15618.386835999998,,15400.0,,14835.88,,15655.0,,15440.0,,15952.0,,15850.0,,16043.44
ПОЛУФАБРИКАТЫ МЯСНЫЕ ИЗ ГОВЯДИНЫ,,,,23537.885148,,20264.78,,22681.91,,24673.54,,22021.93,,28213.0,,22391.0,,22318.2
СВИНИНА (кроме бескостного мяса),,,,13635.855928,,14304.62,,13575.24,,13793.1,,12531.11,,12448.0,,14404.0,,14719.48
ПОЛУФАБРИКАТЫ МЯСНЫЕ  ИЗ СВИНИНЫ,,,,21759.600722,,20425.72,,22029.31,,21931.26,,21677.56,,22048.0,,21916.0,,22330.68
ФАРШ МЯСНОЙ (без добавок),,,,16899.61648,,16912.78,,16073.4,,16523.14,,17887.6,,18180.0,,17261.0,,14720.36
"КУРЫ (ЦЫПЛЯТА, ВКЛЮЧАЯ БРОЙЛЕРОВ)",,,,9446.085622,,9246.9,,9754.61,,9225.32,,9060.58,,9509.0,,9424.0,,9945.24
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,12531.129328,,12250.5,,12735.18,,11163.38,,11994.14,,13131.0,,12901.0,,13499.56
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,6434.49467,,6268.8,,6489.72,,6881.5,,6797.73,,5822.0,,6552.0,,6516.32
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,1263.371242,,1208.54,,1165.41,,1314.6,,1167.76,,1505.0,,1218.0,,1123.04
ПЕЛЬМЕНИ МЯСНЫЕ,,,,11342.597086000002,,10122.2,,9703.85,,11615.1,,11087.86,,12896.0,,12199.0,,10917.24
САЛО,,,,14443.39612,,11615.5,,15804.69,,13664.14,,14190.43,,16967.0,,13851.0,,14337.52
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,15025.600886,,14960.38,,15587.98,,14952.36,,14456.84,,15406.0,,14258.0,,15488.32
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,11088.519730000002,,10806.5,,11339.42,,11793.48,,10217.99,,10150.0,,12396.0,,10968.8
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА ,,,,9196.310874,,9998.02,,10853.26,,7998.56,,8894.02,,8137.0,,9764.0,,9220.6
КОЛБАСА ПОЛУКОПЧЕНАЯ,,,,22765.899952,,20986.92,,20985.6,,22257.2,,19429.8,,27112.0,,22179.0,,24445.56
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,36207.82127,,33572.98,,35372.13,,34774.08,,35607.62,,41165.0,,35365.0,,35766.0
"ПАШТЕТ, ЗЕЛЬЦ",,,,6901.407753999999,,6854.86,,6631.69,,6324.52,,6056.38,,8406.0,,7177.0,,5966.16
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,4514.203746,,4300.88,,4050.58,,4787.26,,4105.14,,4939.0,,5078.0,,3903.72
СОСИСКИ,,,,14616.035483999998,,14041.44,,14142.45,,14716.92,,14382.71,,15127.0,,14113.0,,15775.56
"ВЕТЧИНА, БУЖЕНИНА, ОКОРОК",,,,21451.908828,,21910.3,,22458.57,,18281.06,,21180.7,,23569.0,,18439.0,,24532.72
ГОВЯДИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,7047.627833999999,,6891.2,,6708.67,,6703.66,,6972.93,,8330.0,,6881.0,,6217.88
СВИНИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,6332.043900000001,,6225.62,,6020.67,,6272.86,,6889.26,,6798.0,,6164.0,,5786.64
КОНСЕРВЫ  МЯСНЫЕ ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ (за условную банку весом 350 г),,,,7748.442644000001,,7285.14,,7646.98,,7679.38,,7604.38,,8127.0,,8064.0,,7641.88
РЫБА ЖИВАЯ,,,,8023.114964,,6962.32,,7996.91,,8546.88,,7739.78,,8918.0,,8181.0,,7290.24
РЫБА МОРОЖЕНАЯ (тресковые и скумбриевые),,,,11584.573524,,8545.26,,10853.19,,10488.3,,10252.77,,13918.0,,13821.0,,12220.92
РЫБА МОРОЖЕНАЯ (филе и разделанная),,,,13218.243180000001,,12470.86,,10072.5,,10644.74,,11299.74,,21432.0,,11032.0,,12026.0
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ,,,,28972.512132,,25918.04,,33658.91,,29527.48,,28602.98,,26838.0,,34283.0,,23926.68
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ ДЕЛИКАТЕСНАЯ,,,,38515.600498,,31913.06,,33541.82,,30190.32,,36128.18,,41446.0,,40801.0,,57973.64
ИКРА ЛОСОСЕВЫХ РЫБ,,,,252793.197634,,215888.9,,284396.31,,284638.56,,241422.57,,257136.0,,234971.0,,249554.8
ПРОЧИЕ   ВИДЫ   ИКРЫ   РЫБ   (за условную банку весом      200 г),,,,6189.128930000001,,6243.18,,5320.31,,6049.0,,5335.3,,8196.0,,5721.0,,5355.32
СЕЛЬДЬ СОЛЕНАЯ,,,,9639.664662000001,,9270.54,,8333.81,,8472.72,,8537.39,,11190.0,,11277.0,,9465.6
"ПОЛУФАБРИКАТЫ РЫБНЫЕ (котлеты, палочки рыбные , фарш)",,,,13224.350161999999,,12341.86,,13382.22,,13784.28,,12738.33,,12176.0,,15560.0,,12641.0
КОНСЕРВЫ РЫБНЫЕ (за условную банку весом 350г),,,,4367.448453999999,,4394.32,,3575.34,,4380.1,,4065.32,,5589.0,,4220.0,,3643.12
КОНСЕРВЫ РЫБНЫЕ ДЕЛИКАТЕСНЫЕ (шпроты и лосось) - за условную банку весом 350 г,,,,9025.396164,,9124.7,,8937.83,,9116.5,,8798.72,,8953.0,,9287.0,,8880.4
ПРЕСЕРВЫ РЫБНЫЕ (филе сельди в различных соусах и заливках) - за условную банку весом 250 г,,,,4168.60801,,3885.86,,4253.08,,4397.52,,4217.77,,4182.0,,4053.0,,4213.76
"МОЛОКО ЦЕЛЬНОЕ ПАСТЕРИЗОВАННОЕ, СЫРОЕ",,,,1871.49536,,1860.22,,1802.63,,1760.1,,1642.04,,2099.0,,1914.0,,1897.4
КЕФИР,,,,1890.965616,,1862.0,,1902.37,,1785.52,,1848.45,,1937.0,,2007.0,,1867.6
СМЕТАНА ,,,,7558.51051,,7240.94,,7878.95,,6465.6,,7678.87,,8463.0,,7466.0,,7526.92
ТВОРОГ ЖИРНЫЙ,,,,10300.178016,,9393.04,,8913.42,,8592.44,,11564.17,,12717.0,,9822.0,,10594.8
ТВОРОГ НЕЖИРНЫЙ,,,,9800.91315,,11144.22,,9177.42,,7313.4,,11466.77,,10617.0,,8535.0,,10701.16
ЙОГУРТ (за 250 г),,,,1914.8004460000002,,2287.42,,2032.81,,2052.88,,2038.42,,1831.0,,1472.0,,1718.24
СЫРОК ГЛАЗИРОВАННЫЙ  (за 50 г),,,,1023.0968260000002,,975.24,,1034.91,,1055.66,,991.74,,979.0,,985.0,,1182.48
"ТВОРОЖНЫЙ ДЕСЕРТ, КРЕМ, ПУДИНГ  (за 200 г)",,,,2420.1220380000004,,2430.94,,2812.25,,2141.48,,2500.22,,2622.0,,2014.0,,2442.28
СУХИЕ МОЛОЧНЫЕ СМЕСИ  ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ,,,,19647.247111999997,,20230.16,,17996.55,,16448.36,,19387.7,,24165.0,,19068.0,,18388.8
МОЛОКО СГУЩЕНОЕ С САХАРОМ (за условную банку весом 400 г),,,,3979.12795,,3969.02,,3906.12,,3960.96,,3886.3,,4097.0,,3940.0,,4041.88
МОРОЖЕНОЕ,,,,16963.330776000003,,17087.04,,16254.77,,16645.08,,16947.41,,19091.0,,16480.0,,15091.0
СЫР  ТВЕРДЫЙ,,,,21572.804286000002,,20624.4,,21421.2,,22134.3,,21711.73,,23332.0,,19204.0,,22205.56
СЫР МЯГКИЙ ,,,,14845.933304000002,,11977.18,,15731.42,,13842.54,,14328.93,,19596.0,,12758.0,,14085.0
СЫР ПЛАВЛЕНЫЙ,,,,17795.631218,,16007.56,,18422.63,,15775.74,,17501.63,,19235.0,,19115.0,,18195.24
МАСЛО ЖИВОТНОЕ,,,,21163.376834000002,,19554.74,,22160.59,,20935.04,,21179.81,,21997.0,,20362.0,,22026.92
МАСЛО РАСТИТЕЛЬНОЕ ,,,,7929.6965740000005,,7843.36,,7379.19,,8130.82,,7781.89,,7998.0,,8511.0,,7669.32
МАРГАРИН,,,,8200.726216,,7702.58,,7958.64,,7763.58,,7549.66,,8916.0,,8945.0,,8155.44
ЯЙЦА  КУРИНЫЕ,,,,3844.473388,,3916.82,,3716.27,,3769.86,,3783.14,,3743.0,,4076.0,,3923.96
САХАР-ПЕСОК,,,,3501.80669,,3438.54,,3393.12,,3456.16,,3600.0,,3600.0,,3538.0,,3457.08
ЧАЙ ЧЕРНЫЙ БАЙХОВЫЙ,,,,51462.970552,,53529.3,,44954.74,,44071.58,,41371.83,,60658.0,,61113.0,,47768.44
КОФЕ НАТУРАЛЬНЫЙ МОЛОТЫЙ,,,,47267.14466199999,,44319.5,,54084.0,,47015.16,,54365.76,,39540.0,,47064.0,,49996.56
КОФЕ РАСТВОРИМЫЙ,,,,109457.512496,,115242.52,,117814.03,,115450.32,,104581.04,,89260.0,,117645.0,,112818.76
МЁД  НАТУРАЛЬНЫЙ,,,,30511.592979999998,,27147.06,,29091.39,,29455.1,,27606.62,,37302.0,,32042.0,,27258.4
СОЛЬ  ПОВАРЕННАЯ  ПИЩЕВАЯ,,,,819.492258,,819.3,,792.33,,848.4,,733.68,,811.0,,862.0,,855.28
МУКА ПШЕНИЧНАЯ ,,,,1963.10533,,1903.62,,1990.59,,1876.64,,2015.1,,2110.0,,1851.0,,1970.24
ХЛЕБ РЖАНОЙ,,,,2085.471120618726,,,,,,2021.72,,1424.42,,2491.0,,2124.0,,
