,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,Минская,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА ПЕРВОЙ КАТЕГОРИИ,,,,12866.302332000001,,11766.6,,12851.2,,11648.0,,12777.0,,13533.0,,13770.0,,12937.06
ПОЛУФАБРИКАТЫ МЯСНЫЕ ИЗ ГОВЯДИНЫ,,,,19503.067532,,16662.12,,22102.12,,19831.5,,18992.37,,22006.0,,16031.0,,18722.82
СВИНИНА (кроме бескостного мяса),,,,12105.681388,,12247.52,,11825.16,,12091.86,,10864.27,,11861.0,,12783.0,,13194.31
ПОЛУФАБРИКАТЫ МЯСНЫЕ  ИЗ СВИНИНЫ,,,,19571.953234,,16301.74,,20705.68,,19281.62,,19381.91,,20879.0,,19135.0,,20210.97
ФАРШ МЯСНОЙ (без добавок),,,,14976.112148000002,,15175.18,,14293.52,,14914.28,,16367.49,,14800.0,,15642.0,,13651.91
МЯСО ПТИЦЫ,,,,8576.383298000002,,8477.56,,8815.92,,8333.68,,8398.85,,8481.0,,8702.0,,8995.53
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,11444.409778000001,,11345.54,,11367.88,,10313.78,,11104.51,,11792.0,,12119.0,,11627.63
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,6412.052116000001,,5986.06,,5996.16,,6837.58,,6163.7,,6843.0,,6322.0,,6128.84
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,1149.0634500000003,,1116.22,,1165.36,,1140.74,,1053.89,,1293.0,,1044.0,,1059.27
ПЕЛЬМЕНИ МЯСНЫЕ,,,,10250.040200000001,,9168.62,,8927.8,,10422.78,,9630.96,,11690.0,,10420.0,,9558.63
САЛО,,,,12974.17423,,10284.28,,13536.72,,12463.14,,12469.58,,14644.0,,12786.0,,12850.57
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,13476.919212,,13282.36,,13974.84,,13758.66,,13197.83,,13451.0,,12782.0,,14140.45
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,10214.829208000001,,9924.06,,10721.12,,11211.72,,10021.41,,9393.0,,10973.0,,9889.03
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА ,,,,8219.033892000001,,8530.48,,9868.08,,7313.86,,8158.71,,7324.0,,8743.0,,8746.66
КОЛБАСА ПОЛУКОПЧЕНАЯ,,,,20615.405604000003,,17698.26,,19734.36,,20744.62,,19404.44,,23182.0,,19190.0,,21804.85
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,33020.43445600001,,29695.86,,33285.96,,32168.38,,32475.18,,36616.0,,30868.0,,32401.51
"ПАШТЕТ, ЗЕЛЬЦ",,,,6283.866028000001,,6110.32,,5797.28,,5642.84,,5374.18,,7649.0,,6286.0,,5299.93
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,3943.5036020000002,,3866.6,,3634.96,,4269.48,,3618.51,,3887.0,,4566.0,,3532.05
СОСИСКИ,,,,13298.522176000002,,12197.32,,12527.72,,13622.98,,12945.83,,14177.0,,12478.0,,14431.3
"ВЕТЧИНА, БУЖЕНИНА, ОКОРОК",,,,19780.239304000002,,20197.16,,22590.84,,17144.32,,19880.86,,20395.0,,16493.0,,22626.92
ГОВЯДИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,6075.078764000001,,5902.04,,5568.76,,6460.56,,5912.0,,6490.0,,6153.0,,5337.78
СВИНИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,5678.357706000001,,5421.3,,5417.8,,5773.98,,5927.93,,5888.0,,5765.0,,5248.17
КОНСЕРВЫ  МЯСНЫЕ ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ (за условную банку весом 350 г),,,,6796.150814,,6820.06,,6644.44,,6940.56,,6638.32,,6619.0,,7080.0,,6957.42
РЫБА ЖИВАЯ,,,,7068.446070000001,,6134.12,,7100.48,,6986.94,,6562.64,,7734.0,,6897.0,,7359.78
РЫБА МОРОЖЕНАЯ (тресковые и скумбриевые),,,,9018.150592,,6208.56,,8049.84,,7673.82,,9209.29,,10882.0,,9672.0,,9488.68
РЫБА МОРОЖЕНАЯ (филе и разделанная),,,,12486.961506,,10877.5,,8869.96,,9561.82,,10206.43,,19689.0,,9477.0,,10626.41
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ,,,,22390.225178000004,,21242.2,,26090.8,,25575.96,,24034.21,,19603.0,,24033.0,,18435.87
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ ДЕЛИКАТЕСНАЯ,,,,34063.81255,,27454.58,,25622.32,,24443.1,,29480.55,,39632.0,,37886.0,,49751.69
ИКРА ЛОСОСЕВЫХ РЫБ,,,,224432.92806200005,,193314.98,,206854.36,,226080.46,,220388.15,,253257.0,,219080.0,,218923.36
ПРОЧИЕ ВИДЫ ИКРЫ РЫБ (за условную банку весом  200 г),,,,5476.358116,,6637.58,,4644.28,,6460.16,,4620.07,,5527.0,,5053.0,,5025.07
СЕЛЬДЬ СОЛЕНАЯ,,,,7430.302008000001,,8025.86,,6678.64,,6896.56,,7475.03,,7688.0,,7301.0,,7737.58
"ПОЛУФАБРИКАТЫ РЫБНЫЕ (котлеты, палочки рыбные , фарш)",,,,11721.633540000004,,11900.26,,12387.28,,10931.06,,10318.32,,11529.0,,12727.0,,12252.32
КОНСЕРВЫ РЫБНЫЕ (за условную банку весом 350г),,,,3885.822708,,3754.02,,3178.32,,3871.32,,3298.65,,5043.0,,3376.0,,3228.3
КОНСЕРВЫ РЫБНЫЕ ДЕЛИКАТЕСНЫЕ (шпроты и лосось) - за условную банку весом 350 г,,,,7989.355878000002,,8180.32,,8040.16,,7855.3,,7804.34,,7951.0,,7686.0,,8603.6
ПРЕСЕРВЫ РЫБНЫЕ (филе сельди в различных соусах и заливках) - за условную банку весом 250 г,,,,3471.2870340000004,,3356.6,,3473.52,,3702.26,,3449.1,,3501.0,,3166.0,,3697.62
"МОЛОКО ЦЕЛЬНОЕ ПАСТЕРИЗОВАННОЕ, СЫРОЕ",,,,1680.2070500000004,,1694.38,,1626.96,,1658.68,,1481.58,,1800.0,,1681.0,,1643.75
КЕФИР,,,,1696.3651740000005,,1723.66,,1604.6,,1652.86,,1506.61,,1761.0,,1795.0,,1708.91
СМЕТАНА ,,,,7173.092020000001,,6586.46,,7173.16,,5955.24,,7141.57,,8074.0,,7061.0,,7394.73
ТВОРОГ ЖИРНЫЙ,,,,9163.291944000002,,8554.66,,7693.32,,8185.44,,8909.31,,11386.0,,8108.0,,8965.94
ТВОРОГ НЕЖИРНЫЙ,,,,8596.524842000003,,10437.64,,6484.8,,6756.7,,10169.42,,9466.0,,7137.0,,9441.88
ЙОГУРТ (за 250 г),,,,1635.5537760000002,,2102.5,,1697.24,,1766.76,,1737.85,,1538.0,,1183.0,,1609.19
ГЛАЗИРОВАННЫЙ СЫРОК (за 50 г),,,,872.8110280000001,,806.14,,793.96,,917.54,,865.78,,873.0,,827.0,,1063.19
"ТВОРОЖНЫЙ ДЕСЕРТ, КРЕМ, ПУДИНГ  (за 200 г)",,,,2024.883468,,2002.5,,2307.68,,1740.66,,2032.2,,2247.0,,1750.0,,1920.87
СУХИЕ МОЛОЧНЫЕ СМЕСИ  ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ,,,,17657.904774000002,,18783.48,,14633.12,,15256.6,,18758.67,,18738.0,,19241.0,,16698.59
МОЛОКО СГУЩЕНОЕ С САХАРОМ (за условную банку весом 400 г),,,,2913.2651200000005,,2869.18,,2684.72,,3066.0,,2754.89,,2969.0,,3026.0,,2882.75
МОРОЖЕНОЕ,,,,14453.966580000002,,14121.3,,14362.32,,15073.94,,13628.66,,15697.0,,14274.0,,12019.86
СЫР  ТВЕРДЫЙ,,,,17346.995414,,17117.8,,16348.48,,17290.54,,16867.7,,18528.0,,15143.0,,19520.97
СЫР МЯГКИЙ ,,,,12692.32487,,9993.0,,12370.8,,11125.1,,12104.46,,16479.0,,11004.0,,11787.54
СЫР ПЛАВЛЕНЫЙ,,,,15010.453310000003,,13018.26,,14303.64,,13286.84,,12895.62,,16943.0,,16572.0,,15511.67
МАСЛО ЖИВОТНОЕ,,,,17666.200186000005,,16819.7,,18030.44,,17872.88,,17665.58,,17763.0,,16851.0,,18982.04
