,,,,Беларусь,,Брестская,,Витебская,Гомельская,,Гродненская,,г. Минск,Минская,,Могилевская
КЕФИР,,,,1907.114126,,1864.2,,2003.97,1799.38,,1787.48,,1937.0,2027.0,,1906.12
СМЕТАНА ,,,,7608.092208,,7270.26,,7849.25,6607.74,,7665.76,,8483.0,7666.0,,7485.36
ТВОРОГ ЖИРНЫЙ,,,,10284.209991999998,,9812.18,,9046.36,8866.38,,11637.12,,12874.0,8525.0,,10759.52
ТВОРОГ НЕЖИРНЫЙ,,,,10158.915894,,11334.66,,9505.68,7313.4,,11484.71,,11279.0,9236.0,,11155.24
ЙОГУРТ (за 250 г),,,,1999.3740040000002,,2373.82,,2012.3,2101.3,,2056.91,,2077.0,1501.0,,1832.08
СЫРОК ГЛАЗИРОВАННЫЙ  (за 50 г),,,,1146.034012,,1081.78,,1171.93,1140.58,,1076.46,,1164.0,1061.0,,1354.8
"ТВОРОЖНЫЙ ДЕСЕРТ, КРЕМ, ПУДИНГ  (за 200 г)",,,,2584.654488,,2571.86,,3180.7,2449.18,,2513.75,,2547.0,2106.0,,2863.56
СУХИЕ МОЛОЧНЫЕ СМЕСИ  ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ,,,,20777.080162,,20421.74,,20937.27,17493.24,,19955.18,,24653.0,20896.0,,19516.04
МОЛОКО СГУЩЕНОЕ С САХАРОМ (за условную банку весом 400 г),,,,4620.26003,,4605.28,,4549.53,4663.38,,4521.95,,4716.0,4551.0,,4687.68
МОРОЖЕНОЕ,,,,23707.84565,,20899.48,,22434.27,26356.74,,21803.84,,28065.0,23576.0,,19965.24
СЫР  ТВЕРДЫЙ,,,,22602.429234,,21671.12,,22689.63,23616.22,,22373.74,,24433.0,19808.0,,23142.2
СЫР МЯГКИЙ ,,,,16159.632720000001,,13175.56,,15459.68,17687.24,,15043.36,,20407.0,14379.0,,15028.88
СЫР ПЛАВЛЕНЫЙ,,,,19154.465758,,17450.24,,20767.82,16501.26,,18149.18,,20395.0,20905.0,,19641.2
МАСЛО ЖИВОТНОЕ,,,,22200.831882000002,,21237.2,,22633.88,21886.9,,22142.29,,23209.0,21425.0,,22732.96
МАСЛО РАСТИТЕЛЬНОЕ ,,,,9668.238679999999,,9722.26,,9720.52,9919.86,,9336.54,,9914.0,9120.0,,9833.32
МАРГАРИН,,,,9339.493446,,8603.86,,9212.77,8992.4,,8632.25,,10280.0,10128.0,,8969.12
ЯЙЦА  КУРИНЫЕ,,,,3940.706618,,3848.22,,4084.31,3699.28,,3908.95,,3960.0,3906.0,,4259.28
САХАР-ПЕСОК,,,,4880.45521,,4791.74,,4804.03,4814.4,,5000.0,,5000.0,4906.0,,4815.96
ЧАЙ ЧЕРНЫЙ БАЙХОВЫЙ,,,,96982.59392399999,,97909.32,,80872.4,87117.0,,74627.84,,108739.0,116636.0,,103514.16
КОФЕ НАТУРАЛЬНЫЙ МОЛОТЫЙ,,,,97256.127364,,91122.96,,86763.43,97260.92,,113920.25,,84340.0,104538.0,,112822.36
КОФЕ РАСТВОРИМЫЙ,,,,201998.189636,,194565.72,,184898.97,212617.24,,190978.58,,198192.0,215345.0,,216606.96
МЁД  НАТУРАЛЬНЫЙ,,,,36738.58586800001,,34765.06,,36584.97,37696.9,,31693.6,,43679.0,36430.0,,31859.48
СОЛЬ  ПОВАРЕННАЯ  ПИЩЕВАЯ,,,,1233.454362,,1165.14,,1268.86,1234.68,,1012.13,,1474.0,926.0,,1491.68
МУКА ПШЕНИЧНАЯ ,,,,2095.444282,,2012.96,,2102.6,2012.46,,2216.3,,2208.0,1973.0,,2154.0
ХЛЕБ РЖАНОЙ,,,,2798.6238900773405,,,,,2129.38,,2623.64,,3261.0,3011.0,,
ХЛЕБ РЖАНО-ПШЕНИЧНЫЙ,,,,2350.143548,,2428.96,,2383.71,2068.8,,2088.29,,2718.0,2059.0,,2598.8
"ХЛЕБ, ИЗДЕЛИЯ БУЛОЧНЫЕ (БАТОН) ИЗ  МУКИ ПШЕНИЧНОЙ ВЫСШЕГО СОРТА",,,,4171.372046,,3945.4,,3754.59,3710.82,,3528.17,,5219.0,4375.0,,4141.56
"ХЛЕБ, ИЗДЕЛИЯ БУЛОЧНЫЕ (БАТОН) ИЗ  МУКИ ПШЕНИЧНОЙ ПЕРВОГО СОРТА",,,,2549.4452499999998,,2629.18,,3550.0,2752.0,,1769.0,,2385.0,2205.0,,2543.0
ИЗДЕЛИЯ БУЛОЧНЫЕ СДОБНЫЕ ИЗ МУКИ  ПШЕНИЧНОЙ ВЫСШЕГО СОРТА,,,,6190.8681799999995,,6481.82,,4248.3,8028.26,,5516.41,,4607.0,8081.0,,6448.8
"СУХАРИ, СУШКИ, БАРАНКИ",,,,10151.98249,,7888.1,,10091.57,11319.0,,9422.66,,9810.0,11814.0,,10710.6
РИС ШЛИФОВАННЫЙ И ПОЛИРОВАННЫЙ,,,,9158.796402,,7865.4,,8836.03,9268.38,,9423.07,,10643.0,8669.0,,8918.36
КРУПА МАННАЯ,,,,4549.778126,,4034.68,,5697.52,5011.98,,3063.52,,5659.0,2352.0,,5757.56
КРУПА ПШЕННАЯ,,,,11742.574614000001,,11736.28,,11536.49,11303.66,,11444.95,,11623.0,11284.0,,13648.64
КРУПА ГРЕЧНЕВАЯ,,,,22248.603008000002,,23033.56,,21782.8,24612.72,,19881.75,,22517.0,21468.0,,21535.52
"ОВСЯНЫЕ ХЛОПЬЯ ""ГЕРКУЛЕС""",,,,5357.419997999999,,5108.52,,5201.84,4642.5,,5575.68,,5793.0,5425.0,,5759.4
ХЛОПЬЯ КУКУРУЗНЫЕ ,,,,9895.780904,,8684.66,,11340.88,9512.9,,9356.22,,9936.0,9868.0,,10821.8
КРУПА ПЕРЛОВАЯ,,,,3298.4735459999997,,2894.18,,3003.76,5156.8,,2957.81,,3417.0,2354.0,,3062.36
КАШИ ДЛЯ ДЕТСКОГО И ДИЕТИЧЕСКОГО ПИТАНИЯ,,,,20384.654322000002,,18675.14,,20229.7,20071.48,,20101.35,,22801.0,20429.0,,19321.28
"ГОРОХ, ФАСОЛЬ",,,,7423.135417999999,,5258.9,,7059.1,7317.44,,5304.46,,12057.0,6818.0,,5820.36
МЮСЛИ И ПРОЧИЕ СУХИЕ ЗАВТРАКИ ИЗ РАЗЛИЧНЫХ КРУП,,,,20198.500964,,13841.02,,25359.13,16610.46,,14849.99,,25124.0,15111.0,,30832.56
"МАКАРОНЫ, РОЖКИ",,,,5566.745385999999,,6008.94,,4690.08,5266.88,,5749.64,,6144.0,5244.0,,5652.4
"ВЕРМИШЕЛЬ, ЛАПША",,,,5693.646253999999,,5994.68,,4528.04,5241.14,,5762.77,,6908.0,5626.0,,5195.88
ВОДКА ,,,,19040.0,,19040.0,,19040.0,19040.0,,19040.0,,19040.0,19040.0,,19040.0
НАСТОЙКИ ГОРЬКИЕ КРЕПКИЕ,,,,25984.547852,,23347.2,,22234.73,25689.52,,27301.98,,27403.0,28480.0,,27053.08
КОНЬЯК,,,,70166.93678999999,,59450.98,,80550.93,59972.36,,60474.86,,99385.0,55398.0,,65234.96
ВИНО ВИНОГРАДНОЕ КРЕПЛЕНОЕ,,,,20908.297747999997,,18286.34,,19062.41,19559.66,,15994.86,,27889.0,22113.0,,19638.16
ВИНО ВИНОГРАДНОЕ СТОЛОВОЕ,,,,20611.551696,,16083.98,,20230.97,19815.7,,16866.36,,25344.0,23479.0,,19876.68
ПИВО,,,,4834.732626,,4585.94,,4296.62,4354.12,,4773.08,,5892.0,4622.0,,4952.48
ВИНО ИГРИСТОЕ  (ШАМПАНСКОЕ),,,,20579.199839999997,,21174.72,,20361.77,20352.72,,19669.12,,20363.0,20501.0,,21715.44
ВАФЛИ,,,,18266.263714,,17546.7,,16637.36,20206.64,,15787.2,,21430.0,17494.0,,16581.8
ПРЯНИКИ,,,,11684.880852,,10055.56,,10835.01,10128.08,,9955.82,,14869.0,13153.0,,11214.12
ПЕЧЕНЬЕ ,,,,11616.235486000001,,10400.58,,10708.65,12214.88,,11519.0,,12708.0,12488.0,,10534.0
ТОРТ,,,,26498.54811,,27121.16,,25258.02,29287.06,,26614.57,,26092.0,25120.0,,25785.6
ПИРОЖНЫЕ (за 1 шт. весом 100 г),,,,2493.04558,,2369.98,,2244.81,2873.86,,2168.31,,2590.0,2558.0,,2499.12
ИРИС,,,,15208.621702,,12500.0,,17679.06,13832.94,,11106.51,,15537.0,18303.0,,17153.0
" КОНФЕТЫ ""КАРАМЕЛЬ""",,,,14602.578462,,13542.14,,15285.65,12496.72,,13302.87,,16876.0,15267.0,,14555.56
КОНФЕТЫ ГЛАЗИРОВАННЫЕ ШОКОЛАДНОЙ ГЛАЗУРЬЮ,,,,31242.692555999998,,25941.42,,33178.84,30319.14,,28101.2,,35797.0,33425.0,,29658.72
"КОНФЕТЫ ГЛАЗИРОВАННЫЕ ЖИРОВОЙ   ГЛАЗУРЬЮ (типа ""Лимонные"", ""Осенние"")",,,,16496.746091999998,,16705.42,,17603.01,16399.7,,15236.06,,16863.0,15977.0,,16407.44
ШОКОЛАД,,,,54728.733582,,47248.8,,49078.45,54999.18,,51498.33,,65980.0,57368.0,,51141.16
ХАЛВА,,,,15061.770558,,15707.76,,14943.88,16083.78,,12676.73,,15447.0,14582.0,,15333.2
МАРМЕЛАД,,,,12307.080376,,11892.54,,12449.4,12926.18,,11276.93,,11503.0,12110.0,,14477.88
ЗЕФИР,,,,16062.618727999998,,17925.6,,15757.57,14086.6,,14973.11,,17351.0,16698.0,,14699.64
КАКАО - ПОРОШОК (за 200 г),,,,8631.148755999999,,4859.54,,10057.77,12911.94,,7846.71,,9797.0,6970.0,,7186.64
КАРТОФЕЛЬ,,,,2821.6055,,2103.16,,2726.93,2734.68,,2030.9,,4435.0,2230.0,,2795.48
ЧИПСЫ  КАРТОФЕЛЬНЫЕ (за 100 г),,,,6003.804416,,5840.98,,6090.6,6517.74,,6177.34,,6359.0,5248.0,,5653.48
КАПУСТА  БЕЛОКОЧАННАЯ  СВЕЖАЯ,,,,3616.730138,,2502.16,,4441.18,3575.1,,3720.83,,3725.0,4004.0,,3384.08
ЛУК РЕПЧАТЫЙ,,,,5089.1090619999995,,5014.38,,4444.93,6235.28,,4877.41,,4592.0,5115.0,,5408.8
СВЕКЛА,,,,5312.3377040000005,,3973.88,,3553.79,6095.12,,4407.37,,7882.0,5187.0,,4706.4
МОРКОВЬ,,,,4890.896876,,4648.64,,3637.59,5416.28,,5074.68,,6113.0,4117.0,,4692.16
ПОМИДОРЫ СВЕЖИЕ,,,,9919.354957999998,,9326.9,,9349.36,10318.64,,10296.61,,10615.0,9741.0,,9487.28
ОГУРЦЫ СВЕЖИЕ,,,,5001.533662,,4632.5,,4980.1,5153.52,,4767.04,,5134.0,4946.0,,5377.28
ЧЕСНОК,,,,34721.078118,,29681.98,,29619.31,35348.84,,33513.25,,44969.0,33155.0,,32090.32
ПЕРЕЦ СЛАДКИЙ,,,,24737.807396,,24129.94,,24633.66,24031.86,,26835.48,,24300.0,24289.0,,25827.52
ОВОЩИ ЗАМОРОЖЕННЫЕ,,,,16040.928319999999,,14031.68,,15006.97,13087.64,,11998.47,,22894.0,16513.0,,15499.52
ОВОЩИ КОНСЕРВИРОВАННЫЕ,,,,6719.090477999999,,5515.12,,6232.51,6839.42,,7441.85,,5681.0,8977.0,,6751.44
СОУС ТОМАТНЫЙ,,,,8162.910938,,6976.4,,7887.51,8687.54,,8502.48,,8522.0,8156.0,,8374.4
ЯБЛОКИ,,,,12173.420356,,11506.5,,11515.93,11706.62,,9914.54,,12840.0,10690.0,,17401.56
"ПЛОДЫ ЦИТРУСОВЫЕ  (апельсины, лимоны, мандарины)",,,,12188.595772,,11233.66,,10187.86,12189.22,,14246.66,,13341.0,12627.0,,11140.72
ВИНОГРАД,,,,25795.301934000003,,25991.34,,27311.35,24671.88,,28461.24,,24209.0,24417.0,,27163.28
БАНАНЫ,,,,10428.907412,,10424.56,,10493.35,10701.6,,10596.77,,9874.0,10451.0,,10741.88
СУХОФРУКТЫ,,,,24420.053595999998,,16759.46,,27395.46,18244.74,,27532.59,,29441.0,28134.0,,22705.6
ОРЕХИ,,,,33794.912076,,20843.96,,40310.34,32380.72,,21919.87,,42194.0,38952.0,,35727.76
ФРУКТЫ КОНСЕРВИРОВАННЫЕ,,,,13659.360772000002,,9240.74,,14964.59,13320.54,,11199.46,,18534.0,14688.0,,11178.76
КОНСЕРВЫ  ФРУКТОВЫЕ  ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО  ПИТАНИЯ,,,,10951.78426,,9712.86,,10096.02,9849.02,,10121.86,,11393.0,12970.0,,12401.88
"СОК, НЕКТАР ФРУКТОВЫЙ,  ЯГОДНЫЙ",,,,5353.973674,,4808.62,,5125.22,5425.0,,5169.3,,6180.0,5127.0,,5304.36
НАПИТКИ БЕЗАЛКОГОЛЬНЫЕ ,,,,2721.29943,,2616.06,,2348.0,2264.88,,2981.17,,3193.0,2870.0,,2637.04
ВОДА МИНЕРАЛЬНАЯ ,,,,1848.06807,,1832.44,,1831.54,1899.98,,1893.32,,1800.0,1827.0,,1882.12
"ОБЕД В СТОЛОВОЙ (для 1 человека, из 4-х блюд)",,,,6529.6449219999995,,7222.4,,7950.74,5145.66,,5964.27,,6462.0,6019.0,,7197.2
"ОБЕД В РЕСТОРАНЕ    (заказной, для 1 человека,                  из   4-х блюд) ",,,,20736.406864,,20621.2,,23278.78,27667.48,,16360.18,,16694.0,13797.0,,28989.28
"КОФЕ  В   ОРГАНИЗАЦИЯХ   БЫСТРОГО  ОБСЛУЖИВАНИЯ  (за 0,2л)",,,,4907.235226,,3542.46,,4074.38,3610.16,,2369.09,,9553.0,5115.0,,3711.52
"СОК   В  ОРГАНИЗАЦИЯХ   БЫСТРОГО  ОБСЛУЖИВАНИЯ   (за 0,2л)",,,,1446.746952,,1195.26,,1171.02,1303.02,,1355.2,,2074.0,1550.0,,1170.08
"СИГАРЕТЫ  С  ФИЛЬТРОМ   ОТЕЧЕСТВЕННЫЕ                      (за 1 пачку, 20 штук)",,,,2093.927986,,1853.06,,2016.4,2532.72,,1958.73,,2217.0,1986.0,,1977.64
"СИГАРЕТЫ  БЕЗ  ФИЛЬТРА   ОТЕЧЕСТВЕННЫЕ                       (за 1 пачку, 20 штук)",,,,1180.0,,1180.0,,1180.0,1180.0,,1180.0,,1180.0,1180.0,,1180.0
