,,,,Беларусь,,Брестская,,Витебская,Гомельская,,Гродненская,,г. Минск,Минская,,Могилевская
КОСТЮМ  ИЗ ШЕРСТЯНОЙ ИЛИ ПОЛУШЕРСТЯНОЙ ТКАНИ ЖЕНСКИЙ ,,,,308762.577534,,150007.7,,171356.68,245019.64,,154392.19,,825000.0,148785.0,,242474.68
КОСТЮМ ВЯЗАНЫЙ ЖЕНСКИЙ ,,,,140090.315224,,139899.36,,126752.94,179477.0,,141499.54,,133613.0,125970.0,,131322.44
ПИДЖАК ЖЕНСКИЙ,,,,138075.622412,,132321.46,,130104.8,125947.74,,116428.53,,181742.0,128938.0,,130105.2
ЮБКА ЖЕНСКАЯ ,,,,98233.483184,,85067.18,,88821.39,85871.18,,97871.06,,112151.0,94959.0,,123192.08
ДЖИНСЫ ЖЕНСКИЕ,,,,150386.96221599999,,126286.68,,106606.19,127859.36,,143320.0,,233200.0,155357.0,,121524.4
БЛУЗКА ЖЕНСКАЯ,,,,98788.963434,,85197.0,,101036.69,88715.1,,88051.28,,130060.0,89132.0,,97466.28
ПЛАТЬЕ ИЗ ПОЛУШЕРСТЯНОЙ ТКАНИ ЖЕНСКОЕ,,,,99045.858832,,115202.2,,112472.95,113023.0,,100394.79,,78340.0,84470.0,,97248.0
ХАЛАТ ДОМАШНИЙ ЖЕНСКИЙ,,,,62288.620956,,58124.3,,69234.08,43866.46,,57804.91,,82738.0,51641.0,,67944.04
"СВИТЕР, ДЖЕМПЕР ИЗ СИНТЕТИЧЕСКОЙ ПРЯЖИ ЖЕНСКИЙ",,,,53470.341510000006,,54659.02,,52035.71,60082.04,,39084.63,,68995.0,50001.0,,37373.56
КОСТЮМ СПОРТИВНЫЙ ЖЕНСКИЙ,,,,147370.685174,,129018.1,,127727.11,119146.2,,109529.09,,219837.0,147676.0,,145070.88
БЮСТГАЛЬТЕР ,,,,38613.13698,,37963.96,,35910.14,35458.88,,35769.96,,44518.0,41698.0,,35495.76
ТРУСЫ  ИЗ ХЛОПЧАТОБУМАЖНОГО ТРИКОТАЖНОГО ПОЛОТНА ЖЕНСКИЕ,,,,9683.772210000001,,7495.94,,8230.52,10472.32,,9236.78,,13560.0,9333.0,,7464.2
ШАПКА  МЕХОВАЯ ЖЕНСКАЯ,,,,362299.55758301576,,,,550675.0,,,236882.28,,336510.0,,,316500.0
ПЛАЩ ЖЕНСКИЙ,,,,261521.335256,,255054.9,,232438.2,279968.74,,216136.66,,267637.0,274433.0,,295615.4
РУБАШКА ЖЕНСКАЯ НОЧНАЯ,,,,31209.319442,,27568.84,,30451.79,30990.54,,26921.95,,40297.0,29975.0,,27548.4
"ПЛАТОК, ШАРФ ЖЕНСКИЙ",,,,42778.251382,,15493.3,,96899.22,18800.8,,42591.55,,74113.0,20415.0,,25012.6
ШЛЯПА ЖЕНСКАЯ,,,,62439.651214,,59357.18,,47201.07,54376.8,0.0,64445.98,,81881.0,56548.0,,67183.44
ШУБА (полушубок) ИЗ ИСКУССТВЕННОГО МЕХА ЖЕНСКИЙ,,,,231950.46,,,,,,,231950.46,,,,,
КОМПЛЕКТ БЕЛЬЯ ЖЕНСКОГО,,,,44487.8167,,30620.64,,45086.56,31360.4,,38656.61,,65559.0,45974.0,,47241.68
КУПАЛЬНЫЙ КОСТЮМ ЖЕНСКИЙ,,,,100283.903498,,91802.26,,83686.84,103600.92,,92467.27,,147409.0,72697.0,,89794.32
КОЛГОТКИ ЖЕНСКИЕ,,,,11067.891921999999,,9238.06,,8628.4,9922.12,,9507.95,,17888.0,10463.0,,8521.84
БРЮКИ ЖЕНСКИЕ,,,,107510.779444,,92800.94,,93750.13,104973.42,,104490.99,,141965.0,99088.0,,101196.8
КУРТКА  ЗИМНЯЯ И  ДЕМИСЕЗОННАЯ  ДЛЯ МАЛЬЧИКА ,,,,153558.082362,,120329.94,,200716.0,119357.4,,158779.1,,188832.0,136438.0,,145972.76
КУРТКА  ДЕМИСЕЗОННАЯ  ДЛЯ ДЕВОЧКИ,,,,138819.319,,111986.78,,161829.17,114480.3,,120660.31,,162179.0,145957.0,,148608.2
ПАЛЬТО  ЗИМНЕЕ И ДЕМИСЕЗОННОЕ ДЛЯ ДЕВОЧКИ    ,,,,188683.89577040196,,169380.74,,236468.3,192660.0,,168280.79,,,,,174384.0
НОСКИ  ИЗ ХЛОПЧАТОБУМАЖНОЙ И СМЕСОВОЙ ПРЯЖИ ДЕТСКИЕ,,,,3602.223918,,3241.18,,3433.56,3048.08,,3648.94,,4373.0,3738.0,,3467.12
БРЮКИ ДЕТСКИЕ,,,,53050.878866,,44820.94,,52261.12,44572.8,,49216.95,,65407.0,51795.0,,60272.72
КОСТЮМ ШКОЛЬНЫЙ ,,,,138432.176296,,141809.56,,159482.43,135364.36,,142117.47,,144724.0,113590.0,,132571.2
КОСТЮМ СПОРТИВНЫЙ ДЕТСКИЙ,,,,81761.82758200001,,66079.82,,81853.12,74960.52,,74016.64,,105131.0,85607.0,,74028.52
"ДЖЕМПЕР,CВИТЕР  ИЗ ПОЛУШЕРСТЯНОЙ ПРЯЖИ ДЕТСКИЙ",,,,56975.762934000006,,47024.96,,46646.93,45703.42,,51868.09,,80858.0,62998.0,,53241.2
СОРОЧКА ВЕРХНЯЯ   ИЗ ХЛОПЧАТОБУМАЖНОЙ ИЛИ СМЕСОВОЙ ТКАНИ ДЛЯ МАЛЬЧИКА,,,,32136.643198,,29334.58,,36038.43,25643.44,,35564.59,,31887.0,32745.0,,36157.6
ЮБКА  ИЗ СМЕСОВЫХ ТКАНЕЙ ИЛИ ТРИКОТАЖНОГО ПОЛОТНА  ДЕТСКАЯ,,,,47504.316335999996,,39975.98,,51918.95,37324.78,,45402.52,,60281.0,44073.0,,50637.92
ПЛАТЬЕ  ИЗ ХЛОПЧАТОБУМАЖНОЙ ТКАНИ ДЕТСКОЕ,,,,50242.554602000004,,45387.02,,45226.65,44489.48,,37729.8,,71937.0,46612.0,,50208.28
"КОСТЮМ, КОМПЛЕКТ (юбка, брюки, жакет) ДЛЯ ДЕВОЧКИ",,,,116346.942648,,126433.42,,108712.83,112437.38,,127669.76,,116194.0,108549.0,,116472.28
ДЖИНСЫ ДЕТСКИЕ,,,,78776.841942,,60711.18,,58747.38,66120.84,,75148.72,,116313.0,72667.0,,89550.0
БЕЛЬЕ  ДЛЯ  НОВОРОЖДЕННЫХ  И  ДЕТЕЙ  ЯСЕЛЬНОГО  ВОЗРАСТА,,,,15236.289531999999,,14481.04,,20200.45,6931.12,,17711.17,,15151.0,16860.0,,17165.16
КОМПЛЕКТ БЕЛЬЯ ДЕТСКОГО,,,,12784.759432000003,,11156.08,,14637.6,11789.92,,12757.27,,14623.0,12277.0,,11694.76
ШАПОЧКА ТРИКОТАЖНАЯ ДЕТСКАЯ,,,,24173.953008,,18683.94,,27071.01,17826.9,,21943.47,,31729.0,26885.0,,22273.08
КОЛГОТКИ ДЕТСКИЕ,,,,10730.157536,,10768.72,,9970.17,9454.44,,12497.61,,10340.0,12531.0,,9800.24
ПИЖАМА ДЕТСКАЯ,,,,29053.401476,,25161.9,,28502.59,29139.58,,25378.24,,34453.0,28576.0,,29691.52
"ПОЛУБОТИНКИ, ТУФЛИ  КОЖАНЫЕ МУЖСКИЕ",,,,179471.9569,,182972.9,,179502.5,156208.26,,155852.1,,246104.0,148761.0,,156704.64
САПОГИ НА МЕХУ  МУЖСКИЕ,,,,223496.67385461205,,202970.0,,282850.13,,,193640.68,,,226860.0,,207869.44
ОБУВЬ  ДОМАШНЯЯ  МУЖСКАЯ ,,,,29115.20136,,23793.04,,23570.87,23683.28,,24160.22,,51040.0,23028.0,,25255.08
КРОССОВЫЕ ТУФЛИ МУЖСКИЕ,,,,136749.44835400002,,139955.66,,99983.76,134800.68,,111321.05,,173717.0,142668.0,,131685.56
"БОСОНОЖКИ, САНДАЛЕТЫ ИЗ НАТУРАЛЬНОЙ ИЛИ ИСКУССТВЕНОЙ КОЖИ  МУЖСКИЕ",,,,148750.37110199998,,137418.96,,159369.36,144659.1,,86979.6,,209811.0,135885.0,,131339.48
РЕЗИНОВАЯ ОБУВЬ,,,,41690.729033999996,,32641.78,,37307.41,41196.68,,35449.95,,48468.0,51078.0,,41387.16
САПОГИ  ЗИМНИЕ  НА НИЗКОМ КАБЛУКЕ ЖЕНСКИЕ,,,,348168.8572571777,,341155.0,,461808.6,,,276539.98,,,326960.0,,327001.64
САПОГИ  ДЕМИСЕЗОННЫЕ  НА ВЫСОКОМ КАБЛУКЕ ЖЕНСКИЕ,,,,307308.846574,,321436.3,,340889.2,252940.0,,301685.48,,291908.0,328193.0,,327273.8
"ТУФЛИ   КОЖАНЫЕ НА НИЗКОМ КАБЛУКЕ, НА СИНТЕТИЧЕСКОЙ ПОДОШВЕ ЖЕНСКИЕ",,,,139221.29285799997,,142367.4,,128528.47,137124.74,,150786.38,,149684.0,136611.0,,124477.12
ТУФЛИ  МОДЕЛЬНЫЕ ЖЕНСКИЕ,,,,187063.990754,,192030.34,,193657.25,170253.48,,167122.23,,234414.0,158140.0,,173003.72
ТУФЛИ   ЛЕТНИЕ КОЖАНЫЕ ЖЕНСКИЕ,,,,160385.80038,,159618.72,,134469.55,152231.88,,120775.25,,231753.0,143093.0,,142643.52
ОБУВЬ  ДОМАШНЯЯ ЖЕНСКАЯ ,,,,29265.034998000003,,25701.58,,22493.6,23295.8,,26645.59,,46106.0,25056.0,,29052.88
ТУФЛИ  ИЗ ИСКУССТВЕННОЙ КОЖИ ЖЕНСКИЕ ,,,,96431.48563800001,,113358.2,,88317.3,95997.82,,90939.28,,98899.0,105232.0,,74255.4
ПОЛУСАПОЖКИ ЗИМНИЕ И ДЕМИСЕЗОННЫЕ  ДЛЯ МАЛЬЧИКА,,,,155841.43895555814,,115728.3,,109143.13,,,143534.91,,195219.0,156817.0,,204377.6
ПОЛУСАПОЖКИ ЗИМНИЕ И ДЕМИСЕЗОННЫЕ  ДЛЯ ДЕВОЧКИ,,,,158506.93924399998,,108071.84,,147151.95,115115.0,,160334.53,,249131.0,153037.0,,146096.2
"БОТИНКИ, ТУФЛИ КОЖАНЫЕ ДЕМИСЕЗОННЫЕ ДЛЯ МАЛЬЧИКА",,,,97810.639696,,98219.8,,92747.87,92842.96,,104295.45,,102795.0,86274.0,,109793.76
ТУФЛИ ЛЕТНИЕ ДЕВИЧЬИ,,,,83141.37077400001,,86186.42,,78513.73,75446.32,,74671.87,,103428.0,68260.0,,88137.68
КРОССОВЫЕ ТУФЛИ ДЕТСКИЕ,,,,68153.99075,,55438.36,,48841.55,52265.7,,82344.13,,103481.0,61909.0,,61966.08
СТОЛ ПИСЬМЕННЫЙ,,,,362123.352254,,336683.34,,280011.71,521965.0,,272293.18,,395266.0,362470.0,,308424.92
ШКАФ ДЛЯ ОДЕЖДЫ  И  БЕЛЬЯ,,,,962577.0329760001,,998827.28,,1050942.17,877866.28,,925975.59,,741170.0,1070241.0,,1196129.08
СТУЛ,,,,165168.201408,,136167.88,,166282.01,163636.52,,135242.87,,225980.0,143270.0,,158676.96
НАБОР МЕБЕЛИ ДЛЯ СПАЛЬНИ,,,,4504787.452802541,,3782395.76,,5233442.24,4304675.86,,3457420.97,,5841071.0,,,3654510.68
НАБОР МЯГКОЙ МЕБЕЛИ,,,,3587019.2469719998,,3936378.6,,2194312.4,3210784.44,,4002557.65,,3762367.0,3895930.0,,4099108.32
НАБОР КОРПУСНОЙ МЕБЕЛИ ,,,,3088478.559888,,2747998.64,,3119029.42,3088385.44,,2275206.91,,3958225.0,3123993.0,,2779451.8
ДИВАН-КРОВАТЬ,,,,1815506.575894,,1770617.2,,1161765.4,1752932.38,,1505031.5,,2630940.0,1657700.0,,1830241.04
 ГАРНИТУР КУХОННЫЙ,,,,2118969.4475720003,,2344198.22,,1504570.0,1742624.66,,1894025.27,,2467698.0,2392840.0,,2295989.72
ГАРНИТУР ДЛЯ ПРИХОЖЕЙ,,,,1094866.087138,,1240450.5,,1239491.33,1127121.8,,980224.79,,873696.0,1248746.0,,987069.24
КОВЕР ИЗ  ШЕРСТЯНОЙ И СИНТЕТИЧЕСКОЙ ПРЯЖИ       (за 1 м2),,,,69150.557392,,47845.2,,84720.89,65486.0,,67581.4,,71672.0,67844.0,,82737.64
КОВЕР ИЗ СИНТЕТИЧЕСКОЙ ПРЯЖИ (за 1 м2)  ,,,,67682.801684,,67076.02,,59303.58,55888.26,,51822.92,,92700.0,60079.0,,76807.24
ДОРОЖКА КОВРОВАЯ (за 1 м2),,,,49000.947576,,45117.96,,50732.94,42619.32,,47502.07,,58083.0,46005.0,,50533.56
КОМПЛЕКТ БЕЛЬЯ ПОСТЕЛЬНОГО ,,,,118987.080954,,106625.82,,108966.64,105627.96,,122153.34,,144428.0,128631.0,,105313.88
ОДЕЯЛО ПОЛУШЕРСТЯНОЕ,,,,101364.68259800001,,86623.8,,113819.53,91983.34,,75325.66,,145551.0,77990.0,,100232.92
ОДЕЯЛО ВАТНОЕ,,,,86862.36190399999,,88636.78,,83109.27,72607.5,,78278.86,,110806.0,81806.0,,82341.52
ПОКРЫВАЛО ,,,,100191.676376,,81367.84,,78424.7,63080.52,,66273.08,,173027.0,124372.0,,77100.24
СКАТЕРТЬ,,,,28058.866152,,22226.94,,32345.86,29025.54,,20937.33,,33441.0,27272.0,,28385.52
ПОЛОТНО ГАРДИННОЕ ТЮЛЕВОЕ ИЗ СИНТЕТИЧЕСКИХ НИТЕЙ,,,,23898.599319999998,,18184.16,,20892.97,17171.64,,24698.69,,36806.0,19395.0,,26843.44
ПОЛОТЕНЦЕ МАХРОВОЕ БАННОЕ ,,,,46711.760522000004,,35556.5,,43916.9,39341.84,,40167.72,,62931.0,48474.0,,50718.44
ТАРЕЛКА,,,,5813.836139999999,,3243.34,,3460.23,4000.46,,5040.37,,14047.0,3772.0,,3722.32
"СЕРВИЗ ЧАЙНЫЙ, КОФЕЙНЫЙ",,,,59762.406874,,50174.0,,67455.57,52226.22,,56012.11,,71838.0,59095.0,,57564.6
ВАЗА,,,,45425.398968,,45318.5,,55569.19,48212.38,,44386.97,,42421.0,41582.0,,41538.16
КАСТРЮЛЯ,,,,55043.417096000005,,43622.3,,54736.56,43753.94,,43413.36,,75533.0,56864.0,,59484.32
ХОЛОДИЛЬНИК,,,,2708698.786146,,2942312.38,,3167441.17,2364723.8,,2286326.4,,2525831.0,2869804.0,,2857839.92
ЛАМПА ЭЛЕКТРИЧЕСКАЯ,,,,2689.217242,,1034.26,,1664.75,6114.76,,3570.92,,3305.0,1281.0,,1382.12
МАШИНА СТИРАЛЬНАЯ,,,,2043714.5760120002,,2261942.78,,1801868.88,2169680.14,,2240891.72,,1624648.0,2285529.0,,2067097.8
ПЫЛЕСОС НАПОЛЬНЫЙ,,,,527228.3810480001,,478140.62,,527969.95,497414.18,,541379.76,,628302.0,553413.0,,410850.72
УТЮГ  ЭЛЕКТРИЧЕСКИЙ,,,,145051.253444,,169574.36,,141825.8,132879.92,,138530.0,,197028.0,105538.0,,103736.0
КОМБАЙН КУХОННЫЙ,,,,504118.79434799997,,528466.5,,720515.0,389539.02,,458065.1,,458396.0,569546.0,,417254.92
ЛЮСТРА ЭЛЕКТРИЧЕСКАЯ,,,,186700.95270199998,,107947.32,,122934.35,111667.18,,102193.57,,451616.0,156631.0,,134928.2
ЧАЙНИК ЭЛЕКТРИЧЕСКИЙ,,,,130497.582522,,94902.24,,121595.51,105894.18,,134956.22,,182197.0,142359.0,,111868.52
СОКОВЫЖИМАЛКА ЭЛЕКТРИЧЕСКАЯ,,,,281285.26486,,250385.02,,255378.01,319079.02,,234626.67,,326394.0,272665.0,,281346.52
ПЕЧЬ МИКРОВОЛНОВАЯ,,,,555893.900454,,441028.84,,514321.42,537978.38,,480881.19,,656096.0,633171.0,,578047.72
ПЛИТА  БЫТОВАЯ ЭЛЕКТРИЧЕСКАЯ,,,,1980056.9079699998,,2974241.54,,1275361.66,1970852.4,,1884753.8,,2151510.0,1795645.0,,1556993.32
РАДИАТОР БЫТОВОЙ ЭЛЕКТРИЧЕСКИЙ,,,,251343.87939400002,,273551.68,,206060.0,213926.98,,221557.51,,261229.0,246915.0,,341443.0
ДРЕЛЬ ЭЛЕКТРИЧЕСКАЯ,,,,362206.39153,,239171.42,,327427.9,314816.4,,322150.37,,492900.0,397362.0,,395282.12
ТЕЛЕВИЗОР ЦВЕТНОГО ИЗОБРАЖЕНИЯ,,,,1925326.4611719998,,2255279.44,,1484723.23,1677943.6,,1774235.88,,3039722.0,1243959.0,,1485832.4
МУЗЫКАЛЬНЫЙ ЦЕНТР,,,,1170632.185946,,713666.66,,1078304.7,783765.08,,904369.51,,1905082.0,1217000.0,,1335848.56
DVD-ПЛЕЕР,,,,345590.69201999996,,318780.9,,264028.08,287053.74,,308299.18,,492208.0,342008.0,,343658.2
КОМПАКТ-ДИСК (без записи),,,,3758.7070479999993,,3495.18,,2960.82,3350.66,,4055.07,,5524.0,3129.0,,3094.04
КИРПИЧ СТРОИТЕЛЬНЫЙ (за 1тыс. шт),,,,883089.855234,,826742.22,,1139680.0,1020154.8,,624497.9,,848800.0,838636.0,,854647.52
ОБОИ (за рулон 10 м),,,,24949.911802000002,,17463.0,,13158.71,14194.46,,17312.41,,56423.0,20203.0,,22746.28
ПИЛОМАТЕРИАЛЫ ХВОЙНЫЕ ОБРЕЗНЫЕ И НЕОБРЕЗНЫЕ (за 1 м3 ) ,,,,704974.556696,,551956.72,,975879.11,533170.68,,540694.33,,981507.0,423826.0,,884082.8
ПЛИТКА КЕРАМИЧЕСКАЯ (за1  м2),,,,40503.094572,,41043.6,,36334.11,31932.24,,35163.23,,51938.0,39451.0,,43176.32
ЦЕМЕНТ (за 50 кг),,,,37907.187591999995,,33610.12,,54258.62,36692.92,,29873.12,,31420.0,42528.0,,39371.2
ШИФЕР (за 10 условных штук),,,,25085.17880896,,23312.02,,27488.53,26751.34,,24285.11,,24675.0,26426.0,,22187.6648
ЛИНОЛЕУМ (за 1 м2),,,,52062.54868000001,,38112.22,,51866.9,31245.7,,49837.63,,86505.0,48776.0,,46153.68
СТЕКЛО ОКОННОЕ (за 1 м2),,,,33732.29893600001,,37731.44,,31043.89,38565.6,,23955.22,,39820.0,29300.0,,30379.28
СЧЕТЧИК УЧЕТА ПОТРЕБЛЕНИЯ ВОДЫ,,,,127254.25647800001,,141127.76,,77062.13,104274.86,,82576.7,,175545.0,147953.0,,131953.04
"ПАНЕЛИ ДЛЯ ОТДЕЛКИ ПОТОЛКА, СТЕН ИЗ ПВХ  (за 1 м2)",,,,35401.791891999994,,32792.12,,30231.34,27373.8,,36621.28,,45863.0,34102.0,,38054.92
ОКОННЫЙ БЛОК ДВУХСТВОРЧАТЫЙ (размер 130х140см) СО СТЕКЛОПАКЕТОМ,,,,1543203.19851,,1422192.44,,1494192.0,1496670.46,,1567129.86,,1642500.0,1546575.0,,1619959.6
ДВЕРНОЙ БЛОК С ДВЕРЬЮ (размер 210х70 см                  или 210х80 см),,,,663440.822134,,609328.66,,634973.37,576104.92,,584940.9,,960804.0,694933.0,,416222.24
ЛАМИНАТ (за 1 м2),,,,93683.13141,,78711.1,,85972.25,80206.52,,69309.52,,117145.0,109374.0,,103341.6
СУМКА ИЗ ИСКУССТВЕННОЙ КОЖИ,,,,112852.12744800001,,89730.66,,90730.43,91578.54,,104894.79,,175804.0,108599.0,,102936.2
СУМКА ИЗ НАТУРАЛЬНОЙ КОЖИ,,,,281231.819462,,266254.26,,251012.26,233180.92,,252763.34,,425022.0,241943.0,,235089.0
ПЕРЧАТКИ ИЗ НАТУРАЛЬНОЙ КОЖИ,,,,65930.153572,,58865.16,,65257.77,68183.0,,63510.74,,84308.0,56587.0,,56407.04
РЕМЕНЬ ПОЯСНОЙ ИЗ НАТУРАЛЬНОЙ ИЛИ ИСКУССТВЕННОЙ КОЖИ,,,,33148.643756,,29486.18,,34119.25,35860.22,,30756.08,,39621.0,27713.0,,31710.04
СОСУДОРАСШИРЯЮЩИЕ И СПАЗМОЛИТИЧЕСКИЕ ПРЕПАРАТЫ (за 10 таблеток),,,,595.321115692136,,547.7333333333333,,546.0,581.68,,673.0,,653.0,458.8,,651.6
"ПРЕПАРАТЫ, УЛУЧШАЮЩИЕ МОЗГОВОЕ КРОВООБРАЩЕНИЕ (за 10 таблеток)",,,,486.6045215190112,,321.26666666666665,,316.0,482.4,,374.0,,680.0,300.2,,709.9733333333334
ДИУРЕТИЧЕСКИЕ ПРЕПАРАТЫ (за 10 таблеток),,,,511.7668120787936,,353.06666666666666,,335.0,647.25,,366.0,,318.0,331.12,,1438.86
ТРАНКВИЛИЗАТОРЫ (за 10 таблеток),,,,1531.5081106813448,,1487.24,,1420.0,1445.7,,1350.0,,1287.0,1316.15,,2719.16
НЕНАРКОТИЧЕСКИЕ АНАЛЬГЕТИКИ (за 10 таблеток),,,,532.1365957788452,,506.0,,543.0,481.8,,578.0,,552.0,492.9333333333334,,565.6
АНТИБИОТИКИ (за 10 таблеток),,,,1200.9686705109496,,918.6666666666666,,824.0,859.8,,927.0,,1762.0,827.6,,1713.4666666666665
ВИТАМИНЫ (за 10 таблеток),,,,954.5410704486097,,675.52,,1356.0,633.0,,710.0,,1046.0,526.5866666666667,,1660.3333333333333
АНТИСЕПТИЧЕСКИЕ СРЕДСТВА (за 10 мл),,,,1070.4346604138034,,1045.6,,1085.0,1250.5,,996.0,,1086.0,942.5333333333332,,1007.2133333333334
ГОРЧИЧНИКИ (за 10 шт),,,,1482.3463467505417,,1538.0,,1363.0,1541.1,,1490.0,,1484.0,1540.0,,1410.0
ВАТА (за 50 г),,,,2865.828260202226,,2197.7333333333336,,2694.0,1925.1,,3177.0,,3652.0,4008.3333333333335,,1882.5333333333335
ЛЕЙКОПЛАСТЫРЬ (за упаковку размером 3 см  х 5 м),,,,3715.4749979928492,,3541.666666666667,,3709.0,3715.9,,3613.0,,4292.0,3252.5,,3169.666666666667
БИНТ (за упаковку размером 5 см х 10 м),,,,1330.020874,,1230.28,,1462.6,1299.34,,1371.91,,1238.0,1494.0,,1249.44
ОЧКИ И ОПРАВЫ,,,,46151.935366,,32885.08,,28245.29,24825.1,,38508.55,,85115.0,50144.0,,48218.36
АВТОМОБИЛЬ ЛЕГКОВОЙ,,,,87551965.35434751,,,,,84742000.0,,87690000.0,,107807250.0,,,57094533.56
ВЕЛОСИПЕД ,,,,657300.9759180001,,647497.78,,660895.74,545954.24,,573501.9,,799774.0,639904.0,,677784.68
МОТОЦИКЛ,,,,8498000.54735013,,,,,5068910.0,,,,9280030.0,,,11700000.0
БЕНЗИН АВТОМОБИЛЬНЫЙ (за 1 л),,,,4193.656656,,4201.84,,4214.15,4093.4,,4246.19,,4180.0,4233.0,,4212.52
ТОПЛИВО ДИЗЕЛЬНОЕ (л),,,,4449.252208,,4450.0,,4444.23,4450.0,,4450.0,,4450.0,4450.0,,4450.0
МОЮЩИЕ СРЕДСТВА ПО УХОДУ ЗА АВТОМОБИЛЯМИ (л),,,,22221.28112,,20069.54,,24681.43,17754.98,,14954.17,,28498.0,23908.0,,22471.0
ЕЖЕДНЕВНАЯ ГАЗЕТА ,,,,724.3154119999999,,801.94,,737.76,624.3,,662.18,,778.0,680.0,,769.76
ЕЖЕНЕДЕЛЬНАЯ ГАЗЕТА  ,,,,1335.884558,,1163.84,,1295.4,1364.06,,1416.83,,1730.0,1240.0,,947.96
ЕЖЕМЕСЯЧНЫЙ ЖУРНАЛ ,,,,4816.6282,,4211.9,,5688.24,4545.66,,4983.47,,5616.0,4268.0,,4174.04
ЧАСЫ,,,,65971.60005200001,,63337.04,,54712.5,50909.48,,54297.87,,100501.0,59361.0,,63868.0
МЫЛО ХОЗЯЙСТВЕННОЕ (за 400 г),,,,3733.334624,,2912.16,,3289.51,2583.88,,3502.24,,6377.0,3376.0,,3047.8
СИНТЕТИЧЕСКИЕ МОЮЩИЕ СРЕДСТВА    (за 500 г),,,,8782.663268,,8411.06,,9454.91,7239.38,,7001.59,,11160.0,8659.0,,8445.92
КРЕМ ДЛЯ ОБУВИ  (за 75 г),,,,4734.719268000001,,3654.22,,3321.4,4257.26,,4084.83,,7273.0,4160.0,,5456.56
КРАСКА ПОЛОВАЯ И ПРОЧАЯ (за 1 кг),,,,18000.793102,,17622.8,,17170.78,20567.82,,13628.33,,19362.0,18600.0,,17254.48
ЛАК ДЛЯ ПАРКЕТА И ПРОЧИЙ (за 1 кг),,,,18779.59845,,18980.92,,19326.13,17922.5,,11204.52,,26668.0,13103.0,,20579.48
ТОВАРЫ ХОЗЯЙСТВЕННЫЕ  ИЗ ПЛАСТМАССЫ И МЕТАЛЛА,,,,21055.035718,,18873.78,,14801.16,21318.32,,18682.06,,32742.0,15256.0,,20765.6
КАРНИЗЫ,,,,88811.894778,,82761.84,,53957.59,50811.78,,42902.69,,151769.0,112939.0,,93661.28
ЗАМКИ ВРЕЗНЫЕ И НАКЛАДНЫЕ,,,,35259.914806,,33956.1,,29406.88,37689.32,,33509.74,,32915.0,45268.0,,32961.96
ЮВЕЛИРНЫЕ ИЗДЕЛИЯ ИЗ ЗОЛОТА  (за 1г),,,,287473.12294599996,,305661.08,,296362.44,304753.5,,321279.95,,264759.0,235013.0,,304650.56
ФОТОАППАРАТ,,,,355954.9823195105,,120250.0,,468797.53,,,,,88870.0,931450.0,,231575.04
ФОТОКАМЕРА  ЦИФРОВАЯ ,,,,1030374.1388539999,,787811.18,,822712.18,1077325.52,,1033956.76,,1173206.0,1202231.0,,1045994.32
ИГРУШКИ,,,,37901.611002,,28824.64,,30632.57,24423.86,,25130.2,,76456.0,23336.0,,42123.04
АППАРАТ  ТЕЛЕФОННЫЙ ,,,,134862.30670199997,,172426.76,,100999.94,113027.38,,110599.11,,161416.0,162860.0,,96387.12
КОЛЯСКА  ДЕТСКАЯ ,,,,894091.1344620001,,814109.34,,726623.61,864608.04,,620000.56,,1176886.0,1105868.0,,741897.6
ЗОНТ,,,,63630.30838,,52632.66,,57922.57,56937.86,,53055.19,,93498.0,61353.0,,56091.32
ТЕЛЕФОН НЫЙ АППАРАТ СОТОВОЙ СВЯЗИ ,,,,667066.5189739999,,557711.16,,720490.8,719295.22,,735017.39,,739200.0,651950.0,,510150.64
ТЕТРАДЬ (в пересчете за 12 листов),,,,408.55813800000004,,418.52,,342.02,309.58,,469.92,,594.0,342.0,,315.92
РУЧКА ШАРИКОВАЯ,,,,1104.1044259999999,,856.74,,1173.59,570.88,,917.1,,1910.0,1033.0,,966.68
ШАМПУНЬ  (за 250 мл),,,,9392.838256000001,,6494.24,,7623.74,9285.36,,7485.7,,16431.0,7469.0,,7781.4
ЗУБНАЯ ПАСТА  (за 75 г),,,,4669.360254,,3804.18,,3855.09,3878.64,,3193.81,,8831.0,3649.0,,3514.92
МЫЛО ТУАЛЕТНОЕ  (за 150 г),,,,4570.406352,,3892.7,,4235.98,3162.7,,3154.63,,6977.0,5209.0,,4182.2
КРЕМ ДЛЯ ЛИЦА  (за 100 г),,,,19882.306202,,11202.08,,14505.02,12859.46,,17370.35,,46284.0,13908.0,,12170.24
ДЕЗОДОРАНТ  (за 110 мл),,,,13917.104018,,12800.32,,13575.77,12662.22,,11358.29,,17852.0,14413.0,,12635.2
ЛЕЗВИЯ ДЛЯ БРИТВЫ (за блок из 10 лезвий),,,,5697.483830000001,,5029.82,,7010.84,5330.96,,3931.88,,6927.0,6422.0,,4279.6
ЩЕТКА ЗУБНАЯ ,,,,5631.526858,,3334.08,,4808.3,3681.5,,2990.87,,14049.0,3166.0,,3717.96
ТУАЛЕТНАЯ ВОДА (за 100 мл),,,,83842.98203400002,,32513.22,,42358.79,34877.4,,54306.21,,257075.0,43459.0,,51138.16
