,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА  (кроме бескостного мяса),,,,65976.62826760564,,64519.0,,64774.95,,68176.0,,50068.44,,70502.0,,,,71502.75
ГОВЯДИНА БЕСКОСТНАЯ,,,,102166.61851599999,,91193.76,,98775.67,,101479.83,,90471.26000000001,,110117.0,,108934.0,,102559.0
СВИНИНА (кроме бескостного мяса),,,,58132.7924,,58230.479999999996,,58869.09,,58930.88,,53804.16,,55643.0,,61042.0,,62949.4
СВИНИНА БЕСКОСТНАЯ,,,,91126.17528,,83571.6,,92175.95999999999,,95701.38,,91195.42000000001,,91959.0,,87828.0,,95784.5
ФАРШ МЯСНОЙ (без добавок),,,,67968.493848,,68930.56,,63674.85,,64196.21000000001,,73320.0,,74579.0,,60377.0,,64892.3
"КУРЫ (ЦЫПЛЯТА, ВКЛЮЧАЯ БРОЙЛЕРОВ)",,,,30021.626276000003,,28308.800000000003,,31006.589999999997,,29508.31,,29265.300000000003,,31014.0,,29830.0,,30179.15
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,42756.571476000005,,40351.520000000004,,44452.83,,41508.58,,45328.94,,43170.0,,41621.0,,43231.15
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,29431.166640000003,,27889.36,,28261.22,,33295.56,,30142.920000000006,,29994.0,,26038.0,,30331.4
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,5634.070744,,5541.4400000000005,,4902.5599999999995,,5654.9400000000005,,5679.02,,6212.0,,5337.0,,5453.95
ПЕЛЬМЕНИ МЯСНЫЕ,,,,45469.101239999996,,42664.36,,40408.47,,45846.5,,45042.98,,49447.0,,45186.0,,44850.5
САЛО,,,,88299.666616,,71552.48,,82875.8,,85112.96,,89175.84,,97593.0,,89724.0,,92324.75
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,59250.902500000004,,59583.72,,57262.34,,61604.380000000005,,59028.28,,59925.0,,57982.0,,58391.45
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,44293.24646,,44515.92,,39784.5,,39006.25,,39289.560000000005,,49050.0,,49153.0,,42119.549999999996
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА ,,,,33103.922484,,38429.880000000005,,32536.92,,30015.47,,34303.060000000005,,33139.0,,33420.0,,29415.5
КОЛБАСА ПОЛУКОПЧЕНАЯ,,,,86042.713108,,85244.4,,84950.10999999999,,86163.34,,79994.84,,96419.0,,80949.0,,75096.15
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,162216.95518000002,,153361.56,,156190.01,,167446.05,,162030.48,,172398.0,,151652.0,,162420.35
"ПАШТЕТ, ЗЕЛЬЦ",,,,28226.285563999998,,28013.24,,28489.0,,25812.2,,22929.16,,28587.0,,35228.0,,25893.45
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,18597.069068,,18030.68,,18970.92,,22293.53,,16258.84,,17302.0,,20144.0,,17619.1
СОСИСКИ,,,,58815.937468000004,,56183.4,,54346.39,,58266.58,,57616.3,,62070.0,,54998.0,,66341.9
"ВЕТЧИНА, БУЖЕНИНА, ОКОРОК",,,,91047.80800399999,,102618.24,,86106.03,,81396.66,,111409.70000000001,,92529.0,,75332.0,,92435.8
ГОВЯДИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,30872.568236,,28297.0,,32429.109999999997,,32670.07,,30879.140000000003,,32762.0,,28606.0,,28281.100000000002
СВИНИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,31783.842207999995,,28200.800000000003,,32684.3,,34038.42,,35149.26,,30933.0,,29957.0,,33475.2
КОНСЕРВЫ  МЯСНЫЕ ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ (за условную банку весом 350 г),,,,50763.099515999995,,50560.0,,51649.78,,50378.95,,55717.46000000001,,48035.0,,54566.0,,46761.55
РЫБА ЖИВАЯ,,,,38853.06748,,37475.32,,37523.189999999995,,40445.58,,41081.68,,33711.0,,46909.0,,39255.65
РЫБА МОРОЖЕНАЯ (тресковые и скумбриевые),,,,44515.764132,,38325.880000000005,,40227.59,,44486.1,,38886.76,,49533.0,,46867.0,,46734.5
РЫБА МОРОЖЕНАЯ (филе и разделанная),,,,60816.924864,,53901.56,,50213.60999999999,,54223.05,,64650.92,,78599.0,,51631.0,,53447.25
