,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА  (кроме бескостного мяса),,,,64353.868116180616,,55498.0,,71667.81,,63289.0,,44657.0,,68893.0,,,,76559.54
ГОВЯДИНА БЕСКОСТНАЯ,,,,104076.990817,,91473.18,,90993.36,,113788.16,,85316.53,,118474.0,,103751.0,,105342.48
СВИНИНА (кроме бескостного мяса),,,,70599.76025200001,,75514.4,,67586.56,,65505.92,,61956.56,,69948.0,,75982.0,,77343.1
СВИНИНА БЕСКОСТНАЯ,,,,102946.852862,,88535.13,,90424.94,,95178.2,,92425.7,,109012.0,,115641.0,,121167.24
ФАРШ МЯСНОЙ (без добавок),,,,67931.858707,,74339.67,,58796.73,,59723.44,,63603.97,,75031.0,,67671.0,,68252.98
"КУРЫ (ЦЫПЛЯТА, ВКЛЮЧАЯ БРОЙЛЕРОВ)",,,,31718.969151999998,,31538.68,,32115.18,,31781.28,,30899.4,,31691.0,,31994.0,,31919.36
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,47105.185627000006,,48493.32,,45971.72,,45577.16,,48227.63,,46975.0,,46750.0,,48337.2
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,24643.845808,,21538.81,,22488.81,,26969.76,,26777.22,,22665.0,,24155.0,,31094.04
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,5683.655271,,6077.05,,4271.62,,6072.6,,5567.87,,6841.0,,4973.0,,4601.22
ПЕЛЬМЕНИ МЯСНЫЕ,,,,40343.102961,,39402.28,,33679.9,,41041.56,,37256.93,,45257.0,,41962.0,,36815.12
САЛО,,,,79724.144446,,61922.46,,70448.35,,69623.6,,63083.8,,102679.0,,84714.0,,76918.5
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,53318.377786,,52708.32,,50750.13,,55639.48,,52750.6,,53515.0,,54425.0,,52536.2
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,39112.983184,,39657.77,,35296.48,,35314.68,,35053.24,,38097.0,,51494.0,,36676.9
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА ,,,,30823.93413,,36868.73,,38986.92,,25426.92,,27653.38,,29096.0,,32049.0,,27176.84
КОЛБАСА ПОЛУКОПЧЕНАЯ,,,,81871.398879,,77430.45,,65366.17,,87111.52,,75777.29,,98001.0,,74646.0,,75719.18
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,149491.312234,,137282.66,,133628.86,,146866.8,,136626.46,,167720.0,,147513.0,,155715.68
"ПАШТЕТ, ЗЕЛЬЦ",,,,24702.422923,,23652.77,,23131.91,,22506.08,,19065.97,,30020.0,,25882.0,,21442.72
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,15097.328062999999,,13494.16,,13274.53,,18624.92,,12951.25,,15328.0,,16205.0,,14643.96
СОСИСКИ,,,,52227.47588300001,,45601.25,,40614.36,,54095.72,,47867.59,,57107.0,,54776.0,,59368.8
"ВЕТЧИНА, БУЖЕНИНА, ОКОРОК",,,,85186.5966,,86927.27,,68417.86,,78268.76,,89270.2,,101345.0,,69288.0,,89075.72
ГОВЯДИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,26217.208517,,24510.22,,26428.9,,27321.04,,25260.81,,28037.0,,25244.0,,24473.22
СВИНИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,23432.893548000004,,22567.1,,24215.8,,24459.16,,24279.08,,22749.0,,23475.0,,23048.78
КОНСЕРВЫ  МЯСНЫЕ ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ (за условную банку весом 350 г),,,,33446.130078,,32429.34,,33480.74,,33169.16,,31361.14,,34714.0,,33882.0,,33324.74
РЫБА ЖИВАЯ,,,,30982.300755999997,,26675.48,,30868.97,,29246.04,,30501.94,,32612.0,,29864.0,,36311.02
