,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,Минская,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА ПЕРВОЙ КАТЕГОРИИ,,,,12510.992120000003,,11468.4,,12036.0,,11173.0,,11687.0,,13485.0,,13067.0,,13670.0
ПОЛУФАБРИКАТЫ МЯСНЫЕ ИЗ ГОВЯДИНЫ,,,,18636.455566000004,,15760.12,,20822.56,,18768.48,,17863.97,,20452.0,,17091.0,,17882.53
СВИНИНА (кроме бескостного мяса),,,,11887.377890000003,,11635.22,,11385.2,,11636.98,,10460.19,,12455.0,,12108.0,,12791.75
ПОЛУФАБРИКАТЫ МЯСНЫЕ  ИЗ СВИНИНЫ,,,,18847.545786000006,,16044.54,,19540.08,,19155.82,,18863.73,,19690.0,,18613.0,,19309.11
ФАРШ МЯСНОЙ (без добавок),,,,14769.911524000001,,14035.26,,14099.52,,14783.58,,15695.64,,15245.0,,15271.0,,13535.22
МЯСО ПТИЦЫ,,,,8310.919582000002,,8191.94,,8596.24,,8038.26,,8184.49,,8279.0,,8388.0,,8595.37
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,11059.808272000002,,11126.96,,10980.8,,9851.1,,10923.55,,11504.0,,11353.0,,11237.92
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,6250.521240000001,,5843.26,,5933.4,,6503.12,,6020.23,,6676.0,,6277.0,,5885.06
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,1102.5568380000002,,1086.6,,1067.16,,1119.58,,997.68,,1216.0,,1049.0,,1031.61
ПЕЛЬМЕНИ МЯСНЫЕ,,,,9734.253368000003,,8918.16,,8477.96,,10256.68,,9337.46,,10814.0,,9696.0,,9177.79
САЛО,,,,12563.834578000002,,9678.98,,13262.84,,11916.76,,12086.46,,14411.0,,12055.0,,12690.37
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,13190.158642,,13000.7,,13447.52,,13402.52,,12857.46,,13261.0,,12694.0,,13731.44
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,9922.517322000002,,9591.44,,9747.64,,10899.5,,9542.46,,9386.0,,10824.0,,9705.11
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА ,,,,7953.9290980000005,,8222.04,,9444.88,,7121.06,,8029.82,,6705.0,,8845.0,,8868.69
КОЛБАСА ПОЛУКОПЧЕНАЯ,,,,20149.058178000003,,17732.92,,19865.28,,20142.14,,18826.12,,22519.0,,18608.0,,20988.44
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,31918.399196000002,,28221.0,,31339.44,,30841.82,,31497.49,,35756.0,,30729.0,,30883.99
