,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,Минская,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА ПЕРВОЙ КАТЕГОРИИ,,,,44313.0718,,48000.0,,56667.0,,46358.0,,23530.0,,40776.0,,45000.0,,48400.0
ПОЛУФАБРИКАТЫ МЯСНЫЕ ИЗ ГОВЯДИНЫ,,,,59091.786406,,54702.1,,56704.13,,62985.16,,52427.93,,74656.0,,51225.0,,52876.16
СВИНИНА (кроме бескостного мяса),,,,37736.000931999995,,39292.68,,36424.62,,43342.4,,32122.45,,31510.0,,40870.0,,41717.2
ПОЛУФАБРИКАТЫ МЯСНЫЕ  ИЗ СВИНИНЫ,,,,53627.976886,,49589.7,,52812.44,,52851.8,,50806.64,,59572.0,,53203.0,,54068.8
ФАРШ МЯСНОЙ (без добавок),,,,41503.11570200001,,42915.0,,38045.25,,40121.02,,38469.34,,48365.0,,38846.0,,40303.08
"КУРЫ (ЦЫПЛЯТА, ВКЛЮЧАЯ БРОЙЛЕРОВ)",,,,24488.820406,,24671.04,,25313.11,,24093.98,,23230.24,,24742.0,,24624.0,,24479.56
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,32787.291004,,34464.82,,31943.08,,30177.34,,29586.9,,34180.0,,35326.0,,32521.44
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,15346.493454,,15393.22,,17091.36,,16770.44,,13554.19,,12360.0,,16841.0,,16277.84
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,3053.46456,,2910.34,,3111.01,,3010.58,,3049.02,,3456.0,,3026.0,,2592.36
ПЕЛЬМЕНИ МЯСНЫЕ,,,,23841.003675999997,,20906.46,,20391.37,,24036.5,,22706.41,,27712.0,,25650.0,,23479.88
САЛО,,,,44204.039824,,39210.96,,49959.05,,44801.24,,37844.48,,49705.0,,41224.0,,44195.96
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,33276.032704000005,,33420.78,,33413.7,,32881.1,,31853.98,,35580.0,,31716.0,,33005.6
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,25329.250078,,25737.92,,25851.68,,25088.22,,22129.89,,26102.0,,26300.0,,25108.92
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА ,,,,19693.891706,,23396.12,,24673.84,,17331.98,,18767.79,,16225.0,,20951.0,,17561.32
КОЛБАСА ПОЛУКОПЧЕНАЯ,,,,51749.148746000006,,47786.86,,50291.61,,50493.48,,48797.44,,58621.0,,47096.0,,57509.96
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,86096.492504,,85440.62,,84936.58,,81246.38,,74047.6,,99822.0,,86604.0,,82711.8
"ПАШТЕТ, ЗЕЛЬЦ",,,,13258.946486,,14592.92,,15490.43,,12275.3,,11660.69,,13192.0,,14034.0,,11006.08
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,9425.055284,,7814.14,,9907.95,,10966.5,,7635.94,,9386.0,,10186.0,,9743.16
СОСИСКИ,,,,32203.762909999998,,34150.66,,32863.35,,32915.64,,29470.24,,30720.0,,31529.0,,34077.2
"ВЕТЧИНА, БУЖЕНИНА, ОКОРОК",,,,51167.516965999996,,54902.96,,51177.68,,47428.22,,48556.67,,58322.0,,41112.0,,54903.44
ГОВЯДИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,20039.444132,,18577.98,,16943.63,,22149.34,,18516.15,,21946.0,,20597.0,,20179.68
СВИНИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,17536.391124,,17162.96,,13340.73,,18792.64,,17407.62,,18019.0,,19130.0,,18324.96
КОНСЕРВЫ  МЯСНЫЕ ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ (за условную банку весом 350 г),,,,15975.948548000002,,16248.16,,16718.75,,15376.44,,15578.83,,16584.0,,16780.0,,13903.88
РЫБА ЖИВАЯ,,,,19696.892730000003,,15310.22,,17818.7,,20946.16,,19185.57,,22984.0,,19412.0,,21130.96
РЫБА МОРОЖЕНАЯ (тресковые и скумбриевые),,,,32199.721976000004,,26974.74,,30007.41,,28993.9,,30550.36,,38236.0,,33507.0,,35354.76
РЫБА МОРОЖЕНАЯ (филе и разделанная),,,,37326.492704000004,,36493.86,,28714.84,,29720.02,,36143.07,,55923.0,,30439.0,,36969.8
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ,,,,68668.44816,,67790.12,,75515.38,,82765.24,,67581.4,,56887.0,,71093.0,,61229.92
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ ДЕЛИКАТЕСНАЯ,,,,116412.170014,,126828.28,,110009.56,,79943.38,,119864.64,,111740.0,,129580.0,,145658.0
ИКРА ЛОСОСЕВЫХ РЫБ,,,,478319.976998,,434950.16,,488825.95,,469033.82,,428583.58,,566090.0,,461702.0,,457127.8
ПРОЧИЕ   ВИДЫ   ИКРЫ   РЫБ   (за условную банку весом      200 г),,,,13914.521449999998,,13852.02,,13288.54,,14645.08,,11911.5,,15927.0,,13757.0,,12522.4
СЕЛЬДЬ СОЛЕНАЯ,,,,29634.355342000003,,28994.74,,29540.11,,29552.44,,30262.18,,29428.0,,29419.0,,30678.92
"ПОЛУФАБРИКАТЫ РЫБНЫЕ    (котлеты, палочки рыбные , фарш)",,,,30306.124486,,28276.86,,33301.16,,29475.2,,30397.39,,29672.0,,30831.0,,30922.84
КОНСЕРВЫ РЫБНЫЕ (за условную банку весом 350г),,,,11975.859008000003,,11941.86,,10366.21,,10999.3,,10700.51,,17041.0,,10555.0,,9703.52
КОНСЕРВЫ РЫБНЫЕ ДЕЛИКАТЕСНЫЕ (шпроты и лосось) - за условную банку весом 350 г,,,,24608.251374,,23971.36,,27019.26,,24922.1,,22838.26,,25541.0,,23918.0,,23361.4
ПРЕСЕРВЫ РЫБНЫЕ (филе сельди в различных соусах и заливках) - за условную банку весом 250 г,,,,12541.912718,,12136.04,,12399.91,,12805.1,,13228.91,,12864.0,,11893.0,,12504.32
"МОЛОКО ЦЕЛЬНОЕ ПАСТЕРИЗОВАННОЕ, СЫРОЕ",,,,3497.126278,,3455.78,,3174.19,,3657.0,,2444.37,,4753.0,,3472.0,,2656.84
КЕФИР,,,,3574.3140680000006,,3501.82,,3678.54,,3688.98,,2329.13,,4634.0,,3434.0,,3020.52
СМЕТАНА ,,,,13333.590716,,13151.4,,11003.76,,14618.68,,9747.52,,19210.0,,11367.0,,10692.04
ТВОРОГ ЖИРНЫЙ,,,,18938.016678,,15764.54,,17606.62,,17204.32,,17608.03,,25996.0,,17295.0,,18364.24
ТВОРОГ НЕЖИРНЫЙ,,,,18203.876893999997,,20380.62,,17133.35,,8650.0,,17449.48,,24478.0,,19085.0,,18257.2
ЙОГУРТ (за 250 г),,,,3594.74039,,3947.24,,3500.78,,3715.46,,3592.06,,3989.0,,3139.0,,3022.76
СЫРОК ГЛАЗИРОВАННЫЙ  (за 50 г),,,,2432.210838,,2162.62,,2349.25,,2838.08,,2257.29,,2488.0,,2435.0,,2410.2
"ТВОРОЖНЫЙ ДЕСЕРТ, КРЕМ, ПУДИНГ  (за 200 г)",,,,4997.185874,,4704.8,,5966.95,,6036.98,,4823.6,,4961.0,,4083.0,,4330.04
СУХИЕ МОЛОЧНЫЕ СМЕСИ  ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ,,,,44213.23316999999,,43111.44,,50341.43,,38057.1,,42147.36,,49553.0,,45078.0,,38766.32
МОЛОКО СГУЩЕНОЕ С САХАРОМ (за условную банку весом 400 г),,,,8995.002468,,9151.24,,8413.27,,9268.4,,8298.45,,9116.0,,9354.0,,9101.68
МОРОЖЕНОЕ,,,,34863.29343,,34507.12,,34820.73,,34720.1,,35166.42,,34332.0,,37407.0,,32845.88
СЫР  ТВЕРДЫЙ,,,,44699.36213,,43783.34,,45562.01,,46752.32,,39610.54,,50232.0,,39790.0,,44267.64
СЫР МЯГКИЙ ,,,,31109.361998,,31310.66,,31640.82,,29977.4,,25427.69,,39397.0,,26388.0,,29522.32
