,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,Минская,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА ПЕРВОЙ КАТЕГОРИИ,,,,12423.951584000002,,11258.2,,11882.64,,11123.0,,11570.0,,13419.0,,13067.0,,13614.89
ПОЛУФАБРИКАТЫ МЯСНЫЕ ИЗ ГОВЯДИНЫ,,,,18486.01887,,15484.2,,20972.28,,18719.64,,16834.37,,20238.0,,17318.0,,17922.58
СВИНИНА (кроме бескостного мяса),,,,11858.816898000001,,11703.04,,11366.44,,11582.74,,10420.86,,12434.0,,12019.0,,12744.05
ПОЛУФАБРИКАТЫ МЯСНЫЕ  ИЗ СВИНИНЫ,,,,19025.47935,,15967.34,,19956.12,,19185.2,,18802.32,,20156.0,,18875.0,,19103.33
ФАРШ МЯСНОЙ (без добавок),,,,14573.57439,,13708.56,,13258.28,,14616.52,,15583.17,,15319.0,,15147.0,,13317.96
МЯСО ПТИЦЫ,,,,8227.892688000002,,8118.86,,8497.2,,8008.22,,8165.62,,8106.0,,8355.0,,8542.76
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,10969.781642000002,,11101.66,,10749.08,,9815.74,,10864.63,,11421.0,,11223.0,,11165.89
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,6106.494504000001,,5806.52,,5705.76,,6535.66,,5980.43,,6261.0,,6277.0,,5854.43
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,1089.357312,,1070.56,,1099.48,,1114.9,,990.09,,1185.0,,1044.0,,986.22
ПЕЛЬМЕНИ МЯСНЫЕ,,,,9775.830640000002,,8659.82,,8386.8,,10184.16,,9287.25,,10869.0,,10271.0,,9183.96
САЛО,,,,12581.045900000001,,9665.32,,13435.08,,12272.32,,12120.96,,14184.0,,12138.0,,12635.63
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,13187.856214000001,,12891.04,,13423.44,,13422.06,,12793.44,,13404.0,,12641.0,,13619.93
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,9932.671534000001,,9611.94,,9837.2,,10839.14,,9555.73,,9403.0,,10900.0,,9586.49
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА ,,,,7966.5594040000005,,8675.04,,8987.92,,7135.64,,8043.64,,6790.0,,8838.0,,8706.14
КОЛБАСА ПОЛУКОПЧЕНАЯ,,,,19842.377532000002,,16824.72,,19659.12,,20283.06,,18593.01,,22229.0,,18287.0,,20628.77
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,31690.823626,,28015.38,,30956.08,,30868.16,,31242.72,,35865.0,,30237.0,,30006.92
"ПАШТЕТ, ЗЕЛЬЦ",,,,5999.497670000001,,5783.16,,5792.24,,5586.94,,5254.28,,6872.0,,6309.0,,5103.76
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,3850.2047560000005,,3763.36,,3618.32,,4114.84,,3413.66,,3923.0,,4212.0,,3604.15
СОСИСКИ,,,,12870.149520000003,,11944.9,,12010.16,,13197.54,,12481.64,,13684.0,,12325.0,,13681.35
"ВЕТЧИНА, БУЖЕНИНА, ОКОРОК",,,,19437.285572000004,,19632.58,,21911.4,,16655.64,,19944.21,,20000.0,,16999.0,,21624.14
ГОВЯДИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,5946.66686,,5676.82,,5396.8,,6247.2,,5861.45,,6271.0,,6154.0,,5463.17
СВИНИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,5459.761604000001,,5324.52,,5012.44,,5481.9,,5842.61,,5515.0,,5573.0,,5418.1
КОНСЕРВЫ  МЯСНЫЕ ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ (за условную банку весом 350 г),,,,6587.862390000001,,6673.9,,6491.2,,6587.7,,6453.59,,6488.0,,6724.0,,6790.81
РЫБА ЖИВАЯ,,,,6169.630658000001,,5086.52,,6375.76,,6964.96,,6125.81,,6364.0,,6259.0,,5642.72
РЫБА МОРОЖЕНАЯ (тресковые и скумбриевые),,,,9619.141066,,6634.3,,8616.0,,7807.1,,9270.89,,12151.0,,9963.0,,10245.89
РЫБА МОРОЖЕНАЯ (филе и разделанная),,,,12735.838280000002,,10903.52,,9292.56,,9393.36,,10387.9,,19523.0,,10783.0,,11116.34
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ,,,,22017.702276000007,,21219.64,,27129.92,,24230.46,,22663.09,,18994.0,,24145.0,,18214.33
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ ДЕЛИКАТЕСНАЯ,,,,30843.231820000005,,27130.62,,24848.32,,23393.86,,26836.06,,32750.0,,34934.0,,45668.41
ИКРА ЛОСОСЕВЫХ РЫБ,,,,230043.91892000005,,193016.24,,213787.32,,230865.4,,222620.78,,255017.0,,245162.0,,215087.37
ПРОЧИЕ ВИДЫ ИКРЫ РЫБ (за условную банку весом  200 г),,,,5615.726834000001,,6628.12,,4848.04,,6425.52,,4642.15,,5992.0,,5056.0,,4982.19
СЕЛЬДЬ СОЛЕНАЯ,,,,7519.642366000002,,7969.7,,6545.28,,6948.74,,7375.01,,8018.0,,7573.0,,7619.32
"ПОЛУФАБРИКАТЫ РЫБНЫЕ (котлеты, палочки рыбные , фарш)",,,,11730.717814000001,,11581.94,,12183.84,,11279.64,,9938.34,,12376.0,,12451.0,,11100.25
КОНСЕРВЫ РЫБНЫЕ (за условную банку весом 350г),,,,3776.4659920000004,,3340.56,,3013.6,,3710.54,,3259.53,,4933.0,,3527.0,,3185.25
КОНСЕРВЫ РЫБНЫЕ ДЕЛИКАТЕСНЫЕ (шпроты и лосось) - за условную банку весом 350 г,,,,7785.767628000001,,7812.86,,7786.2,,7669.98,,7613.68,,7773.0,,7672.0,,8283.64
ПРЕСЕРВЫ РЫБНЫЕ (филе сельди в различных соусах и заливках) - за условную банку весом 250 г,,,,3499.281088,,3355.04,,3450.08,,3682.7,,3444.27,,3534.0,,3156.0,,3963.25
"МОЛОКО ЦЕЛЬНОЕ ПАСТЕРИЗОВАННОЕ, СЫРОЕ",,,,1518.0727740000004,,1545.2,,1488.4,,1440.68,,1361.23,,1618.0,,1526.0,,1511.01
КЕФИР,,,,1549.4372340000002,,1574.84,,1475.32,,1512.88,,1391.09,,1602.0,,1630.0,,1560.2
СМЕТАНА ,,,,6659.582376000001,,6106.86,,6577.88,,5450.56,,6521.53,,7745.0,,6402.0,,6763.14
ТВОРОГ ЖИРНЫЙ,,,,8440.114542000001,,7959.24,,6974.52,,7671.12,,8160.65,,10527.0,,7147.0,,8525.44
ТВОРОГ НЕЖИРНЫЙ,,,,7888.729500000001,,9658.8,,5905.36,,6226.8,,9824.34,,8622.0,,6251.0,,8679.69
ЙОГУРТ (за 250 г),,,,1502.8027200000004,,2039.96,,1601.16,,1719.16,,1646.52,,1230.0,,1162.0,,1481.41
ГЛАЗИРОВАННЫЙ СЫРОК (за 50 г),,,,827.2139660000001,,770.4,,758.52,,850.44,,847.67,,842.0,,778.0,,960.68
"ТВОРОЖНЫЙ ДЕСЕРТ, КРЕМ, ПУДИНГ  (за 200 г)",,,,1928.7582220000002,,1918.04,,2174.72,,1635.52,,1968.75,,2067.0,,1643.0,,2066.24
СУХИЕ МОЛОЧНЫЕ СМЕСИ  ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ,,,,17333.240582000002,,18282.58,,13593.96,,14421.9,,18226.87,,18638.0,,18888.0,,17782.0
МОЛОКО СГУЩЕНОЕ С САХАРОМ (за условную банку весом 400 г),,,,2695.204118,,2638.3,,2579.88,,2722.74,,2631.63,,2736.0,,2771.0,,2712.51
МОРОЖЕНОЕ,,,,12709.647584,,13233.94,,12944.8,,14216.28,,11553.33,,12793.0,,12501.0,,11029.9
СЫР  ТВЕРДЫЙ,,,,15565.115192000001,,15408.96,,15332.88,,16428.94,,14819.15,,15498.0,,14431.0,,17482.82
СЫР МЯГКИЙ ,,,,11464.462024,,9416.98,,11387.2,,10698.64,,11159.31,,14005.0,,10185.0,,10736.3
СЫР ПЛАВЛЕНЫЙ,,,,14068.577028000002,,11885.06,,13334.2,,11929.34,,12787.14,,16060.0,,15833.0,,14092.27
МАСЛО ЖИВОТНОЕ,,,,14635.992378000003,,13819.86,,14276.12,,14141.16,,14015.08,,15651.0,,13684.0,,16139.87
МАСЛО РАСТИТЕЛЬНОЕ ,,,,4570.317792000001,,4598.26,,4483.64,,4433.32,,4541.37,,4616.0,,4667.0,,4588.25
МАРГАРИН,,,,6502.092214,,6108.14,,6147.6,,5984.94,,6046.87,,7080.0,,7135.0,,6139.25
ЯЙЦА  КУРИНЫЕ,,,,3275.2891560000003,,3288.1,,3117.2,,3167.52,,3204.53,,3329.0,,3431.0,,3291.88
САХАР-ПЕСОК,,,,2863.1199200000005,,2845.06,,2750.96,,2816.46,,2980.0,,2928.0,,2824.0,,2846.93
ЧАЙ ЧЕРНЫЙ БАЙХОВЫЙ,,,,40376.29314600001,,44362.68,,43361.48,,32523.5,,33872.96,,38760.0,,49355.0,,40114.94
КОФЕ  НАТУРАЛЬНЫЙ  В ЗЕРНАХ,,,,39344.75920400001,,40834.6,,33210.0,,36239.8,,49218.74,,33869.0,,47716.0,,40611.38
КОФЕ РАСТВОРИМЫЙ,,,,92681.15836,,89316.94,,96487.16,,86242.1,,95899.32,,80307.0,,98545.0,,121533.15
МЁД  НАТУРАЛЬНЫЙ,,,,27561.71754,,24104.34,,28090.36,,24666.44,,23070.11,,33239.0,,27968.0,,24418.42
СОЛЬ  ПОВАРЕННАЯ  ПИЩЕВАЯ,,,,702.795686,,724.02,,732.68,,726.76,,642.2,,684.0,,684.0,,747.98
МУКА ПШЕНИЧНАЯ ,,,,1867.693054,,1755.76,,1894.04,,1735.74,,1942.02,,1984.0,,1752.0,,1945.44
ХЛЕБ РЖАНОЙ,,,,1711.2280508734298,,,,,,1892.78,,1256.4,,1784.0,,1735.0,,
ХЛЕБ РЖАНО-ПШЕНИЧНЫЙ,,,,1809.6842580000002,,1963.2,,1648.64,,1630.6,,1542.79,,2074.0,,1712.0,,1770.92
"ХЛЕБ, ИЗДЕЛИЯ БУЛОЧНЫЕ (БАТОН) ИЗ  МУКИ ПШЕНИЧНОЙ ВЫСШЕГО СОРТА",,,,2934.8444900000004,,3036.32,,2907.88,,2662.92,,2601.23,,2826.0,,3568.0,,2900.81
"ХЛЕБ, ИЗДЕЛИЯ БУЛОЧНЫЕ (БАТОН) ИЗ  МУКИ ПШЕНИЧНОЙ ПЕРВОГО СОРТА",,,,2090.323622000001,,2125.06,,2067.0,,3050.32,,1707.0,,1777.0,,2095.0,,1992.0
ИЗДЕЛИЯ БУЛОЧНЫЕ СДОБНЫЕ ИЗ МУКИ  ПШЕНИЧНОЙ ВЫСШЕГО СОРТА,,,,4643.333322,,4742.16,,3579.8,,5959.92,,4476.47,,4104.0,,5353.0,,4530.13
"СУХАРИ, СУШКИ, БАРАНКИ",,,,6801.858044000001,,5739.16,,7259.04,,8837.82,,5999.35,,5576.0,,7914.0,,7281.13
РИС ШЛИФОВАННЫЙ И ПОЛИРОВАННЫЙ,,,,4081.568378,,4188.28,,3931.92,,3853.5,,4106.76,,4211.0,,4056.0,,4100.12
КРУПА МАННАЯ,,,,2132.9054400000005,,2130.04,,2151.76,,2215.64,,2147.94,,2129.0,,2045.0,,2127.34
КРУПА ПШЕННАЯ,,,,1978.361826,,1896.32,,1932.44,,1836.0,,2312.61,,2065.0,,1906.0,,1862.61
