,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА  (кроме бескостного мяса),,,,52550.1460176991,,53000.0,,63472.5,,53683.0,,31650.0,,52270.0,,,,60695.0
ГОВЯДИНА БЕСКОСТНАЯ,,,,82146.21449700001,,69977.63,,75222.6,,77238.75,,74519.36,,105544.0,,71267.0,,71489.2
СВИНИНА (кроме бескостного мяса),,,,44678.33717800001,,46198.17,,45277.3,,46824.3,,40296.04,,40535.0,,47495.0,,51527.15
СВИНИНА БЕСКОСТНАЯ,,,,65535.117302,,63920.96,,64669.0,,64182.2,,62654.36,,67629.0,,65131.0,,68352.65
ФАРШ МЯСНОЙ (без добавок),,,,54289.984748,,56886.28,,45837.7,,47636.1,,51286.16,,66570.0,,52458.0,,41468.73
"КУРЫ (ЦЫПЛЯТА, ВКЛЮЧАЯ БРОЙЛЕРОВ)",,,,26476.302291,,25553.42,,26975.7,,26446.55,,25986.32,,26718.0,,26493.0,,26945.86
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,35657.048897,,35702.46,,35969.9,,36239.65,,31671.2,,36243.0,,35059.0,,38044.66
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,18124.204787,,18377.64,,18664.6,,20827.45,,15464.08,,17052.0,,17428.0,,20542.23
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,3953.5736639999996,,3654.13,,3352.0,,4101.7,,3064.88,,4999.0,,3568.0,,3497.94
ПЕЛЬМЕНИ МЯСНЫЕ,,,,28364.406526000002,,26750.27,,23510.2,,30398.6,,27860.56,,30729.0,,28669.0,,27336.82
САЛО,,,,48987.950949000005,,41678.73,,53024.2,,45665.75,,47030.76,,54915.0,,43429.0,,51435.96
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,44963.581823,,46146.42,,42125.3,,44369.65,,44261.28,,47673.0,,42727.0,,44081.71
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,34092.022865000006,,35149.18,,33238.4,,34414.75,,28373.96,,32517.0,,42875.0,,31396.49
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА ,,,,26258.003027,,30955.64,,31320.2,,22098.55,,24812.52,,25681.0,,25671.0,,23267.24
КОЛБАСА ПОЛУКОПЧЕНАЯ,,,,70521.25691200001,,62966.87,,68207.7,,73043.5,,64035.6,,82645.0,,59822.0,,68556.76
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,117270.447997,,111718.52,,113725.7,,113079.05,,104869.88,,132535.0,,117328.0,,105118.78
"ПАШТЕТ, ЗЕЛЬЦ",,,,16800.140514,,17517.64,,17926.3,,12685.7,,13181.88,,19121.0,,18702.0,,14528.64
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,10976.425240999999,,10255.62,,11417.5,,13452.55,,9416.56,,9635.0,,12410.0,,11576.87
СОСИСКИ,,,,44176.547826999995,,47749.29,,40440.8,,47169.95,,41936.24,,45730.0,,39142.0,,45563.77
"ВЕТЧИНА, БУЖЕНИНА, ОКОРОК",,,,63489.480554999995,,65107.42,,64782.8,,56737.95,,62385.52,,66471.0,,58853.0,,68039.38
ГОВЯДИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,24555.998162,,21838.86,,22945.2,,23749.6,,21363.8,,28589.0,,23144.0,,25391.11
СВИНИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,20081.689592,,19418.84,,17012.5,,20461.2,,20481.04,,22192.0,,18532.0,,20131.02
КОНСЕРВЫ  МЯСНЫЕ ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ (за условную банку весом 350 г),,,,21224.487208,,20105.54,,21883.8,,20048.1,,20181.32,,23198.0,,21537.0,,18568.37
РЫБА ЖИВАЯ,,,,31899.569076000003,,29858.39,,28633.0,,35518.5,,22947.68,,35625.0,,34170.0,,30040.9
РЫБА МОРОЖЕНАЯ (тресковые и скумбриевые),,,,30781.914903,,23533.37,,28215.3,,27338.85,,28774.56,,35095.0,,33035.0,,34814.98
