,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА  (кроме бескостного мяса),,,,50781.93493470149,,43000.0,,55990.0,,55000.0,,40820.0,,49414.0,,,,62140.0
ГОВЯДИНА БЕСКОСТНАЯ,,,,86087.75771,,75770.96,,81029.6,,86139.12,,76177.73,,99435.0,,87006.0,,78306.28
СВИНИНА (кроме бескостного мяса),,,,41566.924942,,45257.92,,43293.0,,39673.68,,37121.73,,39081.0,,42338.0,,47255.92
СВИНИНА БЕСКОСТНАЯ,,,,66484.27990400001,,62206.62,,68020.1,,65729.36,,66368.34,,67795.0,,63799.0,,71505.7
ФАРШ МЯСНОЙ (без добавок),,,,53056.339348,,54668.56,,48697.9,,49156.32,,54396.46,,58086.0,,49416.0,,51902.86
"КУРЫ (ЦЫПЛЯТА, ВКЛЮЧАЯ БРОЙЛЕРОВ)",,,,25985.445506,,26071.47,,26702.5,,25383.52,,25520.56,,26020.0,,26139.0,,26013.98
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,37121.37796,,36993.44,,37748.2,,36029.52,,38005.97,,36018.0,,36462.0,,40963.06
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,19607.309694000003,,19017.19,,20096.4,,22209.12,,18409.0,,17710.0,,19873.0,,22032.08
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,4092.9293320000006,,4029.1,,3385.9,,4066.64,,4651.99,,4432.0,,3880.0,,3886.4
ПЕЛЬМЕНИ МЯСНЫЕ,,,,29524.156446,,28408.47,,27305.6,,31629.68,,29519.06,,28904.0,,31561.0,,29442.44
САЛО,,,,50283.951256,,40046.74,,56619.6,,45416.96,,48168.11,,56265.0,,47075.0,,53278.22
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,45699.79634,,46543.95,,43779.6,,45234.48,,45351.48,,45900.0,,46666.0,,45955.34
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,34532.179253999995,,37328.89,,34448.6,,34102.4,,32047.1,,36592.0,,35370.0,,27584.76
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА ,,,,27743.703878,,33474.34,,30631.5,,19818.8,,26186.68,,27000.0,,33616.0,,23244.88
