,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА ПЕРВОЙ КАТЕГОРИИ,,,,11963.780428,,10827.28,,10923.81,,10763.0,,11003.0,,13020.0,,11750.0,,13346.52
ПОЛУФАБРИКАТЫ МЯСНЫЕ ИЗ ГОВЯДИНЫ,,,,18074.615243,,16028.02,,18620.83,,17631.53,,17056.24,,19847.0,,16183.0,,17118.12
СВИНИНА (кроме бескостного мяса),,,,11492.535119000002,,11209.6,,10874.53,,11109.11,,9977.76,,11900.0,,11983.0,,12431.76
ПОЛУФАБРИКАТЫ МЯСНЫЕ  ИЗ СВИНИНЫ,,,,18009.640776,,16190.66,,17412.01,,18059.34,,18313.36,,18569.0,,18474.0,,17885.2
ФАРШ МЯСНОЙ (без добавок),,,,14210.177446000002,,13510.28,,12590.67,,14179.86,,15939.96,,14719.0,,14853.0,,12912.56
МЯСО ПТИЦЫ,,,,8093.054026,,7977.52,,8145.46,,7805.3,,8025.12,,8167.0,,8152.0,,8260.4
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,10613.993966,,10949.8,,10600.66,,9457.7,,10297.92,,11003.0,,10573.0,,10746.08
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,5684.093478000001,,5739.68,,4879.43,,6057.82,,5380.08,,5608.0,,6342.0,,5909.2
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,1095.1656710000002,,1065.32,,1146.69,,1081.31,,917.12,,1212.0,,1030.0,,926.16
ПЕЛЬМЕНИ МЯСНЫЕ,,,,9678.569462000001,,8635.7,,8252.45,,10057.8,,8921.28,,10670.0,,10145.0,,8804.16
САЛО,,,,12800.696444000001,,9692.6,,13585.6,,12377.92,,12340.88,,14220.0,,12002.0,,12174.48
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,12939.998008,,12696.84,,13134.03,,13353.48,,12319.44,,13099.0,,12696.0,,12742.16
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,9570.970639,,9689.06,,10306.42,,10461.49,,9561.76,,8747.0,,10634.0,,9161.76
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА ,,,,8012.7004990000005,,8388.24,,8981.47,,6866.35,,7825.92,,7615.0,,9103.0,,8301.2
КОЛБАСА ПОЛУКОПЧЕНАЯ,,,,19868.152386,,16951.66,,19355.72,,19926.12,,18832.72,,21971.0,,17131.0,,20160.4
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,31216.354322000003,,27682.58,,30497.51,,30083.52,,29929.28,,34307.0,,30014.0,,29233.28
"ПАШТЕТ, ЗЕЛЬЦ",,,,6168.407617000001,,5753.84,,5226.58,,5449.69,,5011.76,,7438.0,,6412.0,,5127.04
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,3667.627254,,3658.94,,3495.66,,3979.52,,3284.56,,3585.0,,4350.0,,3395.44
СОСИСКИ,,,,12383.518094,,11528.38,,11426.24,,12946.8,,12368.88,,12714.0,,12294.0,,12651.68
