,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА  (кроме бескостного мяса),,,,52153.891670000005,,49117.0,,50464.95,,56619.0,,40800.0,,50880.0,,55000.0,,62550.3
ГОВЯДИНА БЕСКОСТНАЯ,,,,84998.367576,,82559.0,,74099.02,,86334.44,,75843.68,,97296.0,,79558.0,,85087.04
СВИНИНА (кроме бескостного мяса),,,,43742.890506,,50397.58,,43263.01,,43244.56,,40899.2,,40400.0,,47207.0,,43372.64
СВИНИНА БЕСКОСТНАЯ,,,,68569.924721,,66499.9,,68191.13,,65773.16,,69136.23,,68049.0,,71265.0,,71781.08
ФАРШ МЯСНОЙ (без добавок),,,,54588.404076000006,,59983.09,,49810.5,,47052.8,,57012.76,,58887.0,,50667.0,,55563.32
"КУРЫ (ЦЫПЛЯТА, ВКЛЮЧАЯ БРОЙЛЕРОВ)",,,,28022.772065000005,,27276.41,,28612.4,,27698.08,,27349.69,,28834.0,,27816.0,,27623.36
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,38528.541526,,39223.8,,40936.53,,38695.72,,40357.92,,38184.0,,35555.0,,38004.88
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,20017.710198999997,,18574.49,,19684.94,,20995.44,,19075.39,,20268.0,,19452.0,,21970.48
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,4684.675148,,4844.56,,3706.56,,4947.68,,4672.2,,5401.0,,4156.0,,4263.72
ПЕЛЬМЕНИ МЯСНЫЕ,,,,34195.667796999995,,34096.37,,29306.55,,35213.96,,33222.59,,36820.0,,34556.0,,32545.8
САЛО,,,,52472.007994,,39705.01,,54220.81,,47247.4,,53927.16,,57717.0,,54653.0,,54462.74
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,46925.211755,,48626.19,,43985.72,,46445.72,,48037.15,,47513.0,,46686.0,,46595.74
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,34367.856797,,37670.7,,32856.11,,34145.44,,33425.79,,33545.0,,40332.0,,27119.28
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА ,,,,29569.72781,,35449.28,,31028.84,,22540.36,,28263.38,,30549.0,,33119.0,,23844.14
КОЛБАСА ПОЛУКОПЧЕНАЯ,,,,69344.819051,,70883.45,,71255.42,,80980.36,,64146.71,,70636.0,,59112.0,,67411.34
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,135441.28306500003,,125548.16,,129733.68,,140091.64,,119610.49,,147583.0,,137953.0,,130256.92
"ПАШТЕТ, ЗЕЛЬЦ",,,,20901.427871,,22350.82,,18946.68,,20232.08,,16762.15,,24946.0,,19488.0,,18508.3
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,13279.970674,,12938.51,,12404.13,,15295.16,,11577.24,,13228.0,,14314.0,,12540.82
СОСИСКИ,,,,47278.30488,,44467.2,,41582.65,,48931.64,,45442.06,,50841.0,,46904.0,,48476.14
"ВЕТЧИНА, БУЖЕНИНА, ОКОРОК",,,,72379.441809,,78436.22,,68481.06,,59617.56,,77192.97,,84655.0,,54380.0,,75931.46
ГОВЯДИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,26970.375159,,23151.17,,29404.72,,27158.72,,26172.03,,31217.0,,23677.0,,23507.74
СВИНИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,24119.353077,,22286.87,,24226.98,,24677.52,,22975.49,,27537.0,,19889.0,,24160.42
КОНСЕРВЫ  МЯСНЫЕ ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ (за условную банку весом 350 г),,,,30930.178432000004,,30105.46,,32538.87,,30731.0,,31318.42,,30796.0,,31517.0,,29462.58
РЫБА ЖИВАЯ,,,,29633.19566,,25725.26,,26287.51,,30551.16,,29526.18,,31935.0,,28452.0,,32866.16
РЫБА МОРОЖЕНАЯ (тресковые и скумбриевые),,,,31393.261832,,26345.42,,26092.36,,30673.08,,25712.44,,38836.0,,31525.0,,31385.96
РЫБА МОРОЖЕНАЯ (филе и разделанная),,,,42386.551256,,37318.49,,35639.02,,35242.0,,40981.4,,57082.0,,38349.0,,35821.42
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ,,,,77056.86341399999,,61036.91,,87192.19,,92588.6,,77906.92,,72349.0,,82970.0,,67417.7
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ ДЕЛИКАТЕСНАЯ,,,,146981.794728,,177163.61,,143141.26,,100084.88,,138112.6,,124125.0,,203694.0,,159882.3
ИКРА ЛОСОСЕВЫХ РЫБ,,,,929565.8631780001,,855623.89,,968886.23,,936688.4,,918766.08,,1021795.0,,835356.0,,880353.2
ПРОЧИЕ   ВИДЫ   ИКРЫ   РЫБ   (за условную банку весом      200 г),,,,20101.229806,,16757.54,,17216.83,,20936.68,,20759.84,,24726.0,,18361.0,,16622.46
