,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА ПЕРВОЙ КАТЕГОРИИ,,,,11967.780028000001,,10827.28,,10908.56,,10763.0,,11003.0,,13020.0,,11875.0,,13273.48
ПОЛУФАБРИКАТЫ МЯСНЫЕ ИЗ ГОВЯДИНЫ,,,,18305.772774,,16025.38,,17986.43,,17618.28,,17258.88,,20625.0,,16070.0,,17435.72
СВИНИНА (кроме бескостного мяса),,,,11375.387383,,11209.6,,10452.45,,11104.87,,9856.24,,11900.0,,11473.0,,12420.32
ПОЛУФАБРИКАТЫ МЯСНЫЕ  ИЗ СВИНИНЫ,,,,18239.430002,,15907.52,,17143.14,,18185.3,,18541.6,,19222.0,,18569.0,,18071.2
ФАРШ МЯСНОЙ (без добавок),,,,14154.887885000002,,13488.28,,12482.86,,14087.05,,15885.88,,14953.0,,13953.0,,12845.6
МЯСО ПТИЦЫ,,,,8080.372367,,8023.88,,8122.44,,7915.79,,7973.44,,8111.0,,8106.0,,8259.28
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,10566.917648,,10915.2,,10528.01,,9400.48,,10158.08,,10951.0,,10534.0,,10816.64
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,5627.0801249999995,,5697.14,,4855.53,,6292.11,,5342.8,,5327.0,,6569.0,,5869.84
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,1087.076492,,1065.32,,1051.31,,1077.84,,916.0,,1221.0,,1023.0,,938.16
ПЕЛЬМЕНИ МЯСНЫЕ,,,,9503.590414,,8429.92,,8257.81,,10116.62,,8908.96,,10239.0,,10050.0,,8787.28
САЛО,,,,12844.548363,,9384.8,,13502.99,,12033.07,,12271.36,,14631.0,,11984.0,,12151.6
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,12724.249541,,12682.56,,13092.33,,13213.81,,12277.04,,12558.0,,12736.0,,12685.36
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,9693.364582,,9673.68,,10436.32,,10406.86,,9564.8,,9079.0,,10672.0,,9137.12
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА ,,,,8100.496887000001,,8368.8,,9082.35,,6823.75,,7823.68,,7855.0,,9151.0,,8264.24
КОЛБАСА ПОЛУКОПЧЕНАЯ,,,,19569.823206,,16920.0,,18923.61,,19687.26,,18746.48,,21230.0,,17666.0,,20075.84
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,30861.27562,,27615.18,,30266.55,,29942.14,,29818.24,,33906.0,,29783.0,,27996.0
"ПАШТЕТ, ЗЕЛЬЦ",,,,6023.861964000001,,5750.54,,5250.65,,5390.54,,5002.4,,7058.0,,6343.0,,5121.6
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,3743.048777,,3651.58,,3477.03,,3948.51,,3281.28,,3835.0,,4340.0,,3374.8
СОСИСКИ,,,,12361.490375999998,,11510.12,,10896.49,,12781.16,,12336.32,,13046.0,,12105.0,,12387.68
"ВЕТЧИНА, БУЖЕНИНА, ОКОРОК",,,,18643.254924999997,,18548.7,,20879.87,,15937.35,,21317.76,,18444.0,,17587.0,,18933.28
ГОВЯДИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,5929.853685000001,,5601.34,,5395.96,,6096.31,,5730.64,,6438.0,,5839.0,,5259.44
СВИНИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,5584.635548,,5220.64,,4741.98,,6067.24,,5600.2,,5884.0,,5636.0,,5256.44
КОНСЕРВЫ  МЯСНЫЕ ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ   (за условную банку весом 350 г),,,,6439.893124,,6230.2,,6192.74,,6350.08,,6566.56,,6514.0,,6461.0,,6661.48
РЫБА ЖИВАЯ,,,,6202.262198,,5144.42,,6520.7,,6618.04,,6288.16,,6338.0,,5735.0,,6372.8
РЫБА МОРОЖЕНАЯ (ТРЕСКОВЫЕ И СКУМБРИЕВЫЕ),,,,9845.329137,,6634.3,,8802.91,,7740.91,,9072.72,,11690.0,,10533.0,,10767.92
РЫБА МОРОЖЕНАЯ (ФИЛЕ И РАЗДЕЛАННАЯ),,,,12554.397373,,10022.64,,9482.02,,9207.73,,10567.36,,17330.0,,10181.0,,11176.08
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ,,,,21928.565873999996,,21548.22,,25546.31,,25852.12,,21640.36,,19869.0,,24176.0,,18193.52
