,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА  (кроме бескостного мяса),,,,51014.877448694024,,43000.0,,55551.0,,54163.0,,40820.0,,50783.0,,,,62140.0
ГОВЯДИНА БЕСКОСТНАЯ,,,,84710.955872,,76149.03,,80503.5,,84435.8,,77447.69,,98173.0,,80750.0,,78066.46
СВИНИНА (кроме бескостного мяса),,,,40317.902152,,45266.57,,42666.6,,40757.76,,36475.13,,37707.0,,38693.0,,43627.2
СВИНИНА БЕСКОСТНАЯ,,,,66114.386704,,61239.5,,66304.6,,65400.96,,66203.52,,69905.0,,61331.0,,69606.16
ФАРШ МЯСНОЙ (без добавок),,,,53342.813182,,53786.48,,48437.5,,48796.0,,54209.53,,60760.0,,49198.0,,50081.14
"КУРЫ (ЦЫПЛЯТА, ВКЛЮЧАЯ БРОЙЛЕРОВ)",,,,26106.715624,,26228.55,,26750.8,,24372.72,,25507.61,,26644.0,,26677.0,,25940.8
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,37362.996459999995,,37118.39,,37955.6,,36388.4,,37720.6,,36325.0,,36989.0,,41179.9
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,18569.420746,,19047.94,,19352.6,,20514.28,,18199.32,,16450.0,,19823.0,,18607.46
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,4240.727744,,4328.15,,3371.9,,4258.28,,4643.51,,4758.0,,3915.0,,3814.66
ПЕЛЬМЕНИ МЯСНЫЕ,,,,30362.646711999998,,29202.77,,27588.7,,32144.84,,30213.86,,30147.0,,32919.0,,29775.44
САЛО,,,,50719.162930000006,,39877.99,,55398.0,,45906.16,,49148.41,,58164.0,,47855.0,,51473.78
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,45761.474562,,46514.05,,43965.6,,45032.4,,45697.87,,46510.0,,46519.0,,44924.42
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,33852.635862,,36738.11,,34238.9,,33917.6,,31882.27,,35570.0,,33958.0,,26993.72
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА ,,,,27604.290979999998,,33108.55,,30631.5,,22069.96,,27952.8,,25350.0,,32953.0,,22821.16
КОЛБАСА ПОЛУКОПЧЕНАЯ,,,,70692.33075800001,,64016.81,,71223.0,,69358.72,,64240.53,,77465.0,,64938.0,,76814.3
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,129428.53265599998,,117740.18,,127597.1,,126976.32,,115213.5,,146285.0,,123791.0,,127133.26
"ПАШТЕТ, ЗЕЛЬЦ",,,,19856.284308,,21088.82,,18253.2,,16850.44,,16565.92,,24110.0,,19772.0,,16420.0
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,12849.439608,,12878.28,,10840.7,,14244.24,,10836.46,,13620.0,,14006.0,,11592.18
СОСИСКИ,,,,47367.822302,,47589.08,,43609.9,,45960.08,,45191.98,,50915.0,,45031.0,,49400.32
"ВЕТЧИНА, БУЖЕНИНА, ОКОРОК",,,,71361.609922,,76032.38,,70429.4,,60070.72,,71418.24,,81698.0,,59322.0,,71410.98
ГОВЯДИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,26912.795044,,23333.7,,27782.1,,26670.76,,23390.12,,31570.0,,23733.0,,26400.26
СВИНИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,23184.803968000004,,21478.55,,23092.6,,24176.4,,22907.89,,23818.0,,22096.0,,24217.8
КОНСЕРВЫ  МЯСНЫЕ ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ (за условную банку весом 350 г),,,,29853.923922,,26771.57,,31388.7,,29030.4,,28099.74,,30999.0,,31623.0,,29333.86
РЫБА ЖИВАЯ,,,,27898.641088,,24129.51,,28341.6,,26738.0,,27885.26,,29483.0,,29908.0,,26774.54
РЫБА МОРОЖЕНАЯ (тресковые и скумбриевые),,,,29655.131008000008,,22117.54,,24597.0,,25871.36,,26459.13,,36935.0,,31666.0,,31342.94
РЫБА МОРОЖЕНАЯ (филе и разделанная),,,,41674.360378,,41940.82,,27446.5,,28787.88,,39418.71,,62950.0,,29380.0,,38729.22
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ,,,,74543.00261399998,,70011.67,,76399.2,,83808.32,,84255.04,,66890.0,,81848.0,,66020.16
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ ДЕЛИКАТЕСНАЯ,,,,139578.88647,,165179.74,,134177.0,,89608.56,,135633.56,,119580.0,,178358.0,,183381.58
ИКРА ЛОСОСЕВЫХ РЫБ,,,,784871.9577240001,,710513.48,,801061.8,,810939.48,,761064.78,,869143.0,,716344.0,,722410.2
ПРОЧИЕ   ВИДЫ   ИКРЫ   РЫБ   (за условную банку весом      200 г),,,,18204.588192,,15998.88,,15722.8,,19406.92,,14600.94,,23318.0,,16122.0,,15247.08
СЕЛЬДЬ СОЛЕНАЯ,,,,31768.643342000003,,33312.34,,28776.2,,30788.24,,32135.51,,32590.0,,31120.0,,32990.64
"ПОЛУФАБРИКАТЫ РЫБНЫЕ (котлеты, палочки рыбные , фарш)",,,,34679.483197999994,,32976.86,,35956.7,,35753.0,,32698.8,,33974.0,,39029.0,,31650.72
КОНСЕРВЫ РЫБНЫЕ (за условную банку весом 350г),,,,14098.011984000002,,13387.74,,10451.2,,14605.88,,12375.51,,17081.0,,12441.0,,14680.86
КОНСЕРВЫ РЫБНЫЕ ДЕЛИКАТЕСНЫЕ (шпроты и лосось) - за условную банку весом 350 г,,,,27507.390972000005,,25284.84,,29679.6,,28088.56,,26260.77,,29942.0,,25301.0,,24925.78
