,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА  (кроме бескостного мяса),,,,67559.621092,,63691.76,,66061.32999999999,,69568,,53260.7,,69033,,74471,,72809.9
ГОВЯДИНА БЕСКОСТНАЯ,,,,102613.473568,,92453.95999999999,,101979.68999999999,,97818.5,,89498.16,,115070,,108642,,95111.29999999999
СВИНИНА (кроме бескостного мяса),,,,60790.834716,,57082.36,,60137.189999999995,,58881.69,,54559.100000000006,,62890,,66707,,61233.3
СВИНИНА БЕСКОСТНАЯ,,,,89652.14124,,86608.59999999999,,95852.88999999998,,91236.93,,89343.82,,86538,,88877,,93669.85
ФАРШ МЯСНОЙ (без добавок),,,,69328.56536400001,,72265.84,,64424.09999999999,,62705.57000000001,,69814.34000000001,,78497,,63548,,64188.649999999994
"КУРЫ (ЦЫПЛЯТА, ВКЛЮЧАЯ БРОЙЛЕРОВ)",,,,31244.969772,,30577.32,,32111.73,,31033.21,,30303.820000000003,,31710,,31481,,30797.899999999998
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,43231.030576000005,,42552.159999999996,,45175.03,,43883.47,,42330.12,,43186,,43357,,41857.15
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,30251.887316,,29909.36,,27552.809999999998,,30393.440000000002,,30864.000000000004,,34237,,26384,,28253.25
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,5671.861056000001,,5913.84,,5037.66,,5663.92,,5719.66,,5995,,5593,,5344.6
ПЕЛЬМЕНИ МЯСНЫЕ,,,,46520.98464,,43666.159999999996,,40274.1,,45038.490000000005,,46162.240000000005,,52408,,46097,,44962.1
"САЛО, ГРУДИНКА",,,,91032.298644,,73818.16,,89608.54,,84862.81,,84720.36,,108387,,89995,,85264.5
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,60245.074984,,60469.08,,58347.49,,61441.19,,59015.84000000001,,60720,,60592,,60173.3
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,44480.133888,,45894.200000000004,,42254.56,,41288.62,,40164.26,,48169,,46629,,41418.350000000006
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА И БЕССОРТОВАЯ ,,,,34425.703612,,38439.68,,33086.56,,30416.99,,33753.72,,36520,,33408,,33048.45
КОЛБАСА ПОЛУКОПЧЕНАЯ,,,,85086.25609599998,,86199,,82428.25,,83866.43,,83150.18,,93635,,78635,,77675.1
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,165443.29697199998,,153199.84,,172789.55,,166076.68,,165935.76,,178435,,155523,,151434.85
"ПАШТЕТ, ЗЕЛЬЦ, САЛЬТИСОН",,,,29982.792024,,30352.16,,31809.42,,29069.04,,23245.780000000002,,28738,,36254,,29907.85
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,19074.9669,,17927.2,,21764.42,,23103.19,,16448.06,,17475,,19692,,18146.15
"СОСИСКИ, САРДЕЛЬКИ",,,,58585.670244,,55141.840000000004,,56396.909999999996,,54576.020000000004,,57610.64000000001,,58897,,60399,,68214.55
"ВЕТЧИНА, БУЖЕНИНА, ОКОРОК",,,,94140.28004000001,,109370.88,,86278.04,,82973.61,,114927.78000000001,,96852,,81381,,88452.15
ГОВЯДИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,29647.954599999997,,27248.519999999997,,31043.36,,30390.949999999997,,31839.760000000002,,30569,,27766,,28029.7
СВИНИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,33372.513876000005,,30422.88,,34586.259999999995,,34621.56,,34892.240000000005,,32681,,33345,,34179.7
КОНСЕРВЫ  МЯСНЫЕ ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ (за условную банку весом 350 г),,,,50088.571328,,53639.119999999995,,50576.66,,46631.58,,56420.66,,48409,,50609,,46528.2
РЫБА ЖИВАЯ,,,,42531.630880000004,,41652.759999999995,,37653.35,,35026.229999999996,,45148.200000000004,,43664,,48300,,45001.2
РЫБА МОРОЖЕНАЯ (тресковые и скумбриевые),,,,42598.19881999999,,34281.72,,41263.14,,37784.45,,37710.66,,50425,,44114,,43435.7
РЫБА МОРОЖЕНАЯ (филе и разделанная),,,,60200.73123599999,,57761.479999999996,,52520.689999999995,,54527.850000000006,,66718.2,,70958,,53825,,53980.85
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ,,,,100633.44026000002,,86150.52,,101226.62,,106622.08,,106790.18000000001,,94477,,116659,,96083.8
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ ДЕЛИКАТЕСНАЯ,,,,244677.27469599998,,270255,,262774.14,,171424.11,,229190.80000000002,,225462,,304615,,267440.75
ИКРА ЛОСОСЕВЫХ РЫБ,,,,848143.1029599999,,762199.96,,861367.2599999999,,747279.99,,857277.54,,1014407,,747749,,776319.05
ПРОЧИЕ   ВИДЫ   ИКРЫ   РЫБ   (за условную банку весом      200 г),,,,29381.27788,,31748.600000000002,,26116.92,,29878.12,,30993.38,,30668,,29317,,24634.800000000003
СЕЛЬДЬ СОЛЕНАЯ,,,,50190.564176,,56772.44,,51815.32,,48643.19,,50806.840000000004,,50581,,46774,,45516.799999999996
"ПОЛУФАБРИКАТЫ РЫБНЫЕ (котлеты, палочки рыбные , фарш)",,,,58050.681248,,53573.68,,57808.91,,56874.87,,54773.600000000006,,62936,,57976,,56336.05
КОНСЕРВЫ РЫБНЫЕ (за условную банку весом 350г),,,,20021.973452,,21286.96,,14205.55,,19918.71,,18422.34,,23649,,18256,,20201.5
КОНСЕРВЫ РЫБНЫЕ ДЕЛИКАТЕСНЫЕ (шпроты и лосось) - за условную банку весом 350 г,,,,39422.577335999995,,38603.2,,38521.22,,38658.97,,34674.54,,39484,,45722,,38231.15
