,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА ПЕРВОЙ КАТЕГОРИИ,,,,12176.723344000002,,10895.84,,11675.76,,10938.0,,11570.0,,13240.0,,12367.0,,13614.89
ПОЛУФАБРИКАТЫ МЯСНЫЕ ИЗ ГОВЯДИНЫ,,,,18045.373474000004,,15821.74,,19990.0,,18715.9,,17139.33,,19460.0,,16482.0,,17233.68
СВИНИНА (кроме бескостного мяса),,,,11616.926832000001,,11276.84,,11223.6,,11307.48,,10103.32,,12050.0,,12236.0,,12440.7
ПОЛУФАБРИКАТЫ МЯСНЫЕ  ИЗ СВИНИНЫ,,,,18899.940650000004,,15782.68,,19430.16,,18679.8,,18586.23,,20193.0,,19807.0,,18145.68
ФАРШ МЯСНОЙ (без добавок),,,,14207.246656000001,,13429.82,,12948.92,,14133.18,,15176.34,,14775.0,,14781.0,,13436.19
МЯСО ПТИЦЫ,,,,8050.285456,,7992.34,,8220.0,,7836.64,,8044.91,,7960.0,,8159.0,,8294.22
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,10637.213212000002,,10829.62,,10600.56,,9630.96,,10453.19,,11072.0,,10624.0,,10859.06
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,5680.334594,,5798.02,,4991.92,,6355.14,,5807.77,,5212.0,,6169.0,,5802.69
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,1077.1292680000004,,1082.08,,1068.68,,1091.48,,953.18,,1221.0,,1009.0,,913.45
ПЕЛЬМЕНИ МЯСНЫЕ,,,,9619.741936000002,,8522.8,,8360.64,,9991.9,,9121.45,,10750.0,,9938.0,,9073.6
САЛО,,,,12597.846082,,9476.14,,12646.0,,12365.94,,12192.63,,14944.0,,11727.0,,12380.43
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,12696.818826000002,,12737.78,,12931.12,,13060.64,,12436.42,,12399.0,,12589.0,,13087.91
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,9540.851822000002,,8988.16,,9951.12,,10561.68,,9092.79,,8720.0,,10687.0,,9317.21
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА ,,,,7991.535446000001,,8549.38,,9342.76,,6939.62,,7100.27,,7356.0,,8852.0,,8434.85
КОЛБАСА ПОЛУКОПЧЕНАЯ,,,,19146.839760000006,,16607.2,,19544.84,,19779.4,,18124.46,,20649.0,,18119.0,,19693.96
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,31028.522602000005,,27791.62,,31131.8,,30060.4,,30150.48,,34672.0,,29946.0,,29290.7
"ПАШТЕТ, ЗЕЛЬЦ",,,,5921.390646000001,,5787.28,,5361.28,,5488.72,,4847.77,,6910.0,,6522.0,,4967.31
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,3680.8459560000006,,3776.1,,3411.12,,3953.56,,3255.05,,3494.0,,4336.0,,3473.48
СОСИСКИ,,,,12076.299716000001,,11606.02,,11458.92,,12855.8,,11102.65,,12027.0,,12236.0,,13243.41
"ВЕТЧИНА, БУЖЕНИНА, ОКОРОК",,,,18143.134814,,19668.36,,21551.48,,16284.2,,20604.81,,15256.0,,16415.0,,22269.91
ГОВЯДИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,5957.345830000001,,5604.78,,5482.44,,6373.28,,5624.06,,6429.0,,6184.0,,5179.11
СВИНИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,5665.415672000001,,5249.5,,5437.2,,5949.72,,5715.63,,5871.0,,5883.0,,5169.66
КОНСЕРВЫ  МЯСНЫЕ ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ (за условную банку весом 350 г),,,,6451.807324000001,,6408.08,,6315.76,,6430.12,,6650.5,,6393.0,,6462.0,,6628.81
РЫБА ЖИВАЯ,,,,6123.853448000002,,5035.76,,5963.36,,6926.58,,6214.13,,6277.0,,5846.0,,6528.87
РЫБА МОРОЖЕНАЯ (ТРЕСКОВЫЕ И СКУМБРИЕВЫЕ),,,,9244.481576000002,,7129.52,,7825.92,,7814.14,,8840.33,,11309.0,,9700.0,,9854.34
РЫБА МОРОЖЕНАЯ (ФИЛЕ И РАЗДЕЛАННАЯ),,,,12101.710984000001,,10815.74,,9724.44,,9355.12,,10594.81,,16741.0,,11247.0,,10878.65
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ,,,,22154.523702000002,,20812.34,,25658.72,,24627.72,,23114.3,,19481.0,,25853.0,,17021.69
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ ДЕЛИКАТЕСНАЯ,,,,26944.454254000004,,26908.34,,23735.12,,22805.86,,26200.47,,29656.0,,22664.0,,36246.84
ИКРА ЛОСОСЕВЫХ РЫБ,,,,229705.54281400001,,197586.5,,225111.08,,238891.18,,218774.25,,242486.0,,227540.0,,244528.63
