,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА  (кроме бескостного мяса),,,,46260.1896,,53000.0,,63333.0,,49190.0,,23530.0,,41177.0,,48000.0,,49175.0
ГОВЯДИНА БЕСКОСТНАЯ,,,,66782.84759399999,,55566.72,,68149.5,,62678.8,,58500.88,,79252.0,,65688.0,,60860.89
СВИНИНА (кроме бескостного мяса),,,,42144.226855,,39868.22,,40088.6,,44060.15,,34292.88,,44367.0,,42986.0,,46363.02
СВИНИНА БЕСКОСТНАЯ,,,,57141.368593,,53062.1,,54640.3,,56662.45,,55126.88,,60949.0,,57480.0,,57264.66
ФАРШ МЯСНОЙ (без добавок),,,,45570.024977999994,,46879.78,,40366.5,,42501.3,,40527.84,,54784.0,,39794.0,,42274.0
"КУРЫ (ЦЫПЛЯТА, ВКЛЮЧАЯ БРОЙЛЕРОВ)",,,,23948.416492,,24021.02,,24482.2,,23100.4,,23075.48,,24424.0,,23839.0,,24074.38
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,32039.943724999997,,33542.99,,31847.4,,29797.55,,28293.88,,32451.0,,34619.0,,32458.52
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,15679.650215999998,,16207.9,,16567.1,,17418.4,,14635.84,,12870.0,,16993.0,,18764.84
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,3402.1914760000004,,3132.41,,2926.4,,3085.4,,2649.4,,4577.0,,3127.0,,2684.43
ПЕЛЬМЕНИ МЯСНЫЕ,,,,25508.429917999998,,23070.6,,20664.6,,25697.9,,26298.56,,28565.0,,25792.0,,24613.28
САЛО,,,,46025.732683,,39888.58,,51513.6,,44755.05,,41932.68,,51330.0,,39818.0,,47500.71
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,35185.603545,,36636.82,,33084.8,,36606.25,,36099.96,,35580.0,,33423.0,,34461.04
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,25838.11742,,29897.04,,25677.6,,26205.3,,23959.32,,23067.0,,28654.0,,26006.13
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА ,,,,21133.706816,,24523.71,,23539.0,,19290.2,,20576.6,,19604.0,,22870.0,,18498.03
КОЛБАСА ПОЛУКОПЧЕНАЯ,,,,57892.989433,,53748.75,,57730.8,,57998.55,,52378.16,,65798.0,,49058.0,,59999.38
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,93312.75638400001,,86219.16,,95158.2,,86371.0,,77797.96,,108136.0,,92762.0,,85614.96
"ПАШТЕТ, ЗЕЛЬЦ",,,,14912.126683999999,,15391.25,,14790.7,,12421.4,,11730.84,,18429.0,,14366.0,,12080.13
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,9447.405322,,7895.85,,9838.2,,11344.1,,7421.44,,8792.0,,10921.0,,10483.57
СОСИСКИ,,,,35611.160809,,37254.62,,32357.5,,36714.45,,34844.04,,35969.0,,34434.0,,37575.48
"ВЕТЧИНА, БУЖЕНИНА, ОКОРОК",,,,52366.299786999996,,58048.54,,54583.5,,46621.85,,50130.44,,55093.0,,46251.0,,53211.37
ГОВЯДИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,21825.499307,,18820.64,,23858.2,,22591.55,,20698.92,,22511.0,,20476.0,,23521.74
СВИНИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,18392.672980000003,,17695.5,,17089.6,,20217.3,,20359.88,,18296.0,,17347.0,,18171.07
КОНСЕРВЫ  МЯСНЫЕ ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ (за условную банку весом 350 г),,,,20949.756195,,17713.22,,20321.0,,18567.85,,17456.36,,27986.0,,17703.0,,17847.59
РЫБА ЖИВАЯ,,,,20961.567688,,17130.03,,20780.0,,22466.5,,19410.56,,23274.0,,18663.0,,22794.08
РЫБА МОРОЖЕНАЯ (тресковые и скумбриевые),,,,32463.576234,,25578.31,,29159.9,,29139.8,,29583.0,,37804.0,,33957.0,,35946.92
РЫБА МОРОЖЕНАЯ (филе и разделанная),,,,39572.869095,,36408.61,,28330.6,,29721.95,,36925.2,,57956.0,,30374.0,,35010.95
