,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,Минская,Минская,,Могилевская
"МОЛОКО ЦЕЛЬНОЕ ПАСТЕРИЗОВАННОЕ, СЫРОЕ",,,,1491.0548420000002,,1535.0,,1459.4,,1415.4,,1340.33,,1585.0,,1491.0,,1483.68
КЕФИР,,,,1515.3367140000003,,1556.82,,1471.36,,1483.54,,1362.47,,1535.0,,1602.0,,1535.51
СМЕТАНА ,,,,6541.410772000001,,6026.58,,6484.32,,5488.02,,6397.74,,7489.0,,6358.0,,6616.34
ТВОРОГ ЖИРНЫЙ,,,,8344.095982000003,,7973.22,,6841.8,,7526.76,,8042.38,,10474.0,,7050.0,,8309.59
ТВОРОГ НЕЖИРНЫЙ,,,,7831.289058000001,,9504.82,,5795.44,,6113.4,,10125.18,,8497.0,,6257.0,,8595.2
ЙОГУРТ (за 250 г),,,,1524.3032460000002,,2019.16,,1582.08,,1689.2,,1654.39,,1367.0,,1138.0,,1452.09
ГЛАЗИРОВАННЫЙ СЫРОК (за 50 г),,,,818.0714260000001,,765.72,,751.36,,841.74,,840.36,,831.0,,769.0,,945.73
"ТВОРОЖНЫЙ ДЕСЕРТ, КРЕМ, ПУДИНГ  (за 200 г)",,,,1912.0205700000001,,1898.14,,2186.12,,1577.02,,1954.65,,2051.0,,1640.0,,2051.93
СУХИЕ МОЛОЧНЫЕ СМЕСИ  ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ,,,,17309.407958000003,,18275.56,,13588.2,,14392.0,,18226.87,,18608.0,,18833.0,,17761.23
МОЛОКО СГУЩЕНОЕ С САХАРОМ (за условную банку весом 400 г),,,,2671.7195540000007,,2611.96,,2538.6,,2706.78,,2604.46,,2729.0,,2719.0,,2705.89
МОРОЖЕНОЕ,,,,12386.731488000001,,12805.76,,12595.16,,13742.96,,11450.18,,12549.0,,12076.0,,10790.74
СЫР  ТВЕРДЫЙ,,,,15326.582048000002,,15306.72,,14699.4,,16163.7,,14670.07,,15278.0,,14286.0,,17289.69
СЫР МЯГКИЙ ,,,,11310.901158000002,,9364.78,,11214.96,,10595.6,,10965.16,,13783.0,,10061.0,,10585.34
СЫР ПЛАВЛЕНЫЙ,,,,13949.552006000002,,11774.36,,13008.24,,11891.52,,12854.79,,15861.0,,15684.0,,14155.45
МАСЛО ЖИВОТНОЕ,,,,14455.720344000001,,13893.02,,13950.68,,13486.86,,13902.66,,15549.0,,13693.0,,15891.11
МАСЛО РАСТИТЕЛЬНОЕ ,,,,4518.286080000001,,4526.98,,4475.72,,4430.42,,4500.76,,4524.0,,4651.0,,4483.06
МАРГАРИН,,,,6454.675856000001,,6020.16,,6137.96,,5949.46,,5972.09,,6996.0,,7151.0,,6113.87
ЯЙЦА  КУРИНЫЕ,,,,3268.2818420000003,,3303.6,,3051.6,,3220.2,,3210.33,,3298.0,,3411.0,,3313.08
САХАР-ПЕСОК,,,,2724.7832260000005,,2687.74,,2620.24,,2683.08,,2840.0,,2790.0,,2690.0,,2711.61
ЧАЙ ЧЕРНЫЙ БАЙХОВЫЙ,,,,40048.712228000004,,43862.42,,41045.76,,31801.4,,33719.29,,40308.0,,47537.0,,39962.95
КОФЕ  НАТУРАЛЬНЫЙ  В ЗЕРНАХ,,,,38900.13458400001,,40444.6,,34158.24,,35847.72,,49218.74,,32763.0,,46623.0,,40624.58
КОФЕ РАСТВОРИМЫЙ,,,,92282.13483400003,,88472.2,,98167.92,,85694.2,,95193.43,,80307.0,,96996.0,,120437.55
МЁД  НАТУРАЛЬНЫЙ,,,,27478.885278000005,,23866.44,,28081.68,,24466.88,,23070.11,,33239.0,,27968.0,,24179.23
СОЛЬ  ПОВАРЕННАЯ  ПИЩЕВАЯ,,,,690.4319280000001,,720.12,,708.92,,720.08,,638.06,,696.0,,632.0,,716.63
МУКА ПШЕНИЧНАЯ ,,,,1869.9726420000002,,1754.98,,1893.52,,1777.1,,1935.81,,1984.0,,1735.0,,1945.44
ХЛЕБ РЖАНОЙ,,,,1704.051722341404,,,,,,1883.82,,1256.4,,1772.0,,1733.0,,
ХЛЕБ РЖАНО-ПШЕНИЧНЫЙ,,,,1800.54895,,1904.82,,1667.36,,1623.92,,1530.34,,2077.0,,1701.0,,1762.94
"ХЛЕБ, ИЗДЕЛИЯ БУЛОЧНЫЕ (БАТОН) ИЗ  МУКИ ПШЕНИЧНОЙ ВЫСШЕГО СОРТА",,,,2860.0459120000005,,3027.76,,2935.04,,2654.58,,2412.17,,2657.0,,3497.0,,2892.14
"ХЛЕБ, ИЗДЕЛИЯ БУЛОЧНЫЕ (БАТОН) ИЗ  МУКИ ПШЕНИЧНОЙ ПЕРВОГО СОРТА",,,,2091.959064,,2161.06,,2050.0,,3027.38,,1689.0,,1777.0,,2122.0,,1992.0
ИЗДЕЛИЯ БУЛОЧНЫЕ СДОБНЫЕ ИЗ МУКИ  ПШЕНИЧНОЙ ВЫСШЕГО СОРТА,,,,4605.529558,,4751.74,,3561.92,,5934.92,,4455.78,,4079.0,,5279.0,,4393.94
"СУХАРИ, СУШКИ, БАРАНКИ",,,,6760.7308440000015,,5700.44,,7046.96,,8783.14,,5968.99,,5554.0,,7969.0,,7252.21
РИС ШЛИФОВАННЫЙ И ПОЛИРОВАННЫЙ,,,,4041.919898,,4144.04,,3956.32,,3834.18,,4186.8,,4034.0,,4060.0,,4135.71
КРУПА МАННАЯ,,,,2141.530916,,2135.1,,2086.88,,2210.94,,2147.94,,2199.0,,2034.0,,2121.44
КРУПА ПШЕННАЯ,,,,1989.0740800000003,,1854.94,,1946.0,,1841.26,,2316.06,,2163.0,,1843.0,,1831.12
КРУПА ГРЕЧНЕВАЯ,,,,2620.9170260000005,,2717.42,,2716.16,,2642.34,,2670.33,,2452.0,,2616.0,,2756.21
"ОВСЯНЫЕ ХЛОПЬЯ ""ГЕРКУЛЕС""",,,,2663.530172,,2425.22,,2479.4,,2267.84,,3031.15,,2630.0,,3118.0,,2752.89
КУКУРУЗНЫЕ ХЛОПЬЯ,,,,6255.286734,,6038.52,,6406.24,,6030.36,,6275.31,,6170.0,,6802.0,,6055.64
