,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА ПЕРВОЙ КАТЕГОРИИ,,,,11730.05662,,10945.6,,10919.4,,9833.0,,10987.0,,12820.0,,11433.0,,13133.48
ПОЛУФАБРИКАТЫ МЯСНЫЕ ИЗ ГОВЯДИНЫ,,,,18427.700502,,15816.16,,18912.85,,18017.9,,17024.08,,20427.0,,15451.0,,18779.96
СВИНИНА (кроме бескостного мяса),,,,11330.555080999999,,11099.38,,10412.2,,11090.31,,9901.6,,11880.0,,11357.0,,12312.08
ПОЛУФАБРИКАТЫ МЯСНЫЕ  ИЗ СВИНИНЫ,,,,17894.363674,,15840.86,,17471.43,,17861.0,,18650.4,,18323.0,,18589.0,,17708.56
ФАРШ МЯСНОЙ (без добавок),,,,14163.141328999998,,13483.66,,12405.2,,13968.19,,15864.6,,14899.0,,14365.0,,12933.52
МЯСО ПТИЦЫ,,,,7942.913936000001,,7967.66,,8020.36,,7598.1,,7831.12,,8004.0,,8000.0,,8092.32
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,10388.606336,,10805.32,,10490.83,,9156.92,,10114.4,,10784.0,,10264.0,,10430.0
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,5310.898921999999,,5641.8,,5107.5,,5553.66,,5110.24,,4714.0,,6629.0,,5684.48
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,1115.9159260000001,,1064.66,,1177.88,,1067.96,,908.24,,1275.0,,1021.0,,916.92
ПЕЛЬМЕНИ МЯСНЫЕ,,,,9584.970223,,8424.64,,8199.67,,10066.55,,8932.48,,10525.0,,10105.0,,8680.48
САЛО,,,,12688.278521,,9029.94,,13542.41,,11750.63,,12212.8,,14437.0,,11935.0,,12060.56
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,12697.395195000001,,12601.24,,12849.83,,13156.95,,12243.04,,12608.0,,12658.0,,12797.44
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,9902.407288999999,,9720.0,,10321.1,,10343.45,,9561.36,,9800.0,,10502.0,,9104.4
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА ,,,,8053.946788,,8306.34,,8999.61,,6905.38,,7776.48,,7802.0,,9025.0,,8220.8
КОЛБАСА ПОЛУКОПЧЕНАЯ,,,,19216.024346,,16859.66,,19543.96,,19542.68,,18632.8,,20186.0,,17623.0,,19814.32
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,31006.884875,,27411.7,,29802.7,,29712.89,,29307.44,,34957.0,,29253.0,,27938.16
"ПАШТЕТ, ЗЕЛЬЦ",,,,6161.911885,,5846.76,,5428.15,,5399.13,,5035.28,,7357.0,,6373.0,,5092.72
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,3780.291859,,3640.22,,3392.64,,3875.65,,3264.88,,4004.0,,4357.0,,3367.76
СОСИСКИ,,,,12336.244892,,11479.24,,11673.87,,12714.64,,12183.68,,12683.0,,12537.0,,12274.48
"ВЕТЧИНА, БУЖЕНИНА, ОКОРОК",,,,18209.29662,,18615.54,,20936.82,,16182.02,,21183.28,,17187.0,,16803.0,,19405.84
ГОВЯДИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,5896.897745,,5604.86,,5502.91,,5967.71,,5732.84,,6384.0,,5969.0,,5021.48
СВИНИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,5404.205748,,5291.26,,4972.16,,5721.02,,5463.92,,5635.0,,5544.0,,4661.8
КОНСЕРВЫ  МЯСНЫЕ ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ (за условную банку весом 350 г),,,,6378.14519,,6208.98,,5946.02,,6349.0,,6404.16,,6487.0,,6595.0,,6464.64
РЫБА ЖИВАЯ,,,,6440.854402,,5610.38,,6470.4,,6403.24,,6308.32,,7027.0,,5241.0,,6724.32
РЫБА МОРОЖЕНАЯ (ТРЕСКОВЫЕ И СКУМБРИЕВЫЕ),,,,9694.624099999999,,6817.08,,8879.43,,7709.44,,9104.08,,11425.0,,10067.0,,10417.64
РЫБА МОРОЖЕНАЯ (ФИЛЕ И РАЗДЕЛАННАЯ),,,,12375.991466000001,,10296.58,,9579.69,,8955.68,,10530.04,,16618.0,,10604.0,,11327.28
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ,,,,22431.300949,,21401.14,,24936.63,,25470.27,,21508.32,,22434.0,,23921.0,,16258.56
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ ДЕЛИКАТЕСНАЯ,,,,32988.047855,,22289.64,,25969.32,,22095.79,,25354.8,,48342.0,,20323.0,,34387.28
ИКРА ЛОСОСЕВЫХ РЫБ,,,,235229.978669,,201855.12,,235808.74,,242835.17,,217076.2,,253706.0,,224698.0,,225467.0
ПРОЧИЕ ВИДЫ ИКРЫ РЫБ (за условную банку весом  200 г),,,,5653.067212,,6133.52,,4832.39,,6693.4,,4859.6,,6008.0,,4959.0,,5057.48
СЕЛЬДЬ СОЛЕНАЯ,,,,7393.041978,,8196.92,,6107.15,,7168.3,,7191.52,,7777.0,,7278.0,,7321.04
"ПОЛУФАБРИКАТЫ РЫБНЫЕ (котлеты, палочки рыбные,  фарш)",,,,11787.979424,,11180.42,,13590.77,,10638.3,,10200.72,,11794.0,,12847.0,,12093.28
КОНСЕРВЫ РЫБНЫЕ (за условную банку весом 350г),,,,2957.698685,,2945.34,,2743.28,,3079.67,,3067.56,,3046.0,,2887.0,,2746.76
КОНСЕРВЫ РЫБНЫЕ ДЕЛИКАТЕСНЫЕ (шпроты и лосось) - за условную банку весом 350 г,,,,7303.467103000001,,7086.84,,7103.64,,7120.91,,6792.8,,7709.0,,7345.0,,7047.96
ПРЕСЕРВЫ РЫБНЫЕ (филе сельди в различных соусах и заливках) - за условную банку весом 250 г,,,,3474.180472,,3344.5,,3487.92,,3716.38,,3404.12,,3466.0,,3162.0,,3703.28
"МОЛОКО ЦЕЛЬНОЕ ПАСТЕРИЗОВАННОЕ, СЫРОЕ",,,,1431.3311179999998,,1440.08,,1435.42,,1342.46,,1239.84,,1493.0,,1477.0,,1446.24
КЕФИР,,,,1483.715469,,1351.74,,1308.81,,1452.23,,1261.12,,1651.0,,1489.0,,1493.6
СМЕТАНА ,,,,6388.799579,,6007.74,,6421.16,,4921.81,,6114.8,,7325.0,,6041.0,,6062.96
ТВОРОГ ЖИРНЫЙ,,,,8010.015938999999,,7668.6,,6555.09,,7222.79,,7570.72,,9315.0,,6609.0,,8487.04
ТВОРОГ НЕЖИРНЫЙ,,,,7490.692803000001,,9218.9,,5433.21,,6130.41,,8530.96,,8069.0,,6461.0,,7933.36
ЙОГУРТ (за 250 г),,,,1369.7093279999997,,1827.86,,1436.79,,1587.66,,1604.8,,1170.0,,1110.0,,1277.28
ГЛАЗИРОВАННЫЙ СЫРОК (за 50 г),,,,738.345041,,703.72,,711.46,,714.69,,767.56,,765.0,,698.0,,760.64
"ТВОРОЖНЫЙ ДЕСЕРТ, КРЕМ, ПУДИНГ    (за 200 г)",,,,1696.538534,,1780.12,,1905.92,,1478.34,,1676.56,,1734.0,,1578.0,,1661.52
СУХИЕ МОЛОЧНЫЕ СМЕСИ  ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ,,,,15860.588645999998,,16784.76,,13272.6,,14038.9,,16146.64,,15734.0,,16979.0,,19040.92
МОЛОКО СГУЩЕНОЕ С САХАРОМ (за условную банку весом 400 г),,,,2408.609044,,2347.56,,2410.02,,2387.04,,2426.56,,2421.0,,2411.0,,2436.48
МОРОЖЕНОЕ,,,,11628.793239000002,,12961.78,,12310.77,,12618.77,,10317.04,,11558.0,,11534.0,,9793.52
СЫР  ТВЕРДЫЙ,,,,14364.960136000002,,13993.9,,14155.74,,15107.46,,14020.72,,14667.0,,13757.0,,14005.76
СЫР МЯГКИЙ ,,,,10938.407114,,8548.56,,10414.18,,10236.5,,10548.0,,12935.0,,9637.0,,9945.44
СЫР ПЛАВЛЕНЫЙ,,,,12920.232987,,11480.02,,12720.77,,11409.21,,12420.8,,13500.0,,14732.0,,13132.0
МАСЛО ЖИВОТНОЕ,,,,12653.262832,,12649.68,,12978.3,,12834.8,,12572.08,,12086.0,,11932.0,,14740.72
МАСЛО РАСТИТЕЛЬНОЕ ,,,,3964.6179030000003,,4195.9,,4008.12,,4231.29,,4035.12,,3620.0,,4349.0,,4028.08
МАРГАРИН,,,,6189.107381000001,,5792.26,,5554.9,,5624.27,,5686.16,,6840.0,,6731.0,,5743.52
ЯЙЦА  КУРИНЫЕ,,,,2913.1696110000003,,3032.44,,2950.17,,2683.99,,2968.24,,2910.0,,3123.0,,2777.52
САХАР-ПЕСОК,,,,2160.355277,,2129.32,,2099.52,,2166.81,,2080.0,,2232.0,,2143.0,,2105.68
ЧАЙ ЧЕРНЫЙ БАЙХОВЫЙ,,,,37315.198304,,35080.42,,39214.63,,29863.1,,29461.2,,38464.0,,46260.0,,40546.48
КОФЕ  НАТУРАЛЬНЫЙ  В ЗЕРНАХ,,,,37230.030359,,35587.04,,41676.38,,32497.83,,42232.08,,30856.0,,40885.0,,52434.72
КОФЕ РАСТВОРИМЫЙ,,,,82282.47630500002,,83511.8,,80656.55,,75420.53,,84423.28,,74508.0,,101271.0,,95314.24
МЁД  НАТУРАЛЬНЫЙ,,,,25686.592438000003,,20776.6,,24897.34,,23202.34,,23266.28,,30778.0,,24670.0,,21086.08
СОЛЬ  ПОВАРЕННАЯ  ПИЩЕВАЯ,,,,548.2207050000001,,437.22,,545.43,,637.99,,443.68,,619.0,,451.0,,514.4
МУКА ПШЕНИЧНАЯ ,,,,1944.879958,,1787.14,,1895.35,,1990.44,,1897.96,,2026.0,,1873.0,,1953.88
ХЛЕБ РЖАНОЙ,,,,1670.0275837427423,,,,,,1833.52,,1313.84,,1708.0,,1660.0,,
ХЛЕБ РЖАНО-ПШЕНИЧНЫЙ,,,,1723.8473090000002,,1817.02,,1635.5,,1513.75,,1438.96,,1936.0,,1648.0,,1618.12
"ХЛЕБ, ИЗДЕЛИЯ БУЛОЧНЫЕ (БАТОН) ИЗ  МУКИ ПШЕНИЧНОЙ ВЫСШЕГО СОРТА",,,,2623.654833,,2982.7,,2382.81,,2525.47,,2302.32,,2467.0,,3223.0,,2828.4
"ХЛЕБ, ИЗДЕЛИЯ БУЛОЧНЫЕ (БАТОН) ИЗ  МУКИ ПШЕНИЧНОЙ ПЕРВОГО СОРТА",,,,2017.034101,,2160.82,,1758.5,,3130.91,,1707.0,,1774.0,,1937.0,,1950.0
ИЗДЕЛИЯ БУЛОЧНЫЕ СДОБНЫЕ ИЗ МУКИ  ПШЕНИЧНОЙ ВЫСШЕГО СОРТА,,,,4413.323558,,4894.52,,3640.79,,5472.66,,4176.4,,3936.0,,5136.0,,4522.12
"СУХАРИ, СУШКИ, БАРАНКИ",,,,6338.877991,,5514.5,,6309.41,,8476.21,,5564.48,,5296.0,,7676.0,,7324.2
РИС ШЛИФОВАННЫЙ И ПОЛИРОВАННЫЙ,,,,4183.276865000001,,4209.78,,4011.47,,3777.35,,4371.36,,4343.0,,4262.0,,4073.88
КРУПА МАННАЯ,,,,2264.694966,,2220.14,,2261.28,,2226.64,,2128.32,,2373.0,,2163.0,,2229.92
КРУПА ПШЕННАЯ,,,,2397.1801450000003,,2345.4,,2268.72,,2016.69,,2466.4,,2801.0,,2131.0,,1947.2
КРУПА ГРЕЧНЕВАЯ,,,,2631.9515,,2519.16,,2463.38,,2569.68,,2702.32,,2736.0,,2733.0,,2503.88
"ОВСЯНЫЕ ХЛОПЬЯ ""ГЕРКУЛЕС""",,,,2463.7065789999997,,2320.86,,2273.06,,2047.17,,2744.96,,2358.0,,3121.0,,2753.68
КУКУРУЗНЫЕ ХЛОПЬЯ,,,,6062.274942,,5958.12,,5923.31,,5975.3,,6051.76,,6004.0,,6621.0,,6056.0
КРУПА ПЕРЛОВАЯ,,,,1459.972893,,1405.02,,1409.37,,1519.91,,1398.24,,1580.0,,1250.0,,1375.6
КАШИ ДЛЯ ДЕТСКОГО И ДИЕТИЧЕСКОГО ПИТАНИЯ,,,,13089.566013000001,,11410.04,,11138.41,,11216.25,,11172.6,,16225.0,,11576.0,,12226.6
"ГОРОХ, ФАСОЛЬ",,,,2933.136958,,2292.58,,2133.65,,2412.04,,2548.56,,3700.0,,3575.0,,2279.12
МЮСЛИ И ПРОЧИЕ СУХИЕ ЗАВТРАКИ ИЗ РАЗЛИЧНЫХ КРУП,,,,9546.121577000002,,8719.18,,10096.94,,8007.63,,9665.88,,10841.0,,8273.0,,8611.04
"МАКАРОНЫ, РОЖКИ",,,,2996.067895,,3085.18,,3050.09,,2846.65,,2876.52,,2969.0,,3090.0,,3125.4
"ВЕРМИШЕЛЬ, ЛАПША",,,,3097.456394,,3049.72,,2953.57,,2825.98,,2885.0,,3290.0,,3136.0,,3154.52
ВОДКА ,,,,14417.331900000001,,14381.4,,14267.5,,14520.0,,13960.0,,14520.0,,14458.0,,14520.0
НАСТОЙКИ ГОРЬКИЕ КРЕПКИЕ,,,,21453.922779000004,,18931.24,,15553.65,,13234.47,,22986.08,,25993.0,,23218.0,,22594.08
КОНЬЯК,,,,57406.47257099999,,55136.72,,62462.99,,48169.15,,50280.56,,63625.0,,53493.0,,55285.2
ВИНО ВИНОГРАДНОЕ КРЕПЛЕНОЕ,,,,18520.320197999998,,13028.22,,15878.47,,13434.48,,12896.16,,26872.0,,15689.0,,13755.16
ВИНО ВИНОГРАДНОЕ СТОЛОВОЕ,,,,17400.805760000003,,12443.86,,14345.38,,12537.42,,12842.16,,23750.0,,14902.0,,17556.0
ПИВО,,,,3035.701661,,2866.36,,2764.74,,2787.69,,3202.0,,3310.0,,2774.0,,3035.68
ВИНО ИГРИСТОЕ  (ШАМПАНСКОЕ),,,,14486.050485,,14813.66,,14203.67,,14109.43,,14049.44,,14620.0,,14517.0,,14841.52
ВАФЛИ,,,,8645.888180000002,,8680.42,,8788.72,,8520.1,,8686.56,,8728.0,,8649.0,,8297.76
ПРЯНИКИ,,,,6117.9778780000015,,5642.92,,5497.99,,6178.58,,5518.32,,6231.0,,6453.0,,7030.08
ПЕЧЕНЬЕ ,,,,6751.212861000001,,6397.12,,6651.6,,6304.29,,6790.48,,6868.0,,7450.0,,6633.6
ТОРТ,,,,15189.660066000002,,13953.02,,15227.48,,17750.84,,14356.32,,14986.0,,13884.0,,16015.04
ПИРОЖНЫЕ (зза 1 шт. весом 100 г),,,,1369.110017,,1298.84,,1345.45,,1376.69,,1324.92,,1430.0,,1369.0,,1297.2
ИРИС,,,,7077.693092,,6854.56,,7145.22,,7592.04,,6807.68,,6966.0,,7396.0,,6878.32
" КОНФЕТЫ ""КАРАМЕЛЬ""",,,,6350.2864739999995,,6092.44,,6903.38,,5602.78,,5848.88,,6063.0,,7565.0,,7045.08
КОНФЕТЫ ГЛАЗИРОВАННЫЕ ШОКОЛАДНОЙ ГЛАЗУРЬЮ,,,,15003.064962,,13913.78,,15514.24,,14235.2,,15637.6,,14952.0,,15445.0,,15631.92
"КОНФЕТЫ ГЛАЗИРОВАННЫЕ ЖИРОВОЙ   ГЛАЗУРЬЮ (типа ""Лимонные"", ""Осенние"")",,,,7688.021243,,7738.28,,7952.16,,8040.55,,7419.2,,7454.0,,7803.0,,7797.68
ШОКОЛАД,,,,26199.690865,,25709.14,,24239.18,,25380.15,,26805.84,,26820.0,,26185.0,,27329.68
ХАЛВА,,,,8070.213778,,7688.72,,7439.94,,7182.98,,7338.32,,9019.0,,7533.0,,8330.48
МАРМЕЛАД,,,,6522.728872999999,,6261.68,,6568.92,,6611.21,,6757.04,,6564.0,,6391.0,,6421.92
ЗЕФИР,,,,7931.000169,,8818.48,,7637.36,,6789.45,,7803.44,,8082.0,,7859.0,,8442.08
КАКАО - ПОРОШОК (за 200 г),,,,4300.927893,,3014.64,,3170.02,,5075.57,,2911.2,,5500.0,,2897.0,,4656.36
КАРТОФЕЛЬ,,,,1218.8555000000001,,1258.68,,1272.34,,1001.92,,1201.84,,1302.0,,1289.0,,1054.64
ЧИПСЫ  КАРТОФЕЛЬНЫЕ (за 100 г),,,,2605.445595,,2868.74,,2769.7,,2248.41,,2771.96,,2605.0,,2387.0,,2670.04
КАПУСТА  БЕЛОКОЧАННАЯ  СВЕЖАЯ,,,,1110.448591,,1069.3,,1052.01,,1003.97,,1116.84,,1194.0,,1181.0,,995.76
ЛУК РЕПЧАТЫЙ,,,,1675.481134,,1429.42,,1893.64,,1374.72,,1477.8,,1830.0,,1620.0,,1774.48
СВЕКЛА,,,,1267.004434,,1120.42,,1425.61,,1099.12,,1012.16,,1440.0,,1173.0,,1198.56
МОРКОВЬ,,,,1502.234185,,1371.9,,1932.52,,1367.87,,1419.48,,1536.0,,1494.0,,1290.48
ПОМИДОРЫ СВЕЖИЕ,,,,2878.9277549999997,,2446.66,,2771.85,,2797.77,,2763.52,,3166.0,,2860.0,,2717.04
ОГУРЦЫ СВЕЖИЕ,,,,1262.779614,,992.66,,1513.05,,1376.76,,1117.72,,1292.0,,1253.0,,1161.36
ЧЕСНОК,,,,6191.4634160000005,,5483.62,,5808.97,,6139.98,,5850.48,,7044.0,,5927.0,,5178.96
ПЕРЕЦ СЛАДКИЙ,,,,6939.301044,,7248.88,,7910.36,,6596.6,,6833.84,,6954.0,,6725.0,,6227.52
ОВОЩИ ЗАМОРОЖЕННЫЕ,,,,10068.09056,,9816.72,,9355.37,,9234.48,,9861.24,,10968.0,,10242.0,,9191.84
ОВОЩИ КОНСЕРВИРОВАННЫЕ,,,,4808.94557,,3690.66,,5420.73,,4490.64,,3685.68,,4707.0,,5818.0,,5939.04
СОУС ТОМАТНЫЙ,,,,5176.696822999999,,5036.9,,5070.38,,4966.05,,4986.16,,4989.0,,6072.0,,5558.16
ЯБЛОКИ,,,,3741.148506,,3200.7,,4285.96,,3777.24,,3577.16,,3635.0,,4272.0,,3586.92
"ЦИТРУСОВЫЕ ПЛОДЫ (апельсины, лимоны, мандарины)",,,,5001.355729000001,,4911.56,,4575.64,,5093.89,,5579.72,,4908.0,,5337.0,,4905.68
ВИНОГРАД,,,,7840.256118,,8375.92,,7479.55,,7688.14,,8546.36,,7585.0,,7775.0,,8164.56
БАНАНЫ,,,,3219.966808,,3426.6,,3408.56,,3314.92,,3372.52,,3040.0,,3092.0,,3270.56
СУХОФРУКТЫ,,,,11985.135938000001,,9878.82,,11286.07,,10725.36,,11619.84,,12548.0,,13033.0,,13841.84
ОРЕХИ,,,,14994.866038,,11415.24,,12192.19,,13285.94,,10251.28,,17888.0,,15773.0,,17737.68
ФРУКТЫ КОНСЕРВИРОВАННЫЕ,,,,7853.247494000001,,7454.82,,8751.13,,8556.04,,8416.44,,7402.0,,7851.0,,7384.52
КОНСЕРВЫ  ФРУКТОВЫЕ  ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО  ПИТАНИЯ,,,,7848.1399169999995,,7289.12,,7469.99,,6946.69,,6833.84,,8648.0,,8407.0,,7638.0
"СОК, НЕКТАР ФРУКТОВЫЙ,  ЯГОДНЫЙ",,,,3630.8667670000004,,3321.08,,3428.14,,3371.07,,3294.72,,4123.0,,3355.0,,3455.6
НАПИТКИ БЕЗАЛКОГОЛЬНЫЕ ,,,,1617.296149,,1473.6,,1350.41,,1391.33,,1886.12,,1878.0,,1600.0,,1263.64
ВОДА МИНЕРАЛЬНАЯ ,,,,948.75331,,937.58,,1019.05,,928.72,,1064.32,,926.0,,881.0,,948.52
"ОБЕД В СТОЛОВОЙ (для 1 человека, из 4-х блюд)",,,,3453.001400999999,,3647.66,,4216.58,,3211.07,,3394.0,,3202.0,,3273.0,,3759.08
"ОБЕД В РЕСТОРАНЕ (заказной,  для 1 человека,                                            из  4-х блюд) ",,,,12148.149613999998,,14195.96,,15554.76,,17504.74,,10011.88,,9161.0,,7011.0,,16665.96
"КОФЕ В ОРГАНИЗАЦИЯХ  БЫСТРОГО ОБСЛУЖИВАНИЯ               (за  0,2л)",,,,4195.853168,,1981.94,,2314.18,,2342.7,,1726.36,,7985.0,,2014.0,,2804.88
"СОК   В ОРГАНИЗАЦИЯХ  БЫСТРОГО ОБСЛУЖИВАНИЯ               (за  0,2л)",,,,1061.533913,,866.28,,803.08,,944.85,,820.36,,1419.0,,806.0,,993.76
"СИГАРЕТЫ С ФИЛЬТРОМ  ОТЕЧЕСТВЕННЫЕ  (за 1 пачку,           20 штук)",,,,1004.3892139999999,,960.8,,858.06,,1237.1,,959.04,,1045.0,,920.0,,920.96
"СИГАРЕТЫ БЕЗ ФИЛЬТРА  ОТЕЧЕСТВЕННЫЕ  (за 1 пачку, 20 штук)",,,,643.537086,,637.92,,644.44,,628.94,,650.0,,650.0,,633.0,,650.0
"СИГАРЕТЫ С ФИЛЬТРОМ ИМПОРТНЫЕ    (за 1 пачку,          20 штук)",,,,3484.751468,,3655.4,,3595.11,,4598.8,,4103.6,,2779.0,,3500.0,,3579.04
МАЙОНЕЗ,,,,6507.518588000001,,6591.62,,7050.79,,6251.7,,6609.84,,6322.0,,6357.0,,6801.28
УКСУС,,,,3286.97627,,3210.12,,3242.78,,3274.02,,3212.76,,3374.0,,3281.0,,3216.56
ГОРЧИЦА ПИЩЕВАЯ (за 100 г),,,,1099.376035,,999.6,,1271.23,,1020.75,,1110.04,,1113.0,,1110.0,,1040.48
СОДА ПИЩЕВАЯ,,,,2585.663664,,2423.56,,2472.77,,2523.4,,2678.52,,2533.0,,3036.0,,2580.76
ЖЕВАТЕЛЬНАЯ  РЕЗИНКА  (за упаковку  10 штук),,,,1251.2987180000002,,1317.82,,1289.02,,1181.04,,1261.72,,1220.0,,1276.0,,1295.52
НЕПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ТКАНЬ ХЛОПЧАТОБУМАЖНАЯ  ПЛАТЕЛЬНАЯ (за 1 м)  ,,,,3444.689457,,4010.02,,3309.79,,2968.31,,3647.56,,3226.0,,3419.0,,4165.96
