,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,Минская,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА ПЕРВОЙ КАТЕГОРИИ,,,,17625.193524,,17800.0,,16448.22,,17120.0,,16980.0,,18883.0,,17720.0,,17786.56
ПОЛУФАБРИКАТЫ МЯСНЫЕ ИЗ ГОВЯДИНЫ,,,,25727.500696,,21334.7,,23570.7,,27551.82,,23253.69,,33092.0,,23820.0,,23907.0
СВИНИНА (кроме бескостного мяса),,,,15070.369560000001,,15390.74,,14951.34,,15673.54,,13492.24,,13540.0,,16228.0,,16611.28
ПОЛУФАБРИКАТЫ МЯСНЫЕ  ИЗ СВИНИНЫ,,,,24185.216446,,21711.84,,23977.02,,24768.02,,23852.18,,24588.0,,25733.0,,24457.08
ФАРШ МЯСНОЙ (без добавок),,,,17616.90572,,17928.42,,16592.39,,17063.5,,19223.32,,18927.0,,17124.0,,15966.4
"КУРЫ (ЦЫПЛЯТА, ВКЛЮЧАЯ БРОЙЛЕРОВ)",,,,12145.434955999997,,11649.06,,11336.34,,13004.86,,12637.71,,11843.0,,13157.0,,11270.96
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,15103.043743999999,,14107.62,,15660.8,,14432.02,,14160.54,,16187.0,,15681.0,,14984.84
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,7404.075576,,7080.38,,7340.98,,8384.02,,7686.3,,6570.0,,7401.0,,7727.72
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,1316.976472,,1241.4,,1241.42,,1404.56,,1209.85,,1569.0,,1290.0,,1100.04
ПЕЛЬМЕНИ МЯСНЫЕ,,,,11857.26921,,11131.18,,9830.93,,12275.48,,11869.11,,13518.0,,11737.0,,11871.04
САЛО,,,,15470.367752,,12391.04,,16997.24,,14867.36,,14798.16,,18072.0,,14454.0,,16098.44
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,15678.165559999998,,15800.16,,16321.74,,15736.6,,15170.04,,15824.0,,14959.0,,15908.12
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,11784.501993999998,,11205.12,,12013.13,,12643.46,,11073.84,,11107.0,,12829.0,,11614.56
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА ,,,,9661.801016000001,,10517.18,,11941.41,,8404.7,,9320.61,,8160.0,,10332.0,,9643.16
КОЛБАСА ПОЛУКОПЧЕНАЯ,,,,24095.666276,,21900.16,,21750.59,,23883.36,,23011.66,,28373.0,,23746.0,,24155.76
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,37593.827924,,35055.28,,36666.23,,36919.8,,38159.91,,42420.0,,35942.0,,36261.04
"ПАШТЕТ, ЗЕЛЬЦ",,,,7477.61184,,7397.28,,7763.39,,6542.04,,6383.72,,9154.0,,7679.0,,6484.56
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,4646.293454,,4489.88,,3999.44,,5140.58,,4394.36,,4793.0,,5335.0,,4028.68
СОСИСКИ,,,,15179.649242000001,,14677.8,,14619.69,,15550.9,,15173.73,,15172.0,,14695.0,,16611.72
"ВЕТЧИНА, БУЖЕНИНА, ОКОРОК",,,,22884.895075999997,,23154.88,,23987.82,,20493.6,,22468.51,,25822.0,,18565.0,,25535.28
ГОВЯДИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,7282.1210360000005,,7176.44,,6889.14,,7414.88,,7332.82,,8427.0,,6725.0,,6436.0
СВИНИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,6493.666622,,6267.72,,6127.18,,6554.86,,6746.23,,7096.0,,6353.0,,6038.44
КОНСЕРВЫ  МЯСНЫЕ ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ (за условную банку весом 350 г),,,,8038.551214,,7423.22,,9066.3,,8051.28,,7775.04,,8085.0,,8097.0,,7757.48
РЫБА ЖИВАЯ,,,,8624.597646,,7946.48,,8651.8,,8758.9,,8110.27,,8960.0,,8417.0,,9495.4
РЫБА МОРОЖЕНАЯ (тресковые и скумбриевые),,,,15863.097616,,12360.1,,14687.6,,14902.9,,15018.29,,20648.0,,15656.0,,15994.32
РЫБА МОРОЖЕНАЯ (филе и разделанная),,,,17930.034124,,19533.3,,13879.78,,16106.3,,14742.63,,28274.0,,12942.0,,15063.56
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ,,,,34857.170822,,35309.34,,38606.26,,37720.36,,32572.58,,32241.0,,39657.0,,26684.2
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ ДЕЛИКАТЕСНАЯ,,,,50999.174399999996,,38770.1,,39393.12,,35541.7,,51277.21,,57550.0,,70122.0,,63943.6
ИКРА ЛОСОСЕВЫХ РЫБ,,,,277903.88479,,239949.66,,297886.23,,301354.88,,262584.43,,283939.0,,280750.0,,274303.16
ПРОЧИЕ   ВИДЫ   ИКРЫ   РЫБ   (за условную банку весом      200 г),,,,7086.422365999999,,7227.28,,6323.26,,6859.62,,6073.59,,7916.0,,8007.0,,6465.32
СЕЛЬДЬ СОЛЕНАЯ,,,,13116.502049999997,,13406.28,,10394.06,,11224.14,,12580.17,,15238.0,,15192.0,,12564.8
"ПОЛУФАБРИКАТЫ РЫБНЫЕ (котлеты, палочки рыбные , фарш)",,,,14985.74164,,13378.68,,15586.89,,17228.96,,16253.0,,12512.0,,16825.0,,13937.32
КОНСЕРВЫ РЫБНЫЕ (за условную банку весом 350г),,,,5508.183298000001,,5525.6,,4850.38,,5699.46,,4733.99,,6243.0,,6485.0,,4228.48
КОНСЕРВЫ РЫБНЫЕ ДЕЛИКАТЕСНЫЕ (шпроты и лосось) - за условную банку весом 350 г,,,,11948.479304,,10761.06,,11283.88,,12390.46,,9748.1,,15542.0,,11881.0,,9840.72
ПРЕСЕРВЫ РЫБНЫЕ (филе сельди в различных соусах и заливках) - за условную банку весом 250 г,,,,5509.930154000001,,5039.9,,5264.21,,6399.56,,4987.46,,5426.0,,5867.0,,5405.24
"МОЛОКО ЦЕЛЬНОЕ ПАСТЕРИЗОВАННОЕ, СЫРОЕ",,,,1874.5101260000001,,1860.22,,1788.55,,1790.52,,1658.6,,2106.0,,1878.0,,1918.16
