,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,Минская,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА ПЕРВОЙ КАТЕГОРИИ,,,,20734.042912,,22600.0,,18203.22,,24748.0,,16980.0,,18984.0,,16980.0,,27400.0
ПОЛУФАБРИКАТЫ МЯСНЫЕ ИЗ ГОВЯДИНЫ,,,,28683.636883999996,,25844.82,,26028.53,,33873.7,,25685.07,,32648.0,,23785.0,,31113.8
СВИНИНА (кроме бескостного мяса),,,,18517.14692,,19245.02,,20965.02,,19896.74,,15380.57,,14820.0,,19315.0,,21259.12
ПОЛУФАБРИКАТЫ МЯСНЫЕ  ИЗ СВИНИНЫ,,,,28637.248605999994,,25367.96,,31369.09,,29848.86,,27489.13,,30040.0,,26285.0,,29979.08
ФАРШ МЯСНОЙ (без добавок),,,,19780.285856,,19772.22,,19119.46,,20263.18,,21362.02,,20735.0,,18673.0,,18184.64
"КУРЫ (ЦЫПЛЯТА, ВКЛЮЧАЯ БРОЙЛЕРОВ)",,,,15252.55385,,14963.88,,15481.87,,15866.14,,14597.66,,14994.0,,15078.0,,15858.56
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,19036.077751999997,,17565.3,,19510.01,,18621.22,,14989.05,,20449.0,,20475.0,,20651.96
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,9220.547,,8505.36,,9831.41,,10096.72,,8358.37,,8217.0,,9201.0,,10850.52
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,1559.1859399999998,,1438.44,,1566.57,,1562.44,,1441.8,,1792.0,,1709.0,,1230.4
ПЕЛЬМЕНИ МЯСНЫЕ,,,,13247.731244,,12599.38,,9822.22,,13613.7,,13512.24,,15727.0,,12668.0,,13779.6
САЛО,,,,18290.222328,,15645.2,,20387.13,,17631.88,,17148.19,,20195.0,,16544.0,,20372.76
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,16824.343377999998,,16738.8,,16510.03,,18446.66,,16535.05,,16480.0,,14896.0,,18518.64
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,12547.022721999998,,12674.48,,12287.92,,13083.3,,11381.84,,11570.0,,13664.0,,13299.64
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА ,,,,10166.653362,,11877.52,,12585.96,,9484.94,,10214.87,,7210.0,,10725.0,,10345.56
КОЛБАСА ПОЛУКОПЧЕНАЯ,,,,26232.537558000004,,24890.16,,23347.53,,28153.62,,25278.09,,29906.0,,22505.0,,28275.32
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,42817.63875,,40127.12,,36738.23,,41019.1,,43232.15,,49487.0,,40887.0,,46370.76
"ПАШТЕТ, ЗЕЛЬЦ",,,,8392.810874,,8524.22,,8897.72,,7556.24,,6792.4,,10091.0,,8699.0,,7074.92
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,5183.384786,,4729.86,,4262.7,,6509.68,,4901.6,,5514.0,,5557.0,,4288.4
СОСИСКИ,,,,16655.705997999998,,15759.88,,15105.92,,17802.82,,16050.4,,16327.0,,14687.0,,21738.76
"ВЕТЧИНА, БУЖЕНИНА, ОКОРОК",,,,26193.636501999998,,26526.26,,24494.55,,25634.76,,25556.4,,29207.0,,22058.0,,29351.8
ГОВЯДИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,8738.525638,,8464.0,,7198.53,,9251.62,,8023.51,,9838.0,,9997.0,,7364.84
СВИНИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,7381.231302,,7667.1,,6989.63,,6886.56,,7879.45,,8278.0,,6661.0,,7048.96
