,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА  (кроме бескостного мяса),,,,50999.91732742537,,54000.0,,56365.0,,52675.0,,40835.0,,45856.0,,,,62140.0
ГОВЯДИНА БЕСКОСТНАЯ,,,,84568.76472600001,,76437.83,,77988.1,,79563.68,,79949.16,,98030.0,,85029.0,,77792.74
СВИНИНА (кроме бескостного мяса),,,,44019.043874,,46587.28,,46331.4,,43568.4,,39258.73,,40886.0,,46344.0,,48344.12
СВИНИНА БЕСКОСТНАЯ,,,,65484.042088,,63083.55,,65175.0,,66160.4,,66417.51,,65219.0,,62932.0,,71252.24
ФАРШ МЯСНОЙ (без добавок),,,,54042.947902,,57318.59,,48602.9,,48768.64,,55999.29,,59296.0,,51272.0,,51512.4
"КУРЫ (ЦЫПЛЯТА, ВКЛЮЧАЯ БРОЙЛЕРОВ)",,,,26293.628956,,26155.81,,26957.4,,26017.2,,25947.07,,26250.0,,26357.0,,26439.28
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,37276.62415,,36317.44,,37124.6,,35721.28,,37847.18,,37223.0,,36858.0,,40912.54
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,20328.393464,,19430.51,,19409.2,,20283.76,,18248.77,,21102.0,,20564.0,,22250.56
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,4213.63862,,4066.02,,3679.1,,4173.72,,4797.74,,4672.0,,3844.0,,3813.3
ПЕЛЬМЕНИ МЯСНЫЕ,,,,29928.623635999997,,28145.13,,26894.6,,30807.64,,28572.77,,31467.0,,31329.0,,29835.32
САЛО,,,,50840.97418600001,,41450.0,,55477.0,,47539.52,,50006.88,,55835.0,,48116.0,,53278.22
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,45961.62285000001,,46457.21,,44502.4,,44905.36,,45313.43,,46881.0,,46690.0,,45664.02
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,33843.292304,,36268.41,,33957.6,,34150.4,,31213.3,,34385.0,,36453.0,,27793.46
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА ,,,,27381.229056,,33038.98,,29771.9,,20312.16,,26413.28,,26126.0,,33400.0,,22951.46
КОЛБАСА ПОЛУКОПЧЕНАЯ,,,,72291.948952,,63484.86,,71274.0,,70732.88,,67136.93,,77488.0,,73062.0,,76994.02
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,124586.048846,,120825.82,,126666.1,,125938.64,,112789.67,,132525.0,,119957.0,,122256.62
"ПАШТЕТ, ЗЕЛЬЦ",,,,19205.542120000002,,20160.56,,18457.7,,14094.04,,16448.62,,22205.0,,20730.0,,18498.38
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,13323.273070000001,,13312.64,,11821.1,,14336.0,,10756.13,,14564.0,,13773.0,,12338.26
СОСИСКИ,,,,45929.791291999994,,47696.52,,43244.2,,46111.92,,44228.95,,45845.0,,45862.0,,48528.5
"ВЕТЧИНА, БУЖЕНИНА, ОКОРОК",,,,66564.330742,,73117.66,,69120.8,,60576.0,,64803.75,,66717.0,,60199.0,,73600.28
ГОВЯДИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,26186.827794000004,,22173.92,,28020.5,,26522.0,,22923.46,,28505.0,,24394.0,,28265.68
СВИНИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,22633.556024,,20263.36,,21246.6,,22629.64,,23576.32,,23140.0,,23174.0,,24216.84
КОНСЕРВЫ  МЯСНЫЕ ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ (за условную банку весом 350 г),,,,27210.601162000003,,25927.09,,26567.3,,27705.12,,25824.19,,29190.0,,27178.0,,25121.48
РЫБА ЖИВАЯ,,,,30312.068954,,25795.01,,27349.9,,28945.96,,29180.57,,36432.0,,29228.0,,27847.56
РЫБА МОРОЖЕНАЯ (тресковые и скумбриевые),,,,29417.873752,,23043.4,,27858.3,,25543.28,,27296.66,,34607.0,,30916.0,,30868.18
РЫБА МОРОЖЕНАЯ (филе и разделанная),,,,39911.056848,,39571.48,,28491.1,,29181.36,,39873.28,,56575.0,,32219.0,,35101.74
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ,,,,71800.19062,,67964.96,,79348.3,,89807.68,,81876.97,,56677.0,,76318.0,,67087.12
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ ДЕЛИКАТЕСНАЯ,,,,138556.363232,,170362.65,,130661.7,,88596.48,,131392.89,,121663.0,,174068.0,,176980.54
ИКРА ЛОСОСЕВЫХ РЫБ,,,,732319.4142100001,,713937.94,,721973.0,,726462.6,,713737.05,,790368.0,,712822.0,,668699.2
ПРОЧИЕ   ВИДЫ   ИКРЫ   РЫБ   (за условную банку весом      200 г),,,,17447.960294,,14987.87,,15881.5,,17699.96,,14175.37,,21752.0,,17053.0,,14491.96
