,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА  (кроме бескостного мяса),,,,7.98,,9.57,,7.2,,7.15,,6.81,,8.53,,8.04,,7.64
ГОВЯДИНА БЕСКОСТНАЯ,,,,13.08,,11.3,,12.41,,11.58,,11.78,,15.43,,14.56,,10.86
СВИНИНА (кроме бескостного мяса),,,,7.15,,7.36,,6.86,,6.87,,7.03,,7.13,,7.71,,7.06
СВИНИНА БЕСКОСТНАЯ,,,,10.53,,10.2,,10.27,,10.97,,11.03,,10.22,,10.55,,10.92
ФАРШ МЯСНОЙ ,,,,7.92,,7.55,,7.79,,7.73,,8.21,,8.29,,7.77,,7.69
"КУРЫ (ЦЫПЛЯТА, ВКЛЮЧАЯ БРОЙЛЕРОВ)",,,,3.94,,3.8,,3.94,,3.96,,3.97,,4.0,,3.97,,3.82
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,5.03,,5.11,,5.12,,4.89,,5.14,,5.03,,5.1,,4.86
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,3.76,,3.31,,3.78,,3.48,,4.17,,4.05,,3.34,,4.06
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,0.7,,0.65,,0.67,,0.72,,0.71,,0.74,,0.7,,0.64
ПЕЛЬМЕНИ МЯСНЫЕ,,,,5.85,,5.07,,5.62,,5.74,,5.26,,6.69,,5.83,,5.56
"САЛО, ГРУДИНКА",,,,10.98,,9.33,,10.44,,9.97,,10.61,,12.21,,11.52,,11.25
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,7.2,,6.98,,6.7,,7.47,,7.26,,7.34,,7.26,,7.19
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,5.56,,4.76,,5.24,,3.94,,5.26,,6.94,,5.99,,4.96
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА И БЕССОРТОВАЯ ,,,,4.18,,4.13,,3.93,,3.94,,4.05,,4.4,,4.68,,3.75
"КОЛБАСА ПОЛУКОПЧЕНАЯ, ВАРЕНО-КОПЧЕНАЯ",,,,10.24,,9.91,,9.82,,9.73,,10.12,,10.79,,10.55,,9.97
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,19.72,,18.46,,19.82,,19.33,,19.34,,21.14,,19.87,,17.97
"ПАШТЕТ, ЗЕЛЬЦ, САЛЬТИСОН",,,,4.63,,3.6,,4.84,,3.64,,3.74,,5.7,,5.03,,4.37
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,2.63,,2.84,,2.77,,2.92,,2.23,,2.54,,2.57,,2.49
