,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,Минская,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА ПЕРВОЙ КАТЕГОРИИ,,,,43653.3373,,43800.0,,51667.0,,43073.0,,23530.0,,38936.0,,60000.0,,41600.0
ПОЛУФАБРИКАТЫ МЯСНЫЕ ИЗ ГОВЯДИНЫ,,,,57263.460913999996,,51983.8,,49158.35,,60042.3,,50792.37,,73188.0,,54782.0,,52295.04
СВИНИНА (кроме бескостного мяса),,,,38095.53056600001,,38973.96,,37936.05,,41278.66,,32877.63,,31740.0,,43400.0,,41850.0
ПОЛУФАБРИКАТЫ МЯСНЫЕ  ИЗ СВИНИНЫ,,,,52600.91607399999,,48937.26,,50465.18,,51462.92,,49107.69,,59897.0,,52682.0,,52253.0
ФАРШ МЯСНОЙ (без добавок),,,,40495.717657999994,,42343.82,,37323.34,,39897.2,,39165.88,,44402.0,,37904.0,,40595.2
"КУРЫ (ЦЫПЛЯТА, ВКЛЮЧАЯ БРОЙЛЕРОВ)",,,,25015.790774,,25185.8,,25394.47,,24827.66,,23384.75,,25280.0,,25135.0,,25618.2
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,33310.51589,,35141.5,,31369.7,,31126.92,,28512.69,,35504.0,,35277.0,,34483.12
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,15773.101166,,15706.1,,16203.36,,16849.64,,13083.71,,13498.0,,17981.0,,17542.92
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,2964.511606,,2864.3,,2742.93,,2868.0,,2957.46,,3491.0,,2918.0,,2652.2
ПЕЛЬМЕНИ МЯСНЫЕ,,,,23342.00487,,20354.9,,19832.51,,23700.76,,22018.3,,28807.0,,23940.0,,21981.96
САЛО,,,,43563.043882,,39359.08,,47052.52,,44892.82,,37520.18,,49635.0,,39456.0,,44323.96
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,32063.62293,,31846.26,,32148.06,,31813.2,,31098.06,,33659.0,,30436.0,,32957.48
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,24224.076513999997,,25512.34,,25716.12,,24599.92,,20678.65,,22290.0,,26337.0,,24375.64
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА ,,,,19583.524446000003,,23263.52,,24703.39,,16703.02,,16369.06,,17262.0,,21208.0,,17841.0
КОЛБАСА ПОЛУКОПЧЕНАЯ,,,,50252.79769,,46287.06,,47825.01,,49464.2,,47543.43,,57030.0,,45736.0,,56239.0
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,83397.06049599999,,84772.94,,81811.71,,80639.58,,74627.52,,88129.0,,88023.0,,81677.44
"ПАШТЕТ, ЗЕЛЬЦ",,,,13735.737962,,14101.82,,14815.16,,12289.16,,11611.4,,15579.0,,15480.0,,10674.92
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,9309.323906,,7700.26,,9909.37,,10932.84,,7534.55,,9700.0,,9302.0,,9647.68
СОСИСКИ,,,,32004.836438,,33436.8,,32065.43,,32874.7,,28850.17,,31399.0,,31305.0,,33973.72
"ВЕТЧИНА, БУЖЕНИНА, ОКОРОК",,,,51083.818591999996,,54687.68,,50917.33,,47145.68,,44832.58,,59118.0,,43724.0,,54032.72
ГОВЯДИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,18676.413652000003,,17768.5,,12821.85,,20901.94,,17440.14,,20737.0,,19126.0,,20659.76
СВИНИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,15450.569152,,16114.88,,9618.0,,17378.52,,15611.59,,16295.0,,14974.0,,17666.08
КОНСЕРВЫ  МЯСНЫЕ ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ (за условную банку весом 350 г),,,,14438.072661999999,,15221.66,,14610.05,,15238.92,,14312.29,,14443.0,,13825.0,,13098.28
РЫБА ЖИВАЯ,,,,18752.316494,,15564.44,,17400.48,,20120.3,,18255.8,,22107.0,,18560.0,,17654.68
РЫБА МОРОЖЕНАЯ (тресковые и скумбриевые),,,,31541.722758,,27109.16,,27896.0,,29034.1,,29106.54,,38160.0,,33376.0,,33504.88
РЫБА МОРОЖЕНАЯ (филе и разделанная),,,,35908.75926,,35590.84,,26900.98,,28490.84,,32806.09,,56448.0,,27009.0,,36321.36
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ,,,,64921.681893999994,,64168.1,,74673.6,,78859.44,,59325.26,,56515.0,,66995.0,,53468.04
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ ДЕЛИКАТЕСНАЯ,,,,121205.975196,,126740.64,,114834.13,,68160.0,,124788.84,,131370.0,,141033.0,,144795.48
ИКРА ЛОСОСЕВЫХ РЫБ,,,,454590.78290600004,,393027.66,,437193.91,,421555.12,,413421.37,,571532.0,,444412.0,,453603.4
ПРОЧИЕ   ВИДЫ   ИКРЫ   РЫБ   (за условную банку весом      200 г),,,,13517.212453999997,,13579.06,,12823.01,,14093.88,,11408.85,,15533.0,,12780.0,,13096.16
СЕЛЬДЬ СОЛЕНАЯ,,,,29130.582612,,28053.52,,28712.48,,28945.04,,27008.12,,30840.0,,30005.0,,29295.0
"ПОЛУФАБРИКАТЫ РЫБНЫЕ (котлеты, палочки рыбные , фарш)",,,,28201.702402,,27047.74,,31861.57,,27599.68,,25868.57,,28524.0,,28258.0,,28024.64
КОНСЕРВЫ РЫБНЫЕ (за условную банку весом 350г),,,,11543.562504,,10789.32,,9990.09,,10341.0,,10449.35,,16675.0,,10667.0,,9431.8
КОНСЕРВЫ РЫБНЫЕ ДЕЛИКАТЕСНЫЕ (шпроты и лосось) - за условную банку весом 350 г,,,,23217.578934000005,,22635.34,,25587.54,,23697.68,,21309.94,,24034.0,,22447.0,,22162.56
ПРЕСЕРВЫ РЫБНЫЕ (филе сельди в различных соусах и заливках) - за условную банку весом 250 г,,,,11437.357453999999,,11063.3,,11572.74,,11525.36,,12244.35,,11631.0,,10499.0,,11752.04
"МОЛОКО ЦЕЛЬНОЕ ПАСТЕРИЗОВАННОЕ, СЫРОЕ",,,,3369.08738,,3106.6,,2603.08,,4447.56,,2059.47,,4660.0,,3079.0,,2637.72
КЕФИР,,,,3558.088998,,3064.44,,3437.82,,4734.66,,1990.47,,4842.0,,2864.0,,3056.44
СМЕТАНА ,,,,13224.581508,,11468.54,,10400.87,,17412.34,,9750.97,,18750.0,,10698.0,,10538.56
ТВОРОГ ЖИРНЫЙ,,,,17812.855392,,15455.16,,13037.3,,16064.64,,17274.76,,26166.0,,15565.0,,17923.48
ТВОРОГ НЕЖИРНЫЙ,,,,17864.394742,,20380.58,,16955.22,,8640.0,,17628.64,,24593.0,,16607.0,,18375.44
ЙОГУРТ (за 250 г),,,,3379.2047479999997,,3751.14,,3334.98,,3729.1,,3548.0,,3364.0,,2978.0,,2873.6
СЫРОК ГЛАЗИРОВАННЫЙ  (за 50 г),,,,2399.780194,,2148.54,,2381.92,,2921.24,,2215.89,,2442.0,,2257.0,,2349.56
"ТВОРОЖНЫЙ ДЕСЕРТ, КРЕМ, ПУДИНГ  (за 200 г)",,,,5005.027636,,4713.76,,6034.29,,5853.4,,4762.01,,5169.0,,4009.0,,4359.72
СУХИЕ МОЛОЧНЫЕ СМЕСИ  ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ,,,,43597.470978,,43318.14,,46274.31,,38181.84,,42295.02,,49553.0,,43867.0,,38996.84
МОЛОКО СГУЩЕНОЕ С САХАРОМ (за условную банку весом 400 г),,,,8443.698449999998,,9239.22,,7949.96,,9131.16,,7773.36,,8842.0,,7398.0,,8421.52
МОРОЖЕНОЕ,,,,32090.741953999997,,31459.5,,32241.93,,33370.72,,33882.21,,31378.0,,32010.0,,30591.32
