,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА  (кроме бескостного мяса),,,,7.67,,9.33,,6.7,,7.08,,6.41,,8.35,,7.19,,7.58
ГОВЯДИНА БЕСКОСТНАЯ,,,,12.27,,10.66,,11.7,,11.16,,11.11,,13.84,,14.18,,10.68
СВИНИНА (кроме бескостного мяса),,,,6.21,,6.37,,6.01,,5.97,,6.07,,6.17,,6.47,,6.46
СВИНИНА БЕСКОСТНАЯ,,,,9.56,,9.34,,9.4,,10.23,,9.66,,9.48,,9.14,,9.84
ФАРШ МЯСНОЙ ,,,,7.26,,6.75,,7.28,,7.24,,7.73,,7.52,,7.0,,7.01
"КУРЫ (ЦЫПЛЯТА, ВКЛЮЧАЯ БРОЙЛЕРОВ)",,,,3.5,,3.38,,3.5,,3.54,,3.54,,3.58,,3.53,,3.31
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,4.63,,4.52,,4.8,,4.36,,4.41,,5.01,,4.41,,4.4
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,3.61,,3.13,,3.48,,3.33,,3.59,,3.96,,3.58,,3.78
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,0.67,,0.63,,0.65,,0.68,,0.66,,0.69,,0.7,,0.63
ПЕЛЬМЕНИ МЯСНЫЕ,,,,5.85,,5.16,,5.3,,5.51,,4.97,,7.03,,5.83,,5.43
"САЛО, ГРУДИНКА",,,,10.24,,8.42,,9.52,,9.49,,10.14,,11.56,,10.76,,10.12
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,6.97,,6.87,,6.57,,7.03,,7.15,,7.13,,6.83,,7.06
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,5.37,,4.72,,5.05,,4.05,,5.09,,6.85,,5.14,,4.86
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА И БЕССОРТОВАЯ ,,,,4.11,,3.96,,3.94,,3.93,,3.9,,4.44,,4.4,,3.65
"КОЛБАСА ПОЛУКОПЧЕНАЯ, ВАРЕНО-КОПЧЕНАЯ",,,,9.88,,9.71,,9.65,,9.62,,9.85,,10.75,,9.44,,8.98
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,19.06,,18.04,,19.6,,19.13,,18.54,,20.19,,18.2,,18.19
"ПАШТЕТ, ЗЕЛЬЦ, САЛЬТИСОН",,,,4.31,,3.57,,4.76,,4.1,,3.66,,4.6,,4.72,,4.26
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,2.64,,2.76,,2.8,,2.9,,2.26,,2.62,,2.67,,2.41
"СОСИСКИ, САРДЕЛЬКИ",,,,7.14,,6.63,,6.93,,6.74,,6.51,,7.99,,6.7,,7.4
"ИЗДЕЛИЯ ИЗ ГОВЯДИНЫ, СВИНИНЫ ВАРЕНЫЕ, ВАРЕНО-КОПЧЕНЫЕ: ВЕТЧИНА, БУЖЕНИНА, ОКОРОК И ПРОЧИЕ",,,,11.8,,10.17,,12.53,,11.45,,11.54,,13.01,,10.88,,11.61
ГОВЯДИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за 1 усл. банку весом 350 г),,,,3.63,,3.72,,3.61,,3.61,,3.71,,3.7,,3.59,,3.32
СВИНИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за 1 усл. банку весом 350 г),,,,3.64,,3.44,,3.56,,3.56,,3.75,,3.72,,3.64,,3.74
КОНСЕРВЫ  МЯСНЫЕ  ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ (за 1 усл. банку весом 350 г),,,,7.56,,7.46,,7.6,,7.43,,6.54,,8.14,,7.12,,7.81
РЫБА ЖИВАЯ,,,,5.4,,4.94,,5.51,,5.59,,5.83,,5.37,,5.37,,5.31
РЫБА МОРОЖЕНАЯ НЕРАЗДЕЛАННАЯ (тресковые и скумбриевые),,,,4.36,,4.31,,4.25,,4.39,,4.23,,4.58,,4.27,,4.13
РЫБА МОРОЖЕНАЯ (филе и разделанная),,,,7.02,,6.14,,7.36,,6.64,,7.03,,7.33,,7.63,,6.57
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ (кроме сельди и рыбы деликатесной),,,,11.17,,11.38,,9.65,,11.35,,11.92,,11.1,,11.01,,12.09
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ ДЕЛИКАТЕСНАЯ,,,,42.35,,41.12,,38.74,,41.1,,45.38,,41.2,,46.04,,44.85
ИКРА ЛОСОСЕВЫХ РЫБ,,,,126.39,,112.73,,145.63,,135.84,,117.55,,127.24,,119.96,,123.63
ПРОЧИЕ   ВИДЫ   ИКРЫ   РЫБ   (за 1 усл. банку весом  200 г),,,,3.73,,4.04,,3.34,,4.19,,3.78,,3.64,,3.6,,3.53
СЕЛЬДЬ СОЛЕНАЯ,,,,5.53,,5.57,,5.65,,5.3,,5.01,,5.92,,5.26,,5.47
"ПОЛУФАБРИКАТЫ РЫБНЫЕ (котлеты, палочки рыбные , фарш)",,,,7.27,,5.43,,7.35,,7.0,,6.96,,8.23,,7.14,,7.64
КОНСЕРВЫ РЫБНЫЕ (кроме деликатесных) (за 1 усл. банку весом 350г),,,,3.13,,3.11,,2.93,,2.89,,2.61,,3.75,,3.07,,2.64
