,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА  (кроме бескостного мяса),,,,66552.477354,,73171.68,,68807.95,,64848.95,,56835.5,,69479,,63655,,64258.45
ГОВЯДИНА БЕСКОСТНАЯ,,,,107564.013773,,94445.23999999999,,102356.11,,98539.78,,91150.78,,126342,,113097,,100200.65
СВИНИНА (кроме бескостного мяса),,,,55582.762637,,55133.28,,54977.979999999996,,57932.28999999999,,51862.740000000005,,56053,,53033,,59976.3
СВИНИНА БЕСКОСТНАЯ,,,,87201.57851400001,,83895.36,,92052.70999999999,,91052.43,,87543.68000000001,,83800,,84193,,93538.70000000001
ФАРШ МЯСНОЙ ,,,,71205.271812,,68389,,69594.47,,68278.91,,70888.1,,80045,,65083,,65748.9
"КУРЫ (ЦЫПЛЯТА, ВКЛЮЧАЯ БРОЙЛЕРОВ)",,,,34517.464663000006,,33313.24,,35004.51,,34506.04,,34358.14,,34697,,34725,,34817.35
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,46262.577889,,44502.200000000004,,47441.939999999995,,44867.89,,44471.5,,48099,,46452,,45507.2
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,31697.448127,,32648.88,,28267.079999999998,,32783.97,,33690.22,,29269,,33259,,35467.1
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,5945.009191,,5608.72,,5275.299999999999,,6622.25,,5922.1,,6208,,5827,,5718.95
ПЕЛЬМЕНИ МЯСНЫЕ,,,,49081.947354,,43889.159999999996,,43978.96,,46892,,46600,,56480,,49224,,46853.549999999996
"САЛО, ГРУДИНКА",,,,90107.606238,,73772.92,,91278.32,,85415.5,,83697.96,,102458,,89124,,89807.1
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,61787.276634,,60478.240000000005,,60253.26999999999,,64508.67,,59901.54,,61944,,61747,,63133.05
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,46138.012986999995,,45562.56,,42838.24,,44375.270000000004,,43494.780000000006,,50439,,47903,,41653.35
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА И БЕССОРТОВАЯ ,,,,35687.028786999996,,37321.28,,34874.83,,34728.28,,36604.72,,37001,,36015,,30901.4
"КОЛБАСА ПОЛУКОПЧЕНАЯ, ВАРЕНО-КОПЧЕНАЯ",,,,92506.27399299998,,87183.52,,89750.31999999999,,89745.19,,89222.5,,102511,,92812,,81819.7
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,174862.96829299998,,167478.08,,177894.24,,181017.23,,160961.12,,187750,,162481,,169235.25
"ПАШТЕТ, ЗЕЛЬЦ, САЛЬТИСОН",,,,36832.364924999994,,31901.96,,32523.22,,34403.07,,29547.2,,40354,,44422,,38387.7
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,20643.137171000002,,20931.8,,22354.46,,25007.13,,18304.74,,18305,,21185,,20260.65
"СОСИСКИ, САРДЕЛЬКИ",,,,64142.16946399999,,57384.2,,60110.23999999999,,63630.020000000004,,60254.9,,72191,,64867,,59085.5
"ВЕТЧИНА, БУЖЕНИНА, ОКОРОК",,,,99565.71075499998,,106972.8,,98678.65,,97423.73999999999,,115255.34,,101992,,77178,,104101.35
ГОВЯДИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,31277.460700999996,,26663.719999999998,,34703.2,,31515.81,,30743.08,,33057,,30399,,29522.1
СВИНИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,33313.470541,,31896.96,,35176.43,,34250.54,,35582.340000000004,,34457,,31067,,29314.949999999997
КОНСЕРВЫ  МЯСНЫЕ ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ (за условную банку весом 350 г),,,,61589.804312,,70063.48000000001,,62945.88,,55894.18,,60240.380000000005,,61884,,56362,,65471.600000000006
РЫБА ЖИВАЯ,,,,46305.664491999996,,41499.04,,42528.45,,49368.630000000005,,46301.4,,47321,,46500,,49606.3
РЫБА МОРОЖЕНАЯ (тресковые и скумбриевые),,,,41667.69927,,41365.03999999999,,44397.42999999999,,45044.03,,41311.18000000001,,37552,,36689,,53057.850000000006
РЫБА МОРОЖЕНАЯ (филе и разделанная),,,,71153.65595999999,,70075.84,,62508.079999999994,,72081.64,,66982.1,,84014,,55874,,73161.04999999999
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ,,,,109975.760881,,118768,,112816.15999999999,,116563.13,,106945.02,,108669,,109984,,93198.04999999999
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ ДЕЛИКАТЕСНАЯ,,,,286176.85419900005,,330573.36000000004,,287415.95999999996,,199407.27000000002,,290142.58,,244917,,340686,,378018.44999999995
ИКРА ЛОСОСЕВЫХ РЫБ,,,,852293.160268,,840893.56,,979860.95,,826637.05,,836766.02,,887325,,797514,,747528.25
ПРОЧИЕ   ВИДЫ   ИКРЫ   РЫБ   (за условную банку весом      200 г),,,,32991.920159,,34075.840000000004,,30374.97,,33858.619999999995,,32996.04,,34320,,32376,,30867.7
СЕЛЬДЬ СОЛЕНАЯ,,,,58654.970783,,62005.96000000001,,61714.1,,57165.869999999995,,57307.520000000004,,59170,,54747,,58532.45
"ПОЛУФАБРИКАТЫ РЫБНЫЕ (котлеты, палочки рыбные , фарш)",,,,77035.745498,,71184.68,,76322.94,,74861.01999999999,,67380.94,,88459,,77058,,66903.20000000001
КОНСЕРВЫ РЫБНЫЕ (за условную банку весом 350г),,,,23413.291257999997,,26026.440000000002,,20610.76,,22419.239999999998,,24182.5,,25026,,21542,,22427.1
КОНСЕРВЫ РЫБНЫЕ ДЕЛИКАТЕСНЫЕ (шпроты и лосось) - за условную банку весом 350 г,,,,43919.72077099999,,40267.520000000004,,42453.25,,43490.58,,43813.4,,49584,,39428,,41999.8
ПРЕСЕРВЫ РЫБНЫЕ (филе сельди в различных соусах и заливках) - за условную банку весом 250 г,,,,26035.489853999996,,24494.16,,26276.96,,26717.64,,26965.739999999998,,26110,,26002,,25601.399999999998
,,,,,,,,,,,,,,,,,,
"* - на уровень средней цены, кроме ценовых факторов, оказывают влияние также структурные сдвиги, среди  которых особо следует  ",,,,,,,,,,,,,,,,,,
"выделить многообразные ассортиментные изменения: появление новых товаров, исчезновение старых, изменение  доли  отдельных",,,,,,,,,,,,,,,,,,
"товаров  с  различным уровнем  цен,  территориальные  сдвиги  в  размещении товаров с  региональной  дифференциацией  цен,  ",,,,,,,,,,,,,,,,,,
сезонные  колебания цен и прочее.  Поэтому средние цены не всегда могут быть использованы для характеристики динамики цен.,,,,,,,,,,,,,,,,,,
** - с января 2014 года расчет средних цен производится по формуле средней геометрической величины,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"МОЛОКО ЦЕЛЬНОЕ ПАСТЕРИЗОВАННОЕ, СТЕРИЛИЗОВАННОЕ",,,,10456.176081,,9815.039999999999,,10766.34,,9751.27,,10001.140000000001,,10302,,11154,,11729.25
КЕФИР (ПРОДУКТ КЕФИРНЫЙ),,,,10457.324408,,10170.2,,10958.429999999998,,9826.79,,10219.52,,10663,,10736,,10352.85
СМЕТАНА ,,,,38111.681799,,36981.24,,40901.97,,33029.54,,35370.28,,39969,,37737,,41462
ТВОРОГ ЖИРНЫЙ,,,,51187.301609,,50238.68,,52974.35,,49916.979999999996,,45900.020000000004,,53807,,50574,,51189.350000000006
ТВОРОГ НЕЖИРНЫЙ,,,,45607.037243,,47077.159999999996,,46304.85,,43846.9,,45095.700000000004,,44590,,45703,,48536.05
ЙОГУРТ (за 250 г),,,,9130.130749,,9364.16,,8084.46,,9359.869999999999,,9949.84,,9960,,8747,,7215
СЫРОК ГЛАЗИРОВАННЫЙ  (за 50 г),,,,4831.606464,,4918.8,,5444.54,,4581.84,,4844.860000000001,,4687,,4736,,4846.9
"ТВОРОЖНЫЙ ДЕСЕРТ, КРЕМ, ПУДИНГ  (за 200 г)",,,,10917.77588,,11176.599999999999,,11674.4,,10801.58,,10994.84,,10990,,9984,,10927.05
"ПОЛУФАБРИКАТЫ ИЗ ТВОРОГА (вареники, блинчики)",,,,58705.796673000004,,55164.48,,56728.189999999995,,58845.3,,53757.880000000005,,64906,,56889,,56149.799999999996
СУХИЕ МОЛОЧНЫЕ СМЕСИ  ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ,,,,124078.243112,,128932.56,,127043.34,,103123.68,,132384.08000000002,,127178,,131089,,115823.55
МОЛОКО СГУЩЕНОЕ С САХАРОМ (за условную банку весом 400 г),,,,19670.172668000003,,18666.68,,20706.739999999998,,17768.32,,20233.58,,20618,,19791,,18920.4
МОРОЖЕНОЕ,,,,106019.630758,,108025.95999999999,,88590.95,,105700.82999999999,,99523.72,,112158,,117451,,98259.9
СЫР  ТВЕРДЫЙ,,,,109781.99796000001,,106049.28,,107549.66,,114145.86,,104215.84000000001,,110065,,112738,,111847.5
СЫР МЯГКИЙ ,,,,89482.83327799999,,75945.88,,80012.39,,75578.47,,74432.34000000001,,107428,,100128,,87906.85
СЫР ПЛАВЛЕНЫЙ,,,,76601.940456,,74865.28,,78558.76999999999,,76239.81,,70940.6,,80828,,77971,,69203.05
"СЫР РАССОЛЬНЫЙ (БРЫНЗА, СУЛУГУНИ И ПРОЧИЕ)",,,,100912.675037,,95821.96,,108810.48999999999,,94727.42,,89817.66,,96098,,112364,,114253.1
МАСЛО ЖИВОТНОЕ,,,,98875.554029,,95729.23999999999,,101389.01999999999,,96557.11,,96341.90000000001,,99313,,100412,,102151.45
МАСЛО РАСТИТЕЛЬНОЕ (кроме оливкового),,,,29761.787052999996,,29976.6,,29955.079999999998,,29461.090000000004,,30337.980000000003,,29468,,29438,,30352.649999999998
МАСЛО ОЛИВКОВОЕ,,,,186482.895533,,197590.96,,200336.69999999998,,177547.05,,181881.94,,178368,,190402,,189455.7
МАРГАРИН,,,,43836.887698000006,,41905.2,,44011.63,,42736.39,,40335.94,,46020,,43136,,46250.05
ЖИР ЖИВОТНЫЙ,,,,18862.896116,,17711.2,,11197.259999999998,,11435.1,,19834.78,,29580,,16176,,13334.449999999999
ЯЙЦА  КУРИНЫЕ (за 10 шт.),,,,16791.592706,,16110.16,,18211.18,,13682.26,,16783.74,,18644,,17166,,14580.199999999999
САХАР-ПЕСОК,,,,15967.429995999999,,15898.880000000001,,16130.419999999998,,16104.14,,15703.900000000001,,16132,,15798,,15738.95
ЧАЙ ЧЕРНЫЙ БАЙХОВЫЙ,,,,310830.67344600003,,320358.44,,259783.28999999998,,305447.19,,301499.56,,322067,,347630,,293188.75
КОФЕ НАТУРАЛЬНЫЙ МОЛОТЫЙ,,,,246370.578352,,240839.03999999998,,253078.59999999998,,227036.2,,249023.24000000002,,259752,,237130,,245836.1
КОФЕ РАСТВОРИМЫЙ,,,,555228.8387099999,,598968.2000000001,,584054.2999999999,,539448.26,,570916.0800000001,,482397,,554946,,671366.15
МЁД  НАТУРАЛЬНЫЙ,,,,101349.52504699999,,88917.08,,95218.33,,106265.6,,103540.56,,111405,,98176,,92302.95
СОЛЬ  ПОВАРЕННАЯ  ПИЩЕВАЯ,,,,4615.826472,,5193.28,,4632.929999999999,,4704.47,,4128.76,,4897,,3999,,4392.4
МУКА ПШЕНИЧНАЯ ,,,,8916.723140999999,,8518.8,,8961.56,,8692.53,,8912.1,,9445,,8790,,8408.85
"ХЛЕБ РЖАНОЙ,РЖАНО-ПШЕНИЧНЫЙ",,,,13917.545763999999,,14017.56,,13631.91,,13377.670000000002,,12427.64,,14956,,12724,,15339.45
"ХЛЕБ, ИЗДЕЛИЯ БУЛОЧНЫЕ (БАТОН) ИЗ  МУКИ ПШЕНИЧНОЙ ВЫСШЕГО СОРТА",,,,20892.999807,,18725.92,,17822.51,,22235.18,,18458.24,,23123,,20421,,22590.35
"ХЛЕБ, ИЗДЕЛИЯ БУЛОЧНЫЕ (БАТОН) ИЗ  МУКИ ПШЕНИЧНОЙ ПЕРВОГО СОРТА",,,,14565.353163,,14437.92,,16261.669999999998,,16404.06,,14965.060000000001,,13510,,12396,,15794
ИЗДЕЛИЯ БУЛОЧНЫЕ СДОБНЫЕ ИЗ МУКИ  ПШЕНИЧНОЙ ВЫСШЕГО СОРТА,,,,32640.248258,,40600.52,,27591.969999999998,,36731.19,,27707.9,,27408,,37384,,35738.8
"СУХАРИ, СУШКИ, БАРАНКИ",,,,48102.958137,,41719.92,,43148.759999999995,,48852.61,,44730.700000000004,,51711,,53502,,46759.05
РИС ШЛИФОВАННЫЙ И ПОЛИРОВАННЫЙ,,,,21446.354112,,20632.56,,23394.14,,20520.760000000002,,20845.980000000003,,21604,,21095,,22087.3
КРУПА МАННАЯ,,,,12565.339735,,11690.52,,12695.689999999999,,12876.66,,12326.400000000001,,12986,,11869,,13187.7
КРУПА ПШЕННАЯ,,,,14613.386177,,14320.800000000001,,15271.919999999998,,15132.150000000001,,14561.62,,15110,,13855,,13267.6
КРУПА ГРЕЧНЕВАЯ,,,,33732.031318999994,,33575.56,,35122.61,,33628.86,,30419.24,,38116,,28959,,30806.4
ХЛОПЬЯ  ОВСЯНЫЕ,,,,16604.750311,,15499.08,,16123.869999999999,,15182.5,,16722.620000000003,,18042,,16515,,16592.8
ХЛОПЬЯ КУКУРУЗНЫЕ ,,,,54821.440498,,58096.759999999995,,50571.5,,55256.06,,52957.920000000006,,57808,,50847,,54857.05
КРУПА ПЕРЛОВАЯ,,,,9251.767789000001,,9079.48,,9426.7,,10549.21,,8556.080000000002,,9370,,8316,,9241.150000000001
КАШИ ДЛЯ ДЕТСКОГО И ДИЕТИЧЕСКОГО ПИТАНИЯ,,,,92658.99523199999,,97041,,96818.51999999999,,78059.48000000001,,94035.06,,97092,,90571,,91711.54999999999
"ГОРОХ, ФАСОЛЬ",,,,25038.592856,,26337.32,,24370.649999999998,,22698.510000000002,,22165.56,,25774,,26633,,26096.699999999997
МЮСЛИ И ПРОЧИЕ СУХИЕ ЗАВТРАКИ ИЗ РАЗЛИЧНЫХ КРУП,,,,81015.79042,,78331.4,,82598.79999999999,,69603.52,,70957.54000000001,,91775,,81288,,78753.75
"МАКАРОНЫ, РОЖКИ",,,,15846.868265,,14529.24,,14764.579999999998,,13182.41,,16903.280000000002,,17097,,15603,,18301.05
"ВЕРМИШЕЛЬ, ЛАПША",,,,16512.774964999997,,16176.8,,16382.8,,13680.369999999999,,18001.34,,17715,,16009,,16876.65
ВОДКА ,,,,130689.05311099999,,133611.16,,131965.18,,128404.63,,126426.34,,129275,,136840,,127955.29999999999
НАСТОЙКИ ГОРЬКИЕ КРЕПКИЕ,,,,146508.09491299998,,151277.76,,142959.75,,151960.72,,147958.62,,139868,,151468,,146776
КОНЬЯК,,,,347901.55811,,338410.68,,428639.30999999994,,294958.95,,323551.12,,359147,,341218,,339195.7
ВИНО ВИНОГРАДНОЕ КРЕПЛЕНОЕ,,,,114150.909557,,96864.12,,95143.91,,95119.54000000001,,89939.3,,160971,,95000,,109876.75
ВИНО ВИНОГРАДНОЕ СТОЛОВОЕ,,,,104211.92936400001,,84825.36,,107348.95999999999,,64736.96,,71150.26000000001,,153862,,90455,,97456.04999999999
ПИВО,,,,25173.927109999997,,25252.68,,25324.659999999996,,24190.96,,26529.02,,24916,,25794,,24630.15
ВИНО ИГРИСТОЕ  (ШАМПАНСКОЕ),,,,86372.667411,,77260.4,,89252.36,,85127.59,,80206.12,,87462,,81618,,106419.4
