,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА  (кроме бескостного мяса),,,,7.79,,9.47,,6.7,,7.08,,6.76,,8.51,,7.34,,7.59
ГОВЯДИНА БЕСКОСТНАЯ,,,,12.52,,11.11,,11.37,,11.78,,11.52,,14.29,,13.92,,10.82
СВИНИНА (кроме бескостного мяса),,,,6.5,,6.69,,6.17,,6.24,,6.44,,6.6,,6.69,,6.55
СВИНИНА БЕСКОСТНАЯ,,,,9.77,,9.49,,9.54,,10.42,,10.12,,9.73,,9.25,,9.93
ФАРШ МЯСНОЙ ,,,,7.3,,6.84,,7.31,,7.16,,7.98,,7.47,,7.11,,7.11
"КУРЫ (ЦЫПЛЯТА, ВКЛЮЧАЯ БРОЙЛЕРОВ)",,,,3.8,,3.62,,3.8,,3.8,,3.8,,3.9,,3.83,,3.71
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,4.81,,4.74,,4.92,,4.75,,4.92,,4.81,,4.83,,4.67
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,3.56,,3.18,,3.39,,3.26,,3.88,,3.91,,3.16,,3.9
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,0.68,,0.64,,0.64,,0.67,,0.68,,0.73,,0.71,,0.64
ПЕЛЬМЕНИ МЯСНЫЕ,,,,5.73,,5.16,,5.26,,5.5,,5.24,,6.56,,5.74,,5.47
"САЛО, ГРУДИНКА",,,,10.35,,8.7,,9.72,,9.61,,10.05,,11.64,,10.95,,10.04
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,7.06,,6.86,,6.77,,7.41,,7.2,,7.07,,6.96,,7.17
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,5.35,,4.64,,5.17,,3.97,,5.08,,6.57,,5.59,,4.83
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА И БЕССОРТОВАЯ ,,,,4.11,,4.03,,3.91,,4.03,,4.04,,4.28,,4.4,,3.72
"КОЛБАСА ПОЛУКОПЧЕНАЯ, ВАРЕНО-КОПЧЕНАЯ",,,,10.0,,9.72,,9.92,,9.88,,9.98,,10.73,,9.38,,9.42
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,19.14,,18.06,,19.3,,18.94,,18.89,,20.62,,18.76,,17.26
"ПАШТЕТ, ЗЕЛЬЦ, САЛЬТИСОН",,,,4.43,,3.5,,4.58,,3.84,,3.79,,5.11,,4.79,,4.5
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,2.59,,2.84,,2.79,,2.89,,2.23,,2.52,,2.54,,2.29
"СОСИСКИ, САРДЕЛЬКИ",,,,7.28,,6.81,,7.02,,6.92,,6.36,,8.11,,7.05,,7.56
"ИЗДЕЛИЯ ИЗ ГОВЯДИНЫ, СВИНИНЫ ВАРЕНЫЕ, ВАРЕНО-КОПЧЕНЫЕ: ВЕТЧИНА, БУЖЕНИНА, ОКОРОК И ПРОЧИЕ",,,,11.9,,10.7,,12.54,,11.29,,12.21,,12.54,,11.53,,11.91
ГОВЯДИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за 1 усл. банку весом 350 г),,,,3.6,,3.62,,3.48,,3.52,,3.63,,3.74,,3.66,,3.35
СВИНИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за 1 усл. банку весом 350 г),,,,3.65,,3.41,,3.53,,3.51,,3.73,,3.68,,3.94,,3.74
КОНСЕРВЫ  МЯСНЫЕ  ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ (за 1 усл. банку весом 350 г),,,,7.65,,7.89,,7.54,,7.65,,7.21,,7.7,,7.62,,7.83
РЫБА ЖИВАЯ,,,,5.45,,4.9,,5.58,,5.32,,5.73,,5.25,,5.39,,6.44
РЫБА МОРОЖЕНАЯ НЕРАЗДЕЛАННАЯ (тресковые и скумбриевые),,,,4.39,,4.52,,4.19,,4.48,,4.27,,4.59,,4.22,,4.16
РЫБА МОРОЖЕНАЯ (филе и разделанная),,,,6.88,,5.74,,7.07,,6.73,,6.86,,6.91,,8.26,,6.36
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ (кроме сельди и рыбы деликатесной),,,,10.99,,11.1,,10.6,,11.25,,12.12,,10.44,,11.23,,11.04
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ ДЕЛИКАТЕСНАЯ,,,,41.27,,41.52,,38.83,,38.68,,45.94,,37.33,,47.78,,44.73
ИКРА ЛОСОСЕВЫХ РЫБ,,,,133.71,,122.68,,147.36,,146.95,,129.6,,128.75,,130.16,,136.38
ПРОЧИЕ   ВИДЫ   ИКРЫ   РЫБ   (за 1 усл. банку весом  200 г),,,,3.75,,4.05,,3.4,,3.95,,3.77,,3.64,,3.59,,4.05
СЕЛЬДЬ СОЛЕНАЯ,,,,5.34,,5.6,,5.6,,5.12,,4.93,,5.49,,5.13,,5.24
"ПОЛУФАБРИКАТЫ РЫБНЫЕ (котлеты, палочки рыбные , фарш)",,,,7.16,,5.55,,6.91,,7.02,,7.2,,8.29,,7.12,,6.47
КОНСЕРВЫ РЫБНЫЕ (кроме деликатесных) (за 1 усл. банку весом 350г),,,,3.19,,3.18,,2.98,,2.92,,2.68,,3.71,,3.24,,2.86
КОНСЕРВЫ РЫБНЫЕ  ДЕЛИКАТЕСНЫЕ ( шпроты и лосось) (за  1 усл. банку весом 350 г),,,,5.14,,5.02,,4.81,,4.93,,5.06,,5.39,,5.16,,5.27
ПРЕСЕРВЫ РЫБНЫЕ (филе сельди в различных соусах и заливках) (за 1 усл. банку весом 250 г),,,,2.51,,2.42,,2.49,,2.48,,2.5,,2.57,,2.53,,2.44
,,,,,,,,,,,,,,,,,,
"* - на уровень средней цены, кроме ценовых факторов, оказывают влияние также структурные сдвиги, среди  которых особо следует  ",,,,,,,,,,,,,,,,,,
"выделить многообразные ассортиментные изменения: появление новых товаров, исчезновение старых, изменение  доли  отдельных",,,,,,,,,,,,,,,,,,
"товаров  с  различным уровнем  цен,  территориальные  сдвиги  в  размещении товаров с  региональной  дифференциацией  цен,  ",,,,,,,,,,,,,,,,,,
