,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,Минская,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА ПЕРВОЙ КАТЕГОРИИ,,,,14836.032747999998,,14000.0,,14093.85,,14505.0,,13720.0,,15090.0,,16860.0,,15213.44
ПОЛУФАБРИКАТЫ МЯСНЫЕ ИЗ ГОВЯДИНЫ,,,,21963.46118,,19102.98,,21948.92,,22921.54,,20699.37,,26358.0,,19515.0,,21418.72
СВИНИНА (кроме бескостного мяса),,,,13119.509196,,13520.22,,12922.0,,13036.98,,12162.55,,12264.0,,14090.0,,14050.2
ПОЛУФАБРИКАТЫ МЯСНЫЕ  ИЗ СВИНИНЫ,,,,20935.619401999997,,19332.68,,21611.07,,20299.94,,20853.65,,22292.0,,20529.0,,21395.56
ФАРШ МЯСНОЙ (без добавок),,,,16268.677261999997,,16566.14,,15750.08,,16009.16,,16845.98,,17218.0,,16316.0,,14591.64
"КУРЫ (ЦЫПЛЯТА, ВКЛЮЧАЯ БРОЙЛЕРОВ)",,,,8970.748046,,8897.12,,9187.46,,8673.74,,8716.46,,8998.0,,8972.0,,9413.92
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,11922.382196,,11732.18,,12009.85,,10597.46,,11618.34,,12500.0,,12401.0,,12517.76
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,6403.917471999999,,6144.22,,6346.85,,7104.1,,6411.41,,6015.0,,6600.0,,6269.72
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,1227.398442,,1216.1,,1208.6,,1260.64,,1134.15,,1441.0,,1114.0,,1099.12
ПЕЛЬМЕНИ МЯСНЫЕ,,,,10951.685258,,9909.36,,9378.01,,11283.7,,10705.96,,12453.0,,11583.0,,10517.92
САЛО,,,,14184.960778,,10848.74,,15486.45,,13174.08,,13924.48,,17206.0,,13893.0,,13883.64
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,14521.445666,,14598.64,,14988.94,,14396.82,,14003.98,,14661.0,,13897.0,,15144.52
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,10694.19128,,10541.16,,10714.04,,11489.92,,10019.37,,9654.0,,11885.0,,10680.48
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА ,,,,8822.134759999999,,9491.7,,10558.01,,7758.82,,8874.8,,7653.0,,9053.0,,9024.4
КОЛБАСА ПОЛУКОПЧЕНАЯ,,,,22165.035936,,19882.32,,20117.52,,21448.8,,20946.5,,26159.0,,21641.0,,23499.92
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,34854.270432,,32544.2,,34654.13,,33785.32,,34285.37,,38369.0,,34143.0,,35022.52
"ПАШТЕТ, ЗЕЛЬЦ",,,,6456.145092,,6654.94,,6196.92,,6132.38,,5782.49,,7351.0,,6534.0,,5974.96
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,4226.927092,,4234.46,,3982.28,,4651.14,,3968.42,,4054.0,,4842.0,,3678.2
СОСИСКИ,,,,14059.035656,,13526.44,,13303.29,,14266.92,,13921.38,,14912.0,,13434.0,,14831.72
"ВЕТЧИНА, БУЖЕНИНА, ОКОРОК",,,,20895.128166,,21417.72,,22385.95,,18000.78,,21486.39,,21936.0,,18065.0,,23710.64
ГОВЯДИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,6745.044404,,6747.86,,6334.81,,7092.98,,6541.44,,7795.0,,6168.0,,5930.4
СВИНИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,6100.305151999999,,6014.02,,5707.15,,6040.02,,6627.92,,6700.0,,5750.0,,5663.76
КОНСЕРВЫ  МЯСНЫЕ ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ (за условную банку весом 350 г),,,,7382.11461,,7122.72,,7148.74,,7419.3,,7366.39,,7623.0,,7513.0,,7368.52
РЫБА ЖИВАЯ,,,,7446.306156,,6490.4,,7106.31,,7536.76,,7028.48,,8355.0,,7847.0,,7295.72
РЫБА МОРОЖЕНАЯ (тресковые и скумбриевые),,,,9780.18849,,7481.14,,8756.15,,9025.4,,9433.74,,11495.0,,11285.0,,10373.24
РЫБА МОРОЖЕНАЯ (филе и разделанная),,,,12025.304438000001,,11782.48,,8966.34,,9574.14,,10558.41,,18643.0,,10549.0,,11244.44
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ,,,,23876.857252000005,,23738.64,,28726.88,,26849.72,,26034.27,,17829.0,,25979.0,,19997.12
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ ДЕЛИКАТЕСНАЯ,,,,35659.28037,,28199.24,,31044.84,,28471.54,,33686.92,,39045.0,,39584.0,,51011.56
ИКРА ЛОСОСЕВЫХ РЫБ,,,,247472.84555600001,,209781.14,,257192.9,,268591.94,,229692.76,,274230.0,,235765.0,,244667.2
ПРОЧИЕ   ВИДЫ   ИКРЫ   РЫБ   (за условную банку весом      200 г),,,,5481.268044,,5778.94,,4815.49,,5491.1,,5171.15,,6269.0,,5194.0,,5190.0
СЕЛЬДЬ СОЛЕНАЯ,,,,8322.34938,,8402.88,,7386.78,,7573.44,,7718.12,,9121.0,,9242.0,,8313.04
"ПОЛУФАБРИКАТЫ РЫБНЫЕ (котлеты, палочки рыбные , фарш)",,,,12478.427798,,12116.84,,12834.38,,12065.06,,11803.89,,12136.0,,13968.0,,12385.28
КОНСЕРВЫ РЫБНЫЕ (за условную банку весом 350г),,,,4260.430351999999,,4221.48,,3671.59,,4096.96,,3834.17,,5616.0,,4035.0,,3621.4
КОНСЕРВЫ РЫБНЫЕ ДЕЛИКАТЕСНЫЕ (шпроты и лосось) - за условную банку весом 350 г,,,,8777.534285999998,,8723.66,,8579.27,,8670.04,,8209.21,,9263.0,,8735.0,,9007.44
ПРЕСЕРВЫ РЫБНЫЕ (филе сельди в различных соусах и заливках) - за условную банку весом 250 г,,,,3783.9632540000002,,3754.56,,3828.47,,3820.18,,3850.14,,3784.0,,3551.0,,3961.72
"МОЛОКО ЦЕЛЬНОЕ ПАСТЕРИЗОВАННОЕ, СЫРОЕ",,,,1789.106846,,1776.82,,1709.26,,1640.64,,1572.45,,2091.0,,1771.0,,1818.76
КЕФИР,,,,1792.554664,,1791.22,,1689.01,,1708.3,,1772.59,,1862.0,,1899.0,,1786.28
СМЕТАНА ,,,,7272.491314,,6913.58,,7630.75,,6206.4,,7357.55,,8142.0,,7282.0,,7176.72
ТВОРОГ ЖИРНЫЙ,,,,9928.135441999999,,8797.08,,8348.55,,8383.9,,9966.95,,12820.0,,10226.0,,9904.36
ТВОРОГ НЕЖИРНЫЙ,,,,9169.060494,,10763.56,,8076.14,,7030.1,,11233.52,,10065.0,,7427.0,,9911.12
ЙОГУРТ (за 250 г),,,,1810.695306,,2198.74,,1778.56,,1995.68,,2025.32,,1715.0,,1320.0,,1694.64
СЫРОК ГЛАЗИРОВАННЫЙ  (за 50 г),,,,976.032608,,910.68,,937.66,,1002.64,,960.36,,972.0,,933.0,,1145.88
"ТВОРОЖНЫЙ ДЕСЕРТ, КРЕМ, ПУДИНГ  (за 200 г)",,,,2255.3006840000003,,2342.22,,2696.44,,1950.7,,2327.8,,2453.0,,1740.0,,2315.4
СУХИЕ МОЛОЧНЫЕ СМЕСИ  ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ,,,,19410.20476,,20192.76,,17483.84,,16222.88,,19308.25,,23490.0,,19393.0,,18042.0
МОЛОКО СГУЩЕНОЕ С САХАРОМ (за условную банку весом 400 г),,,,3585.74502,,3461.62,,3594.27,,3775.94,,3296.15,,3569.0,,3620.0,,3751.8
МОРОЖЕНОЕ,,,,15739.349091999999,,15252.1,,15088.6,,15464.02,,14548.36,,17829.0,,16044.0,,14718.2
