,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
"* - на уровень средней цены, кроме ценовых факторов, оказывают влияние также структурные сдвиги, среди  которых особо следует  ",,,,,,,,,,,,,,,,,,
"выделить многообразные ассортиментные изменения: появление новых товаров, исчезновение старых, изменение  доли  отдельных",,,,,,,,,,,,,,,,,,
"товаров  с  различным уровнем  цен,  территориальные  сдвиги  в  размещении товаров с  региональной  дифференциацией  цен,  ",,,,,,,,,,,,,,,,,,
сезонные  колебания цен и прочее.  Поэтому средние цены не всегда могут быть использованы для характеристики динамики цен.,,,,,,,,,,,,,,,,,,
** - с января 2014 года расчет средних цен производится по формуле средней геометрической величины,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"МОЛОКО ЦЕЛЬНОЕ ПАСТЕРИЗОВАННОЕ, СТЕРИЛИЗОВАННОЕ",,,,9416.495548,,8292.84,,9763.66,,9167.630000000001,,9035.92,,9455,,10235,,9843.45
КЕФИР (ПРОДУКТ КЕФИРНЫЙ),,,,9439.789036,,8993.72,,9709.47,,9310.57,,9603.7,,9850,,9311,,8797
СМЕТАНА ,,,,33361.163368,,32453.92,,35962.939999999995,,30718.93,,31766.460000000003,,34128,,33196,,34882.15
ТВОРОГ ЖИРНЫЙ,,,,47295.198584000005,,47582.16,,48096.25,,46802.83,,44048.44,,49258,,45230,,48031.05
ТВОРОГ НЕЖИРНЫЙ,,,,41901.02237599999,,42130.4,,43158.439999999995,,41122.020000000004,,41533.64,,40860,,43377,,42129
ЙОГУРТ (за 250 г),,,,8176.8802479999995,,8259.72,,7744.129999999999,,9091.27,,8593.62,,8580,,7831,,6392.15
СЫРОК ГЛАЗИРОВАННЫЙ  (за 50 г),,,,4462.7849,,4424.12,,4622.95,,4400.969999999999,,4405.34,,4411,,4506,,4538.65
"ТВОРОЖНЫЙ ДЕСЕРТ, КРЕМ, ПУДИНГ  (за 200 г)",,,,9797.883564,,10212,,10104.82,,10164.78,,10079.86,,9527,,9120,,9836.650000000001
"ПОЛУФАБРИКАТЫ ИЗ ТВОРОГА (вареники, блинчики)",,,,54911.462136,,50717.56,,53267.409999999996,,54984.1,,52629.14,,59312,,53801,,54533.95
СУХИЕ МОЛОЧНЫЕ СМЕСИ  ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ,,,,104832.335652,,108100.95999999999,,109317.19,,84471.45,,87986.90000000001,,113522,,118857,,97371.15
МОЛОКО СГУЩЕНОЕ С САХАРОМ (за условную банку весом 400 г),,,,16897.457456,,16059.68,,16953.719999999998,,15968.82,,16999.38,,17726,,17214,,16368.050000000001
МОРОЖЕНОЕ,,,,90435.574064,,97921.12000000001,,76497.09,,101107.8,,85447.3,,89615,,101298,,75031.65
СЫР  ТВЕРДЫЙ,,,,101357.148176,,94519.12000000001,,96015.65999999999,,101916.13,,103093.04000000001,,101967,,105169,,106273.05
СЫР МЯГКИЙ ,,,,84239.912812,,75430.84,,77286.97,,74863.06,,72543.18000000001,,101344,,86506,,80300.6
