,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА  (кроме бескостного мяса),,,,52693.83928404851,,54000.0,,58819.9,,54163.0,,40820.0,,49421.0,,,,62140.0
ГОВЯДИНА БЕСКОСТНАЯ,,,,85704.83986,,76875.45,,79623.1,,79016.12,,79865.41,,101895.0,,83025.0,,79908.54
СВИНИНА (кроме бескостного мяса),,,,43048.715443999994,,46151.94,,43507.3,,42493.44,,38246.29,,40507.0,,44979.0,,48018.88
СВИНИНА БЕСКОСТНАЯ,,,,65322.780055999996,,61691.8,,66976.2,,65768.56,,66030.25,,64791.0,,62842.0,,71505.7
ФАРШ МЯСНОЙ (без добавок),,,,54023.855246,,57315.53,,48629.5,,48583.76,,54836.84,,59842.0,,50883.0,,51794.18
"КУРЫ (ЦЫПЛЯТА, ВКЛЮЧАЯ БРОЙЛЕРОВ)",,,,26276.196294,,26374.91,,26942.7,,25895.52,,25876.1,,26250.0,,26325.0,,26289.38
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,36713.487016,,36209.07,,36946.7,,36255.92,,37757.4,,35365.0,,36143.0,,40986.96
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,19789.443324000003,,19197.41,,19015.5,,21643.52,,18244.78,,18689.0,,20627.0,,22141.64
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,4109.881434,,4025.65,,3530.0,,4124.12,,4764.22,,4377.0,,3896.0,,3824.52
ПЕЛЬМЕНИ МЯСНЫЕ,,,,30774.392389999997,,27983.43,,27132.3,,31083.44,,29421.81,,33146.0,,33450.0,,29467.96
САЛО,,,,51284.093212,,41387.14,,55100.0,,47774.72,,50215.61,,57627.0,,47842.0,,53278.22
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,45949.612266000004,,47105.63,,44159.6,,44547.28,,45600.77,,46825.0,,46458.0,,45798.26
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,34008.05516,,36827.36,,34182.1,,34010.4,,31285.98,,34510.0,,36138.0,,28663.26
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА ,,,,27603.778812,,33038.52,,30045.3,,20176.0,,26444.77,,27335.0,,32417.0,,23157.72
КОЛБАСА ПОЛУКОПЧЕНАЯ,,,,73340.85869000001,,63691.15,,67644.8,,69046.72,,66908.08,,83627.0,,73625.0,,76791.48
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,126595.640848,,119372.83,,127100.4,,124598.08,,113670.21,,139264.0,,120633.0,,125530.32
"ПАШТЕТ, ЗЕЛЬЦ",,,,19209.452564000003,,20160.56,,18536.2,,13723.32,,16468.05,,22232.0,,20935.0,,18572.38
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,13326.903068,,13356.53,,11676.5,,14134.8,,10741.27,,14779.0,,13813.0,,12153.66
СОСИСКИ,,,,46590.149206,,47696.52,,43213.5,,45655.28,,43658.78,,49725.0,,43823.0,,48845.28
"ВЕТЧИНА, БУЖЕНИНА, ОКОРОК",,,,70899.62407600001,,73203.13,,71988.9,,59876.4,,64991.35,,82399.0,,59847.0,,72638.94
ГОВЯДИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,25912.819222000002,,22679.56,,27177.3,,27044.24,,23071.24,,27469.0,,24105.0,,28195.2
СВИНИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,22927.614400000002,,20786.62,,21144.3,,23576.88,,23793.92,,23480.0,,22846.0,,24614.82
КОНСЕРВЫ  МЯСНЫЕ ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ (за условную банку весом 350 г),,,,27582.355046,,26340.58,,27308.4,,28245.52,,26064.32,,29152.0,,26915.0,,26865.3
РЫБА ЖИВАЯ,,,,28137.7373,,25327.0,,28250.6,,28324.44,,28198.18,,28909.0,,29023.0,,27983.0
РЫБА МОРОЖЕНАЯ (тресковые и скумбриевые),,,,29238.820272,,22399.56,,25085.0,,25737.24,,27527.79,,35727.0,,30293.0,,30575.9
РЫБА МОРОЖЕНАЯ (филе и разделанная),,,,41476.202536000004,,39855.13,,28367.8,,29112.24,,40075.82,,61277.0,,31979.0,,38052.62
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ,,,,73375.32610800001,,68533.99,,80360.1,,93252.24,,82196.41,,57983.0,,82091.0,,64169.18
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ ДЕЛИКАТЕСНАЯ,,,,137724.100226,,170145.96,,142668.2,,88809.36,,133216.47,,115295.0,,168860.0,,177127.84
ИКРА ЛОСОСЕВЫХ РЫБ,,,,741559.88995,,721159.0,,741610.8,,723588.36,,723554.68,,786530.0,,754501.0,,673521.82
ПРОЧИЕ   ВИДЫ   ИКРЫ   РЫБ   (за условную банку весом      200 г),,,,17476.624423999998,,14987.87,,15912.9,,17699.96,,14269.84,,21798.0,,16882.0,,14759.0
СЕЛЬДЬ СОЛЕНАЯ,,,,32420.195372000002,,33786.26,,29470.1,,31404.72,,32615.26,,32813.0,,32123.0,,34663.02
"ПОЛУФАБРИКАТЫ РЫБНЫЕ (котлеты, палочки рыбные , фарш)",,,,34514.38543,,32314.66,,35801.7,,35713.44,,33668.51,,33739.0,,38334.0,,31738.86
КОНСЕРВЫ РЫБНЫЕ (за условную банку весом 350г),,,,14370.331438,,13065.82,,10653.3,,14755.76,,12774.54,,18239.0,,12391.0,,13954.56
КОНСЕРВЫ РЫБНЫЕ ДЕЛИКАТЕСНЫЕ (шпроты и лосось) - за условную банку весом 350 г,,,,26869.138613999996,,25599.94,,26861.9,,26476.52,,25665.72,,29087.0,,24895.0,,27111.92
ПРЕСЕРВЫ РЫБНЫЕ (филе сельди в различных соусах и заливках) - за условную банку весом 250 г,,,,15289.35496,,14989.42,,14163.6,,15660.52,,15008.84,,16904.0,,13888.0,,14457.4
,,,,,,,,,,,,,,,,,,
"* - на уровень средней цены, кроме ценовых факторов, оказывают влияние также структурные сдвиги, среди  которых особо следует  ",,,,,,,,,,,,,,,,,,
"выделить многообразные ассортиментные изменения: появление новых товаров, исчезновение старых, изменение  доли  отдельных",,,,,,,,,,,,,,,,,,
"товаров  с  различным уровнем  цен,  территориальные  сдвиги  в  размещении товаров с  региональной  дифференциацией  цен,  ",,,,,,,,,,,,,,,,,,
сезонные  колебания цен и прочее.  Поэтому средние цены не всегда могут быть использованы для характеристики динамики цен.,,,,,,,,,,,,,,,,,,
"МОЛОКО ЦЕЛЬНОЕ ПАСТЕРИЗОВАННОЕ, СЫРОЕ",,,,6077.60459,,5969.78,,6237.3,,5779.76,,6167.54,,6324.0,,6076.0,,5701.84
КЕФИР,,,,6193.515748,,6203.75,,6415.3,,5808.64,,6028.56,,6284.0,,6380.0,,6110.48
СМЕТАНА ,,,,23162.122942000005,,23400.69,,25533.0,,20950.84,,22810.71,,22257.0,,24137.0,,24471.54
ТВОРОГ ЖИРНЫЙ,,,,32221.558192,,31134.0,,30357.9,,30601.0,,30003.29,,35737.0,,30222.0,,33661.16
ТВОРОГ НЕЖИРНЫЙ,,,,29043.53312,,29236.23,,29813.4,,27608.0,,29411.54,,29582.0,,26136.0,,32110.18
ЙОГУРТ (за 250 г),,,,5743.467096,,5906.43,,5415.8,,5734.96,,6075.11,,6401.0,,5014.0,,4897.52
СЫРОК ГЛАЗИРОВАННЫЙ  (за 50 г),,,,3261.2250379999996,,3067.54,,3143.3,,3301.96,,3328.02,,3213.0,,3213.0,,3712.32
"ТВОРОЖНЫЙ ДЕСЕРТ, КРЕМ, ПУДИНГ  (за 200 г)",,,,7470.681546000001,,7357.08,,7824.1,,6067.56,,6813.96,,6272.0,,11751.0,,6941.72
"ПОЛУФАБРИКАТЫ ИЗ ТВОРОГА (вареники, блинчики)",,,,33700.998504,,29537.6,,32958.1,,35347.56,,29816.4,,38560.0,,31031.0,,32350.82
СУХИЕ МОЛОЧНЫЕ СМЕСИ  ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ,,,,64554.746574000004,,58316.29,,63653.9,,51058.16,,58094.09,,80219.0,,59146.0,,64478.0
МОЛОКО СГУЩЕНОЕ С САХАРОМ (за условную банку весом 400 г),,,,11864.115592,,11436.71,,11255.2,,11880.32,,11589.1,,12153.0,,12426.0,,11814.3
МОРОЖЕНОЕ,,,,53476.546700000006,,51949.96,,48261.2,,53834.08,,52731.63,,56439.0,,56877.0,,49191.34
СЫР  ТВЕРДЫЙ,,,,63717.66740600001,,62039.09,,59965.5,,64321.12,,62273.72,,66070.0,,62087.0,,66845.3
СЫР МЯГКИЙ ,,,,61698.060368000006,,46488.55,,45724.5,,36462.92,,40151.72,,100170.0,,52117.0,,66936.28
СЫР ПЛАВЛЕНЫЙ,,,,48916.019245999996,,45505.34,,50227.2,,48257.76,,43259.39,,52850.0,,48786.0,,47990.28
СЫР РАССОЛЬНЫЙ,,,,53990.07674200001,,50266.35,,48671.9,,50083.12,,52280.4,,53068.0,,72329.0,,48727.9
МАСЛО ЖИВОТНОЕ,,,,61602.036762,,60740.69,,59506.3,,56247.76,,61838.27,,64031.0,,66255.0,,59293.68
МАСЛО РАСТИТЕЛЬНОЕ (кроме оливкового),,,,17126.542096,,16660.04,,17331.6,,16924.72,,17306.31,,17456.0,,17188.0,,16627.38
МАСЛО ОЛИВКОВОЕ,,,,101147.214316,,86279.27,,87746.8,,104658.52,,103173.66,,116651.0,,95393.0,,95982.98
МАРГАРИН,,,,26429.318316,,24885.81,,23934.0,,24424.72,,25112.04,,29630.0,,27530.0,,25337.94
